Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
PLAY-0014,MET-0150,Flag-carrier peer,Flag-carrier peer re-engineered disruption recovery time,Disruption Recovery Time (Corporate),-3.3 hours,crew-ops AI|cargo capacity optimizer|predictive maintenance,Self-Service Shift,Operations
PLAY-0015,MET-0108,Digital-native peer,Digital-native peer digitized ancillary revenue per pax,Ancillary Revenue per Pax (Customer),+4.4 $,fuel-burn optimization|self-service rebooking|crew-ops AI,Real-time Decisioning,Commercial
PLAY-0016,MET-0148,Cross-industry leader,Cross-industry leader consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-3.6 $,digital twin of operations|generative customer assistant,Automation,Maintenance
PLAY-0017,MET-0041,Cross-industry leader,Cross-industry leader deployed AI for safety incident rate,Safety Incident Rate (Operations),-1.7 rate,real-time ops data|self-service rebooking,Automation,Operations
PLAY-0018,MET-0076,Best-in-class operator,Best-in-class operator consolidated rasm,RASM (Maintenance),+3.7 cents,dynamic pricing engine|self-service rebooking|real-time ops data,Process Redesign,Commercial
PLAY-0019,MET-0147,Top-quartile carrier,Top-quartile carrier deployed AI for net promoter score,Net Promoter Score (Pax) (Corporate),+2.1 score,loyalty personalization engine|crew-ops AI|predictive maintenance|digital twin of operations,Automation,Customer
PLAY-0020,MET-0139,Digital-native peer,Digital-native peer automated mishandled bags per 1000,Mishandled Bags per 1000 (Corporate),-2.9 rate,demand-sensing ML|fuel-burn optimization,AI Optimization,Customer
PLAY-0021,MET-0131,Digital-native peer,Digital-native peer consolidated safety incident rate,Safety Incident Rate (Corporate),-2.1 rate,cargo capacity optimizer|fuel-burn optimization|self-service rebooking,Predictive Analytics,Operations
PLAY-0022,MET-0129,Flag-carrier peer,Flag-carrier peer digitized first contact resolution,First Contact Resolution (Corporate),+3.6 %,demand-sensing ML|real-time ops data|crew-ops AI|generative customer assistant,AI Optimization,Customer
PLAY-0023,MET-0114,Top-quartile carrier,Top-quartile carrier digitized crew utilization %,Crew Utilization % (Customer),+1.1 %,fuel-burn optimization|rebooking automation|loyalty personalization engine|self-service rebooking,Automation,Operations
PLAY-0024,MET-0092,Top-quartile carrier,Top-quartile carrier automated net promoter score,Net Promoter Score (Customer),+4.3 score,crew-ops AI|cargo capacity optimizer|self-service rebooking,Generative Assist,Customer
PLAY-0025,MET-0055,Digital-native peer,Digital-native peer digitized schedule reliability %,Schedule Reliability % (Operations),+2.9 %,crew-ops AI|network optimization solver|rebooking automation,Automation,Operations
PLAY-0026,MET-0024,LCC archetype,LCC archetype digitized crew utilization %,Crew Utilization %,+0.9 %,digital twin of operations|rebooking automation,Real-time Decisioning,Operations
PLAY-0027,MET-0005,Flag-carrier peer,Flag-carrier peer optimized ebit margin,EBIT Margin,+2.9 %,network optimization solver|automated revenue accounting|predictive maintenance|crew-ops AI,Automation,Finance
PLAY-0028,MET-0098,Digital-native peer,Digital-native peer digitized it spend as % of revenue,IT Spend as % of Revenue (Customer),-1.5 %,self-service rebooking|network optimization solver,AI Optimization,Technology
PLAY-0029,MET-0009,Flag-carrier peer,Flag-carrier peer consolidated first contact resolution,First Contact Resolution,+2.0 %,fuel-burn optimization|predictive maintenance|loyalty personalization engine,AI Optimization,Customer
PLAY-0030,MET-0021,Flag-carrier peer,Flag-carrier peer re-engineered fuel burn per asm,Fuel Burn per ASM,-3.7 kg,demand-sensing ML|fuel-burn optimization|network optimization solver|digital twin of operations,Self-Service Shift,Operations
PLAY-0031,MET-0107,Digital-native peer,Digital-native peer re-engineered completion factor %,Completion Factor % (Customer),+2.9 %,generative customer assistant|real-time ops data|fuel-burn optimization|loyalty personalization engine,AI Optimization,Operations
PLAY-0032,MET-0009,Top-quartile carrier,Top-quartile carrier optimized first contact resolution,First Contact Resolution,+1.0 %,dynamic pricing engine|real-time ops data|fuel-burn optimization,Automation,Customer
PLAY-0033,MET-0081,LCC archetype,LCC archetype consolidated fuel burn per asm,Fuel Burn per ASM (Maintenance),-3.0 kg,fuel-burn optimization|self-service rebooking,Generative Assist,Operations
PLAY-0034,MET-0058,Best-in-class operator,Best-in-class operator re-engineered maintenance cost per flight hour,Maintenance Cost per Flight Hour (Operations),-1.6 $,predictive maintenance|dynamic pricing engine,Platform Consolidation,Maintenance
PLAY-0035,MET-0030,LCC archetype,LCC archetype deployed AI for disruption recovery time,Disruption Recovery Time,-2.9 hours,cargo capacity optimizer|fuel-burn optimization|predictive maintenance|crew-ops AI,Automation,Operations
PLAY-0036,MET-0106,Best-in-class operator,Best-in-class operator deployed AI for rasm,RASM (Customer),+3.1 cents,real-time ops data|dynamic pricing engine|generative customer assistant|fuel-burn optimization,Automation,Commercial
PLAY-0037,MET-0017,LCC archetype,LCC archetype automated completion factor %,Completion Factor %,+3.2 %,fuel-burn optimization|dynamic pricing engine|digital twin of operations,Self-Service Shift,Operations
PLAY-0038,MET-0151,Flag-carrier peer,Flag-carrier peer digitized cost-to-income ratio,Cost-to-Income Ratio (Finance),-4.2 %,rebooking automation|fuel-burn optimization|loyalty personalization engine|generative customer assistant,AI Optimization,Corporate
PLAY-0039,MET-0007,LCC archetype,LCC archetype consolidated digital self-service rate,Digital Self-Service Rate,+4.3 %,digital twin of operations|automated revenue accounting|self-service rebooking|dynamic pricing engine,Self-Service Shift,Customer
PLAY-0040,MET-0153,Flag-carrier peer,Flag-carrier peer re-engineered employee attrition rate,Employee Attrition Rate (Finance),-0.9 %,predictive maintenance|computer-vision bag tracking,Generative Assist,Workforce
PLAY-0041,MET-0072,LCC archetype,LCC archetype digitized cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Maintenance),-4.1 hours,demand-sensing ML|crew-ops AI|fuel-burn optimization,Platform Consolidation,Risk
PLAY-0042,MET-0016,Best-in-class operator,Best-in-class operator automated rasm,RASM,+3.3 cents,self-service rebooking|demand-sensing ML,Self-Service Shift,Commercial
PLAY-0043,MET-0046,Cross-industry leader,Cross-industry leader re-engineered rasm,RASM (Operations),+0.8 cents,computer-vision bag tracking|real-time ops data,Predictive Analytics,Commercial
PLAY-0044,MET-0045,Flag-carrier peer,Flag-carrier peer digitized casm,CASM (Operations),-1.9 cents,network optimization solver|self-service rebooking,Automation,Finance
PLAY-0045,MET-0061,Best-in-class operator,Best-in-class operator automated cost-to-income ratio,Cost-to-Income Ratio (Maintenance),-2.1 %,demand-sensing ML|rebooking automation,Automation,Corporate
PLAY-0046,MET-0084,Cross-industry leader,Cross-industry leader digitized crew utilization %,Crew Utilization % (Maintenance),+2.7 %,generative customer assistant|rebooking automation,Real-time Decisioning,Operations
PLAY-0047,MET-0057,Digital-native peer,Digital-native peer digitized net promoter score,Net Promoter Score (Pax) (Operations),+2.8 score,fuel-burn optimization|digital twin of operations|self-service rebooking|real-time ops data,Self-Service Shift,Customer
PLAY-0048,MET-0055,LCC archetype,LCC archetype re-engineered schedule reliability %,Schedule Reliability % (Operations),+1.1 %,self-service rebooking|crew-ops AI|fuel-burn optimization,Automation,Operations
PLAY-0049,MET-0144,LCC archetype,LCC archetype consolidated crew utilization %,Crew Utilization % (Corporate),+2.9 %,predictive maintenance|dynamic pricing engine|digital twin of operations|network optimization solver,Self-Service Shift,Operations
PLAY-0050,MET-0074,Digital-native peer,Digital-native peer consolidated load factor %,Load Factor % (Maintenance),+2.7 %,fuel-burn optimization|generative customer assistant|computer-vision bag tracking,AI Optimization,Commercial
PLAY-0051,MET-0119,Cross-industry leader,Cross-industry leader deployed AI for technical dispatch reliability,Technical Dispatch Reliability (Customer),+4.3 %,generative customer assistant|digital twin of operations,Self-Service Shift,Maintenance
PLAY-0052,MET-0131,LCC archetype,LCC archetype consolidated safety incident rate,Safety Incident Rate (Corporate),-1.3 rate,self-service rebooking|real-time ops data|crew-ops AI|dynamic pricing engine,Predictive Analytics,Operations
PLAY-0053,MET-0178,Top-quartile carrier,Top-quartile carrier digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Finance),-4.5 $,self-service rebooking|digital twin of operations|automated revenue accounting|demand-sensing ML,Self-Service Shift,Maintenance
PLAY-0054,MET-0122,Best-in-class operator,Best-in-class operator optimized net promoter score,Net Promoter Score (Corporate),+1.2 score,loyalty personalization engine|network optimization solver|fuel-burn optimization,Generative Assist,Customer
PLAY-0055,MET-0030,Top-quartile carrier,Top-quartile carrier automated disruption recovery time,Disruption Recovery Time,-2.2 hours,crew-ops AI|cargo capacity optimizer,Process Redesign,Operations
PLAY-0056,MET-0022,LCC archetype,LCC archetype automated turnaround time,Turnaround Time,-1.6 minutes,digital twin of operations|automated revenue accounting,Generative Assist,Operations
PLAY-0057,MET-0024,Top-quartile carrier,Top-quartile carrier automated crew utilization %,Crew Utilization %,+3.8 %,real-time ops data|demand-sensing ML|automated revenue accounting|digital twin of operations,Generative Assist,Operations
PLAY-0058,MET-0091,LCC archetype,LCC archetype consolidated cost-to-income ratio,Cost-to-Income Ratio (Customer),-3.9 %,demand-sensing ML|network optimization solver|predictive maintenance,AI Optimization,Corporate
PLAY-0059,MET-0027,Top-quartile carrier,Top-quartile carrier consolidated net promoter score,Net Promoter Score (Pax),+3.4 score,fuel-burn optimization|rebooking automation|dynamic pricing engine,Self-Service Shift,Customer
PLAY-0060,MET-0011,LCC archetype,LCC archetype automated safety incident rate,Safety Incident Rate,-1.8 rate,demand-sensing ML|predictive maintenance|automated revenue accounting,AI Optimization,Operations
PLAY-0061,MET-0119,Top-quartile carrier,Top-quartile carrier consolidated technical dispatch reliability,Technical Dispatch Reliability (Customer),+2.0 %,dynamic pricing engine|digital twin of operations|loyalty personalization engine|predictive maintenance,Platform Consolidation,Maintenance
PLAY-0062,MET-0078,Best-in-class operator,Best-in-class operator consolidated ancillary revenue per pax,Ancillary Revenue per Pax (Maintenance),+3.0 $,self-service rebooking|demand-sensing ML,Self-Service Shift,Commercial
PLAY-0063,MET-0139,Best-in-class operator,Best-in-class operator optimized mishandled bags per 1000,Mishandled Bags per 1000 (Corporate),-1.3 rate,real-time ops data|crew-ops AI|generative customer assistant|automated revenue accounting,Real-time Decisioning,Customer
PLAY-0064,MET-0004,Best-in-class operator,Best-in-class operator optimized forecast accuracy,Forecast Accuracy,+4.2 %,digital twin of operations|rebooking automation|fuel-burn optimization|predictive maintenance,AI Optimization,Commercial
PLAY-0065,MET-0054,Top-quartile carrier,Top-quartile carrier re-engineered crew utilization %,Crew Utilization % (Operations),+0.9 %,demand-sensing ML|computer-vision bag tracking|self-service rebooking|predictive maintenance,Automation,Operations
PLAY-0066,MET-0122,LCC archetype,LCC archetype optimized net promoter score,Net Promoter Score (Corporate),+1.4 score,generative customer assistant|self-service rebooking|loyalty personalization engine,Platform Consolidation,Customer
PLAY-0067,MET-0062,Best-in-class operator,Best-in-class operator re-engineered net promoter score,Net Promoter Score (Maintenance),+2.7 score,self-service rebooking|generative customer assistant|loyalty personalization engine,Generative Assist,Customer
PLAY-0068,MET-0097,Cross-industry leader,Cross-industry leader deployed AI for digital self-service rate,Digital Self-Service Rate (Customer),+3.7 %,cargo capacity optimizer|computer-vision bag tracking,Automation,Customer
PLAY-0069,MET-0160,LCC archetype,LCC archetype consolidated procurement cost savings,Procurement Cost Savings (Finance),+1.5 %,real-time ops data|network optimization solver|loyalty personalization engine,Real-time Decisioning,Corporate
PLAY-0070,MET-0148,Best-in-class operator,Best-in-class operator deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-1.3 $,loyalty personalization engine|fuel-burn optimization,Automation,Maintenance
PLAY-0071,MET-0075,Flag-carrier peer,Flag-carrier peer consolidated casm,CASM (Maintenance),-3.4 cents,fuel-burn optimization|crew-ops AI|generative customer assistant,Platform Consolidation,Finance
PLAY-0072,MET-0015,Best-in-class operator,Best-in-class operator automated casm,CASM,-3.3 cents,fuel-burn optimization|computer-vision bag tracking|crew-ops AI,Platform Consolidation,Finance
PLAY-0073,MET-0111,Cross-industry leader,Cross-industry leader deployed AI for fuel burn per asm,Fuel Burn per ASM (Customer),-1.8 kg,fuel-burn optimization|computer-vision bag tracking|dynamic pricing engine|predictive maintenance,Real-time Decisioning,Operations
PLAY-0074,MET-0114,Digital-native peer,Digital-native peer automated crew utilization %,Crew Utilization % (Customer),+3.9 %,self-service rebooking|automated revenue accounting|network optimization solver|crew-ops AI,Real-time Decisioning,Operations
PLAY-0075,MET-0147,Best-in-class operator,Best-in-class operator deployed AI for net promoter score,Net Promoter Score (Pax) (Corporate),+1.4 score,fuel-burn optimization|predictive maintenance|crew-ops AI,Automation,Customer
PLAY-0076,MET-0013,Digital-native peer,Digital-native peer deployed AI for on-time performance %,On-Time Performance %,+1.5 %,generative customer assistant|real-time ops data|fuel-burn optimization,Generative Assist,Operations
PLAY-0077,MET-0135,Top-quartile carrier,Top-quartile carrier digitized casm,CASM (Corporate),-2.2 cents,cargo capacity optimizer|self-service rebooking|digital twin of operations|generative customer assistant,AI Optimization,Finance
PLAY-0078,MET-0155,Flag-carrier peer,Flag-carrier peer deployed AI for ebit margin,EBIT Margin (Finance),+2.8 %,computer-vision bag tracking|crew-ops AI|predictive maintenance,Platform Consolidation,Finance
PLAY-0079,MET-0179,Flag-carrier peer,Flag-carrier peer automated technical dispatch reliability,Technical Dispatch Reliability (Finance),+1.7 %,predictive maintenance|computer-vision bag tracking|loyalty personalization engine|fuel-burn optimization,Platform Consolidation,Maintenance
PLAY-0080,MET-0015,Best-in-class operator,Best-in-class operator consolidated casm,CASM,-1.9 cents,predictive maintenance|generative customer assistant|fuel-burn optimization|automated revenue accounting,Platform Consolidation,Finance
PLAY-0081,MET-0132,Top-quartile carrier,Top-quartile carrier automated cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Corporate),-3.1 hours,automated revenue accounting|demand-sensing ML,Platform Consolidation,Risk
PLAY-0082,MET-0011,Top-quartile carrier,Top-quartile carrier optimized safety incident rate,Safety Incident Rate,-2.9 rate,generative customer assistant|automated revenue accounting,Process Redesign,Operations
PLAY-0083,MET-0158,Top-quartile carrier,Top-quartile carrier automated it spend as % of revenue,IT Spend as % of Revenue (Finance),-2.5 %,rebooking automation|demand-sensing ML,Platform Consolidation,Technology
PLAY-0084,MET-0029,Best-in-class operator,Best-in-class operator automated technical dispatch reliability,Technical Dispatch Reliability,+2.3 %,digital twin of operations|network optimization solver|automated revenue accounting,Automation,Maintenance
PLAY-0085,MET-0028,Flag-carrier peer,Flag-carrier peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour,-4.2 $,crew-ops AI|network optimization solver|loyalty personalization engine,Generative Assist,Maintenance
PLAY-0086,MET-0046,Digital-native peer,Digital-native peer consolidated rasm,RASM (Operations),+2.3 cents,predictive maintenance|generative customer assistant|crew-ops AI|fuel-burn optimization,Automation,Commercial
PLAY-0087,MET-0079,Flag-carrier peer,Flag-carrier peer digitized mishandled bags per 1000,Mishandled Bags per 1000 (Maintenance),-2.2 rate,rebooking automation|digital twin of operations,Self-Service Shift,Customer
PLAY-0088,MET-0065,Top-quartile carrier,Top-quartile carrier consolidated ebit margin,EBIT Margin (Maintenance),+2.5 %,generative customer assistant|cargo capacity optimizer,Platform Consolidation,Finance
PLAY-0089,MET-0145,Flag-carrier peer,Flag-carrier peer optimized schedule reliability %,Schedule Reliability % (Corporate),+4.1 %,cargo capacity optimizer|rebooking automation|automated revenue accounting,Real-time Decisioning,Operations
PLAY-0090,MET-0143,Cross-industry leader,Cross-industry leader re-engineered cargo yield,Cargo Yield (Corporate),+2.2 $,automated revenue accounting|cargo capacity optimizer|computer-vision bag tracking|crew-ops AI,Automation,Cargo
PLAY-0091,MET-0060,Best-in-class operator,Best-in-class operator optimized disruption recovery time,Disruption Recovery Time (Operations),-3.1 hours,real-time ops data|self-service rebooking,Generative Assist,Operations
PLAY-0092,MET-0011,Cross-industry leader,Cross-industry leader digitized safety incident rate,Safety Incident Rate,-2.8 rate,real-time ops data|network optimization solver|loyalty personalization engine,Generative Assist,Operations
PLAY-0093,MET-0169,Digital-native peer,Digital-native peer consolidated mishandled bags per 1000,Mishandled Bags per 1000 (Finance),-3.1 rate,self-service rebooking|network optimization solver|dynamic pricing engine,AI Optimization,Customer
PLAY-0094,MET-0107,LCC archetype,LCC archetype digitized completion factor %,Completion Factor % (Customer),+2.7 %,predictive maintenance|rebooking automation|crew-ops AI|dynamic pricing engine,Platform Consolidation,Operations
PLAY-0095,MET-0026,LCC archetype,LCC archetype deployed AI for loyalty member growth,Loyalty Member Growth,+4.4 %,rebooking automation|crew-ops AI,Generative Assist,Loyalty
PLAY-0096,MET-0069,Best-in-class operator,Best-in-class operator optimized first contact resolution,First Contact Resolution (Maintenance),+1.3 %,generative customer assistant|cargo capacity optimizer|predictive maintenance,Platform Consolidation,Customer
PLAY-0097,MET-0045,Flag-carrier peer,Flag-carrier peer automated casm,CASM (Operations),-1.7 cents,fuel-burn optimization|real-time ops data|crew-ops AI,Platform Consolidation,Finance
PLAY-0098,MET-0118,Digital-native peer,Digital-native peer deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Customer),-4.1 $,predictive maintenance|computer-vision bag tracking|demand-sensing ML,AI Optimization,Maintenance
PLAY-0099,MET-0053,LCC archetype,LCC archetype consolidated cargo yield,Cargo Yield (Operations),+2.8 $,digital twin of operations|network optimization solver|computer-vision bag tracking,Generative Assist,Cargo
PLAY-0100,MET-0142,Best-in-class operator,Best-in-class operator re-engineered turnaround time,Turnaround Time (Corporate),-1.3 minutes,real-time ops data|rebooking automation|fuel-burn optimization|digital twin of operations,Predictive Analytics,Operations
PLAY-0101,MET-0061,Digital-native peer,Digital-native peer deployed AI for cost-to-income ratio,Cost-to-Income Ratio (Maintenance),-4.0 %,computer-vision bag tracking|real-time ops data|network optimization solver,Generative Assist,Corporate
PLAY-0102,MET-0161,Digital-native peer,Digital-native peer re-engineered safety incident rate,Safety Incident Rate (Finance),-1.3 rate,crew-ops AI|fuel-burn optimization|demand-sensing ML,Predictive Analytics,Operations
PLAY-0103,MET-0060,Digital-native peer,Digital-native peer automated disruption recovery time,Disruption Recovery Time (Operations),-2.0 hours,computer-vision bag tracking|real-time ops data|predictive maintenance,Predictive Analytics,Operations
PLAY-0104,MET-0014,LCC archetype,LCC archetype digitized load factor %,Load Factor %,+2.6 %,real-time ops data|demand-sensing ML|generative customer assistant,Process Redesign,Commercial
PLAY-0105,MET-0118,LCC archetype,LCC archetype optimized maintenance cost per flight hour,Maintenance Cost per Flight Hour (Customer),-1.6 $,generative customer assistant|rebooking automation,Real-time Decisioning,Maintenance
PLAY-0106,MET-0165,Top-quartile carrier,Top-quartile carrier automated casm,CASM (Finance),-2.6 cents,rebooking automation|digital twin of operations|automated revenue accounting,Self-Service Shift,Finance
PLAY-0107,MET-0148,LCC archetype,LCC archetype deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-4.3 $,dynamic pricing engine|generative customer assistant,Automation,Maintenance
PLAY-0108,MET-0008,LCC archetype,LCC archetype deployed AI for it spend as % of revenue,IT Spend as % of Revenue,-3.2 %,generative customer assistant|predictive maintenance,AI Optimization,Technology
PLAY-0109,MET-0108,LCC archetype,LCC archetype deployed AI for ancillary revenue per pax,Ancillary Revenue per Pax (Customer),+2.4 $,rebooking automation|network optimization solver,Process Redesign,Commercial
PLAY-0110,MET-0023,Flag-carrier peer,Flag-carrier peer digitized cargo yield,Cargo Yield,+4.4 $,real-time ops data|rebooking automation|cargo capacity optimizer|fuel-burn optimization,Real-time Decisioning,Cargo
PLAY-0111,MET-0066,Top-quartile carrier,Top-quartile carrier consolidated days sales outstanding,Days Sales Outstanding (Maintenance),-3.7 days,real-time ops data|network optimization solver|digital twin of operations,Process Redesign,Finance
PLAY-0112,MET-0058,Top-quartile carrier,Top-quartile carrier deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Operations),-1.4 $,rebooking automation|computer-vision bag tracking|predictive maintenance|automated revenue accounting,Real-time Decisioning,Maintenance
PLAY-0113,MET-0047,Best-in-class operator,Best-in-class operator consolidated completion factor %,Completion Factor % (Operations),+3.1 %,digital twin of operations|self-service rebooking,Platform Consolidation,Operations
PLAY-0114,MET-0116,Top-quartile carrier,Top-quartile carrier consolidated loyalty member growth,Loyalty Member Growth (Customer),+2.9 %,demand-sensing ML|cargo capacity optimizer,Platform Consolidation,Loyalty
PLAY-0115,MET-0044,Flag-carrier peer,Flag-carrier peer deployed AI for load factor %,Load Factor % (Operations),+1.3 %,fuel-burn optimization|real-time ops data|loyalty personalization engine|generative customer assistant,Generative Assist,Commercial
PLAY-0116,MET-0110,Digital-native peer,Digital-native peer automated aircraft utilization,Aircraft Utilization (Customer),+2.2 hours,self-service rebooking|dynamic pricing engine|computer-vision bag tracking,Process Redesign,Operations
PLAY-0117,MET-0132,Cross-industry leader,Cross-industry leader deployed AI for cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Corporate),-2.3 hours,network optimization solver|automated revenue accounting|fuel-burn optimization|generative customer assistant,Generative Assist,Risk
PLAY-0118,MET-0069,Flag-carrier peer,Flag-carrier peer consolidated first contact resolution,First Contact Resolution (Maintenance),+3.6 %,predictive maintenance|network optimization solver|generative customer assistant,Predictive Analytics,Customer
PLAY-0119,MET-0046,Flag-carrier peer,Flag-carrier peer consolidated rasm,RASM (Operations),+2.0 cents,rebooking automation|generative customer assistant,Automation,Commercial
PLAY-0120,MET-0162,Flag-carrier peer,Flag-carrier peer re-engineered cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Finance),-1.5 hours,rebooking automation|digital twin of operations,Platform Consolidation,Risk
PLAY-0121,MET-0138,Cross-industry leader,Cross-industry leader automated ancillary revenue per pax,Ancillary Revenue per Pax (Corporate),+1.8 $,network optimization solver|computer-vision bag tracking|cargo capacity optimizer,Self-Service Shift,Commercial
PLAY-0122,MET-0084,Cross-industry leader,Cross-industry leader re-engineered crew utilization %,Crew Utilization % (Maintenance),+1.2 %,crew-ops AI|self-service rebooking|digital twin of operations,Real-time Decisioning,Operations
PLAY-0123,MET-0028,Flag-carrier peer,Flag-carrier peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour,-4.2 $,network optimization solver|generative customer assistant|fuel-burn optimization,Process Redesign,Maintenance
PLAY-0124,MET-0122,Digital-native peer,Digital-native peer re-engineered net promoter score,Net Promoter Score (Corporate),+3.6 score,generative customer assistant|network optimization solver,AI Optimization,Customer
PLAY-0125,MET-0160,Cross-industry leader,Cross-industry leader deployed AI for procurement cost savings,Procurement Cost Savings (Finance),+2.6 %,digital twin of operations|network optimization solver|predictive maintenance|rebooking automation,Real-time Decisioning,Corporate
PLAY-0126,MET-0110,LCC archetype,LCC archetype consolidated aircraft utilization,Aircraft Utilization (Customer),+4.4 hours,self-service rebooking|automated revenue accounting,Real-time Decisioning,Operations
PLAY-0127,MET-0134,LCC archetype,LCC archetype consolidated load factor %,Load Factor % (Corporate),+4.0 %,cargo capacity optimizer|network optimization solver,Platform Consolidation,Commercial
PLAY-0128,MET-0142,Flag-carrier peer,Flag-carrier peer consolidated turnaround time,Turnaround Time (Corporate),-3.2 minutes,real-time ops data|self-service rebooking|digital twin of operations,Predictive Analytics,Operations
PLAY-0129,MET-0109,Best-in-class operator,Best-in-class operator consolidated mishandled bags per 1000,Mishandled Bags per 1000 (Customer),-1.0 rate,predictive maintenance|automated revenue accounting,Predictive Analytics,Customer
PLAY-0130,MET-0115,LCC archetype,LCC archetype consolidated schedule reliability %,Schedule Reliability % (Customer),+3.0 %,network optimization solver|real-time ops data,Self-Service Shift,Operations
PLAY-0131,MET-0170,Digital-native peer,Digital-native peer consolidated aircraft utilization,Aircraft Utilization (Finance),+0.8 hours,loyalty personalization engine|computer-vision bag tracking,Real-time Decisioning,Operations
PLAY-0132,MET-0005,Digital-native peer,Digital-native peer consolidated ebit margin,EBIT Margin,+2.7 %,self-service rebooking|loyalty personalization engine|cargo capacity optimizer|fuel-burn optimization,Generative Assist,Finance
PLAY-0133,MET-0167,Best-in-class operator,Best-in-class operator deployed AI for completion factor %,Completion Factor % (Finance),+2.0 %,cargo capacity optimizer|generative customer assistant|network optimization solver|real-time ops data,Real-time Decisioning,Operations
PLAY-0134,MET-0149,Top-quartile carrier,Top-quartile carrier consolidated technical dispatch reliability,Technical Dispatch Reliability (Corporate),+1.4 %,cargo capacity optimizer|generative customer assistant|network optimization solver,Automation,Maintenance
PLAY-0135,MET-0073,Cross-industry leader,Cross-industry leader optimized on-time performance %,On-Time Performance % (Maintenance),+4.5 %,loyalty personalization engine|automated revenue accounting|generative customer assistant,Real-time Decisioning,Operations
PLAY-0136,MET-0101,Flag-carrier peer,Flag-carrier peer re-engineered safety incident rate,Safety Incident Rate (Customer),-1.1 rate,automated revenue accounting|computer-vision bag tracking|fuel-burn optimization,Predictive Analytics,Operations
