Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
MET-0028,Maintenance,COO,Maintenance Cost per Flight Hour,Direct maintenance cost per flight hour.,$,167.6,158.19,VS-037,CAP-0105
MET-0029,Maintenance,COO,Technical Dispatch Reliability,Departures free of technical delay/cancellation.,%,85.4,99.63,VS-005,CAP-0011
MET-0030,Operations,COO,Disruption Recovery Time,Average hours to recover schedule after IRROPS.,hours,6.9,5.67,VS-036,CAP-0017
MET-0031,Corporate,CFO,Cost-to-Income Ratio (Operations),Operating cost as a percent of operating income.,%,63.5,55.17,VS-008,CAP-0030
MET-0032,Customer,CMO,Net Promoter Score (Operations),Likelihood customers recommend the airline (-100..100).,score,31.3,35.44,VS-035,CAP-0115
MET-0033,Workforce,CHRO,Employee Attrition Rate (Operations),Annualized voluntary employee turnover.,%,64.9,61.53,VS-015,CAP-0013
MET-0034,Commercial,CRO,Forecast Accuracy (Operations),Demand forecast accuracy across the network.,%,87.9,96.01,VS-018,CAP-0018
MET-0035,Finance,CFO,EBIT Margin (Operations),Earnings before interest and tax as a percent of revenue.,%,75.1,81.56,VS-017,CAP-0023
MET-0036,Finance,CFO,Days Sales Outstanding (Operations),Average days to collect receivables.,days,29.1,25.17,VS-021,CAP-0090
MET-0037,Customer,CIO,Digital Self-Service Rate (Operations),Share of service interactions resolved without an agent.,%,65.9,72.17,VS-006,CAP-0021
MET-0038,Technology,CIO,IT Spend as % of Revenue (Operations),Total technology spend relative to revenue.,%,61.1,54.78,VS-022,CAP-0120
MET-0039,Customer,CMO,First Contact Resolution (Operations),Contact-center issues resolved on first contact.,%,91.6,106.32,VS-038,CAP-0084
MET-0040,Corporate,CFO,Procurement Cost Savings (Operations),Realized savings against addressable spend.,%,80.1,85.89,VS-040,CAP-0115
MET-0041,Operations,COO,Safety Incident Rate (Operations),Reportable safety incidents per 100k operations.,rate,5.92,5.27,VS-004,CAP-0103
MET-0042,Risk,CIO,Cyber Mean-Time-to-Detect (Operations),Average hours to detect a security incident.,hours,28.4,25.74,VS-019,CAP-0023
MET-0043,Operations,COO,On-Time Performance % (Operations),Flights departing/arriving within 15 minutes of schedule.,%,64.9,71.56,VS-028,CAP-0022
MET-0044,Commercial,CRO,Load Factor % (Operations),Revenue passenger-miles as a percent of available seat-miles.,%,65.1,71.91,VS-026,CAP-0055
MET-0045,Finance,CFO,CASM (Operations),Cost per Available Seat Mile.,cents,11.82,10.07,VS-028,CAP-0116
MET-0046,Commercial,CRO,RASM (Operations),Revenue per Available Seat Mile.,cents,15.88,17.63,VS-034,CAP-0017
MET-0047,Operations,COO,Completion Factor % (Operations),Percent of scheduled flights actually operated.,%,73.7,86.84,VS-012,CAP-0015
MET-0048,Commercial,CRO,Ancillary Revenue per Pax (Operations),Non-ticket revenue earned per passenger.,$,69,75.37,VS-026,CAP-0055
MET-0049,Customer,COO,Mishandled Bags per 1000 (Operations),Mishandled bag reports per 1000 passengers.,rate,8.23,7.16,VS-038,CAP-0023
MET-0050,Operations,COO,Aircraft Utilization (Operations),Average block hours flown per aircraft per day.,hours,12.8,14.31,VS-004,CAP-0008
MET-0051,Operations,COO,Fuel Burn per ASM (Operations),Fuel consumed per available seat-mile.,kg,0.032,0.03,VS-028,CAP-0122
MET-0052,Operations,COO,Turnaround Time (Operations),"Average gate turnaround time, narrowbody.",minutes,51.4,48.47,VS-012,CAP-0088
MET-0053,Cargo,CRO,Cargo Yield (Operations),Revenue per cargo ton-kilometre.,$,48.6,50.68,VS-023,CAP-0066
MET-0054,Operations,COO,Crew Utilization % (Operations),Productive crew duty hours vs. paid hours.,%,77.5,82.97,VS-028,CAP-0094
MET-0055,Operations,COO,Schedule Reliability % (Operations),Departures within tolerance of published schedule.,%,87.7,93.61,VS-012,CAP-0015
MET-0056,Loyalty,CMO,Loyalty Member Growth (Operations),Year-over-year active loyalty member growth.,%,84.1,90.42,VS-027,CAP-0009
MET-0057,Customer,CMO,Net Promoter Score (Pax) (Operations),Passenger NPS across journey touchpoints.,score,57.5,62.15,VS-027,CAP-0128
MET-0058,Maintenance,COO,Maintenance Cost per Flight Hour (Operations),Direct maintenance cost per flight hour.,$,156.5,129.58,VS-013,CAP-0038
MET-0059,Maintenance,COO,Technical Dispatch Reliability (Operations),Departures free of technical delay/cancellation.,%,88.3,95.4,VS-005,CAP-0013
MET-0060,Operations,COO,Disruption Recovery Time (Operations),Average hours to recover schedule after IRROPS.,hours,16.2,13.38,VS-004,CAP-0058
MET-0061,Corporate,CFO,Cost-to-Income Ratio (Maintenance),Operating cost as a percent of operating income.,%,82.1,76.04,VS-016,CAP-0126
MET-0062,Customer,CMO,Net Promoter Score (Maintenance),Likelihood customers recommend the airline (-100..100).,score,59.6,63.36,VS-030,CAP-0029
MET-0063,Workforce,CHRO,Employee Attrition Rate (Maintenance),Annualized voluntary employee turnover.,%,59.3,48.92,VS-030,CAP-0100
MET-0064,Commercial,CRO,Forecast Accuracy (Maintenance),Demand forecast accuracy across the network.,%,84,93.3,VS-002,CAP-0066
MET-0065,Finance,CFO,EBIT Margin (Maintenance),Earnings before interest and tax as a percent of revenue.,%,74.4,86.64,VS-034,CAP-0125
MET-0066,Finance,CFO,Days Sales Outstanding (Maintenance),Average days to collect receivables.,days,36.6,31.81,VS-038,CAP-0024
MET-0067,Customer,CIO,Digital Self-Service Rate (Maintenance),Share of service interactions resolved without an agent.,%,80.1,90.12,VS-006,CAP-0061
MET-0068,Technology,CIO,IT Spend as % of Revenue (Maintenance),Total technology spend relative to revenue.,%,73.5,69.68,VS-034,CAP-0132
MET-0069,Customer,CMO,First Contact Resolution (Maintenance),Contact-center issues resolved on first contact.,%,57.1,63.39,VS-027,CAP-0028
MET-0070,Corporate,CFO,Procurement Cost Savings (Maintenance),Realized savings against addressable spend.,%,74.4,85.74,VS-032,CAP-0023
MET-0071,Operations,COO,Safety Incident Rate (Maintenance),Reportable safety incidents per 100k operations.,rate,7.56,7.01,VS-028,CAP-0054
MET-0072,Risk,CIO,Cyber Mean-Time-to-Detect (Maintenance),Average hours to detect a security incident.,hours,18,17.27,VS-024,CAP-0027
MET-0073,Operations,COO,On-Time Performance % (Maintenance),Flights departing/arriving within 15 minutes of schedule.,%,85.4,91.19,VS-012,CAP-0041
MET-0074,Commercial,CRO,Load Factor % (Maintenance),Revenue passenger-miles as a percent of available seat-miles.,%,56.1,60.17,VS-034,CAP-0108
MET-0075,Finance,CFO,CASM (Maintenance),Cost per Available Seat Mile.,cents,14.64,12.41,VS-029,CAP-0109
MET-0076,Commercial,CRO,RASM (Maintenance),Revenue per Available Seat Mile.,cents,12.78,15.06,VS-026,CAP-0040
MET-0077,Operations,COO,Completion Factor % (Maintenance),Percent of scheduled flights actually operated.,%,77.3,81.51,VS-028,CAP-0035
MET-0078,Commercial,CRO,Ancillary Revenue per Pax (Maintenance),Non-ticket revenue earned per passenger.,$,119.8,125.05,VS-034,CAP-0064
MET-0079,Customer,COO,Mishandled Bags per 1000 (Maintenance),Mishandled bag reports per 1000 passengers.,rate,8.5,7.89,VS-019,CAP-0121
MET-0080,Operations,COO,Aircraft Utilization (Maintenance),Average block hours flown per aircraft per day.,hours,6.5,6.82,VS-012,CAP-0028
MET-0081,Operations,COO,Fuel Burn per ASM (Maintenance),Fuel consumed per available seat-mile.,kg,0.043,0.04,VS-012,CAP-0094
MET-0082,Operations,COO,Turnaround Time (Maintenance),"Average gate turnaround time, narrowbody.",minutes,55,48.68,VS-020,CAP-0104
MET-0083,Cargo,CRO,Cargo Yield (Maintenance),Revenue per cargo ton-kilometre.,$,12.5,13.84,VS-023,CAP-0082
MET-0084,Operations,COO,Crew Utilization % (Maintenance),Productive crew duty hours vs. paid hours.,%,91.4,97.98,VS-028,CAP-0012
MET-0085,Operations,COO,Schedule Reliability % (Maintenance),Departures within tolerance of published schedule.,%,90.8,104.25,VS-020,CAP-0101
MET-0086,Loyalty,CMO,Loyalty Member Growth (Maintenance),Year-over-year active loyalty member growth.,%,67.6,76.71,VS-029,CAP-0091
MET-0087,Customer,CMO,Net Promoter Score (Pax) (Maintenance),Passenger NPS across journey touchpoints.,score,30.1,35.22,VS-027,CAP-0043
MET-0088,Maintenance,COO,Maintenance Cost per Flight Hour (Maintenance),Direct maintenance cost per flight hour.,$,178.8,154.06,VS-005,CAP-0005
MET-0089,Maintenance,COO,Technical Dispatch Reliability (Maintenance),Departures free of technical delay/cancellation.,%,58,68.37,VS-021,CAP-0064
MET-0090,Operations,COO,Disruption Recovery Time (Maintenance),Average hours to recover schedule after IRROPS.,hours,13.6,12.72,VS-020,CAP-0117
MET-0091,Corporate,CFO,Cost-to-Income Ratio (Customer),Operating cost as a percent of operating income.,%,86.7,72.39,VS-016,CAP-0005
MET-0092,Customer,CMO,Net Promoter Score (Customer),Likelihood customers recommend the airline (-100..100).,score,39.1,43.95,VS-038,CAP-0116
MET-0093,Workforce,CHRO,Employee Attrition Rate (Customer),Annualized voluntary employee turnover.,%,79.5,69.08,VS-017,CAP-0009
MET-0094,Commercial,CRO,Forecast Accuracy (Customer),Demand forecast accuracy across the network.,%,58.4,60.99,VS-018,CAP-0026
MET-0095,Finance,CFO,EBIT Margin (Customer),Earnings before interest and tax as a percent of revenue.,%,76.9,85.41,VS-013,CAP-0052
MET-0096,Finance,CFO,Days Sales Outstanding (Customer),Average days to collect receivables.,days,49.6,45.09,VS-022,CAP-0090
MET-0097,Customer,CIO,Digital Self-Service Rate (Customer),Share of service interactions resolved without an agent.,%,62.1,69.76,VS-006,CAP-0085
MET-0098,Technology,CIO,IT Spend as % of Revenue (Customer),Total technology spend relative to revenue.,%,63.4,55.86,VS-026,CAP-0073
MET-0099,Customer,CMO,First Contact Resolution (Customer),Contact-center issues resolved on first contact.,%,60,66.53,VS-035,CAP-0111
MET-0100,Corporate,CFO,Procurement Cost Savings (Customer),Realized savings against addressable spend.,%,87.2,96.17,VS-024,CAP-0106
MET-0101,Operations,COO,Safety Incident Rate (Customer),Reportable safety incidents per 100k operations.,rate,4.78,4.43,VS-028,CAP-0008
MET-0102,Risk,CIO,Cyber Mean-Time-to-Detect (Customer),Average hours to detect a security incident.,hours,3.2,2.76,VS-011,CAP-0074
MET-0103,Operations,COO,On-Time Performance % (Customer),Flights departing/arriving within 15 minutes of schedule.,%,81.8,89.61,VS-020,CAP-0068
MET-0104,Commercial,CRO,Load Factor % (Customer),Revenue passenger-miles as a percent of available seat-miles.,%,55.6,61.91,VS-018,CAP-0051
MET-0105,Finance,CFO,CASM (Customer),Cost per Available Seat Mile.,cents,13.81,12.82,VS-005,CAP-0120
MET-0106,Commercial,CRO,RASM (Customer),Revenue per Available Seat Mile.,cents,9.45,11.08,VS-018,CAP-0110
MET-0107,Operations,COO,Completion Factor % (Customer),Percent of scheduled flights actually operated.,%,85.4,93.48,VS-036,CAP-0068
MET-0108,Commercial,CRO,Ancillary Revenue per Pax (Customer),Non-ticket revenue earned per passenger.,$,233.6,263.78,VS-002,CAP-0007
MET-0109,Customer,COO,Mishandled Bags per 1000 (Customer),Mishandled bag reports per 1000 passengers.,rate,3.88,3.25,VS-027,CAP-0004
MET-0110,Operations,COO,Aircraft Utilization (Customer),Average block hours flown per aircraft per day.,hours,6.6,7.28,VS-020,CAP-0124
MET-0111,Operations,COO,Fuel Burn per ASM (Customer),Fuel consumed per available seat-mile.,kg,0.054,0.05,VS-020,CAP-0060
MET-0112,Operations,COO,Turnaround Time (Customer),"Average gate turnaround time, narrowbody.",minutes,27.5,25.26,VS-004,CAP-0053
MET-0113,Cargo,CRO,Cargo Yield (Customer),Revenue per cargo ton-kilometre.,$,161.2,177.63,VS-007,CAP-0114
MET-0114,Operations,COO,Crew Utilization % (Customer),Productive crew duty hours vs. paid hours.,%,62.6,68.53,VS-004,CAP-0084
MET-0115,Operations,COO,Schedule Reliability % (Customer),Departures within tolerance of published schedule.,%,90.7,95.18,VS-004,CAP-0066
MET-0116,Loyalty,CMO,Loyalty Member Growth (Customer),Year-over-year active loyalty member growth.,%,89.8,100.04,VS-013,CAP-0114
MET-0117,Customer,CMO,Net Promoter Score (Pax) (Customer),Passenger NPS across journey touchpoints.,score,51,55.27,VS-027,CAP-0087
MET-0118,Maintenance,COO,Maintenance Cost per Flight Hour (Customer),Direct maintenance cost per flight hour.,$,108.3,101.57,VS-037,CAP-0091
MET-0119,Maintenance,COO,Technical Dispatch Reliability (Customer),Departures free of technical delay/cancellation.,%,83.6,94.83,VS-021,CAP-0122
MET-0120,Operations,COO,Disruption Recovery Time (Customer),Average hours to recover schedule after IRROPS.,hours,7.5,6.89,VS-004,CAP-0115
MET-0121,Corporate,CFO,Cost-to-Income Ratio (Corporate),Operating cost as a percent of operating income.,%,89.8,83.98,VS-024,CAP-0124
MET-0122,Customer,CMO,Net Promoter Score (Corporate),Likelihood customers recommend the airline (-100..100).,score,24.7,26.78,VS-030,CAP-0021
MET-0123,Workforce,CHRO,Employee Attrition Rate (Corporate),Annualized voluntary employee turnover.,%,86.9,81.89,VS-015,CAP-0066
MET-0124,Commercial,CRO,Forecast Accuracy (Corporate),Demand forecast accuracy across the network.,%,94,108,VS-026,CAP-0115
MET-0125,Finance,CFO,EBIT Margin (Corporate),Earnings before interest and tax as a percent of revenue.,%,77.4,90.86,VS-033,CAP-0082
MET-0126,Finance,CFO,Days Sales Outstanding (Corporate),Average days to collect receivables.,days,46.9,44.72,VS-015,CAP-0023
MET-0127,Customer,CIO,Digital Self-Service Rate (Corporate),Share of service interactions resolved without an agent.,%,94.6,103.39,VS-030,CAP-0106
MET-0128,Technology,CIO,IT Spend as % of Revenue (Corporate),Total technology spend relative to revenue.,%,71.2,63.75,VS-015,CAP-0020
MET-0129,Customer,CMO,First Contact Resolution (Corporate),Contact-center issues resolved on first contact.,%,65.5,70.24,VS-011,CAP-0111
MET-0130,Corporate,CFO,Procurement Cost Savings (Corporate),Realized savings against addressable spend.,%,80.4,94.37,VS-008,CAP-0102
MET-0131,Operations,COO,Safety Incident Rate (Corporate),Reportable safety incidents per 100k operations.,rate,2.06,1.92,VS-004,CAP-0091
MET-0132,Risk,CIO,Cyber Mean-Time-to-Detect (Corporate),Average hours to detect a security incident.,hours,24.6,23.05,VS-036,CAP-0118
MET-0133,Operations,COO,On-Time Performance % (Corporate),Flights departing/arriving within 15 minutes of schedule.,%,60,67.73,VS-020,CAP-0007
MET-0134,Commercial,CRO,Load Factor % (Corporate),Revenue passenger-miles as a percent of available seat-miles.,%,68.7,76.6,VS-026,CAP-0060
MET-0135,Finance,CFO,CASM (Corporate),Cost per Available Seat Mile.,cents,13.63,12.96,VS-035,CAP-0017
MET-0136,Commercial,CRO,RASM (Corporate),Revenue per Available Seat Mile.,cents,12.03,12.63,VS-034,CAP-0115
MET-0137,Operations,COO,Completion Factor % (Corporate),Percent of scheduled flights actually operated.,%,87.9,97.69,VS-020,CAP-0108
MET-0138,Commercial,CRO,Ancillary Revenue per Pax (Corporate),Non-ticket revenue earned per passenger.,$,62.5,71.64,VS-002,CAP-0091
MET-0139,Customer,COO,Mishandled Bags per 1000 (Corporate),Mishandled bag reports per 1000 passengers.,rate,8.11,7.47,VS-014,CAP-0081
MET-0140,Operations,COO,Aircraft Utilization (Corporate),Average block hours flown per aircraft per day.,hours,34.6,38.86,VS-004,CAP-0108
MET-0141,Operations,COO,Fuel Burn per ASM (Corporate),Fuel consumed per available seat-mile.,kg,0.05,0.05,VS-004,CAP-0009
MET-0142,Operations,COO,Turnaround Time (Corporate),"Average gate turnaround time, narrowbody.",minutes,35.9,30.01,VS-028,CAP-0028
MET-0143,Cargo,CRO,Cargo Yield (Corporate),Revenue per cargo ton-kilometre.,$,132,138.66,VS-023,CAP-0103
MET-0144,Operations,COO,Crew Utilization % (Corporate),Productive crew duty hours vs. paid hours.,%,90.3,103.65,VS-028,CAP-0051
MET-0145,Operations,COO,Schedule Reliability % (Corporate),Departures within tolerance of published schedule.,%,70.1,74.25,VS-036,CAP-0093
MET-0146,Loyalty,CMO,Loyalty Member Growth (Corporate),Year-over-year active loyalty member growth.,%,88.6,97.77,VS-002,CAP-0055
MET-0147,Customer,CMO,Net Promoter Score (Pax) (Corporate),Passenger NPS across journey touchpoints.,score,69.8,81.96,VS-019,CAP-0102
MET-0148,Maintenance,COO,Maintenance Cost per Flight Hour (Corporate),Direct maintenance cost per flight hour.,$,233.2,210.71,VS-005,CAP-0076
MET-0149,Maintenance,COO,Technical Dispatch Reliability (Corporate),Departures free of technical delay/cancellation.,%,71.8,78.17,VS-005,CAP-0070
MET-0150,Operations,COO,Disruption Recovery Time (Corporate),Average hours to recover schedule after IRROPS.,hours,35.8,30.38,VS-036,CAP-0055
MET-0151,Corporate,CFO,Cost-to-Income Ratio (Finance),Operating cost as a percent of operating income.,%,55.2,47.62,VS-016,CAP-0084
MET-0152,Customer,CMO,Net Promoter Score (Finance),Likelihood customers recommend the airline (-100..100).,score,36,38.41,VS-022,CAP-0106
MET-0153,Workforce,CHRO,Employee Attrition Rate (Finance),Annualized voluntary employee turnover.,%,69,61.33,VS-012,CAP-0127
MET-0154,Commercial,CRO,Forecast Accuracy (Finance),Demand forecast accuracy across the network.,%,73.9,81.44,VS-026,CAP-0034
MET-0155,Finance,CFO,EBIT Margin (Finance),Earnings before interest and tax as a percent of revenue.,%,66.8,74.37,VS-036,CAP-0078
MET-0156,Finance,CFO,Days Sales Outstanding (Finance),Average days to collect receivables.,days,36.6,31.94,VS-015,CAP-0051
MET-0157,Customer,CIO,Digital Self-Service Rate (Finance),Share of service interactions resolved without an agent.,%,84.1,90.56,VS-006,CAP-0128
MET-0158,Technology,CIO,IT Spend as % of Revenue (Finance),Total technology spend relative to revenue.,%,89,83.62,VS-029,CAP-0107
MET-0159,Customer,CMO,First Contact Resolution (Finance),Contact-center issues resolved on first contact.,%,76,82.14,VS-011,CAP-0032
MET-0160,Corporate,CFO,Procurement Cost Savings (Finance),Realized savings against addressable spend.,%,76.9,83.54,VS-016,CAP-0001
MET-0161,Operations,COO,Safety Incident Rate (Finance),Reportable safety incidents per 100k operations.,rate,6.08,5.1,VS-020,CAP-0124
MET-0162,Risk,CIO,Cyber Mean-Time-to-Detect (Finance),Average hours to detect a security incident.,hours,25.5,22.64,VS-018,CAP-0086
MET-0163,Operations,COO,On-Time Performance % (Finance),Flights departing/arriving within 15 minutes of schedule.,%,78.1,87.75,VS-036,CAP-0107
MET-0164,Commercial,CRO,Load Factor % (Finance),Revenue passenger-miles as a percent of available seat-miles.,%,59.4,69.97,VS-026,CAP-0020
MET-0165,Finance,CFO,CASM (Finance),Cost per Available Seat Mile.,cents,13.98,13.03,VS-015,CAP-0122
MET-0166,Commercial,CRO,RASM (Finance),Revenue per Available Seat Mile.,cents,14.03,14.63,VS-034,CAP-0067
MET-0167,Operations,COO,Completion Factor % (Finance),Percent of scheduled flights actually operated.,%,85.6,91.25,VS-036,CAP-0077
MET-0168,Commercial,CRO,Ancillary Revenue per Pax (Finance),Non-ticket revenue earned per passenger.,$,204.3,228.52,VS-010,CAP-0053
MET-0169,Customer,COO,Mishandled Bags per 1000 (Finance),Mishandled bag reports per 1000 passengers.,rate,8.19,6.78,VS-030,CAP-0010
MET-0170,Operations,COO,Aircraft Utilization (Finance),Average block hours flown per aircraft per day.,hours,4.4,4.87,VS-004,CAP-0129
MET-0171,Operations,COO,Fuel Burn per ASM (Finance),Fuel consumed per available seat-mile.,kg,0.025,0.02,VS-004,CAP-0115
MET-0172,Operations,COO,Turnaround Time (Finance),"Average gate turnaround time, narrowbody.",minutes,58.5,54.41,VS-004,CAP-0120
MET-0173,Cargo,CRO,Cargo Yield (Finance),Revenue per cargo ton-kilometre.,$,168.5,183.17,VS-031,CAP-0031
MET-0174,Operations,COO,Crew Utilization % (Finance),Productive crew duty hours vs. paid hours.,%,86.6,93.37,VS-036,CAP-0046
MET-0175,Operations,COO,Schedule Reliability % (Finance),Departures within tolerance of published schedule.,%,58.1,61.72,VS-036,CAP-0039
MET-0176,Loyalty,CMO,Loyalty Member Growth (Finance),Year-over-year active loyalty member growth.,%,72.7,79.02,VS-011,CAP-0130
MET-0177,Customer,CMO,Net Promoter Score (Pax) (Finance),Passenger NPS across journey touchpoints.,score,21.8,24.03,VS-003,CAP-0066
MET-0178,Maintenance,COO,Maintenance Cost per Flight Hour (Finance),Direct maintenance cost per flight hour.,$,168.5,158.98,VS-013,CAP-0038
MET-0179,Maintenance,COO,Technical Dispatch Reliability (Finance),Departures free of technical delay/cancellation.,%,57,67.1,VS-029,CAP-0027
MET-0180,Operations,COO,Disruption Recovery Time (Finance),Average hours to recover schedule after IRROPS.,hours,35.1,31.74,VS-012,CAP-0041
