ui_mode,component,business_purpose,required_object,required_fields,required_grain,required_relationships,required_evidence,required_authority_review_state,required_availability_freshness_state,required_current_target_semantics,required_metric_cube_semantics,required_access_control_behavior,existing_canonical_source,existing_projection_api,current_support_status,missing_table_field_relationship_or_projection,data_quality_reconciliation_dependency,render_gate,safe_empty_state_behavior
Brief,"Decision quadrant lanes (Fund / Resolve / Validate / Act, items with owner and tags)",Classify open items by what kind of executive action they need next,Composite of evidence_gap_v1 (Resolve/Validate) + Program/Initiative funding state (Fund) -- no single object carries this,"lane (fund|resolve|validate|act), item_title, owner, linked_gap_id or linked_program_id",One row per actionable item per lane per tenant,"Item -> evidence_gap_v1 or Program, plus an owner assignment","Lane assignment must be derivable from evidence_gap_v1.severity/status and Program funding fields, not hand-curated",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"governance.evidence_gap (partial), knowledge.program (partial)",None,DATA_MODEL_EXTENSION_REQUIRED,The 4-lane taxonomy (Fund/Resolve/Validate/Act) is not a declared enum anywhere in the registry or field contract; deriving it deterministically from authority_state + gap severity + funding fields is unspecified,"Even with the taxonomy defined, source data is evidence_gap_v1 (SD-05, 0 rows) and program funding fields (programs family unconfirmed landing, audit Sec 3)",Lane-derivation rule ratified AND evidence_gap_v1/program data populated,Omit lanes with 0 real items; never show an empty lane as if it means 'nothing outstanding'
Brief,"Condition strip (Evidence coverage %, Currency %, Decision readiness X of Y, Sources disagree count, Open proof gaps count)",One-line trust summary at the top of the brief,consumption.domain_summary_v1 rollup + consumption.evidence_gap_v1 count + a conflict count,"evidence_coverage_pct, currency_pct, decision_ready_count, decision_total_count, sources_disagree_count, open_gap_count",One rollup row per tenant per baseline,Rolls up domain_summary_v1 across all domains plus evidence_gap_v1 and a conflict/contradiction count,Underlying counts must be traceable back to the domain rows and gap rows they sum,"Rollup is only meaningful over accepted, published domains",Must show 'Withheld' (per the prototype's own 'uncertified' condition) rather than a number when the gap view has not passed publication checks,Not applicable,Cube EnterpriseKnowledge.evidence_coverage_pct and open_critical_gap_count both apply here,Not applicable,"publication.domain_publication_v1, governance.evidence_gap","consumption.domain_summary_v1 (registered, reportedly populated), consumption.evidence_gap_v1 (registered)",MODEL_SUPPORTED_DATA_NOT_READY,"domain_summary_v1 is populated but the 'Open proof gaps' and 'Sources disagree' figures it would roll up ultimately depend on evidence_gap_v1, which is 0 rows against 650 real risk rows","SD-05 directly: 'An executive panel showing 0 open critical gaps for an airline that documented 650 risks ... is a materially misleading UX outcome, not a clean bill of health' (product-readiness-defects.md #2)","evidence_gap_v1 non-zero-verified (matches its confirmed 650-row source mapping) before this tile may render a real gap count; otherwise must render 'Withheld -- not yet certified', never '0'","Show 'Withheld' state exactly as the prototype's own 'uncertified' demo condition already models, not a 0"
Brief,"Sources list ('what it stands on': name, received date, kind, state, use)",Show the client exactly what raw material the brief is built from,A consumption-safe source/evidence-registry projection (does not exist),"source_name, received_date, source_kind, source_state, used_for_text, owner_steward",One row per landed source file per tenant,Source -> evidence.evidence_fragment -> facts/metrics it backs,This IS the evidence list -- self-referential,accepted / partial / awaited (mirrors source_registry.source state),received_date drives freshness,Not applicable,Not applicable,Not applicable,"source_registry.source (Layer 1/2 -- best-corroborated table in the whole build: 25/25 rows, raw-verified 2026-07-28)",None,PROJECTION_MISSING,"Per Enterprise IA Sec 5 rule 3, 'A product may not read Layer 1 or Layer 2 directly' -- so even though source_registry.source is the most complete, most-verified table in the entire pipeline, no consumption-layer projection exposes it to Home/Knowledge today","Ironic finding: the best-corroborated table in the whole build (source_registry.source, raw-verified) has no product-facing projection at all",A governed consumption.source_registry_summary_v1-style projection must exist before this list may render from real data,Omit the section; do not read source_registry.source directly from a product surface even as a stopgap
Brief,"'Design notes' tab (prototype's own authoring notes: what this is, honesty rules, content classes, open decisions)",Documents the prototype's own design intent -- explicitly not a product surface,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,This mode is the prototype's own meta-commentary ('this prototype is the argument; that document is the contract'). It should not ship as a fifth product mode; its content is superseded by this contract package itself.,Not applicable,Not applicable,Do not ship this tab in production; retain its content only as internal design documentation
Explore,"Domain navigation (5 domains: Flight/network ops, Systems/technology, Data/analytics, Vendors/commercial, Programmes-risk-outcomes)","Top-level navigation across the 8 inventory types, grouped by domain",consumption.domain_summary_v1,"domain_key, domain_label, inventory_type_refs[]",One row per domain per tenant per baseline,Domain groups one or more inventory object types,Not applicable,accepted,Not applicable,Not applicable,Not applicable,Not applicable,publication.domain_publication_v1,"consumption.domain_summary_v1 (registered, reportedly populated)",MODEL_SUPPORTED_DATA_NOT_READY,"The nav shell itself is supportable; every domain it links to has at least one underlying inventory type that is not ready (see rows below), so the nav cannot be marked reconciled as a whole",Inherits the worst status of any inventory type under each domain,Each domain tab independently gates on its own inventory types' readiness,Domain tab always visible; inventory panel underneath shows its own gate/empty state
Explore,"Applications/systems inventory table (System, Function, Owner, Lifecycle, Criticality, Hosting, Target, Run cost $K, Dependencies, Readiness)","Full application-portfolio inventory with cost, target lifecycle action and per-row readiness",consumption.application_inventory_v1,"application_id (required), hosting_model (enum, required when known); NOT confirmed present: run_cost, target_lifecycle_action, dependency_count, row_readiness_state",One row per application per tenant per baseline,Application supports Capability; Application hosted on Platform,Row drawer needs source + last-reviewed date per application,authority_state per row,freshness_state per row,"Target column is explicitly a proposed future lifecycle action, distinct from current Lifecycle column",Cube ApplicationPortfolio.application_count / critical_application_count / end_of_life_application_count / unowned_application_count,Not applicable,knowledge.application,"consumption.application_inventory_v1 (registered; best-corroborated table in the audit: 1,405 published of 1,495 source, 6.0% attrition, 'Plausible')",MODEL_SUPPORTED_DATA_NOT_READY,"Base object populated and plausible for identity/hosting/lifecycle, but Run cost $K (financial field), Target (proposed lifecycle), Dependencies (count) and per-row Readiness label are not confirmed in the sampled CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx fields -- likely need field extension even on this best-supported object","SD-01 (application_type='regional duplicate', a QA flag stored as a business taxonomy value) and SD-02 (service_tower disagrees between an application row and its own linked contract row) both land directly in this table",application_inventory_v1 populated AND cost/target/dependency/readiness fields confirmed present before those columns render,Render identity/hosting/lifecycle columns from real data; hide or gray out Run cost/Target/Dependencies/Readiness columns with 'Not yet in the governed contract' until extended
Explore,"Data products inventory table (Data product, Domain, Steward, Certification, Sensitivity, Consumers, Refresh, Readiness)",Governed inventory of the tenant's data products with stewardship and certification state,"Ambiguous today: CANONICAL_TO_PUBLICATION_MAPPING.xlsx maps knowledge.data_product -> domain_summary_v1, but the actual populated, Cube-bound table is an undeclared consumption.data_product_inventory_v1","data_product_id, domain, steward, certification_state, sensitivity, consumer_count, refresh_cadence",One row per data product per tenant per baseline,Data product feeds Capability/BusinessProcess,Not applicable,certification_state (Certified/Provisional/Uncertified) IS the authority signal here,refresh_cadence drives freshness_state,Not applicable,Cube DataAnalyticsEstate.data_product_count,Sensitivity column (Personal data / Restricted) drives access gating,knowledge.data_product,"consumption.data_product_inventory_v1 is populated (6,580 rows) and IS what the Cube model reads, but is NOT one of the 14 objects declared in CONSUMPTION_PROJECTION_REGISTRY.json",PROJECTION_MISSING,"Contract drift: the governed mapping says data products land in domain_summary_v1 (only ~10 rows per the mapping doc); the actual live table is a different, undeclared, 6,580-row consumption.data_product_inventory_v1 with no source_publication, build_gate, or partial_data_behavior contract. Classified PROJECTION_MISSING because the correctly-governed version does not exist, even though a same-shaped ungoverned table does.","SD-04 directly: 'This is contract drift: either register data_product_inventory_v1 in CONSUMPTION_PROJECTION_REGISTRY.json with a defined source_publication and grain, or stop the Cube model from reading an ungoverned table.'",data_product_inventory_v1 (or its replacement) is registered in CONSUMPTION_PROJECTION_REGISTRY.json with a real source_publication before this table may render,Do not render from the ungoverned table; show 'Data products view pending governance registration'
Explore,"Integrations inventory table (Integration, Source, Target, Pattern, Criticality, Messages/day, Readiness)",Point-to-point integration inventory between systems,No confirmed destination object,"integration_id, source_system_ref, target_system_ref, pattern (API/Batch/Streaming), criticality, message_volume",One row per integration per tenant per baseline,Integration -> connects -> two Application rows,Not applicable,Not applicable,Not applicable,Not applicable,"Would plausibly back TechnologyEstate.integration_count, but that measure's sql_table override actually reads relationship_edge_v1 instead",Not applicable,None confirmed,None -- audit states 'possibly folds into relationship_edge_v1 ... Unverified',PROJECTION_MISSING,"6,200 source integration rows with no confirmed governed destination anywhere in the registry or the published counts","Audit Sec 3 source-family matrix: Integrations, 6,200 source rows, designed destination 'none confirmed', actual published count 'possibly folds into relationship_edge_v1', verdict 'Unverified'","A governed integration projection (or a proven, documented fold into relationship_edge_v1 with matching row-count math) must exist",Omit the table; do not silently substitute a filtered relationship_edge_v1 view without proving the fold is correct
Explore,"Infrastructure and cloud inventory table (Platform, Owner, Model, Criticality, Run cost $K, Recovery objective, Readiness)",Infrastructure/cloud platform inventory with recovery objectives and cost,No destination object exists anywhere,"platform_id, owner, hosting_model, criticality, run_cost, recovery_objective",One row per infrastructure platform per tenant per baseline,"Platform hosts Application (Platform is already a canonical Enterprise IA object, PLAT-001)",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None traceable -- Platform object exists in the canonical model in principle but no populated table backs it for this tenant,None,PROJECTION_MISSING,"This is the single largest source family in the entire corpus (10,000 rows, cloud-infrastructure-inventory.csv) and has no corresponding projection_name in the registry or in the actual published object counts","SD-03 directly: '10,000-row infrastructure/cloud family has no traceable consumption projection ... No projection found -> not reachable by any product surface'","A governed infra/cloud consumption projection and Cube model must exist, or a documented, row-count-proven fold into technology_estate_v1/relationship edges",Omit the table entirely; do not imply infrastructure data exists by showing an empty grid with real column headers
Explore,"Vendors inventory table (Vendor, Category, Relationship owner, Committed $K, Systems, Renewal, Grain, Readiness)",Vendor portfolio with committed spend and renewal exposure,consumption.vendor_contract_inventory_v1,"vendor_id (required distinct), category, relationship_owner, committed_value, renewal_quarter; contract-grain fields (contract_id, renewal_date, obligations) not confirmed present at the row grain this table needs",Table needs contract grain for 'Renewal' and 'Grain' columns but the populated table is vendor grain only,Vendor owns Tool; Vendor -> Contract (1-to-many),Not applicable,accepted,Not applicable,Not applicable,"Cube VendorContractPortfolio.vendor_count (best-corroborated), active_contract_count and contract_renewal_exposure (both grain-suspect), vendor_concentration_pct (literal null stub)",Committed $ values may be restricted/commercially sensitive,"knowledge.vendor, knowledge.contract","consumption.vendor_contract_inventory_v1 (registered; vendor_count is exact match, 420=420, best-corroborated vendor-family measure)",MODEL_SUPPORTED_DATA_NOT_READY,"Table is proven at vendor grain only; the 820 real contract rows have no confirmed separate representation, so contract-level fields (Renewal, Grain, per-contract obligations) cannot be trusted even though the object itself is populated. Notably the prototype's own UI already labels every row 'Vendor level' in its Grain column -- the design already anticipated this ambiguity.","SD-07 directly: 'vendor_contract_inventory_v1 row count (420) matches vendor count exactly, not the 820-row contract count; grain is undocumented ... If it is vendor-grain only, active_contract_count and contract_renewal_exposure cannot be correct.'",Contract-grain fields must resolve to a documented 820-row-consistent table before Renewal/per-contract columns render as anything other than vendor-level rollups,"Render vendor-grain columns (Vendor, Category, Owner, Committed $K, Systems) from real data; show 'Grain: vendor level (contract-level not yet governed)' rather than a fabricated per-contract renewal date"
Explore,"Programmes inventory table (Programme, Executive owner, Supports, Stage, Funded $K, Outcome baseline, Readiness)",Funded programme portfolio with outcome baselines,consumption.module_knowledge_packet_v1 (provisional mapping: knowledge.program -> module_knowledge_packet_v1),"program_id, executive_owner, supports_goal_ref, stage, funded_amount, outcome_baseline_state",One row per program per tenant per baseline,Program implements AIUseCase; Initiative part of Program,Not applicable,mapping_confidence='provisional' per CANONICAL_TO_PUBLICATION_MAPPING.xlsx -- weaker than the 'confirmed' mappings used elsewhere,Not applicable,Not applicable,"Cube ProgramRiskControl.program_at_risk_count / decision_readiness_score, both cube_gap",Not applicable,knowledge.program,"consumption.module_knowledge_packet_v1 (registered, but 'not reported' in populated breakdown)",PROJECTION_MISSING,190 source program rows with no confirmed landing anywhere; module_knowledge_packet_v1 registered but absent from the 12-object populated breakdown,"Audit Sec 3: Programs, 190 rows, designed destination module_knowledge_packet_v1 (provisional mapping), actual published count 'not reported', verdict 'Gap'. Audit Sec 8: both ProgramRiskControl Cube measures are cube_gap.",module_knowledge_packet_v1 confirmed populated for the program object type with real row counts,Omit the table; do not show program titles without funded/stage/outcome data actually resolving
Explore,"Risks and controls inventory table (Risk, Owner, Severity, Control state, Controls, Last tested, Readiness)",Risk register with control coverage and test recency,consumption.evidence_gap_v1,"business_impact (required, confirmed field); NOT confirmed present: control_count, last_tested_date, control_state enum",One row per risk per tenant per baseline,Risk applies to Application | Initiative | Tool,Each risk's control_state should cite the specific test evidence,"severity + control_state should be published, not asserted ad hoc",last_tested_date drives whether a control claim is 'Accepted' vs 'Needs refresh' vs 'Never tested',Not applicable,Cube EnterpriseKnowledge.open_critical_gap_count reads this table and is reported 'passed' parity despite 0 real rows,Not applicable,knowledge.risk (confirmed mapping to publication.risk_control_publication_v1),"consumption.evidence_gap_v1 (registered, confirmed mapping)",MODEL_SUPPORTED_DATA_NOT_READY,"Confirmed mapping exists but produces 0 rows against 650 source risks. Even once populated, Controls-count and Last-tested-date fields are not in the sampled field contract and likely need extension.","SD-05 directly -- confirmed pipeline failure, single most demo-visible defect per the audit's own Sec 11 priority list ('would show as a false no open risks signal to an executive audience')",evidence_gap_v1 non-zero and independently re-verified against the 650-row risk-register source before this table renders any count,"Render 'Risk data withheld pending pipeline re-run', never an empty table implying zero risks"
Explore,"Measures (KPIs) inventory table (Measure, Owner, Current, Target, Disclosure, Observed, Readiness)",Governed KPI register with current-vs-target values and board/operational disclosure level,consumption.metric_observation_v1,"metric_id, owner, current_value, target_value, disclosure_level, observed_date; current_value/target_value pairing not confirmed distinct in the field contract (only a single nullable metric_value field shown)","One row per metric per tenant per baseline, with a current observation and a separate target",Metric measures Initiative; Evidence supports Metric,Each measure's 'Not measured' state must name why (no observation exists) rather than imply 0,Board-disclosed measures need a higher authority bar than operational ones,availability_state=not_measured is explicitly modeled by the prototype for 3 of 7 measures,"This table is the clearest place current-vs-target semantics are needed at the field level, not just the page level",metric_observation_v1 is the direct source for Cube measures across every domain,Board vs Operational disclosure is itself an access-control-adjacent field,"metrics.metric_definition, metrics.metric_observation",consumption.metric_observation_v1 (registered),MODEL_SUPPORTED_DATA_NOT_READY,"420 source KPI rows, exact scale match to plan, but zero populated rows under any of three inconsistently-named candidate tables (metric_catalog_v1, metric_observation_v1, raw kpi-sla-catalog.csv). Current/target pairing not confirmed as distinct fields even once populated.","SD-06 directly: 'KPI family (420 rows, matches planned scale exactly) has no working path to any populated metrics projection under any of its three inconsistently-named candidate tables.'","metric_observation_v1 populated under one single consistently-named object, independently re-verified against the 420-row kpi-sla-catalog.csv source","Render 'Not measured' per row exactly as the prototype already models for undefined measures; do not drop the KPI tile from the UI until the pipeline is fixed -- the tenant needs to see it is broken, not have it silently vanish"
