ui_mode,component,business_concept,required_canonical_object,required_fields,required_grain,required_projection,required_cube_dimension_measure,required_lineage,required_evidence,current_implementation,current_data_state,exact_defect,first_broken_layer,required_codex_fix,migration_reprocessing_requirement,reconciliation_test,live_proof_required,ui_render_gate,safe_unavailable_state,acceptance_criteria
Current versus target,Trajectory chart (projected half),"A forward-looking metric trend tied to funded initiative milestones, distinct from the historical observed series","Extension to metrics.metric_observation, or a new forecast object","projected_series[]: {date, value, basis: 'funded_work', funding_initiative_ref}","One projected series per metric per baseline, referencing specific funded Initiative milestones",Extension to consumption.metric_observation_v1,None currently defined,"Must trace each projected point to a specific funded knowledge.initiative row, never a freehand trend line",Every projected point cites the program/initiative funding it assumes,metric_observation_v1 covers observed values only; no registered concept of a forward projection series exists anywhere in the reviewed packages,Not applicable,Structural/model gap -- there is no field or object anywhere that would let a trajectory chart's projected half be anything other than an unfounded trend line,Canonical model / field contract,"Add a projected_series structure to metric_observation_v1 (or a sibling forecast object) that must resolve to real funded-Initiative milestone dates, not a freehand extrapolation. This is lower priority than GAP-01/02/03 -- sequence after those close, since the chart's historical half depends on GAP-02 anyway.",New field/object; depends on GAP-02 (metric pipeline) closing first for the historical half to exist at all,"Verify every projected point in a sample trajectory resolves to a real funded initiative's milestone date, not an interpolated guess",One real metric's projected series populated and independently verified to trace to funded milestones,Historical series resolves from real metric_observation_v1 data AND a governed projected_series field exists citing real funded-initiative milestones,Omit the projected line; do not draw a projected trend from an assumption not tied to a real funded initiative,"projected_series field/object exists, is documented, and at least one real metric's projection is populated and traceable to funded-initiative milestones"
Brief; Decision readiness,Goals; Readiness quadrant scatter,"Board-tracked enterprise goals with a real, funded-business-case-derived expected value, not an estimated proxy","New Goal object, or Program/Initiative extended with value_at_stake field","goal_id, title, owner, priority_rank, readiness_state, supporting_program_ids[], supporting_metric_ids[], value_at_stake (numeric, sourced from a funded business case, not a dependency-count proxy)",One row per board-tracked goal per tenant,None currently -- new projection needed once the object is ratified,ProgramRiskControl.decision_readiness_score is adjacent but does not carry value_at_stake,Goal -> measured by -> Metric; Goal -> advanced by -> Program/Initiative,"value_at_stake must cite a funded business case document, not be estimated from dependency scope",Enterprise IA's object table has no Goal object distinct from Program/Initiative; no value_at_stake field exists on either,Not applicable,"Structural gap. The prototype's own aVa answer for the exact chart this would back admits: 'Value at stake for two cases is estimated from dependency scope, not from a funded business case' -- i.e. the design already knows this field doesn't really exist as a governed figure.",Canonical model (Layer 3),Ratify Goal object type (or extend Program/Initiative) with a value_at_stake field sourced from real funded business cases; do not accept a dependency-count proxy as the governed figure,New object/field; depends on programs family (see row 'Programmes inventory table' under GAP-03) having a confirmed landing first,"Verify value_at_stake for a sample goal resolves to a real business-case document reference, not a computed dependency count",At least one real goal with a business-case-sourced value_at_stake populated,Goal object ratified AND value_at_stake resolves to a real funded business-case figure,Omit the quadrant/goal card rather than plot an estimated value-at-stake position as if it were governed,"Goal object type (or Program/Initiative extension) ratified with value_at_stake field, and no UI component substitutes a dependency-count proxy for a real business-case figure"
Brief,Lens picker (business-problem selector),A governed mapping from each client-facing 'business problem' lens to the canonical BusinessFunction/BusinessProcess/Capability objects it scopes,Extension linking a new lens/business-problem taxonomy to existing knowledge.business_function,"lens_id, label, scope_description, mapped_function_ids[], mapped_process_ids[]","One row per lens per tenant (or per industry, since lens sets are industry-specific)",New projection needed,Not applicable,Lens -> BusinessFunction/BusinessProcess/Capability (many-to-many),Not applicable,knowledge.business_function exists as a canonical object; no lens/business-problem taxonomy maps to it anywhere,Not applicable,The prototype hardcodes 9 lens tags directly in JS (LENSES array) with zero canonical backing -- every other Brief/Explore/Relationships/Evidence component that filters by lens inherits this same absence silently,Canonical model / product-taxonomy layer,"Design and ratify a lens taxonomy per industry (this tenant's 9 airline lenses are not the same set a healthcare tenant needs), mapped to real BusinessFunction/Capability IDs, in partnership with whoever owns the client-facing product taxonomy -- not purely a data-plane task",New taxonomy table; no reprocessing of existing data,Verify each lens resolves to >=1 real BusinessFunction/Capability ID,"Lens taxonomy ratified and populated for airline-demo-new's 9 lenses, each resolving to real canonical IDs",A lens taxonomy row must exist and resolve to real canonical objects before that lens can filter real content,"Lens remains selectable as a label, but every downstream component independently gates on its own data rather than assuming the lens filter implies real content","A lens taxonomy exists mapping all 9 airline-demo-new lenses to real BusinessFunction/Capability IDs, documented and reviewed"
Explore,Row detail drawer,"Per-row 'reviewed by X on date Y' provenance drill-through, distinct from the coarser baseline-level freshness_state","Extension to application_inventory_v1, vendor_contract_inventory_v1, evidence_gap_v1 and other inventory objects","source_ref, last_reviewed_at, last_reviewed_by, authority_state (per-row, not just baseline-level)",One provenance record per row per object,Extend existing inventory projections,Not applicable,Row -> evidence.evidence_fragment,This IS the evidence surfacing point for every inventory table's drawer,"ProvenanceSchema exists conceptually in src/lib/governance/context-corpus-policy.ts (source_file, ingestion_run_id, parse_method, committed_at, indexed_at) but is not confirmed wired to the row grain of application/vendor/risk objects in CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx's sampled 21 fields","Unknown -- not established whether these fields are silently already present at the row level and simply weren't in the 21-row sample, or genuinely absent. Must be checked directly, not assumed either way.",Field-contract sampling gap -- CONSUMPTION_OBJECT_AND_FIELD_CONTRACT.xlsx's 21-row sample does not confirm reviewer+date pairing exists at inventory-row grain,Field contract (documentation) at minimum; possibly the underlying schema itself -- must be verified directly against the live table's actual columns before concluding which,"Query information_schema.columns for application_inventory_v1/vendor_contract_inventory_v1/evidence_gap_v1 to confirm whether last_reviewed_at/last_reviewed_by/source_ref already exist. If absent, add them as an additive extension and wire ProvenanceSchema's concept through to row grain, not just the governance-policy layer.",Schema check first; additive field extension if confirmed absent; backfill from existing evidence_fragment links where possible,"SELECT column_name FROM information_schema.columns WHERE table_schema='consumption' AND table_name IN ('application_inventory_v1','vendor_contract_inventory_v1','evidence_gap_v1') -- confirm presence/absence definitively","Schema query output confirming field presence/absence, plus (if added) a populated sample row showing real reviewer+date data",Row's provenance fields present and resolve to a real source_ref before the drawer's Evidence tab renders beyond Attributes,Show Attributes tab from real row data even if Evidence tab must say 'Provenance not yet captured at row level',"information_schema query confirms field presence/absence definitively; if absent, fields are added and populated for at least the application_inventory_v1 object as a proof case"
Relationships,Edge click evidence drawer,Full confidence/review/authority/effective-date detail per relationship edge,Extension to relationship_evidence_v1,"confidence: enum(high,medium,low); review_state: enum(pending,reviewed); authority_state_detail: enum(authoritative,not_authoritative); effective_from: date; effective_to: date|null",One evidence record per edge (or per assertion) per baseline,consumption.relationship_evidence_v1 (extend),Not applicable,Evidence -> supports -> Metric/Relationship per Enterprise IA Sec 4,Self-referential -- this is the evidence surface itself,relationship_evidence_v1 is registered and populated (in the audit's registered+populated+plausible list) for basic evidence display,Base object populated; the specific 5 fields above are not itemized in the sampled field contract -- must be checked against the live schema before assuming absent,"Likely field-contract extension gap, not established as a full pipeline defect -- verify via schema query before treating as a build task vs. a documentation task",Field contract at minimum; schema possibly,Query information_schema.columns for consumption.relationship_evidence_v1 to confirm presence/absence of the 5 fields; add as additive extension if absent,Additive extension if confirmed absent,SELECT column_name FROM information_schema.columns WHERE table_schema='consumption' AND table_name='relationship_evidence_v1',"Schema query output, plus a populated sample edge showing all 5 fields with real values",relationship_evidence_v1 row present AND all 5 fields confirmed populated,Show source citation only; omit confidence/review/authority sub-fields with 'Not yet captured' rather than defaulting to a plausible-looking value,"Schema query confirms field presence/absence; if absent, fields added and populated for at least one real edge as a proof case"
Explore,Applications inventory table; Explore facets/filters and chart aggregation (cross-table),"Run cost, target lifecycle action, dependency count, and per-row readiness on the application inventory, plus a governed enum backing the 'Readiness' facet used across nearly every Explore table",Extension to application_inventory_v1,"run_cost: numeric|null; target_lifecycle_action: string|null; dependency_count: integer|null; row_readiness_state: enum(accepted, awaiting_review, sources_disagree, needs_refresh, owner_not_assigned)",Per application row,consumption.application_inventory_v1 (extend),"Would enable a real Cube sum measure for run_cost, replacing the prototype's client-side aggregation",Same source lineage as the base object (application-platform-inventory.csv),Not applicable,"application_inventory_v1 is the best-corroborated table in the audit (1,405 of 1,495 source rows, 6.0% attrition) for identity/hosting/lifecycle fields specifically","Not established whether run_cost/target/dependency_count/row_readiness_state already exist in the live schema and were simply outside the 21-row field-contract sample, or are genuinely absent",Field-contract sampling gap for a table whose base identity is otherwise the strongest in the whole audit,Field contract at minimum; schema possibly,"Query information_schema.columns for consumption.application_inventory_v1 to confirm presence/absence of the 4 fields; add as additive extension if absent, and expose a Cube sum(run_cost) measure to replace client-side chart aggregation",Additive extension if confirmed absent,SELECT column_name FROM information_schema.columns WHERE table_schema='consumption' AND table_name='application_inventory_v1',"Schema query output, plus populated sample rows for all 4 fields",Fields confirmed present and populated before those specific columns/chart aggregations render,Render identity/hosting/lifecycle columns from real data; hide or gray out Run cost/Target/Dependencies/Readiness columns with 'Not yet in the governed contract' until extended,"Schema query confirms field presence/absence; if absent, all 4 fields added and populated with a documented row-count ratio against the 1,495-row source"
Explore,Vendors inventory table,"Contract-level renewal and obligation detail, not just vendor-level rollups",knowledge.contract (already exists per Enterprise IA Sec 4),"contract_id, renewal_date, obligations, contract_state, renewal_exposure_usd -- all at CONTRACT grain, not vendor grain",Must confirm: is vendor_contract_inventory_v1 vendor-grain (420 rows) or contract-grain (should be 820)?,"consumption.vendor_contract_inventory_v1 (grain must be documented, possibly split)","VendorContractPortfolio.active_contract_count, VendorContractPortfolio.contract_renewal_exposure -- both currently not_reported in parity, both assume contract grain",vendor-contract-register.csv (820 rows) -> knowledge.contract -> publication.vendor_publication_v1 -> consumption.vendor_contract_inventory_v1,Not applicable,vendor_contract_inventory_v1 registered; vendor_count measure exact-matches at 420 (best-corroborated vendor-family measure),"420 rows in vendor_contract_inventory_v1 = exact match to vendor-register.csv's 420 vendor rows, NOT to vendor-contract-register.csv's 820 contract rows. Grain is undocumented.","SD-07: the table appears proven at vendor grain only. Two Cube measures (active_contract_count, contract_renewal_exposure) assume contract-level fields that may not correctly exist at this grain. The prototype's own UI already labels every vendor row 'Vendor level' in its Grain column.","Unclear whether the pipeline is dropping contract rows during aggregation to vendor grain, or whether the object was designed as vendor-grain from the start and the two Cube measures are simply wrong for it -- must be localized","Run sql-readback.sql query 2.3 (confirm the grain of vendor_contract_inventory_v1: does the payload nest contract_state/renewal data per vendor, or is contract-level detail simply dropped?). Based on the answer: either document the vendor-grain rollup explicitly and redefine the two Cube measures as vendor-level, OR build a proper contract-grain projection alongside the vendor-grain one.","Depends on query 2.3's finding -- either documentation only, or a new contract-grain projection build","sql-readback.sql query 2.3 exactly as written, plus COUNT(vendor-contract-register.csv rows)=820 vs COUNT(consumption.vendor_contract_inventory_v1)=420 reconciliation","Query 2.3 output plus a documented, reviewed grain decision",Contract-grain fields must resolve to a documented 820-row-consistent table before Renewal/per-contract columns render as anything other than vendor-level rollups,Render vendor-grain columns from real data; show 'Grain: vendor level (contract-level not yet governed)' rather than a fabricated per-contract renewal date,Query 2.3 is run and its finding documented; grain is either explicitly vendor-level (with the two Cube measures redefined accordingly) or a contract-grain projection exists reconciling to 820 rows
Brief; Evidence & gaps,Sources list (Brief 'what it stands on'); Sources / 'where it came from' list (Evidence & gaps),"A lawful, consumption-layer view of what source material the tenant's knowledge is built from","source_registry.source (Layer 1/2 -- exists, best-verified table in the whole pipeline)","source_name, received_date, source_kind, source_state, used_for_text, owner_steward",One row per landed source file per tenant,consumption.source_registry_summary_v1 (new -- does not exist),Not applicable,source_registry.source -> (no lawful consumption path today) -> proposed consumption.source_registry_summary_v1,This IS the evidence list -- self-referential,"source_registry.source is the single most-verified table in the entire pipeline: 25/25 rows, parser_visible=25, parsed=25/25 (100%), raw-verified via psql 2026-07-28T00:24Z","Fully populated and verified at the Layer 1/2 level; zero exposure at the consumption layer because Enterprise IA Sec 5 rule 3 correctly forbids products from reading Layer 1/2 directly, and no projection has been built to expose it lawfully",Not a data defect at all -- an architecture-compliance gap. The best data in the whole build has no lawful path to the UI.,"Consumption/projection layer -- nothing to fix upstream, only a new projection to build","Build consumption.source_registry_summary_v1 as a thin, lawful derivation from publication.active_knowledge_baseline (never reading source_registry.source directly from a product). This is one of the simplest, highest-confidence fixes in this entire handoff, since the underlying data is already the best-verified in the build.",New projection only -- no reprocessing of already-correct source data,"SELECT count(*) FROM consumption.source_registry_summary_v1 WHERE tenant_key='airline-demo-new' -- should equal 25, matching the already-verified source_registry.source count",psql readback showing the new projection's row count matches the already-verified 25,consumption.source_registry_summary_v1 exists and is registered before the Brief/Evidence sources lists render,Omit the section; do not read source_registry.source directly from a product surface even as a stopgap,"consumption.source_registry_summary_v1 exists, is registered in CONSUMPTION_PROJECTION_REGISTRY.json, and its row count (25) matches the independently-verified source_registry.source count"
Explore,Applications inventory table,"A clean business-taxonomy field for application type, uncontaminated by data-quality flags",knowledge.application,"application_type (business taxonomy, separate from any QA/dedup flag field)",Per application row,consumption.application_inventory_v1,Not applicable,application-platform-inventory.csv -> knowledge.application -> consumption.application_inventory_v1,Not applicable,application_type field exists and is populated,APP-AIRDN-0001's application_type = 'regional duplicate' -- a data-quality/dedup flag stored as if it were a clean business taxonomy value,SD-01: misclassified. 'duplicate' reads as a QA flag baked into what should be a clean type field.,Source adapter / working-candidate ingestion -- the adapter appears to be passing a QA annotation through the same field as the business classification,Separate a real application_type taxonomy from a data-quality/dedup flag field at the adapter level; re-run the application ingestion with the corrected field mapping; audit the full application_inventory_v1 population for other QA-flag-as-taxonomy instances beyond the one sampled instance (APP-AIRDN-0001),Re-run the application adapter with corrected field separation; backfill existing rows,SELECT DISTINCT application_type FROM consumption.application_inventory_v1 WHERE tenant_key='airline-demo-new' -- manually review the full distinct value list for other QA-flag-shaped values beyond 'regional duplicate',Distinct-value audit output showing no QA-flag-shaped values remain in application_type,application_type field audited and confirmed clean before it renders in any facet/filter UI,"N/A -- this is a data-quality fix, not an availability gate",No row in consumption.application_inventory_v1 has an application_type value that reads as a QA/dedup flag rather than a business taxonomy value
Explore,Applications inventory table; Vendors inventory table,"A single, consistent service_tower assignment per canonical entity, not independently re-derived per source file","knowledge.application, knowledge.contract",service_tower (must be assigned once per canonical entity and propagated),"Per application row and per contract row, but must agree for linked records","consumption.application_inventory_v1, consumption.vendor_contract_inventory_v1",Not applicable,application-platform-inventory.csv and vendor-contract-register.csv both assert service_tower independently for the same contract_id,Not applicable,service_tower field exists on both objects,"Same contract_id (CONT-AIRDN-0002) linked from both records; application row says service_tower='Airline Operations AMS', contract row says service_tower='Digital Customer and Loyalty AMS'",SD-02: wrong_identity. A within-corpus contradiction between two linked records for the same entity.,Working-candidate / knowledge publication layer -- service_tower appears to be independently randomized per source file rather than resolved once and propagated,"Assign service_tower once per canonical entity (likely at the application level, since it's the more specific record) and propagate to linked contract records; resolve CONT-AIRDN-0002's specific disagreement; audit for other instances of the same pattern across all linked application/contract pairs, not just the one sampled",Re-run publication for affected application/contract pairs with the corrected propagation rule,"SELECT a.service_tower, c.service_tower FROM consumption.application_inventory_v1 a JOIN consumption.vendor_contract_inventory_v1 c ON a.contract_id = c.contract_id WHERE a.tenant_key='airline-demo-new' AND a.service_tower <> c.service_tower -- should return 0 rows after the fix","Reconciliation query output showing 0 disagreeing pairs, including confirmation CONT-AIRDN-0002 specifically now agrees",service_tower cross-object agreement verified before Tower spend-by-tower views or any service_tower facet trusts either object,N/A -- data-quality fix,Reconciliation query returns 0 disagreeing application/contract service_tower pairs for airline-demo-new
Relationships,Graph canvas nodes; Graph canvas edges,"Every relationship endpoint shown as accepted must be backed by a real catalog entry, not a free-text label",A new capability catalog (does not exist anywhere in the 25-file corpus),"capability_id, capability_name, owner -- a real ID-backed register",One row per named capability,"A new knowledge.capability object, or exclusion of these edges from accepted",RelationshipGraph.accepted_relationship_count -- currently may include an unknown fraction of these unbacked rows,"relationship-load-template.csv (60,000 rows, from_object_type='capability' x3,000, e.g. 'station recovery', 'disruption recovery') -> no backing catalog anywhere","No evidence trail exists back to any source document for these 3,000 rows","These rows are part of the raw 60,000-row relationship load; whether they reached the accepted 16,605 published edges is UNCONFIRMED","3,000 of 60,000 source relationship rows have no backing catalog; review-decision fate unconfirmed",SD-08: wrong_relationship / lineage_gap -- exactly the 'relationship graphs with meaningless nodes/edges' failure mode this audit was specifically asked to watch for,"Source corpus design -- no capability catalog was ever included among the 25 source files, so nothing downstream can resolve these to real IDs","Run sql-readback.sql query 2.7 (working.relationship_candidate WHERE from_object_type='capability' GROUP BY review_state) to determine accept/defer status. If accepted: either add a real capability catalog with real IDs before the next publication cycle, or retroactively exclude these edges from authority_state=accepted.","Either a new source family (capability catalog) needs to be added to the corpus, or a targeted re-review excluding these 3,000 rows from accepted","sql-readback.sql query 2.7 exactly as written; post-fix, COUNT(relationship_edge_v1 WHERE endpoint_catalog_backed=false AND from source_type='capability' AND authority_state='accepted') must equal 0",Query 2.7 output plus post-fix confirmation,endpoint_catalog_backed=true required before these nodes render as ordinary accepted nodes (see row 10 above),"Render capability-origin nodes, if shown at all, visually distinct as unverified","Query 2.7 is run and documented; either a real capability catalog exists, or these edges are confirmed excluded from accepted"
Relationships,Graph canvas nodes; Graph canvas edges,"service_tower relationship endpoints should be promoted to a real controlled dimension with IDs, not remain label-only","A service_tower register/catalog (does not exist as a dedicated file, though the vocabulary is internally consistent)","service_tower_id, service_tower_name",One row per named service tower,"A new knowledge.service_tower object, lower priority than the capability catalog",Not applicable,"relationship-load-template.csv (to_object_type='service_tower' x9,000) cross-checked against application-platform-inventory.csv, cloud-infrastructure-inventory.csv, technology-workforce-roster.csv service_tower columns -- same ~5 label values recur consistently","No dedicated register file exists, but the vocabulary is internally consistent (semantically_matched with a caveat)",service_tower is used as a label across multiple source files with reasonable internal consistency,"9,000 relationship rows label-only, not ID-backed; lower severity than capability because at least consistent","SD-14: evidence_missing, medium severity (lower than SD-08 because internally consistent)","Source corpus design -- no dedicated catalog file, though the concept is used consistently",Promote service_tower to a real controlled dimension with IDs -- lower priority than the capability catalog (SD-08) since the label vocabulary is already consistent; this is a governance/cleanup task rather than an active correctness emergency,New reference table (service_tower catalog) plus a mapping pass from existing labels to new IDs,After the catalog exists: verify all ~5 recurring service_tower label values map 1:1 to catalog IDs with no orphans,Catalog populated and mapping verified,"Lower-priority than SD-08 -- may ship with a documented 'label-only, internally consistent' caveat in the interim per the safe unavailable state below","Render service_tower-origin nodes with a visible 'label-only, not yet ID-backed' marker rather than blocking entirely, since consistency (unlike capability) provides some interim trust","A service_tower catalog exists and all relationship rows using it resolve to real catalog IDs, OR the interim label-only marker is confirmed present in the UI wherever these nodes render"
Brief; Evidence & gaps,"Sources list (Brief and Evidence & gaps, once GAP-13/row 18 is built)","An accurate, complete inventory of what source material was actually landed for the tenant","source_registry.source (already the authoritative count, per the raw-verified psql query)",Not applicable,Not applicable,Not applicable,Not applicable,"parser-visible-source-manifest.csv (design-time doc) vs. source_registry.source (live, verified)",Not applicable,"source_registry.source is correctly complete (25/25, raw-verified)","parser-visible-source-manifest.csv enumerates only 10 of the ~25 landed source files -- a design-time documentation gap, not a live data defect","SD-11: the one human-readable 'what did the client actually give us' manifest understates the true source inventory by more than half. Since row 18 (source_registry_summary_v1) correctly reads from the live registry, not this manifest, this defect does NOT propagate to the UI once row 18 is built -- it is flagged here so the manifest itself is fixed and never mistaken for authoritative by a future operator or client-review session.",Design-time documentation only,"Reconcile parser-visible-source-manifest.csv against source_registry.source and update it to enumerate all 25 files, or explicitly mark it as a partial/legacy artifact superseded by the live registry",Documentation fix only -- no data reprocessing,Compare parser-visible-source-manifest.csv's file list against SELECT DISTINCT source_file FROM source_registry.source WHERE tenant_key='airline-demo-new' -- should match after the fix,Updated manifest file matching the live registry count,"N/A -- does not gate any UI component directly as long as row 18's projection reads the live registry, not this manifest",Not applicable,"parser-visible-source-manifest.csv enumerates all 25 landed files, or is explicitly marked superseded, so a future client-review session is never handed the undercounted version as authoritative"
Brief,Lens headline / lede narrative; AbarVa views; Purpose and priorities; Leadership perspectives,"Executive narrative interpretation and captured interview signal, each carrying real source attribution","knowledge.interview, knowledge.fact_assertion","interview_id, who, role, interview_date, approval_type, quote_text, structured evidence-tension rows (supports/challenges/uncertain/reading)",One captured interview signal per lens per baseline,"consumption.executive_perspective_v1, consumption.strategic_interpretation_v1",Not applicable,Structured interview source -> knowledge.interview -> publication.executive_perspective_ref -> consumption.executive_perspective_v1,"Each structured row must cite specific evidence, not just restate the quote",Both projections are registered with correct contract shape,0 structured interview CSVs exist for airline-demo-new -- only one narrative .md file. executive_perspective_v1 and strategic_interpretation_v1 are both absent from the reported populated-object breakdown.,"Structural gap in the source corpus, not a pipeline failure -- there is no structured artifact to process into these projections yet. The lineage audit calls this out explicitly: 'no structured artifact exists' for this family.",Client intake (Layer 1) -- the source material itself does not exist in structured form,"This is not a Codex data-plane pipeline fix -- it requires new structured source material (interview CSVs or an equivalent structured capture format) to be collected for this tenant before any pipeline can populate these projections. Flag to whoever owns tenant intake, not to the data-plane pipeline team alone.",New source collection required before any reprocessing is meaningful,Once structured interview material exists: verify it flows through knowledge.interview to consumption.executive_perspective_v1 with correct row counts,"Structured interview source material collected and landed, then a populated executive_perspective_v1/strategic_interpretation_v1 row count > 0",executive_perspective_v1 / strategic_interpretation_v1 row present and authority_state=accepted,Omit these Brief sections with 'Leadership priorities not yet published' / 'Interpretation not yet published for this business problem' rather than fabricating narrative from the one existing .md file,Structured interview source material exists for airline-demo-new AND executive_perspective_v1/strategic_interpretation_v1 have row count > 0 derived from it
Brief,Identity panel,"Structured, tile-able enterprise stats (fleet count, daily departures, etc.), not narrative prose",knowledge.organization extended with airline-domain operating_stats,"operating_stats[]: {stat_key, label, value, unit, availability_state, evidence_ref}",One row per organization per tenant per baseline,consumption.enterprise_identity_v1 (extend per KNOWLEDGE_TARGET_READ_MODEL_CONTRACTS.md#1),Not applicable,A structured fleet-register-equivalent source -> knowledge.organization -> consumption.enterprise_identity_v1,Each stat tile must cite its own accepted source,enterprise_identity_v1 populated from one narrative .md file; audit rates it 'Plausible' at 1 source -> 1/1 published,Narrative-only; no structured fleet-register CSV family exists among the 16 required source families for airline-demo-new,"Same structural-source-gap category as row 24 -- the specific stat tiles the Identity panel needs (Fleet, Fleet families, Daily departures, Destinations, Hubs) have no structured source to compute from",Client intake (Layer 1),"Requires a structured fleet-register-equivalent source file to be collected for this tenant (not currently one of the 25 landed files); once landed, add the operating_stats extension to enterprise_identity_v1 and wire the pipeline",New source collection required first,Once source exists: verify each operating_stats tile resolves to a real accepted source citation,"Structured fleet-register source landed, then operating_stats populated with real values and citations",Each stat tile independently gated on its own availability_state,"'Not published' text label per missing tile, exactly as the prototype already models for Crew -- never a blank or a zero","A structured fleet-register-equivalent source exists for airline-demo-new and operating_stats populates with real, cited values for at least the 5 tiles the prototype names"
Relationships,One-hop / two-hop expansion control,"Server-enforced graph traversal depth and default candidate exclusion, not a client-side filter over a fully-fetched graph",No new object -- a query/API capability over existing relationship_node_v1/edge_v1,Not applicable,Not applicable,A recursive traversal function/stored procedure over consumption.relationship_edge_v1,Not applicable,Not applicable,Not applicable,clients/shared/21-phase3c2e-executable-data-layer's README states 'recursive SQL traversal helpers' as a stated Graph Path deliverable,Not confirmed present as shipped code -- the specific SQL file (sql/001_shared_knowledge_publication_consumption.sql) was not exhaustively verified line-by-line for a working recursive function in this pass,Unverified claim -- the README says this exists as a deliverable but this audit did not independently confirm a working recursive traversal function in the shipped SQL file,Unknown -- must be verified directly against the SQL file before concluding whether this is built or not,"Directly inspect sql/001_shared_knowledge_publication_consumption.sql for a working recursive CTE or stored procedure implementing hop-depth traversal with authority_state/endpoint_catalog_backed filtering built in at the query layer (not left to client-side filtering). If absent, build it.",None if already built and verified; new function build if not,Directly query/execute the claimed recursive function against a known 2-hop case and verify it returns the expected node/edge set with candidates correctly excluded by default,"Verified recursive traversal function output for a real 2-hop test case, matching expected accepted-only results",Two-hop expansion disabled until the recursive traversal function is verified to exist and to enforce the same authority_state/endpoint_catalog_backed filters as the one-hop default,"Default to one hop, accepted-only, until two-hop traversal is verified server-side","A working recursive traversal function is confirmed (or built) in sql/001_shared_knowledge_publication_consumption.sql, verified against a real 2-hop test case, with candidate exclusion enforced at the query layer"
Cross-cutting (affects every count in this handoff and the matrix),"All matrix rows citing accepted/deferred/rejected totals, or any count downstream of the review-decision ledger",Trustworthy provenance for the control totals every other number in this package ultimately rests on,working.review_decision_ledger,"review_state, candidate_type, tenant_key",One row per review decision,Upstream of every consumption projection -- not itself a consumption object,Not applicable,working.entity_candidate/fact_candidate/relationship_candidate -> working.review_decision_ledger -> domain publication -> everything downstream,The authority record's own statement that raw logs for the successful run were deliberately kept out of git ('operator proof bundle'),"foundation-closure-authority-record-20260729.json is the ONLY file in the entire repository (25+ worktrees searched) containing the literal totals 112,201/152,029","The one raw execution log that DOES exist for this pipeline stage (knowledge-review-via-validate-job-20260728-logs.txt, one day earlier) records status='failed_process', error.code='process_verification_failed', blockers=['no_explicit_accepted_review_decisions']","SD-10 (critical): control totals asserted by exactly one self-reported summary record, contradicted in timing by the sole available raw execution log. ONE_SOURCE / asserted, not independently verified.","Audit-evidence layer -- the totals may well be correct, but no raw execution log in the repo corroborates them","Produce the 'operator proof bundle' the authority record refers to for independent review, OR obtain live DB access and run sql-readback.sql section 2.1 (per-type accepted/deferred breakdown query) to independently re-derive the totals from working.review_decision_ledger directly","None -- this is a verification task, not a reprocessing task, unless the re-verification reveals the totals are wrong","sql-readback.sql section 2.1's query against working.review_decision_ledger GROUP BY candidate_type, review_state, independently re-deriving the 112,201/152,029/0 split","Either the operator proof bundle is produced for independent review, or a live psql readback independently reproduces the totals","Do not quote 112,201/152,029/0, or any number derived from them, as independently verified in any client-facing or governance artifact until this closes","Quote these totals only as 'reported by the foundation-closure authority record, not independently re-verified' if they must be cited at all","Either the operator proof bundle is produced and reviewed, or a live psql query independently reproduces the 112,201/152,029/0 split from working.review_decision_ledger directly"
