evidence_key,evidence_title,source_file,source_owner,domain,risk_flag,excerpt,review_status
SHA-MOVE-002-F3,Moves finding: Crew recovery decision support,IBM MQ / integration backbone,AbarVa synthetic data steward,reserve assignment,true,IBM MQ / integration backbone and reserve assignment evidence show a blocker for Crew recovery decision support: Human approval workflow not evidenced. Crew Operations cannot treat reserve assignment as decision-grade for Crew recovery decision support until human approval workflow not evidenced is closed with named evidence.,medium
SHA-MOVE-002-F4,Moves finding: Crew recovery decision support,Airline operations data lake candidate,AbarVa synthetic data steward,hotel transport,true,Airline operations data lake candidate and hotel transport evidence show a blocker for Crew recovery decision support: Data freshness SLA not loaded. Crew Operations cannot treat hotel transport as decision-grade for Crew recovery decision support until data freshness sla not loaded is closed with named evidence.,medium
SHA-MOVE-003-F1,Moves finding: Customer reaccommodation and notification assist,Passenger service system,AbarVa synthetic data steward,PNR state,true,Passenger service system and PNR state evidence show a blocker for Customer reaccommodation and notification assist: Customer identity and consent evidence not loaded. Customer Operations cannot treat PNR state as decision-grade for Customer reaccommodation and notification assist until customer identity and consent evidence not loaded is closed with named evidence.,medium
SHA-MOVE-003-F2,Moves finding: Customer reaccommodation and notification assist,Salesforce customer service platform,AbarVa synthetic data steward,customer contact history,true,Salesforce customer service platform and customer contact history evidence show a blocker for Customer reaccommodation and notification assist: Notification outcome baseline not loaded. Customer Operations cannot treat customer contact history as decision-grade for Customer reaccommodation and notification assist until notification outcome baseline not loaded is closed with named evidence.,medium
SHA-MOVE-003-F3,Moves finding: Customer reaccommodation and notification assist,OCC disruption management console,AbarVa synthetic data steward,loyalty status,true,OCC disruption management console and loyalty status evidence show a blocker for Customer reaccommodation and notification assist: PSS decision boundaries not evidenced. Customer Operations cannot treat loyalty status as decision-grade for Customer reaccommodation and notification assist until pss decision boundaries not evidenced is closed with named evidence.,medium
SHA-MOVE-003-F4,Moves finding: Customer reaccommodation and notification assist,Airline operations data lake candidate,AbarVa synthetic data steward,reaccommodation options,true,Airline operations data lake candidate and reaccommodation options evidence show a blocker for Customer reaccommodation and notification assist: Service recovery policy owner not signed off. Customer Operations cannot treat reaccommodation options as decision-grade for Customer reaccommodation and notification assist until service recovery policy owner not signed off is closed with named evidence.,medium
SHA-SPEND-001,Tower value signal: ops_technology_resource_count,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Airline Operations Technology,resource_count,true,96 analytics/technology resources modeled for planning; client source owner must validate.,not_quantified
SHA-SPEND-002,Tower value signal: maintenance_share,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Airline Operations Technology,work_mix,true,Roughly 72 percent maintenance / run support mix modeled for planning.,not_quantified
SHA-SPEND-003,Tower value signal: net_new_share,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Airline Operations Technology,work_mix,true,Roughly 28 percent net-new modernization capacity modeled for planning.,not_quantified
SHA-SPEND-004,Tower value signal: value_hypothesis,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Operations,baseline_required,true,"Frame IROPS AI as a human-in-loop decision support candidate only after recovery baselines, operational event lineage, crew legality controls, and customer service evidence are validated; quantify after Finance and Operations sign off.",not_quantified
SHA-SPEND-005,Tower value signal: value_hypothesis,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Crew Operations,baseline_required,true,"Use crew recovery decision support as a controlled workflow redesign candidate; quantify only after legality, reserve, hotel, and mobile acknowledgement baselines are loaded and reviewed.",not_quantified
SHA-SPEND-006,Tower value signal: value_hypothesis,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Customer Operations,baseline_required,true,"Improve customer recovery only after identity, consent, PSS boundary, and notification outcome evidence are approved; quantify after baseline contact containment and reaccommodation SLA metrics are loaded.",not_quantified
SHA-SPEND-007,Tower value signal: value_hypothesis,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Technology,baseline_required,true,"Sequence modernization through dependency mapping and strangler/API exposure only after interface inventory, incident/change evidence, settlement constraints, and rollback plan are validated; quantify after risk and run-cost baselines are loaded.",not_quantified
SHA-SPEND-008,Tower value signal: value_hypothesis,datasets/skyharbor-air-v6-v7-upgrade-candidate-20260710/v7/V7_08_spend_value.csv,Finance,baseline_required,true,"Tower should track IROPS outcomes as proxy metrics until Finance, Operations, and Technology approve cost baselines, metric definitions, vendor linkage, and adoption evidence; quantify only after those gates pass.",not_quantified
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: skyharbor-ams-renewal-2026,datasets/source/contract-optimization/skyharbor-ams-renewal-2026,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: README.md,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/README.md,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: change-order-ledger-fy26-synthetic.csv,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/change-order-ledger-fy26-synthetic.csv,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: executed-ams-master-services-agreement-synthetic.md,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/executed-ams-master-services-agreement-synthetic.md,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: invoice-baseline-fy26-synthetic.csv,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/invoice-baseline-fy26-synthetic.csv,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: service-performance-baseline-fy26-synthetic.csv,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/service-performance-baseline-fy26-synthetic.csv,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-datasets-source-contract-optimization-skyharbor-,Source artifact: staffing-location-attestation-fy26-synthetic.csv,datasets/source/contract-optimization/skyharbor-ams-renewal-2026/staffing-location-attestation-fy26-synthetic.csv,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
SHA-SOURCE-docs-architecture-skyharbor-compatibility-adapte,Source artifact: skyharbor-compatibility-adapter.md,docs/architecture/skyharbor-compatibility-adapter.md,AbarVa source workspace,source_event_data,false,Source event data discovered for the SkyHarbor candidate inventory; dry-run proof does not change Source runtime behavior.,inventory_discovered
