tenant_key,candidate_contract_version,load_run_id,target_table,planned_rows,write_status
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.derived_intelligence_quality_reports,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.module_readiness_scores,5,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.home_expected_fields,19,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.graph_nodes,1600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,intelligence_v7.relationship_edges,2600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_relationships,2600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_graph_nodes,1600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_graph_edges,2600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_chunks,4600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.enterprise_context_chunk_queue,4600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.governed_object_readiness,4600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.source_registry,20,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.entities,1100,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.facts,9680,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.relationships,2600,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.measures,80,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.measure_results,80,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.question_contracts,12,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.validation_runs,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,cio_tower.validation_results,12,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.program_origination_drafts,12,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.generated_artifacts,24,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.source_context_receipts,12,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.source_contract_evidence_manifests,12,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.source_contract_evidence_rows,120,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.admin_datasets,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.admin_dataset_quality,1,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.admin_blockers,5,dry_run_not_written
skyharbor-air,skyharbor-air-rich-standard-candidate-20260717,SHA-CANDIDATE-LOAD-20260717,public.admin_audit_log,1,dry_run_not_written
