proposal_id,lot_id,bidder_public_reference,solution_summary,transformation_claim,commercial_posture,source_id
BID-AIRDN-B-LOT-AIRDN-04,LOT-AIRDN-04,Altimeter Global Services,Altimeter Global Services proposes data platform and analytics with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-04
BID-AIRDN-C-LOT-AIRDN-04,LOT-AIRDN-04,Waypoint Digital Operations,Waypoint Digital Operations proposes data platform and analytics with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-04
BID-AIRDN-A-LOT-AIRDN-05,LOT-AIRDN-05,NorthStar Managed Technology,NorthStar Managed Technology proposes cloud platform operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-05
BID-AIRDN-B-LOT-AIRDN-05,LOT-AIRDN-05,Altimeter Global Services,Altimeter Global Services proposes cloud platform operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-05
BID-AIRDN-C-LOT-AIRDN-05,LOT-AIRDN-05,Waypoint Digital Operations,Waypoint Digital Operations proposes cloud platform operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-05
BID-AIRDN-A-LOT-AIRDN-06,LOT-AIRDN-06,NorthStar Managed Technology,NorthStar Managed Technology proposes integration and middleware with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-06
BID-AIRDN-B-LOT-AIRDN-06,LOT-AIRDN-06,Altimeter Global Services,Altimeter Global Services proposes integration and middleware with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-06
BID-AIRDN-C-LOT-AIRDN-06,LOT-AIRDN-06,Waypoint Digital Operations,Waypoint Digital Operations proposes integration and middleware with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-06
BID-AIRDN-A-LOT-AIRDN-07,LOT-AIRDN-07,NorthStar Managed Technology,NorthStar Managed Technology proposes workplace and station technology with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-07
BID-AIRDN-B-LOT-AIRDN-07,LOT-AIRDN-07,Altimeter Global Services,Altimeter Global Services proposes workplace and station technology with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-07
BID-AIRDN-C-LOT-AIRDN-07,LOT-AIRDN-07,Waypoint Digital Operations,Waypoint Digital Operations proposes workplace and station technology with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-07
BID-AIRDN-A-LOT-AIRDN-08,LOT-AIRDN-08,NorthStar Managed Technology,NorthStar Managed Technology proposes cybersecurity operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-08
BID-AIRDN-B-LOT-AIRDN-08,LOT-AIRDN-08,Altimeter Global Services,Altimeter Global Services proposes cybersecurity operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-08
BID-AIRDN-C-LOT-AIRDN-08,LOT-AIRDN-08,Waypoint Digital Operations,Waypoint Digital Operations proposes cybersecurity operations with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-08
BID-AIRDN-A-LOT-AIRDN-09,LOT-AIRDN-09,NorthStar Managed Technology,NorthStar Managed Technology proposes service management and siam with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",premium assurance,SRC-AIRDN-PROP-A-09
BID-AIRDN-B-LOT-AIRDN-09,LOT-AIRDN-09,Altimeter Global Services,Altimeter Global Services proposes service management and siam with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",aggressive unit rate,SRC-AIRDN-PROP-B-09
BID-AIRDN-C-LOT-AIRDN-09,LOT-AIRDN-09,Waypoint Digital Operations,Waypoint Digital Operations proposes service management and siam with airline operating controls and staged transition.,"stabilize first, automate after baseline proof",balanced transition risk,SRC-AIRDN-PROP-C-09
