application_id,application_name,family,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,rto_rpo,evidence_gap,roadmap_disposition
APP-AIRDN-0044,Flight operations and IROPS 044,Flight operations and IROPS,Airport Operations,strategic platform,AWS workload,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-045,CONT-AIRDN-0045,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0045,Flight operations and IROPS 045,Flight operations and IROPS,Passenger Service,regional duplicate,hybrid,Kafka/event streaming,pre-production,critical,Airline Operations AMS,VEND-AIRDN-046,CONT-AIRDN-0046,RTO/RPO to confirm,source-backed candidate,modernize
APP-AIRDN-0046,Flight operations and IROPS 046,Flight operations and IROPS,Operations Control,acquired-carrier inherited system,owned data center,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-047,CONT-AIRDN-0047,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0047,Flight operations and IROPS 047,Flight operations and IROPS,Flight Operations,end-of-life application,private cloud,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-048,CONT-AIRDN-0048,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0048,Flight operations and IROPS 048,Flight operations and IROPS,Crew Operations,shadow IT,mainframe z/OS,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-049,CONT-AIRDN-0049,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0049,Flight operations and IROPS 049,Flight operations and IROPS,Airport Operations,custom Java/.NET,AWS workload,mainframe batch scheduler,DR,critical,Airline Operations AMS,VEND-AIRDN-050,CONT-AIRDN-0050,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0050,Flight operations and IROPS 050,Flight operations and IROPS,Passenger Service,mainframe workload,hybrid,Kafka/event streaming,pre-production,critical,Airline Operations AMS,VEND-AIRDN-051,CONT-AIRDN-0051,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0051,Flight operations and IROPS 051,Flight operations and IROPS,Operations Control,SAP module,owned data center,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-052,CONT-AIRDN-0052,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0052,Flight operations and IROPS 052,Flight operations and IROPS,Flight Operations,SaaS product,private cloud,COBOL/CICS/DB2/MQ,production,high,Airline Operations AMS,VEND-AIRDN-053,CONT-AIRDN-0053,RTO 4-12 hrs / RPO same day,source-backed candidate,sunset candidate
APP-AIRDN-0053,Flight operations and IROPS 053,Flight operations and IROPS,Crew Operations,operationally critical airline product,mainframe z/OS,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-054,CONT-AIRDN-0054,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0054,Flight operations and IROPS 054,Flight operations and IROPS,Airport Operations,low-use high-risk legacy,AWS workload,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-055,CONT-AIRDN-0055,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0055,Flight operations and IROPS 055,Flight operations and IROPS,Passenger Service,strategic platform,hybrid,API gateway/iPaaS,pre-production,critical,Airline Operations AMS,VEND-AIRDN-056,CONT-AIRDN-0056,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0056,Flight operations and IROPS 056,Flight operations and IROPS,Operations Control,regional duplicate,owned data center,Java/.NET custom,DR,critical,Airline Operations AMS,VEND-AIRDN-057,CONT-AIRDN-0057,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0057,Flight operations and IROPS 057,Flight operations and IROPS,Flight Operations,acquired-carrier inherited system,private cloud,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-058,CONT-AIRDN-0058,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0058,Flight operations and IROPS 058,Flight operations and IROPS,Crew Operations,end-of-life application,mainframe z/OS,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-059,CONT-AIRDN-0059,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0059,Flight operations and IROPS 059,Flight operations and IROPS,Airport Operations,shadow IT,AWS workload,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-060,CONT-AIRDN-0060,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0060,Flight operations and IROPS 060,Flight operations and IROPS,Passenger Service,custom Java/.NET,hybrid,API gateway/iPaaS,pre-production,critical,Airline Operations AMS,VEND-AIRDN-061,CONT-AIRDN-0061,RTO 4-12 hrs / RPO same day,interface evidence needed,modernize
APP-AIRDN-0061,Flight operations and IROPS 061,Flight operations and IROPS,Operations Control,mainframe workload,owned data center,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-062,CONT-AIRDN-0062,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0062,Flight operations and IROPS 062,Flight operations and IROPS,Flight Operations,SAP module,private cloud,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-063,CONT-AIRDN-0063,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0063,Flight operations and IROPS 063,Flight operations and IROPS,Crew Operations,SaaS product,mainframe z/OS,mainframe batch scheduler,DR,critical,Airline Operations AMS,VEND-AIRDN-064,CONT-AIRDN-0064,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0064,Flight operations and IROPS 064,Flight operations and IROPS,Airport Operations,operationally critical airline product,AWS workload,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-065,CONT-AIRDN-0065,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0065,Flight operations and IROPS 065,Flight operations and IROPS,Passenger Service,low-use high-risk legacy,hybrid,API gateway/iPaaS,pre-production,high,Airline Operations AMS,VEND-AIRDN-066,CONT-AIRDN-0066,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0066,Flight operations and IROPS 066,Flight operations and IROPS,Operations Control,strategic platform,owned data center,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-067,CONT-AIRDN-0067,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0067,Flight operations and IROPS 067,Flight operations and IROPS,Flight Operations,regional duplicate,private cloud,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-068,CONT-AIRDN-0068,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0068,Flight operations and IROPS 068,Flight operations and IROPS,Crew Operations,acquired-carrier inherited system,mainframe z/OS,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-069,CONT-AIRDN-0069,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0069,Flight operations and IROPS 069,Flight operations and IROPS,Airport Operations,end-of-life application,AWS workload,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-070,CONT-AIRDN-0070,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0070,Flight operations and IROPS 070,Flight operations and IROPS,Passenger Service,shadow IT,hybrid,Java/.NET custom,DR,critical,Airline Operations AMS,VEND-AIRDN-071,CONT-AIRDN-0071,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0071,Flight operations and IROPS 071,Flight operations and IROPS,Operations Control,custom Java/.NET,owned data center,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-072,CONT-AIRDN-0072,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0072,Flight operations and IROPS 072,Flight operations and IROPS,Flight Operations,mainframe workload,private cloud,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-073,CONT-AIRDN-0073,RTO/RPO to confirm,owner attestation needed,retain with controls
APP-AIRDN-0073,Flight operations and IROPS 073,Flight operations and IROPS,Crew Operations,SAP module,mainframe z/OS,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-074,CONT-AIRDN-0074,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0074,Flight operations and IROPS 074,Flight operations and IROPS,Airport Operations,SaaS product,AWS workload,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-075,CONT-AIRDN-0075,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0075,Flight operations and IROPS 075,Flight operations and IROPS,Passenger Service,operationally critical airline product,hybrid,Java/.NET custom,pre-production,critical,Airline Operations AMS,VEND-AIRDN-076,CONT-AIRDN-0076,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0076,Flight operations and IROPS 076,Flight operations and IROPS,Operations Control,low-use high-risk legacy,owned data center,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-077,CONT-AIRDN-0077,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0077,Flight operations and IROPS 077,Flight operations and IROPS,Flight Operations,strategic platform,private cloud,mainframe batch scheduler,DR,critical,Airline Operations AMS,VEND-AIRDN-078,CONT-AIRDN-0078,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0078,Flight operations and IROPS 078,Flight operations and IROPS,Crew Operations,regional duplicate,mainframe z/OS,Kafka/event streaming,production,high,Airline Operations AMS,VEND-AIRDN-079,CONT-AIRDN-0079,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,sunset candidate
APP-AIRDN-0079,Flight operations and IROPS 079,Flight operations and IROPS,Airport Operations,acquired-carrier inherited system,AWS workload,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-080,CONT-AIRDN-0080,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0080,Flight operations and IROPS 080,Flight operations and IROPS,Passenger Service,end-of-life application,hybrid,Java/.NET custom,pre-production,critical,Airline Operations AMS,VEND-AIRDN-081,CONT-AIRDN-0081,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0081,Flight operations and IROPS 081,Flight operations and IROPS,Operations Control,shadow IT,owned data center,COBOL/CICS/DB2/MQ,production,critical,Airline Operations AMS,VEND-AIRDN-082,CONT-AIRDN-0082,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0082,Flight operations and IROPS 082,Flight operations and IROPS,Flight Operations,custom Java/.NET,private cloud,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-083,CONT-AIRDN-0083,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0083,Flight operations and IROPS 083,Flight operations and IROPS,Crew Operations,mainframe workload,mainframe z/OS,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-084,CONT-AIRDN-0084,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0084,Flight operations and IROPS 084,Flight operations and IROPS,Airport Operations,SAP module,AWS workload,API gateway/iPaaS,DR,critical,Airline Operations AMS,VEND-AIRDN-085,CONT-AIRDN-0085,RTO 4-12 hrs / RPO same day,interface evidence needed,current
APP-AIRDN-0085,Flight operations and IROPS 085,Flight operations and IROPS,Passenger Service,SaaS product,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-086,CONT-AIRDN-0086,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0086,Flight operations and IROPS 086,Flight operations and IROPS,Operations Control,operationally critical airline product,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-087,CONT-AIRDN-0087,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0087,Flight operations and IROPS 087,Flight operations and IROPS,Flight Operations,low-use high-risk legacy,private cloud,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-088,CONT-AIRDN-0088,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0088,Flight operations and IROPS 088,Flight operations and IROPS,Crew Operations,strategic platform,mainframe z/OS,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-089,CONT-AIRDN-0089,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0089,Flight operations and IROPS 089,Flight operations and IROPS,Airport Operations,regional duplicate,AWS workload,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-090,CONT-AIRDN-0090,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0090,Flight operations and IROPS 090,Flight operations and IROPS,Passenger Service,acquired-carrier inherited system,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-091,CONT-AIRDN-0091,RTO/RPO to confirm,interface evidence needed,modernize
APP-AIRDN-0091,Flight operations and IROPS 091,Flight operations and IROPS,Operations Control,end-of-life application,owned data center,mainframe batch scheduler,DR,high,Airline Operations AMS,VEND-AIRDN-092,CONT-AIRDN-0092,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0092,Flight operations and IROPS 092,Flight operations and IROPS,Flight Operations,shadow IT,private cloud,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-093,CONT-AIRDN-0093,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0093,Flight operations and IROPS 093,Flight operations and IROPS,Crew Operations,custom Java/.NET,mainframe z/OS,API gateway/iPaaS,production,critical,Airline Operations AMS,VEND-AIRDN-094,CONT-AIRDN-0094,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0094,Flight operations and IROPS 094,Flight operations and IROPS,Airport Operations,mainframe workload,AWS workload,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-095,CONT-AIRDN-0095,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0095,Flight operations and IROPS 095,Flight operations and IROPS,Passenger Service,SAP module,hybrid,COBOL/CICS/DB2/MQ,pre-production,critical,Airline Operations AMS,VEND-AIRDN-096,CONT-AIRDN-0096,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0096,Flight operations and IROPS 096,Flight operations and IROPS,Operations Control,SaaS product,owned data center,mainframe batch scheduler,production,critical,Airline Operations AMS,VEND-AIRDN-097,CONT-AIRDN-0097,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0097,Flight operations and IROPS 097,Flight operations and IROPS,Flight Operations,operationally critical airline product,private cloud,Kafka/event streaming,production,critical,Airline Operations AMS,VEND-AIRDN-098,CONT-AIRDN-0098,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0098,Flight operations and IROPS 098,Flight operations and IROPS,Crew Operations,low-use high-risk legacy,mainframe z/OS,API gateway/iPaaS,DR,critical,Airline Operations AMS,VEND-AIRDN-099,CONT-AIRDN-0099,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0099,Flight operations and IROPS 099,Flight operations and IROPS,Airport Operations,strategic platform,AWS workload,Java/.NET custom,production,critical,Airline Operations AMS,VEND-AIRDN-100,CONT-AIRDN-0100,RTO/RPO to confirm,source-backed candidate,current
