program_id,program_name,owning_function,phase,business_outcome,benefit_disclosure_mode,dependency_family
PROG-AIRDN-056,Cloud migration program 056,Data and AI,P2 discovery,customer recovery,range,APP-AIRDN dependency family
PROG-AIRDN-057,Security uplift program 057,Cybersecurity,P3 option,supplier leverage,indexed,DATA-AIRDN dependency family
PROG-AIRDN-058,Sourcing transformation program 058,Workplace,P4 plan,data readiness,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-059,Station tech program 059,Service Management,P5 execute,risk reduction,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-060,Ops resilience program 060,Flight Operations,P0 idea,cost transparency,exact,APP-AIRDN dependency family
PROG-AIRDN-061,Crew recovery program 061,Operations Control,P1 charter,operational resilience,range,DATA-AIRDN dependency family
PROG-AIRDN-062,MRO modernization program 062,Crew Operations,P2 discovery,customer recovery,indexed,CONT-AIRDN dependency family
PROG-AIRDN-063,Digital servicing program 063,Technical Operations,P3 option,supplier leverage,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-064,ERP coexistence program 064,Airport Operations,P4 plan,data readiness,withheld,APP-AIRDN dependency family
PROG-AIRDN-065,Data foundation program 065,Passenger Service,P5 execute,risk reduction,exact,DATA-AIRDN dependency family
PROG-AIRDN-066,Cloud migration program 066,Commercial,P0 idea,cost transparency,range,CONT-AIRDN dependency family
PROG-AIRDN-067,Security uplift program 067,Cargo,P1 charter,operational resilience,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-068,Sourcing transformation program 068,Corporate Finance,P2 discovery,customer recovery,trend-only,APP-AIRDN dependency family
PROG-AIRDN-069,Station tech program 069,Procurement,P3 option,supplier leverage,withheld,DATA-AIRDN dependency family
PROG-AIRDN-070,Ops resilience program 070,Technology,P4 plan,data readiness,exact,CONT-AIRDN dependency family
PROG-AIRDN-071,Crew recovery program 071,Data and AI,P5 execute,risk reduction,range,INFRA-AIRDN dependency family
PROG-AIRDN-072,MRO modernization program 072,Cybersecurity,P0 idea,cost transparency,indexed,APP-AIRDN dependency family
PROG-AIRDN-073,Digital servicing program 073,Workplace,P1 charter,operational resilience,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-074,ERP coexistence program 074,Service Management,P2 discovery,customer recovery,withheld,CONT-AIRDN dependency family
PROG-AIRDN-075,Data foundation program 075,Flight Operations,P3 option,supplier leverage,exact,INFRA-AIRDN dependency family
PROG-AIRDN-076,Cloud migration program 076,Operations Control,P4 plan,data readiness,range,APP-AIRDN dependency family
PROG-AIRDN-077,Security uplift program 077,Crew Operations,P5 execute,risk reduction,indexed,DATA-AIRDN dependency family
PROG-AIRDN-078,Sourcing transformation program 078,Technical Operations,P0 idea,cost transparency,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-079,Station tech program 079,Airport Operations,P1 charter,operational resilience,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-080,Ops resilience program 080,Passenger Service,P2 discovery,customer recovery,exact,APP-AIRDN dependency family
PROG-AIRDN-081,Crew recovery program 081,Commercial,P3 option,supplier leverage,range,DATA-AIRDN dependency family
PROG-AIRDN-082,MRO modernization program 082,Cargo,P4 plan,data readiness,indexed,CONT-AIRDN dependency family
PROG-AIRDN-083,Digital servicing program 083,Corporate Finance,P5 execute,risk reduction,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-084,ERP coexistence program 084,Procurement,P0 idea,cost transparency,withheld,APP-AIRDN dependency family
PROG-AIRDN-085,Data foundation program 085,Technology,P1 charter,operational resilience,exact,DATA-AIRDN dependency family
PROG-AIRDN-086,Cloud migration program 086,Data and AI,P2 discovery,customer recovery,range,CONT-AIRDN dependency family
PROG-AIRDN-087,Security uplift program 087,Cybersecurity,P3 option,supplier leverage,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-088,Sourcing transformation program 088,Workplace,P4 plan,data readiness,trend-only,APP-AIRDN dependency family
PROG-AIRDN-089,Station tech program 089,Service Management,P5 execute,risk reduction,withheld,DATA-AIRDN dependency family
PROG-AIRDN-090,Ops resilience program 090,Flight Operations,P0 idea,cost transparency,exact,CONT-AIRDN dependency family
PROG-AIRDN-091,Crew recovery program 091,Operations Control,P1 charter,operational resilience,range,INFRA-AIRDN dependency family
PROG-AIRDN-092,MRO modernization program 092,Crew Operations,P2 discovery,customer recovery,indexed,APP-AIRDN dependency family
PROG-AIRDN-093,Digital servicing program 093,Technical Operations,P3 option,supplier leverage,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-094,ERP coexistence program 094,Airport Operations,P4 plan,data readiness,withheld,CONT-AIRDN dependency family
PROG-AIRDN-095,Data foundation program 095,Passenger Service,P5 execute,risk reduction,exact,INFRA-AIRDN dependency family
PROG-AIRDN-096,Cloud migration program 096,Commercial,P0 idea,cost transparency,range,APP-AIRDN dependency family
PROG-AIRDN-097,Security uplift program 097,Cargo,P1 charter,operational resilience,indexed,DATA-AIRDN dependency family
PROG-AIRDN-098,Sourcing transformation program 098,Corporate Finance,P2 discovery,customer recovery,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-099,Station tech program 099,Procurement,P3 option,supplier leverage,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-100,Ops resilience program 100,Technology,P4 plan,data readiness,exact,APP-AIRDN dependency family
PROG-AIRDN-101,Crew recovery program 101,Data and AI,P5 execute,risk reduction,range,DATA-AIRDN dependency family
PROG-AIRDN-102,MRO modernization program 102,Cybersecurity,P0 idea,cost transparency,indexed,CONT-AIRDN dependency family
PROG-AIRDN-103,Digital servicing program 103,Workplace,P1 charter,operational resilience,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-104,ERP coexistence program 104,Service Management,P2 discovery,customer recovery,withheld,APP-AIRDN dependency family
PROG-AIRDN-105,Data foundation program 105,Flight Operations,P3 option,supplier leverage,exact,DATA-AIRDN dependency family
PROG-AIRDN-106,Cloud migration program 106,Operations Control,P4 plan,data readiness,range,CONT-AIRDN dependency family
PROG-AIRDN-107,Security uplift program 107,Crew Operations,P5 execute,risk reduction,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-108,Sourcing transformation program 108,Technical Operations,P0 idea,cost transparency,trend-only,APP-AIRDN dependency family
PROG-AIRDN-109,Station tech program 109,Airport Operations,P1 charter,operational resilience,withheld,DATA-AIRDN dependency family
PROG-AIRDN-110,Ops resilience program 110,Passenger Service,P2 discovery,customer recovery,exact,CONT-AIRDN dependency family
PROG-AIRDN-111,Crew recovery program 111,Commercial,P3 option,supplier leverage,range,INFRA-AIRDN dependency family
PROG-AIRDN-112,MRO modernization program 112,Cargo,P4 plan,data readiness,indexed,APP-AIRDN dependency family
PROG-AIRDN-113,Digital servicing program 113,Corporate Finance,P5 execute,risk reduction,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-114,ERP coexistence program 114,Procurement,P0 idea,cost transparency,withheld,CONT-AIRDN dependency family
PROG-AIRDN-115,Data foundation program 115,Technology,P1 charter,operational resilience,exact,INFRA-AIRDN dependency family
PROG-AIRDN-116,Cloud migration program 116,Data and AI,P2 discovery,customer recovery,range,APP-AIRDN dependency family
PROG-AIRDN-117,Security uplift program 117,Cybersecurity,P3 option,supplier leverage,indexed,DATA-AIRDN dependency family
PROG-AIRDN-118,Sourcing transformation program 118,Workplace,P4 plan,data readiness,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-119,Station tech program 119,Service Management,P5 execute,risk reduction,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-120,Ops resilience program 120,Flight Operations,P0 idea,cost transparency,exact,APP-AIRDN dependency family
PROG-AIRDN-121,Crew recovery program 121,Operations Control,P1 charter,operational resilience,range,DATA-AIRDN dependency family
PROG-AIRDN-122,MRO modernization program 122,Crew Operations,P2 discovery,customer recovery,indexed,CONT-AIRDN dependency family
PROG-AIRDN-123,Digital servicing program 123,Technical Operations,P3 option,supplier leverage,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-124,ERP coexistence program 124,Airport Operations,P4 plan,data readiness,withheld,APP-AIRDN dependency family
PROG-AIRDN-125,Data foundation program 125,Passenger Service,P5 execute,risk reduction,exact,DATA-AIRDN dependency family
PROG-AIRDN-126,Cloud migration program 126,Commercial,P0 idea,cost transparency,range,CONT-AIRDN dependency family
PROG-AIRDN-127,Security uplift program 127,Cargo,P1 charter,operational resilience,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-128,Sourcing transformation program 128,Corporate Finance,P2 discovery,customer recovery,trend-only,APP-AIRDN dependency family
PROG-AIRDN-129,Station tech program 129,Procurement,P3 option,supplier leverage,withheld,DATA-AIRDN dependency family
PROG-AIRDN-130,Ops resilience program 130,Technology,P4 plan,data readiness,exact,CONT-AIRDN dependency family
PROG-AIRDN-131,Crew recovery program 131,Data and AI,P5 execute,risk reduction,range,INFRA-AIRDN dependency family
PROG-AIRDN-132,MRO modernization program 132,Cybersecurity,P0 idea,cost transparency,indexed,APP-AIRDN dependency family
PROG-AIRDN-133,Digital servicing program 133,Workplace,P1 charter,operational resilience,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-134,ERP coexistence program 134,Service Management,P2 discovery,customer recovery,withheld,CONT-AIRDN dependency family
PROG-AIRDN-135,Data foundation program 135,Flight Operations,P3 option,supplier leverage,exact,INFRA-AIRDN dependency family
PROG-AIRDN-136,Cloud migration program 136,Operations Control,P4 plan,data readiness,range,APP-AIRDN dependency family
PROG-AIRDN-137,Security uplift program 137,Crew Operations,P5 execute,risk reduction,indexed,DATA-AIRDN dependency family
PROG-AIRDN-138,Sourcing transformation program 138,Technical Operations,P0 idea,cost transparency,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-139,Station tech program 139,Airport Operations,P1 charter,operational resilience,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-140,Ops resilience program 140,Passenger Service,P2 discovery,customer recovery,exact,APP-AIRDN dependency family
PROG-AIRDN-141,Crew recovery program 141,Commercial,P3 option,supplier leverage,range,DATA-AIRDN dependency family
PROG-AIRDN-142,MRO modernization program 142,Cargo,P4 plan,data readiness,indexed,CONT-AIRDN dependency family
PROG-AIRDN-143,Digital servicing program 143,Corporate Finance,P5 execute,risk reduction,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-144,ERP coexistence program 144,Procurement,P0 idea,cost transparency,withheld,APP-AIRDN dependency family
PROG-AIRDN-145,Data foundation program 145,Technology,P1 charter,operational resilience,exact,DATA-AIRDN dependency family
PROG-AIRDN-146,Cloud migration program 146,Data and AI,P2 discovery,customer recovery,range,CONT-AIRDN dependency family
PROG-AIRDN-147,Security uplift program 147,Cybersecurity,P3 option,supplier leverage,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-148,Sourcing transformation program 148,Workplace,P4 plan,data readiness,trend-only,APP-AIRDN dependency family
PROG-AIRDN-149,Station tech program 149,Service Management,P5 execute,risk reduction,withheld,DATA-AIRDN dependency family
PROG-AIRDN-150,Ops resilience program 150,Flight Operations,P0 idea,cost transparency,exact,CONT-AIRDN dependency family
PROG-AIRDN-151,Crew recovery program 151,Operations Control,P1 charter,operational resilience,range,INFRA-AIRDN dependency family
PROG-AIRDN-152,MRO modernization program 152,Crew Operations,P2 discovery,customer recovery,indexed,APP-AIRDN dependency family
PROG-AIRDN-153,Digital servicing program 153,Technical Operations,P3 option,supplier leverage,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-154,ERP coexistence program 154,Airport Operations,P4 plan,data readiness,withheld,CONT-AIRDN dependency family
PROG-AIRDN-155,Data foundation program 155,Passenger Service,P5 execute,risk reduction,exact,INFRA-AIRDN dependency family
PROG-AIRDN-156,Cloud migration program 156,Commercial,P0 idea,cost transparency,range,APP-AIRDN dependency family
PROG-AIRDN-157,Security uplift program 157,Cargo,P1 charter,operational resilience,indexed,DATA-AIRDN dependency family
PROG-AIRDN-158,Sourcing transformation program 158,Corporate Finance,P2 discovery,customer recovery,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-159,Station tech program 159,Procurement,P3 option,supplier leverage,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-160,Ops resilience program 160,Technology,P4 plan,data readiness,exact,APP-AIRDN dependency family
PROG-AIRDN-161,Crew recovery program 161,Data and AI,P5 execute,risk reduction,range,DATA-AIRDN dependency family
PROG-AIRDN-162,MRO modernization program 162,Cybersecurity,P0 idea,cost transparency,indexed,CONT-AIRDN dependency family
PROG-AIRDN-163,Digital servicing program 163,Workplace,P1 charter,operational resilience,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-164,ERP coexistence program 164,Service Management,P2 discovery,customer recovery,withheld,APP-AIRDN dependency family
PROG-AIRDN-165,Data foundation program 165,Flight Operations,P3 option,supplier leverage,exact,DATA-AIRDN dependency family
PROG-AIRDN-166,Cloud migration program 166,Operations Control,P4 plan,data readiness,range,CONT-AIRDN dependency family
PROG-AIRDN-167,Security uplift program 167,Crew Operations,P5 execute,risk reduction,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-168,Sourcing transformation program 168,Technical Operations,P0 idea,cost transparency,trend-only,APP-AIRDN dependency family
PROG-AIRDN-169,Station tech program 169,Airport Operations,P1 charter,operational resilience,withheld,DATA-AIRDN dependency family
PROG-AIRDN-170,Ops resilience program 170,Passenger Service,P2 discovery,customer recovery,exact,CONT-AIRDN dependency family
PROG-AIRDN-171,Crew recovery program 171,Commercial,P3 option,supplier leverage,range,INFRA-AIRDN dependency family
PROG-AIRDN-172,MRO modernization program 172,Cargo,P4 plan,data readiness,indexed,APP-AIRDN dependency family
PROG-AIRDN-173,Digital servicing program 173,Corporate Finance,P5 execute,risk reduction,trend-only,DATA-AIRDN dependency family
PROG-AIRDN-174,ERP coexistence program 174,Procurement,P0 idea,cost transparency,withheld,CONT-AIRDN dependency family
PROG-AIRDN-175,Data foundation program 175,Technology,P1 charter,operational resilience,exact,INFRA-AIRDN dependency family
PROG-AIRDN-176,Cloud migration program 176,Data and AI,P2 discovery,customer recovery,range,APP-AIRDN dependency family
PROG-AIRDN-177,Security uplift program 177,Cybersecurity,P3 option,supplier leverage,indexed,DATA-AIRDN dependency family
PROG-AIRDN-178,Sourcing transformation program 178,Workplace,P4 plan,data readiness,trend-only,CONT-AIRDN dependency family
PROG-AIRDN-179,Station tech program 179,Service Management,P5 execute,risk reduction,withheld,INFRA-AIRDN dependency family
PROG-AIRDN-180,Ops resilience program 180,Flight Operations,P0 idea,cost transparency,exact,APP-AIRDN dependency family
PROG-AIRDN-181,Crew recovery program 181,Operations Control,P1 charter,operational resilience,range,DATA-AIRDN dependency family
PROG-AIRDN-182,MRO modernization program 182,Crew Operations,P2 discovery,customer recovery,indexed,CONT-AIRDN dependency family
PROG-AIRDN-183,Digital servicing program 183,Technical Operations,P3 option,supplier leverage,trend-only,INFRA-AIRDN dependency family
PROG-AIRDN-184,ERP coexistence program 184,Airport Operations,P4 plan,data readiness,withheld,APP-AIRDN dependency family
PROG-AIRDN-185,Data foundation program 185,Passenger Service,P5 execute,risk reduction,exact,DATA-AIRDN dependency family
PROG-AIRDN-186,Cloud migration program 186,Commercial,P0 idea,cost transparency,range,CONT-AIRDN dependency family
PROG-AIRDN-187,Security uplift program 187,Cargo,P1 charter,operational resilience,indexed,INFRA-AIRDN dependency family
PROG-AIRDN-188,Sourcing transformation program 188,Corporate Finance,P2 discovery,customer recovery,trend-only,APP-AIRDN dependency family
PROG-AIRDN-189,Station tech program 189,Procurement,P3 option,supplier leverage,withheld,DATA-AIRDN dependency family
PROG-AIRDN-190,Ops resilience program 190,Technology,P4 plan,data readiness,exact,CONT-AIRDN dependency family
