workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-AIRDN-00077,managed-service role,Crew Operations,Airline Operations AMS,security,nearshore,transition sensitive
WORK-AIRDN-00078,employee,Technical Operations,Corporate and SAP AMS,data,offshore,standard
WORK-AIRDN-00079,contractor,Airport Operations,Digital Customer and Loyalty AMS,procurement,hybrid,standard
WORK-AIRDN-00080,managed-service role,Passenger Service,Data Analytics and Integration,finance,onsite,critical knowledge holder
WORK-AIRDN-00081,employee,Commercial,Cloud Infrastructure and Mainframe,architecture,nearshore,standard
WORK-AIRDN-00082,contractor,Cargo,Workplace Service Desk and Field Support,operations,offshore,standard
WORK-AIRDN-00083,managed-service role,Corporate Finance,SIAM Observability and Service Governance,engineering,hybrid,standard
WORK-AIRDN-00084,employee,Procurement,Airline Operations AMS,support,onsite,standard
WORK-AIRDN-00085,contractor,Technology,Corporate and SAP AMS,service management,nearshore,standard
WORK-AIRDN-00086,managed-service role,Data and AI,Digital Customer and Loyalty AMS,security,offshore,standard
WORK-AIRDN-00087,employee,Cybersecurity,Data Analytics and Integration,data,hybrid,standard
WORK-AIRDN-00088,contractor,Workplace,Cloud Infrastructure and Mainframe,procurement,onsite,critical knowledge holder
WORK-AIRDN-00089,managed-service role,Service Management,Workplace Service Desk and Field Support,finance,nearshore,standard
WORK-AIRDN-00090,employee,Flight Operations,SIAM Observability and Service Governance,architecture,offshore,standard
WORK-AIRDN-00091,contractor,Operations Control,Airline Operations AMS,operations,hybrid,standard
WORK-AIRDN-00092,managed-service role,Crew Operations,Corporate and SAP AMS,engineering,onsite,standard
WORK-AIRDN-00093,employee,Technical Operations,Digital Customer and Loyalty AMS,support,nearshore,standard
WORK-AIRDN-00094,contractor,Airport Operations,Data Analytics and Integration,service management,offshore,standard
WORK-AIRDN-00095,managed-service role,Passenger Service,Cloud Infrastructure and Mainframe,security,hybrid,standard
WORK-AIRDN-00096,employee,Commercial,Workplace Service Desk and Field Support,data,onsite,critical knowledge holder
WORK-AIRDN-00097,contractor,Cargo,SIAM Observability and Service Governance,procurement,nearshore,standard
WORK-AIRDN-00098,managed-service role,Corporate Finance,Airline Operations AMS,finance,offshore,standard
WORK-AIRDN-00099,employee,Procurement,Corporate and SAP AMS,architecture,hybrid,transition sensitive
WORK-AIRDN-00100,contractor,Technology,Digital Customer and Loyalty AMS,operations,onsite,standard
WORK-AIRDN-00101,managed-service role,Data and AI,Data Analytics and Integration,engineering,nearshore,standard
WORK-AIRDN-00102,employee,Cybersecurity,Cloud Infrastructure and Mainframe,support,offshore,standard
WORK-AIRDN-00103,contractor,Workplace,Workplace Service Desk and Field Support,service management,hybrid,standard
WORK-AIRDN-00104,managed-service role,Service Management,SIAM Observability and Service Governance,security,onsite,critical knowledge holder
WORK-AIRDN-00105,employee,Flight Operations,Airline Operations AMS,data,nearshore,standard
WORK-AIRDN-00106,contractor,Operations Control,Corporate and SAP AMS,procurement,offshore,standard
WORK-AIRDN-00107,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,finance,hybrid,standard
WORK-AIRDN-00108,employee,Technical Operations,Data Analytics and Integration,architecture,onsite,standard
WORK-AIRDN-00109,contractor,Airport Operations,Cloud Infrastructure and Mainframe,operations,nearshore,standard
WORK-AIRDN-00110,managed-service role,Passenger Service,Workplace Service Desk and Field Support,engineering,offshore,transition sensitive
WORK-AIRDN-00111,employee,Commercial,SIAM Observability and Service Governance,support,hybrid,standard
WORK-AIRDN-00112,contractor,Cargo,Airline Operations AMS,service management,onsite,critical knowledge holder
WORK-AIRDN-00113,managed-service role,Corporate Finance,Corporate and SAP AMS,security,nearshore,standard
WORK-AIRDN-00114,employee,Procurement,Digital Customer and Loyalty AMS,data,offshore,standard
WORK-AIRDN-00115,contractor,Technology,Data Analytics and Integration,procurement,hybrid,standard
WORK-AIRDN-00116,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,finance,onsite,standard
WORK-AIRDN-00117,employee,Cybersecurity,Workplace Service Desk and Field Support,architecture,nearshore,standard
WORK-AIRDN-00118,contractor,Workplace,SIAM Observability and Service Governance,operations,offshore,standard
WORK-AIRDN-00119,managed-service role,Service Management,Airline Operations AMS,engineering,hybrid,standard
WORK-AIRDN-00120,employee,Flight Operations,Corporate and SAP AMS,support,onsite,critical knowledge holder
WORK-AIRDN-00121,contractor,Operations Control,Digital Customer and Loyalty AMS,service management,nearshore,transition sensitive
WORK-AIRDN-00122,managed-service role,Crew Operations,Data Analytics and Integration,security,offshore,standard
WORK-AIRDN-00123,employee,Technical Operations,Cloud Infrastructure and Mainframe,data,hybrid,standard
WORK-AIRDN-00124,contractor,Airport Operations,Workplace Service Desk and Field Support,procurement,onsite,standard
WORK-AIRDN-00125,managed-service role,Passenger Service,SIAM Observability and Service Governance,finance,nearshore,standard
WORK-AIRDN-00126,employee,Commercial,Airline Operations AMS,architecture,offshore,standard
WORK-AIRDN-00127,contractor,Cargo,Corporate and SAP AMS,operations,hybrid,standard
WORK-AIRDN-00128,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,engineering,onsite,critical knowledge holder
WORK-AIRDN-00129,employee,Procurement,Data Analytics and Integration,support,nearshore,standard
WORK-AIRDN-00130,contractor,Technology,Cloud Infrastructure and Mainframe,service management,offshore,standard
WORK-AIRDN-00131,managed-service role,Data and AI,Workplace Service Desk and Field Support,security,hybrid,standard
WORK-AIRDN-00132,employee,Cybersecurity,SIAM Observability and Service Governance,data,onsite,transition sensitive
WORK-AIRDN-00133,contractor,Workplace,Airline Operations AMS,procurement,nearshore,standard
WORK-AIRDN-00134,managed-service role,Service Management,Corporate and SAP AMS,finance,offshore,standard
WORK-AIRDN-00135,employee,Flight Operations,Digital Customer and Loyalty AMS,architecture,hybrid,standard
WORK-AIRDN-00136,contractor,Operations Control,Data Analytics and Integration,operations,onsite,critical knowledge holder
WORK-AIRDN-00137,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,engineering,nearshore,standard
WORK-AIRDN-00138,employee,Technical Operations,Workplace Service Desk and Field Support,support,offshore,standard
WORK-AIRDN-00139,contractor,Airport Operations,SIAM Observability and Service Governance,service management,hybrid,standard
WORK-AIRDN-00140,managed-service role,Passenger Service,Airline Operations AMS,security,onsite,standard
WORK-AIRDN-00141,employee,Commercial,Corporate and SAP AMS,data,nearshore,standard
WORK-AIRDN-00142,contractor,Cargo,Digital Customer and Loyalty AMS,procurement,offshore,standard
WORK-AIRDN-00143,managed-service role,Corporate Finance,Data Analytics and Integration,finance,hybrid,transition sensitive
WORK-AIRDN-00144,employee,Procurement,Cloud Infrastructure and Mainframe,architecture,onsite,critical knowledge holder
WORK-AIRDN-00145,contractor,Technology,Workplace Service Desk and Field Support,operations,nearshore,standard
WORK-AIRDN-00146,managed-service role,Data and AI,SIAM Observability and Service Governance,engineering,offshore,standard
WORK-AIRDN-00147,employee,Cybersecurity,Airline Operations AMS,support,hybrid,standard
WORK-AIRDN-00148,contractor,Workplace,Corporate and SAP AMS,service management,onsite,standard
WORK-AIRDN-00149,managed-service role,Service Management,Digital Customer and Loyalty AMS,security,nearshore,standard
WORK-AIRDN-00150,employee,Flight Operations,Data Analytics and Integration,data,offshore,standard
WORK-AIRDN-00151,contractor,Operations Control,Cloud Infrastructure and Mainframe,procurement,hybrid,standard
WORK-AIRDN-00152,managed-service role,Crew Operations,Workplace Service Desk and Field Support,finance,onsite,critical knowledge holder
WORK-AIRDN-00153,employee,Technical Operations,SIAM Observability and Service Governance,architecture,nearshore,standard
WORK-AIRDN-00154,contractor,Airport Operations,Airline Operations AMS,operations,offshore,transition sensitive
WORK-AIRDN-00155,managed-service role,Passenger Service,Corporate and SAP AMS,engineering,hybrid,standard
WORK-AIRDN-00156,employee,Commercial,Digital Customer and Loyalty AMS,support,onsite,standard
WORK-AIRDN-00157,contractor,Cargo,Data Analytics and Integration,service management,nearshore,standard
WORK-AIRDN-00158,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,security,offshore,standard
WORK-AIRDN-00159,employee,Procurement,Workplace Service Desk and Field Support,data,hybrid,standard
WORK-AIRDN-00160,contractor,Technology,SIAM Observability and Service Governance,procurement,onsite,critical knowledge holder
WORK-AIRDN-00161,managed-service role,Data and AI,Airline Operations AMS,finance,nearshore,standard
WORK-AIRDN-00162,employee,Cybersecurity,Corporate and SAP AMS,architecture,offshore,standard
WORK-AIRDN-00163,contractor,Workplace,Digital Customer and Loyalty AMS,operations,hybrid,standard
WORK-AIRDN-00164,managed-service role,Service Management,Data Analytics and Integration,engineering,onsite,standard
WORK-AIRDN-00165,employee,Flight Operations,Cloud Infrastructure and Mainframe,support,nearshore,transition sensitive
WORK-AIRDN-00166,contractor,Operations Control,Workplace Service Desk and Field Support,service management,offshore,standard
WORK-AIRDN-00167,managed-service role,Crew Operations,SIAM Observability and Service Governance,security,hybrid,standard
WORK-AIRDN-00168,employee,Technical Operations,Airline Operations AMS,data,onsite,critical knowledge holder
WORK-AIRDN-00169,contractor,Airport Operations,Corporate and SAP AMS,procurement,nearshore,standard
WORK-AIRDN-00170,managed-service role,Passenger Service,Digital Customer and Loyalty AMS,finance,offshore,standard
WORK-AIRDN-00171,employee,Commercial,Data Analytics and Integration,architecture,hybrid,standard
WORK-AIRDN-00172,contractor,Cargo,Cloud Infrastructure and Mainframe,operations,onsite,standard
WORK-AIRDN-00173,managed-service role,Corporate Finance,Workplace Service Desk and Field Support,engineering,nearshore,standard
WORK-AIRDN-00174,employee,Procurement,SIAM Observability and Service Governance,support,offshore,standard
WORK-AIRDN-00175,contractor,Technology,Airline Operations AMS,service management,hybrid,standard
WORK-AIRDN-00176,managed-service role,Data and AI,Corporate and SAP AMS,security,onsite,critical knowledge holder
WORK-AIRDN-00177,employee,Cybersecurity,Digital Customer and Loyalty AMS,data,nearshore,standard
WORK-AIRDN-00178,contractor,Workplace,Data Analytics and Integration,procurement,offshore,standard
WORK-AIRDN-00179,managed-service role,Service Management,Cloud Infrastructure and Mainframe,finance,hybrid,standard
WORK-AIRDN-00180,employee,Flight Operations,Workplace Service Desk and Field Support,architecture,onsite,standard
WORK-AIRDN-00181,contractor,Operations Control,SIAM Observability and Service Governance,operations,nearshore,standard
WORK-AIRDN-00182,managed-service role,Crew Operations,Airline Operations AMS,engineering,offshore,standard
WORK-AIRDN-00183,employee,Technical Operations,Corporate and SAP AMS,support,hybrid,standard
WORK-AIRDN-00184,contractor,Airport Operations,Digital Customer and Loyalty AMS,service management,onsite,critical knowledge holder
WORK-AIRDN-00185,managed-service role,Passenger Service,Data Analytics and Integration,security,nearshore,standard
WORK-AIRDN-00186,employee,Commercial,Cloud Infrastructure and Mainframe,data,offshore,standard
WORK-AIRDN-00187,contractor,Cargo,Workplace Service Desk and Field Support,procurement,hybrid,transition sensitive
WORK-AIRDN-00188,managed-service role,Corporate Finance,SIAM Observability and Service Governance,finance,onsite,standard
WORK-AIRDN-00189,employee,Procurement,Airline Operations AMS,architecture,nearshore,standard
WORK-AIRDN-00190,contractor,Technology,Corporate and SAP AMS,operations,offshore,standard
WORK-AIRDN-00191,managed-service role,Data and AI,Digital Customer and Loyalty AMS,engineering,hybrid,standard
WORK-AIRDN-00192,employee,Cybersecurity,Data Analytics and Integration,support,onsite,critical knowledge holder
WORK-AIRDN-00193,contractor,Workplace,Cloud Infrastructure and Mainframe,service management,nearshore,standard
WORK-AIRDN-00194,managed-service role,Service Management,Workplace Service Desk and Field Support,security,offshore,standard
WORK-AIRDN-00195,employee,Flight Operations,SIAM Observability and Service Governance,data,hybrid,standard
WORK-AIRDN-00196,contractor,Operations Control,Airline Operations AMS,procurement,onsite,standard
WORK-AIRDN-00197,managed-service role,Crew Operations,Corporate and SAP AMS,finance,nearshore,standard
WORK-AIRDN-00198,employee,Technical Operations,Digital Customer and Loyalty AMS,architecture,offshore,transition sensitive
WORK-AIRDN-00199,contractor,Airport Operations,Data Analytics and Integration,operations,hybrid,standard
WORK-AIRDN-00200,managed-service role,Passenger Service,Cloud Infrastructure and Mainframe,engineering,onsite,critical knowledge holder
WORK-AIRDN-00201,employee,Commercial,Workplace Service Desk and Field Support,support,nearshore,standard
WORK-AIRDN-00202,contractor,Cargo,SIAM Observability and Service Governance,service management,offshore,standard
WORK-AIRDN-00203,managed-service role,Corporate Finance,Airline Operations AMS,security,hybrid,standard
WORK-AIRDN-00204,employee,Procurement,Corporate and SAP AMS,data,onsite,standard
WORK-AIRDN-00205,contractor,Technology,Digital Customer and Loyalty AMS,procurement,nearshore,standard
WORK-AIRDN-00206,managed-service role,Data and AI,Data Analytics and Integration,finance,offshore,standard
WORK-AIRDN-00207,employee,Cybersecurity,Cloud Infrastructure and Mainframe,architecture,hybrid,standard
WORK-AIRDN-00208,contractor,Workplace,Workplace Service Desk and Field Support,operations,onsite,critical knowledge holder
WORK-AIRDN-00209,managed-service role,Service Management,SIAM Observability and Service Governance,engineering,nearshore,transition sensitive
WORK-AIRDN-00210,employee,Flight Operations,Airline Operations AMS,support,offshore,standard
WORK-AIRDN-00211,contractor,Operations Control,Corporate and SAP AMS,service management,hybrid,standard
WORK-AIRDN-00212,managed-service role,Crew Operations,Digital Customer and Loyalty AMS,security,onsite,standard
WORK-AIRDN-00213,employee,Technical Operations,Data Analytics and Integration,data,nearshore,standard
WORK-AIRDN-00214,contractor,Airport Operations,Cloud Infrastructure and Mainframe,procurement,offshore,standard
WORK-AIRDN-00215,managed-service role,Passenger Service,Workplace Service Desk and Field Support,finance,hybrid,standard
WORK-AIRDN-00216,employee,Commercial,SIAM Observability and Service Governance,architecture,onsite,critical knowledge holder
WORK-AIRDN-00217,contractor,Cargo,Airline Operations AMS,operations,nearshore,standard
WORK-AIRDN-00218,managed-service role,Corporate Finance,Corporate and SAP AMS,engineering,offshore,standard
WORK-AIRDN-00219,employee,Procurement,Digital Customer and Loyalty AMS,support,hybrid,standard
WORK-AIRDN-00220,contractor,Technology,Data Analytics and Integration,service management,onsite,transition sensitive
WORK-AIRDN-00221,managed-service role,Data and AI,Cloud Infrastructure and Mainframe,security,nearshore,standard
WORK-AIRDN-00222,employee,Cybersecurity,Workplace Service Desk and Field Support,data,offshore,standard
WORK-AIRDN-00223,contractor,Workplace,SIAM Observability and Service Governance,procurement,hybrid,standard
WORK-AIRDN-00224,managed-service role,Service Management,Airline Operations AMS,finance,onsite,critical knowledge holder
WORK-AIRDN-00225,employee,Flight Operations,Corporate and SAP AMS,architecture,nearshore,standard
WORK-AIRDN-00226,contractor,Operations Control,Digital Customer and Loyalty AMS,operations,offshore,standard
WORK-AIRDN-00227,managed-service role,Crew Operations,Data Analytics and Integration,engineering,hybrid,standard
WORK-AIRDN-00228,employee,Technical Operations,Cloud Infrastructure and Mainframe,support,onsite,standard
WORK-AIRDN-00229,contractor,Airport Operations,Workplace Service Desk and Field Support,service management,nearshore,standard
WORK-AIRDN-00230,managed-service role,Passenger Service,SIAM Observability and Service Governance,security,offshore,standard
WORK-AIRDN-00231,employee,Commercial,Airline Operations AMS,data,hybrid,transition sensitive
WORK-AIRDN-00232,contractor,Cargo,Corporate and SAP AMS,procurement,onsite,critical knowledge holder
WORK-AIRDN-00233,managed-service role,Corporate Finance,Digital Customer and Loyalty AMS,finance,nearshore,standard
WORK-AIRDN-00234,employee,Procurement,Data Analytics and Integration,architecture,offshore,standard
WORK-AIRDN-00235,contractor,Technology,Cloud Infrastructure and Mainframe,operations,hybrid,standard
WORK-AIRDN-00236,managed-service role,Data and AI,Workplace Service Desk and Field Support,engineering,onsite,standard
WORK-AIRDN-00237,employee,Cybersecurity,SIAM Observability and Service Governance,support,nearshore,standard
WORK-AIRDN-00238,contractor,Workplace,Airline Operations AMS,service management,offshore,standard
WORK-AIRDN-00239,managed-service role,Service Management,Corporate and SAP AMS,security,hybrid,standard
WORK-AIRDN-00240,employee,Flight Operations,Digital Customer and Loyalty AMS,data,onsite,critical knowledge holder
WORK-AIRDN-00241,contractor,Operations Control,Data Analytics and Integration,procurement,nearshore,standard
WORK-AIRDN-00242,managed-service role,Crew Operations,Cloud Infrastructure and Mainframe,finance,offshore,transition sensitive
WORK-AIRDN-00243,employee,Technical Operations,Workplace Service Desk and Field Support,architecture,hybrid,standard
WORK-AIRDN-00244,contractor,Airport Operations,SIAM Observability and Service Governance,operations,onsite,standard
WORK-AIRDN-00245,managed-service role,Passenger Service,Airline Operations AMS,engineering,nearshore,standard
WORK-AIRDN-00246,employee,Commercial,Corporate and SAP AMS,support,offshore,standard
WORK-AIRDN-00247,contractor,Cargo,Digital Customer and Loyalty AMS,service management,hybrid,standard
WORK-AIRDN-00248,managed-service role,Corporate Finance,Data Analytics and Integration,security,onsite,critical knowledge holder
WORK-AIRDN-00249,employee,Procurement,Cloud Infrastructure and Mainframe,data,nearshore,standard
WORK-AIRDN-00250,contractor,Technology,Workplace Service Desk and Field Support,procurement,offshore,standard
WORK-AIRDN-00251,managed-service role,Data and AI,SIAM Observability and Service Governance,finance,hybrid,standard
WORK-AIRDN-00252,employee,Cybersecurity,Airline Operations AMS,architecture,onsite,standard
WORK-AIRDN-00253,contractor,Workplace,Corporate and SAP AMS,operations,nearshore,transition sensitive
WORK-AIRDN-00254,managed-service role,Service Management,Digital Customer and Loyalty AMS,engineering,offshore,standard
WORK-AIRDN-00255,employee,Flight Operations,Data Analytics and Integration,support,hybrid,standard
WORK-AIRDN-00256,contractor,Operations Control,Cloud Infrastructure and Mainframe,service management,onsite,critical knowledge holder
WORK-AIRDN-00257,managed-service role,Crew Operations,Workplace Service Desk and Field Support,security,nearshore,standard
WORK-AIRDN-00258,employee,Technical Operations,SIAM Observability and Service Governance,data,offshore,standard
WORK-AIRDN-00259,contractor,Airport Operations,Airline Operations AMS,procurement,hybrid,standard
WORK-AIRDN-00260,managed-service role,Passenger Service,Corporate and SAP AMS,finance,onsite,standard
WORK-AIRDN-00261,employee,Commercial,Digital Customer and Loyalty AMS,architecture,nearshore,standard
WORK-AIRDN-00262,contractor,Cargo,Data Analytics and Integration,operations,offshore,standard
WORK-AIRDN-00263,managed-service role,Corporate Finance,Cloud Infrastructure and Mainframe,engineering,hybrid,standard
WORK-AIRDN-00264,employee,Procurement,Workplace Service Desk and Field Support,support,onsite,critical knowledge holder
WORK-AIRDN-00265,contractor,Technology,SIAM Observability and Service Governance,service management,nearshore,standard
WORK-AIRDN-00266,managed-service role,Data and AI,Airline Operations AMS,security,offshore,standard
WORK-AIRDN-00267,employee,Cybersecurity,Corporate and SAP AMS,data,hybrid,standard
WORK-AIRDN-00268,contractor,Workplace,Digital Customer and Loyalty AMS,procurement,onsite,standard
WORK-AIRDN-00269,managed-service role,Service Management,Data Analytics and Integration,finance,nearshore,standard
WORK-AIRDN-00270,employee,Flight Operations,Cloud Infrastructure and Mainframe,architecture,offshore,standard
WORK-AIRDN-00271,contractor,Operations Control,Workplace Service Desk and Field Support,operations,hybrid,standard
WORK-AIRDN-00272,managed-service role,Crew Operations,SIAM Observability and Service Governance,engineering,onsite,critical knowledge holder
WORK-AIRDN-00273,employee,Technical Operations,Airline Operations AMS,support,nearshore,standard
WORK-AIRDN-00274,contractor,Airport Operations,Corporate and SAP AMS,service management,offshore,standard
WORK-AIRDN-00275,managed-service role,Passenger Service,Digital Customer and Loyalty AMS,security,hybrid,transition sensitive
WORK-AIRDN-00276,employee,Commercial,Data Analytics and Integration,data,onsite,standard
WORK-AIRDN-00277,contractor,Cargo,Cloud Infrastructure and Mainframe,procurement,nearshore,standard
WORK-AIRDN-00278,managed-service role,Corporate Finance,Workplace Service Desk and Field Support,finance,offshore,standard
WORK-AIRDN-00279,employee,Procurement,SIAM Observability and Service Governance,architecture,hybrid,standard
WORK-AIRDN-00280,contractor,Technology,Airline Operations AMS,operations,onsite,critical knowledge holder
WORK-AIRDN-00281,managed-service role,Data and AI,Corporate and SAP AMS,engineering,nearshore,standard
WORK-AIRDN-00282,employee,Cybersecurity,Digital Customer and Loyalty AMS,support,offshore,standard
WORK-AIRDN-00283,contractor,Workplace,Data Analytics and Integration,service management,hybrid,standard
WORK-AIRDN-00284,managed-service role,Service Management,Cloud Infrastructure and Mainframe,security,onsite,standard
WORK-AIRDN-00285,employee,Flight Operations,Workplace Service Desk and Field Support,data,nearshore,standard
WORK-AIRDN-00286,contractor,Operations Control,SIAM Observability and Service Governance,procurement,offshore,transition sensitive
