kpi_id,kpi_name,owner_function,disclosure_mode,direction,evidence_state,source_id
KPI-AIRDN-030,data freshness KPI 030,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-031,report retirement KPI 031,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-032,vendor SLA KPI 032,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-033,transition readiness KPI 033,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-034,value realization KPI 034,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-035,mainframe batch success KPI 035,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-036,IROPS recovery KPI 036,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-037,crew recovery KPI 037,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-038,station reliability KPI 038,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-039,application availability KPI 039,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-040,incident MTTR KPI 040,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-041,cloud unit cost KPI 041,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-042,data freshness KPI 042,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-043,report retirement KPI 043,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-044,vendor SLA KPI 044,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-045,transition readiness KPI 045,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-046,value realization KPI 046,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-047,mainframe batch success KPI 047,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-048,IROPS recovery KPI 048,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-049,crew recovery KPI 049,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-050,station reliability KPI 050,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-051,application availability KPI 051,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-052,incident MTTR KPI 052,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-053,cloud unit cost KPI 053,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-054,data freshness KPI 054,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-055,report retirement KPI 055,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-056,vendor SLA KPI 056,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-057,transition readiness KPI 057,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-058,value realization KPI 058,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-059,mainframe batch success KPI 059,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-060,IROPS recovery KPI 060,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
KPI-AIRDN-061,crew recovery KPI 061,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-062
KPI-AIRDN-062,station reliability KPI 062,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-063
KPI-AIRDN-063,application availability KPI 063,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-064
KPI-AIRDN-064,incident MTTR KPI 064,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-065
KPI-AIRDN-065,cloud unit cost KPI 065,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-066
KPI-AIRDN-066,data freshness KPI 066,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-067
KPI-AIRDN-067,report retirement KPI 067,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-068
KPI-AIRDN-068,vendor SLA KPI 068,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-069
KPI-AIRDN-069,transition readiness KPI 069,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-070
KPI-AIRDN-070,value realization KPI 070,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-071
KPI-AIRDN-071,mainframe batch success KPI 071,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-072
KPI-AIRDN-072,IROPS recovery KPI 072,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-001
KPI-AIRDN-073,crew recovery KPI 073,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-074,station reliability KPI 074,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-075,application availability KPI 075,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-076,incident MTTR KPI 076,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-077,cloud unit cost KPI 077,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-078,data freshness KPI 078,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-079,report retirement KPI 079,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-080,vendor SLA KPI 080,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-081,transition readiness KPI 081,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-082,value realization KPI 082,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-083,mainframe batch success KPI 083,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-012
KPI-AIRDN-084,IROPS recovery KPI 084,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-085,crew recovery KPI 085,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-086,station reliability KPI 086,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-087,application availability KPI 087,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-088,incident MTTR KPI 088,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-089,cloud unit cost KPI 089,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-090,data freshness KPI 090,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-091,report retirement KPI 091,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-092,vendor SLA KPI 092,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-093,transition readiness KPI 093,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-094,value realization KPI 094,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-095,mainframe batch success KPI 095,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-096,IROPS recovery KPI 096,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-097,crew recovery KPI 097,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-098,station reliability KPI 098,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-099,application availability KPI 099,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-100,incident MTTR KPI 100,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-101,cloud unit cost KPI 101,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
KPI-AIRDN-102,data freshness KPI 102,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-103,report retirement KPI 103,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-104,vendor SLA KPI 104,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-105,transition readiness KPI 105,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-106,value realization KPI 106,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-107,mainframe batch success KPI 107,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-108,IROPS recovery KPI 108,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-109,crew recovery KPI 109,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-110,station reliability KPI 110,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-111,application availability KPI 111,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-112,incident MTTR KPI 112,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-113,cloud unit cost KPI 113,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-114,data freshness KPI 114,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-115,report retirement KPI 115,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-116,vendor SLA KPI 116,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-117,transition readiness KPI 117,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-118,value realization KPI 118,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-119,mainframe batch success KPI 119,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-120,IROPS recovery KPI 120,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-121,crew recovery KPI 121,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-122,station reliability KPI 122,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-123,application availability KPI 123,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-124,incident MTTR KPI 124,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-125,cloud unit cost KPI 125,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-126,data freshness KPI 126,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-127,report retirement KPI 127,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-128,vendor SLA KPI 128,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-129,transition readiness KPI 129,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-130,value realization KPI 130,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-131,mainframe batch success KPI 131,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-132,IROPS recovery KPI 132,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
KPI-AIRDN-133,crew recovery KPI 133,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-062
KPI-AIRDN-134,station reliability KPI 134,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-063
KPI-AIRDN-135,application availability KPI 135,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-064
KPI-AIRDN-136,incident MTTR KPI 136,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-065
KPI-AIRDN-137,cloud unit cost KPI 137,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-066
KPI-AIRDN-138,data freshness KPI 138,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-067
KPI-AIRDN-139,report retirement KPI 139,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-068
KPI-AIRDN-140,vendor SLA KPI 140,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-069
KPI-AIRDN-141,transition readiness KPI 141,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-070
KPI-AIRDN-142,value realization KPI 142,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-071
KPI-AIRDN-143,mainframe batch success KPI 143,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-072
KPI-AIRDN-144,IROPS recovery KPI 144,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-001
KPI-AIRDN-145,crew recovery KPI 145,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-146,station reliability KPI 146,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-147,application availability KPI 147,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-148,incident MTTR KPI 148,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-149,cloud unit cost KPI 149,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-150,data freshness KPI 150,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-151,report retirement KPI 151,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-152,vendor SLA KPI 152,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-153,transition readiness KPI 153,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-154,value realization KPI 154,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-155,mainframe batch success KPI 155,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-012
KPI-AIRDN-156,IROPS recovery KPI 156,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-013
KPI-AIRDN-157,crew recovery KPI 157,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-014
KPI-AIRDN-158,station reliability KPI 158,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-015
KPI-AIRDN-159,application availability KPI 159,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-016
KPI-AIRDN-160,incident MTTR KPI 160,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-017
KPI-AIRDN-161,cloud unit cost KPI 161,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-018
KPI-AIRDN-162,data freshness KPI 162,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-019
KPI-AIRDN-163,report retirement KPI 163,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-020
KPI-AIRDN-164,vendor SLA KPI 164,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-021
KPI-AIRDN-165,transition readiness KPI 165,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-022
KPI-AIRDN-166,value realization KPI 166,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-023
KPI-AIRDN-167,mainframe batch success KPI 167,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-024
KPI-AIRDN-168,IROPS recovery KPI 168,Technical Operations,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-025
KPI-AIRDN-169,crew recovery KPI 169,Airport Operations,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-026
KPI-AIRDN-170,station reliability KPI 170,Passenger Service,exact,within threshold,conflicting source,SRC-AIRDN-KPI-027
KPI-AIRDN-171,application availability KPI 171,Commercial,range,binary gate,industry pattern only,SRC-AIRDN-KPI-028
KPI-AIRDN-172,incident MTTR KPI 172,Cargo,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-029
KPI-AIRDN-173,cloud unit cost KPI 173,Corporate Finance,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-030
KPI-AIRDN-174,data freshness KPI 174,Procurement,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-031
KPI-AIRDN-175,report retirement KPI 175,Technology,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-032
KPI-AIRDN-176,vendor SLA KPI 176,Data and AI,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-033
KPI-AIRDN-177,transition readiness KPI 177,Cybersecurity,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-034
KPI-AIRDN-178,value realization KPI 178,Workplace,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-035
KPI-AIRDN-179,mainframe batch success KPI 179,Service Management,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-036
KPI-AIRDN-180,IROPS recovery KPI 180,Flight Operations,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-037
KPI-AIRDN-181,crew recovery KPI 181,Operations Control,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-038
KPI-AIRDN-182,station reliability KPI 182,Crew Operations,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-039
KPI-AIRDN-183,application availability KPI 183,Technical Operations,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-040
KPI-AIRDN-184,incident MTTR KPI 184,Airport Operations,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-041
KPI-AIRDN-185,cloud unit cost KPI 185,Passenger Service,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-042
KPI-AIRDN-186,data freshness KPI 186,Commercial,range,within threshold,conflicting source,SRC-AIRDN-KPI-043
KPI-AIRDN-187,report retirement KPI 187,Cargo,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-044
KPI-AIRDN-188,vendor SLA KPI 188,Corporate Finance,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-045
KPI-AIRDN-189,transition readiness KPI 189,Procurement,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-046
KPI-AIRDN-190,value realization KPI 190,Technology,exact,within threshold,conflicting source,SRC-AIRDN-KPI-047
KPI-AIRDN-191,mainframe batch success KPI 191,Data and AI,range,binary gate,industry pattern only,SRC-AIRDN-KPI-048
KPI-AIRDN-192,IROPS recovery KPI 192,Cybersecurity,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-049
KPI-AIRDN-193,crew recovery KPI 193,Workplace,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-050
KPI-AIRDN-194,station reliability KPI 194,Service Management,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-051
KPI-AIRDN-195,application availability KPI 195,Flight Operations,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-052
KPI-AIRDN-196,incident MTTR KPI 196,Operations Control,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-053
KPI-AIRDN-197,cloud unit cost KPI 197,Crew Operations,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-054
KPI-AIRDN-198,data freshness KPI 198,Technical Operations,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-055
KPI-AIRDN-199,report retirement KPI 199,Airport Operations,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-056
KPI-AIRDN-200,vendor SLA KPI 200,Passenger Service,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-057
KPI-AIRDN-201,transition readiness KPI 201,Commercial,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-058
KPI-AIRDN-202,value realization KPI 202,Cargo,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-059
KPI-AIRDN-203,mainframe batch success KPI 203,Corporate Finance,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-060
KPI-AIRDN-204,IROPS recovery KPI 204,Procurement,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-061
KPI-AIRDN-205,crew recovery KPI 205,Technology,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-062
KPI-AIRDN-206,station reliability KPI 206,Data and AI,range,within threshold,conflicting source,SRC-AIRDN-KPI-063
KPI-AIRDN-207,application availability KPI 207,Cybersecurity,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-064
KPI-AIRDN-208,incident MTTR KPI 208,Workplace,trend-only,higher is better,source-backed candidate,SRC-AIRDN-KPI-065
KPI-AIRDN-209,cloud unit cost KPI 209,Service Management,withheld,lower is better,needs owner signoff,SRC-AIRDN-KPI-066
KPI-AIRDN-210,data freshness KPI 210,Flight Operations,exact,within threshold,conflicting source,SRC-AIRDN-KPI-067
KPI-AIRDN-211,report retirement KPI 211,Operations Control,range,binary gate,industry pattern only,SRC-AIRDN-KPI-068
KPI-AIRDN-212,vendor SLA KPI 212,Crew Operations,indexed,higher is better,source-backed candidate,SRC-AIRDN-KPI-069
KPI-AIRDN-213,transition readiness KPI 213,Technical Operations,trend-only,lower is better,needs owner signoff,SRC-AIRDN-KPI-070
KPI-AIRDN-214,value realization KPI 214,Airport Operations,withheld,within threshold,conflicting source,SRC-AIRDN-KPI-071
KPI-AIRDN-215,mainframe batch success KPI 215,Passenger Service,exact,binary gate,industry pattern only,SRC-AIRDN-KPI-072
KPI-AIRDN-216,IROPS recovery KPI 216,Commercial,range,higher is better,source-backed candidate,SRC-AIRDN-KPI-001
KPI-AIRDN-217,crew recovery KPI 217,Cargo,indexed,lower is better,needs owner signoff,SRC-AIRDN-KPI-002
KPI-AIRDN-218,station reliability KPI 218,Corporate Finance,trend-only,within threshold,conflicting source,SRC-AIRDN-KPI-003
KPI-AIRDN-219,application availability KPI 219,Procurement,withheld,binary gate,industry pattern only,SRC-AIRDN-KPI-004
KPI-AIRDN-220,incident MTTR KPI 220,Technology,exact,higher is better,source-backed candidate,SRC-AIRDN-KPI-005
KPI-AIRDN-221,cloud unit cost KPI 221,Data and AI,range,lower is better,needs owner signoff,SRC-AIRDN-KPI-006
KPI-AIRDN-222,data freshness KPI 222,Cybersecurity,indexed,within threshold,conflicting source,SRC-AIRDN-KPI-007
KPI-AIRDN-223,report retirement KPI 223,Workplace,trend-only,binary gate,industry pattern only,SRC-AIRDN-KPI-008
KPI-AIRDN-224,vendor SLA KPI 224,Service Management,withheld,higher is better,source-backed candidate,SRC-AIRDN-KPI-009
KPI-AIRDN-225,transition readiness KPI 225,Flight Operations,exact,lower is better,needs owner signoff,SRC-AIRDN-KPI-010
KPI-AIRDN-226,value realization KPI 226,Operations Control,range,within threshold,conflicting source,SRC-AIRDN-KPI-011
KPI-AIRDN-227,mainframe batch success KPI 227,Crew Operations,indexed,binary gate,industry pattern only,SRC-AIRDN-KPI-012
