risk_id,risk_name,business_function,severity,response,linked_control_id
RISK-AIRDN-0026,airport support fragility,Data and AI,medium,accept pending evidence,CTRL-AIRDN-0027
RISK-AIRDN-0027,cyber access control,Cybersecurity,low,requires executive decision,CTRL-AIRDN-0028
RISK-AIRDN-0028,regulatory evidence gap,Workplace,critical,mitigate,CTRL-AIRDN-0029
RISK-AIRDN-0029,KPI conflict,Service Management,high,monitor,CTRL-AIRDN-0030
RISK-AIRDN-0030,transition disruption,Flight Operations,medium,accept pending evidence,CTRL-AIRDN-0031
RISK-AIRDN-0031,supplier concentration,Operations Control,low,requires executive decision,CTRL-AIRDN-0032
RISK-AIRDN-0032,mainframe skill scarcity,Crew Operations,critical,mitigate,CTRL-AIRDN-0033
RISK-AIRDN-0033,data lineage gap,Technical Operations,high,monitor,CTRL-AIRDN-0034
RISK-AIRDN-0034,SLA ambiguity,Airport Operations,medium,accept pending evidence,CTRL-AIRDN-0035
RISK-AIRDN-0035,cloud cost overrun,Passenger Service,low,requires executive decision,CTRL-AIRDN-0036
RISK-AIRDN-0036,airport support fragility,Commercial,critical,mitigate,CTRL-AIRDN-0037
RISK-AIRDN-0037,cyber access control,Cargo,high,monitor,CTRL-AIRDN-0038
RISK-AIRDN-0038,regulatory evidence gap,Corporate Finance,medium,accept pending evidence,CTRL-AIRDN-0039
RISK-AIRDN-0039,KPI conflict,Procurement,low,requires executive decision,CTRL-AIRDN-0040
RISK-AIRDN-0040,transition disruption,Technology,critical,mitigate,CTRL-AIRDN-0041
RISK-AIRDN-0041,supplier concentration,Data and AI,high,monitor,CTRL-AIRDN-0042
RISK-AIRDN-0042,mainframe skill scarcity,Cybersecurity,medium,accept pending evidence,CTRL-AIRDN-0043
RISK-AIRDN-0043,data lineage gap,Workplace,low,requires executive decision,CTRL-AIRDN-0044
RISK-AIRDN-0044,SLA ambiguity,Service Management,critical,mitigate,CTRL-AIRDN-0045
RISK-AIRDN-0045,cloud cost overrun,Flight Operations,high,monitor,CTRL-AIRDN-0046
RISK-AIRDN-0046,airport support fragility,Operations Control,medium,accept pending evidence,CTRL-AIRDN-0047
RISK-AIRDN-0047,cyber access control,Crew Operations,low,requires executive decision,CTRL-AIRDN-0048
RISK-AIRDN-0048,regulatory evidence gap,Technical Operations,critical,mitigate,CTRL-AIRDN-0049
RISK-AIRDN-0049,KPI conflict,Airport Operations,high,monitor,CTRL-AIRDN-0050
RISK-AIRDN-0050,transition disruption,Passenger Service,medium,accept pending evidence,CTRL-AIRDN-0051
RISK-AIRDN-0051,supplier concentration,Commercial,low,requires executive decision,CTRL-AIRDN-0052
RISK-AIRDN-0052,mainframe skill scarcity,Cargo,critical,mitigate,CTRL-AIRDN-0053
RISK-AIRDN-0053,data lineage gap,Corporate Finance,high,monitor,CTRL-AIRDN-0054
RISK-AIRDN-0054,SLA ambiguity,Procurement,medium,accept pending evidence,CTRL-AIRDN-0055
RISK-AIRDN-0055,cloud cost overrun,Technology,low,requires executive decision,CTRL-AIRDN-0056
RISK-AIRDN-0056,airport support fragility,Data and AI,critical,mitigate,CTRL-AIRDN-0057
RISK-AIRDN-0057,cyber access control,Cybersecurity,high,monitor,CTRL-AIRDN-0058
RISK-AIRDN-0058,regulatory evidence gap,Workplace,medium,accept pending evidence,CTRL-AIRDN-0059
RISK-AIRDN-0059,KPI conflict,Service Management,low,requires executive decision,CTRL-AIRDN-0060
RISK-AIRDN-0060,transition disruption,Flight Operations,critical,mitigate,CTRL-AIRDN-0061
RISK-AIRDN-0061,supplier concentration,Operations Control,high,monitor,CTRL-AIRDN-0062
RISK-AIRDN-0062,mainframe skill scarcity,Crew Operations,medium,accept pending evidence,CTRL-AIRDN-0063
RISK-AIRDN-0063,data lineage gap,Technical Operations,low,requires executive decision,CTRL-AIRDN-0064
RISK-AIRDN-0064,SLA ambiguity,Airport Operations,critical,mitigate,CTRL-AIRDN-0065
RISK-AIRDN-0065,cloud cost overrun,Passenger Service,high,monitor,CTRL-AIRDN-0066
RISK-AIRDN-0066,airport support fragility,Commercial,medium,accept pending evidence,CTRL-AIRDN-0067
RISK-AIRDN-0067,cyber access control,Cargo,low,requires executive decision,CTRL-AIRDN-0068
RISK-AIRDN-0068,regulatory evidence gap,Corporate Finance,critical,mitigate,CTRL-AIRDN-0069
RISK-AIRDN-0069,KPI conflict,Procurement,high,monitor,CTRL-AIRDN-0070
RISK-AIRDN-0070,transition disruption,Technology,medium,accept pending evidence,CTRL-AIRDN-0071
RISK-AIRDN-0071,supplier concentration,Data and AI,low,requires executive decision,CTRL-AIRDN-0072
RISK-AIRDN-0072,mainframe skill scarcity,Cybersecurity,critical,mitigate,CTRL-AIRDN-0073
RISK-AIRDN-0073,data lineage gap,Workplace,high,monitor,CTRL-AIRDN-0074
RISK-AIRDN-0074,SLA ambiguity,Service Management,medium,accept pending evidence,CTRL-AIRDN-0075
RISK-AIRDN-0075,cloud cost overrun,Flight Operations,low,requires executive decision,CTRL-AIRDN-0076
RISK-AIRDN-0076,airport support fragility,Operations Control,critical,mitigate,CTRL-AIRDN-0077
RISK-AIRDN-0077,cyber access control,Crew Operations,high,monitor,CTRL-AIRDN-0078
RISK-AIRDN-0078,regulatory evidence gap,Technical Operations,medium,accept pending evidence,CTRL-AIRDN-0079
RISK-AIRDN-0079,KPI conflict,Airport Operations,low,requires executive decision,CTRL-AIRDN-0080
RISK-AIRDN-0080,transition disruption,Passenger Service,critical,mitigate,CTRL-AIRDN-0081
RISK-AIRDN-0081,supplier concentration,Commercial,high,monitor,CTRL-AIRDN-0082
RISK-AIRDN-0082,mainframe skill scarcity,Cargo,medium,accept pending evidence,CTRL-AIRDN-0083
RISK-AIRDN-0083,data lineage gap,Corporate Finance,low,requires executive decision,CTRL-AIRDN-0084
RISK-AIRDN-0084,SLA ambiguity,Procurement,critical,mitigate,CTRL-AIRDN-0085
RISK-AIRDN-0085,cloud cost overrun,Technology,high,monitor,CTRL-AIRDN-0086
RISK-AIRDN-0086,airport support fragility,Data and AI,medium,accept pending evidence,CTRL-AIRDN-0087
RISK-AIRDN-0087,cyber access control,Cybersecurity,low,requires executive decision,CTRL-AIRDN-0088
RISK-AIRDN-0088,regulatory evidence gap,Workplace,critical,mitigate,CTRL-AIRDN-0089
RISK-AIRDN-0089,KPI conflict,Service Management,high,monitor,CTRL-AIRDN-0090
RISK-AIRDN-0090,transition disruption,Flight Operations,medium,accept pending evidence,CTRL-AIRDN-0091
RISK-AIRDN-0091,supplier concentration,Operations Control,low,requires executive decision,CTRL-AIRDN-0092
RISK-AIRDN-0092,mainframe skill scarcity,Crew Operations,critical,mitigate,CTRL-AIRDN-0093
RISK-AIRDN-0093,data lineage gap,Technical Operations,high,monitor,CTRL-AIRDN-0094
RISK-AIRDN-0094,SLA ambiguity,Airport Operations,medium,accept pending evidence,CTRL-AIRDN-0095
RISK-AIRDN-0095,cloud cost overrun,Passenger Service,low,requires executive decision,CTRL-AIRDN-0096
RISK-AIRDN-0096,airport support fragility,Commercial,critical,mitigate,CTRL-AIRDN-0097
RISK-AIRDN-0097,cyber access control,Cargo,high,monitor,CTRL-AIRDN-0098
RISK-AIRDN-0098,regulatory evidence gap,Corporate Finance,medium,accept pending evidence,CTRL-AIRDN-0099
RISK-AIRDN-0099,KPI conflict,Procurement,low,requires executive decision,CTRL-AIRDN-0100
RISK-AIRDN-0100,transition disruption,Technology,critical,mitigate,CTRL-AIRDN-0101
RISK-AIRDN-0101,supplier concentration,Data and AI,high,monitor,CTRL-AIRDN-0102
RISK-AIRDN-0102,mainframe skill scarcity,Cybersecurity,medium,accept pending evidence,CTRL-AIRDN-0103
RISK-AIRDN-0103,data lineage gap,Workplace,low,requires executive decision,CTRL-AIRDN-0104
RISK-AIRDN-0104,SLA ambiguity,Service Management,critical,mitigate,CTRL-AIRDN-0105
RISK-AIRDN-0105,cloud cost overrun,Flight Operations,high,monitor,CTRL-AIRDN-0106
RISK-AIRDN-0106,airport support fragility,Operations Control,medium,accept pending evidence,CTRL-AIRDN-0107
RISK-AIRDN-0107,cyber access control,Crew Operations,low,requires executive decision,CTRL-AIRDN-0108
RISK-AIRDN-0108,regulatory evidence gap,Technical Operations,critical,mitigate,CTRL-AIRDN-0109
RISK-AIRDN-0109,KPI conflict,Airport Operations,high,monitor,CTRL-AIRDN-0110
RISK-AIRDN-0110,transition disruption,Passenger Service,medium,accept pending evidence,CTRL-AIRDN-0111
RISK-AIRDN-0111,supplier concentration,Commercial,low,requires executive decision,CTRL-AIRDN-0112
RISK-AIRDN-0112,mainframe skill scarcity,Cargo,critical,mitigate,CTRL-AIRDN-0113
RISK-AIRDN-0113,data lineage gap,Corporate Finance,high,monitor,CTRL-AIRDN-0114
RISK-AIRDN-0114,SLA ambiguity,Procurement,medium,accept pending evidence,CTRL-AIRDN-0115
RISK-AIRDN-0115,cloud cost overrun,Technology,low,requires executive decision,CTRL-AIRDN-0116
RISK-AIRDN-0116,airport support fragility,Data and AI,critical,mitigate,CTRL-AIRDN-0117
RISK-AIRDN-0117,cyber access control,Cybersecurity,high,monitor,CTRL-AIRDN-0118
RISK-AIRDN-0118,regulatory evidence gap,Workplace,medium,accept pending evidence,CTRL-AIRDN-0119
RISK-AIRDN-0119,KPI conflict,Service Management,low,requires executive decision,CTRL-AIRDN-0120
RISK-AIRDN-0120,transition disruption,Flight Operations,critical,mitigate,CTRL-AIRDN-0121
RISK-AIRDN-0121,supplier concentration,Operations Control,high,monitor,CTRL-AIRDN-0122
RISK-AIRDN-0122,mainframe skill scarcity,Crew Operations,medium,accept pending evidence,CTRL-AIRDN-0123
RISK-AIRDN-0123,data lineage gap,Technical Operations,low,requires executive decision,CTRL-AIRDN-0124
RISK-AIRDN-0124,SLA ambiguity,Airport Operations,critical,mitigate,CTRL-AIRDN-0125
RISK-AIRDN-0125,cloud cost overrun,Passenger Service,high,monitor,CTRL-AIRDN-0126
RISK-AIRDN-0126,airport support fragility,Commercial,medium,accept pending evidence,CTRL-AIRDN-0127
RISK-AIRDN-0127,cyber access control,Cargo,low,requires executive decision,CTRL-AIRDN-0128
RISK-AIRDN-0128,regulatory evidence gap,Corporate Finance,critical,mitigate,CTRL-AIRDN-0129
RISK-AIRDN-0129,KPI conflict,Procurement,high,monitor,CTRL-AIRDN-0130
RISK-AIRDN-0130,transition disruption,Technology,medium,accept pending evidence,CTRL-AIRDN-0131
RISK-AIRDN-0131,supplier concentration,Data and AI,low,requires executive decision,CTRL-AIRDN-0132
RISK-AIRDN-0132,mainframe skill scarcity,Cybersecurity,critical,mitigate,CTRL-AIRDN-0133
RISK-AIRDN-0133,data lineage gap,Workplace,high,monitor,CTRL-AIRDN-0134
RISK-AIRDN-0134,SLA ambiguity,Service Management,medium,accept pending evidence,CTRL-AIRDN-0135
RISK-AIRDN-0135,cloud cost overrun,Flight Operations,low,requires executive decision,CTRL-AIRDN-0136
RISK-AIRDN-0136,airport support fragility,Operations Control,critical,mitigate,CTRL-AIRDN-0137
RISK-AIRDN-0137,cyber access control,Crew Operations,high,monitor,CTRL-AIRDN-0138
RISK-AIRDN-0138,regulatory evidence gap,Technical Operations,medium,accept pending evidence,CTRL-AIRDN-0139
RISK-AIRDN-0139,KPI conflict,Airport Operations,low,requires executive decision,CTRL-AIRDN-0140
RISK-AIRDN-0140,transition disruption,Passenger Service,critical,mitigate,CTRL-AIRDN-0141
RISK-AIRDN-0141,supplier concentration,Commercial,high,monitor,CTRL-AIRDN-0142
RISK-AIRDN-0142,mainframe skill scarcity,Cargo,medium,accept pending evidence,CTRL-AIRDN-0143
RISK-AIRDN-0143,data lineage gap,Corporate Finance,low,requires executive decision,CTRL-AIRDN-0144
RISK-AIRDN-0144,SLA ambiguity,Procurement,critical,mitigate,CTRL-AIRDN-0145
RISK-AIRDN-0145,cloud cost overrun,Technology,high,monitor,CTRL-AIRDN-0146
RISK-AIRDN-0146,airport support fragility,Data and AI,medium,accept pending evidence,CTRL-AIRDN-0147
RISK-AIRDN-0147,cyber access control,Cybersecurity,low,requires executive decision,CTRL-AIRDN-0148
RISK-AIRDN-0148,regulatory evidence gap,Workplace,critical,mitigate,CTRL-AIRDN-0149
RISK-AIRDN-0149,KPI conflict,Service Management,high,monitor,CTRL-AIRDN-0150
RISK-AIRDN-0150,transition disruption,Flight Operations,medium,accept pending evidence,CTRL-AIRDN-0151
RISK-AIRDN-0151,supplier concentration,Operations Control,low,requires executive decision,CTRL-AIRDN-0152
RISK-AIRDN-0152,mainframe skill scarcity,Crew Operations,critical,mitigate,CTRL-AIRDN-0153
RISK-AIRDN-0153,data lineage gap,Technical Operations,high,monitor,CTRL-AIRDN-0154
RISK-AIRDN-0154,SLA ambiguity,Airport Operations,medium,accept pending evidence,CTRL-AIRDN-0155
RISK-AIRDN-0155,cloud cost overrun,Passenger Service,low,requires executive decision,CTRL-AIRDN-0156
RISK-AIRDN-0156,airport support fragility,Commercial,critical,mitigate,CTRL-AIRDN-0157
RISK-AIRDN-0157,cyber access control,Cargo,high,monitor,CTRL-AIRDN-0158
RISK-AIRDN-0158,regulatory evidence gap,Corporate Finance,medium,accept pending evidence,CTRL-AIRDN-0159
RISK-AIRDN-0159,KPI conflict,Procurement,low,requires executive decision,CTRL-AIRDN-0160
RISK-AIRDN-0160,transition disruption,Technology,critical,mitigate,CTRL-AIRDN-0161
RISK-AIRDN-0161,supplier concentration,Data and AI,high,monitor,CTRL-AIRDN-0162
RISK-AIRDN-0162,mainframe skill scarcity,Cybersecurity,medium,accept pending evidence,CTRL-AIRDN-0163
RISK-AIRDN-0163,data lineage gap,Workplace,low,requires executive decision,CTRL-AIRDN-0164
RISK-AIRDN-0164,SLA ambiguity,Service Management,critical,mitigate,CTRL-AIRDN-0165
RISK-AIRDN-0165,cloud cost overrun,Flight Operations,high,monitor,CTRL-AIRDN-0166
RISK-AIRDN-0166,airport support fragility,Operations Control,medium,accept pending evidence,CTRL-AIRDN-0167
RISK-AIRDN-0167,cyber access control,Crew Operations,low,requires executive decision,CTRL-AIRDN-0168
RISK-AIRDN-0168,regulatory evidence gap,Technical Operations,critical,mitigate,CTRL-AIRDN-0169
RISK-AIRDN-0169,KPI conflict,Airport Operations,high,monitor,CTRL-AIRDN-0170
RISK-AIRDN-0170,transition disruption,Passenger Service,medium,accept pending evidence,CTRL-AIRDN-0171
RISK-AIRDN-0171,supplier concentration,Commercial,low,requires executive decision,CTRL-AIRDN-0172
RISK-AIRDN-0172,mainframe skill scarcity,Cargo,critical,mitigate,CTRL-AIRDN-0173
RISK-AIRDN-0173,data lineage gap,Corporate Finance,high,monitor,CTRL-AIRDN-0174
RISK-AIRDN-0174,SLA ambiguity,Procurement,medium,accept pending evidence,CTRL-AIRDN-0175
RISK-AIRDN-0175,cloud cost overrun,Technology,low,requires executive decision,CTRL-AIRDN-0176
RISK-AIRDN-0176,airport support fragility,Data and AI,critical,mitigate,CTRL-AIRDN-0177
RISK-AIRDN-0177,cyber access control,Cybersecurity,high,monitor,CTRL-AIRDN-0178
RISK-AIRDN-0178,regulatory evidence gap,Workplace,medium,accept pending evidence,CTRL-AIRDN-0179
RISK-AIRDN-0179,KPI conflict,Service Management,low,requires executive decision,CTRL-AIRDN-0180
RISK-AIRDN-0180,transition disruption,Flight Operations,critical,mitigate,CTRL-AIRDN-0181
RISK-AIRDN-0181,supplier concentration,Operations Control,high,monitor,CTRL-AIRDN-0182
RISK-AIRDN-0182,mainframe skill scarcity,Crew Operations,medium,accept pending evidence,CTRL-AIRDN-0183
RISK-AIRDN-0183,data lineage gap,Technical Operations,low,requires executive decision,CTRL-AIRDN-0184
RISK-AIRDN-0184,SLA ambiguity,Airport Operations,critical,mitigate,CTRL-AIRDN-0185
RISK-AIRDN-0185,cloud cost overrun,Passenger Service,high,monitor,CTRL-AIRDN-0186
RISK-AIRDN-0186,airport support fragility,Commercial,medium,accept pending evidence,CTRL-AIRDN-0187
RISK-AIRDN-0187,cyber access control,Cargo,low,requires executive decision,CTRL-AIRDN-0188
RISK-AIRDN-0188,regulatory evidence gap,Corporate Finance,critical,mitigate,CTRL-AIRDN-0189
RISK-AIRDN-0189,KPI conflict,Procurement,high,monitor,CTRL-AIRDN-0190
RISK-AIRDN-0190,transition disruption,Technology,medium,accept pending evidence,CTRL-AIRDN-0191
RISK-AIRDN-0191,supplier concentration,Data and AI,low,requires executive decision,CTRL-AIRDN-0192
RISK-AIRDN-0192,mainframe skill scarcity,Cybersecurity,critical,mitigate,CTRL-AIRDN-0193
RISK-AIRDN-0193,data lineage gap,Workplace,high,monitor,CTRL-AIRDN-0194
RISK-AIRDN-0194,SLA ambiguity,Service Management,medium,accept pending evidence,CTRL-AIRDN-0195
RISK-AIRDN-0195,cloud cost overrun,Flight Operations,low,requires executive decision,CTRL-AIRDN-0196
RISK-AIRDN-0196,airport support fragility,Operations Control,critical,mitigate,CTRL-AIRDN-0197
RISK-AIRDN-0197,cyber access control,Crew Operations,high,monitor,CTRL-AIRDN-0198
RISK-AIRDN-0198,regulatory evidence gap,Technical Operations,medium,accept pending evidence,CTRL-AIRDN-0199
RISK-AIRDN-0199,KPI conflict,Airport Operations,low,requires executive decision,CTRL-AIRDN-0200
RISK-AIRDN-0200,transition disruption,Passenger Service,critical,mitigate,CTRL-AIRDN-0201
RISK-AIRDN-0201,supplier concentration,Commercial,high,monitor,CTRL-AIRDN-0202
RISK-AIRDN-0202,mainframe skill scarcity,Cargo,medium,accept pending evidence,CTRL-AIRDN-0203
RISK-AIRDN-0203,data lineage gap,Corporate Finance,low,requires executive decision,CTRL-AIRDN-0204
RISK-AIRDN-0204,SLA ambiguity,Procurement,critical,mitigate,CTRL-AIRDN-0205
RISK-AIRDN-0205,cloud cost overrun,Technology,high,monitor,CTRL-AIRDN-0206
RISK-AIRDN-0206,airport support fragility,Data and AI,medium,accept pending evidence,CTRL-AIRDN-0207
RISK-AIRDN-0207,cyber access control,Cybersecurity,low,requires executive decision,CTRL-AIRDN-0208
RISK-AIRDN-0208,regulatory evidence gap,Workplace,critical,mitigate,CTRL-AIRDN-0209
RISK-AIRDN-0209,KPI conflict,Service Management,high,monitor,CTRL-AIRDN-0210
RISK-AIRDN-0210,transition disruption,Flight Operations,medium,accept pending evidence,CTRL-AIRDN-0211
RISK-AIRDN-0211,supplier concentration,Operations Control,low,requires executive decision,CTRL-AIRDN-0212
RISK-AIRDN-0212,mainframe skill scarcity,Crew Operations,critical,mitigate,CTRL-AIRDN-0213
RISK-AIRDN-0213,data lineage gap,Technical Operations,high,monitor,CTRL-AIRDN-0214
RISK-AIRDN-0214,SLA ambiguity,Airport Operations,medium,accept pending evidence,CTRL-AIRDN-0215
RISK-AIRDN-0215,cloud cost overrun,Passenger Service,low,requires executive decision,CTRL-AIRDN-0216
RISK-AIRDN-0216,airport support fragility,Commercial,critical,mitigate,CTRL-AIRDN-0217
RISK-AIRDN-0217,cyber access control,Cargo,high,monitor,CTRL-AIRDN-0218
RISK-AIRDN-0218,regulatory evidence gap,Corporate Finance,medium,accept pending evidence,CTRL-AIRDN-0219
RISK-AIRDN-0219,KPI conflict,Procurement,low,requires executive decision,CTRL-AIRDN-0220
RISK-AIRDN-0220,transition disruption,Technology,critical,mitigate,CTRL-AIRDN-0221
RISK-AIRDN-0221,supplier concentration,Data and AI,high,monitor,CTRL-AIRDN-0222
RISK-AIRDN-0222,mainframe skill scarcity,Cybersecurity,medium,accept pending evidence,CTRL-AIRDN-0223
RISK-AIRDN-0223,data lineage gap,Workplace,low,requires executive decision,CTRL-AIRDN-0224
RISK-AIRDN-0224,SLA ambiguity,Service Management,critical,mitigate,CTRL-AIRDN-0225
RISK-AIRDN-0225,cloud cost overrun,Flight Operations,high,monitor,CTRL-AIRDN-0226
RISK-AIRDN-0226,airport support fragility,Operations Control,medium,accept pending evidence,CTRL-AIRDN-0227
RISK-AIRDN-0227,cyber access control,Crew Operations,low,requires executive decision,CTRL-AIRDN-0228
RISK-AIRDN-0228,regulatory evidence gap,Technical Operations,critical,mitigate,CTRL-AIRDN-0229
RISK-AIRDN-0229,KPI conflict,Airport Operations,high,monitor,CTRL-AIRDN-0230
RISK-AIRDN-0230,transition disruption,Passenger Service,medium,accept pending evidence,CTRL-AIRDN-0231
RISK-AIRDN-0231,supplier concentration,Commercial,low,requires executive decision,CTRL-AIRDN-0232
RISK-AIRDN-0232,mainframe skill scarcity,Cargo,critical,mitigate,CTRL-AIRDN-0233
RISK-AIRDN-0233,data lineage gap,Corporate Finance,high,monitor,CTRL-AIRDN-0234
RISK-AIRDN-0234,SLA ambiguity,Procurement,medium,accept pending evidence,CTRL-AIRDN-0235
RISK-AIRDN-0235,cloud cost overrun,Technology,low,requires executive decision,CTRL-AIRDN-0236
RISK-AIRDN-0236,airport support fragility,Data and AI,critical,mitigate,CTRL-AIRDN-0237
RISK-AIRDN-0237,cyber access control,Cybersecurity,high,monitor,CTRL-AIRDN-0238
RISK-AIRDN-0238,regulatory evidence gap,Workplace,medium,accept pending evidence,CTRL-AIRDN-0239
RISK-AIRDN-0239,KPI conflict,Service Management,low,requires executive decision,CTRL-AIRDN-0240
RISK-AIRDN-0240,transition disruption,Flight Operations,critical,mitigate,CTRL-AIRDN-0241
RISK-AIRDN-0241,supplier concentration,Operations Control,high,monitor,CTRL-AIRDN-0242
RISK-AIRDN-0242,mainframe skill scarcity,Crew Operations,medium,accept pending evidence,CTRL-AIRDN-0243
RISK-AIRDN-0243,data lineage gap,Technical Operations,low,requires executive decision,CTRL-AIRDN-0244
RISK-AIRDN-0244,SLA ambiguity,Airport Operations,critical,mitigate,CTRL-AIRDN-0245
RISK-AIRDN-0245,cloud cost overrun,Passenger Service,high,monitor,CTRL-AIRDN-0246
RISK-AIRDN-0246,airport support fragility,Commercial,medium,accept pending evidence,CTRL-AIRDN-0247
RISK-AIRDN-0247,cyber access control,Cargo,low,requires executive decision,CTRL-AIRDN-0248
RISK-AIRDN-0248,regulatory evidence gap,Corporate Finance,critical,mitigate,CTRL-AIRDN-0249
RISK-AIRDN-0249,KPI conflict,Procurement,high,monitor,CTRL-AIRDN-0250
RISK-AIRDN-0250,transition disruption,Technology,medium,accept pending evidence,CTRL-AIRDN-0251
RISK-AIRDN-0251,supplier concentration,Data and AI,low,requires executive decision,CTRL-AIRDN-0252
RISK-AIRDN-0252,mainframe skill scarcity,Cybersecurity,critical,mitigate,CTRL-AIRDN-0253
RISK-AIRDN-0253,data lineage gap,Workplace,high,monitor,CTRL-AIRDN-0254
RISK-AIRDN-0254,SLA ambiguity,Service Management,medium,accept pending evidence,CTRL-AIRDN-0255
RISK-AIRDN-0255,cloud cost overrun,Flight Operations,low,requires executive decision,CTRL-AIRDN-0256
RISK-AIRDN-0256,airport support fragility,Operations Control,critical,mitigate,CTRL-AIRDN-0257
RISK-AIRDN-0257,cyber access control,Crew Operations,high,monitor,CTRL-AIRDN-0258
RISK-AIRDN-0258,regulatory evidence gap,Technical Operations,medium,accept pending evidence,CTRL-AIRDN-0259
RISK-AIRDN-0259,KPI conflict,Airport Operations,low,requires executive decision,CTRL-AIRDN-0260
RISK-AIRDN-0260,transition disruption,Passenger Service,critical,mitigate,CTRL-AIRDN-0261
RISK-AIRDN-0261,supplier concentration,Commercial,high,monitor,CTRL-AIRDN-0262
RISK-AIRDN-0262,mainframe skill scarcity,Cargo,medium,accept pending evidence,CTRL-AIRDN-0263
RISK-AIRDN-0263,data lineage gap,Corporate Finance,low,requires executive decision,CTRL-AIRDN-0264
RISK-AIRDN-0264,SLA ambiguity,Procurement,critical,mitigate,CTRL-AIRDN-0265
RISK-AIRDN-0265,cloud cost overrun,Technology,high,monitor,CTRL-AIRDN-0266
RISK-AIRDN-0266,airport support fragility,Data and AI,medium,accept pending evidence,CTRL-AIRDN-0267
RISK-AIRDN-0267,cyber access control,Cybersecurity,low,requires executive decision,CTRL-AIRDN-0268
RISK-AIRDN-0268,regulatory evidence gap,Workplace,critical,mitigate,CTRL-AIRDN-0269
RISK-AIRDN-0269,KPI conflict,Service Management,high,monitor,CTRL-AIRDN-0270
RISK-AIRDN-0270,transition disruption,Flight Operations,medium,accept pending evidence,CTRL-AIRDN-0271
RISK-AIRDN-0271,supplier concentration,Operations Control,low,requires executive decision,CTRL-AIRDN-0272
RISK-AIRDN-0272,mainframe skill scarcity,Crew Operations,critical,mitigate,CTRL-AIRDN-0273
RISK-AIRDN-0273,data lineage gap,Technical Operations,high,monitor,CTRL-AIRDN-0274
RISK-AIRDN-0274,SLA ambiguity,Airport Operations,medium,accept pending evidence,CTRL-AIRDN-0275
RISK-AIRDN-0275,cloud cost overrun,Passenger Service,low,requires executive decision,CTRL-AIRDN-0276
RISK-AIRDN-0276,airport support fragility,Commercial,critical,mitigate,CTRL-AIRDN-0277
RISK-AIRDN-0277,cyber access control,Cargo,high,monitor,CTRL-AIRDN-0278
RISK-AIRDN-0278,regulatory evidence gap,Corporate Finance,medium,accept pending evidence,CTRL-AIRDN-0279
RISK-AIRDN-0279,KPI conflict,Procurement,low,requires executive decision,CTRL-AIRDN-0280
RISK-AIRDN-0280,transition disruption,Technology,critical,mitigate,CTRL-AIRDN-0281
RISK-AIRDN-0281,supplier concentration,Data and AI,high,monitor,CTRL-AIRDN-0282
