integration_id,from_application_id,to_application_id,integration_method,frequency,criticality,middleware_pattern,owning_function,source_id
INT-AIRDN-00017,APP-AIRDN-0120,APP-AIRDN-0301,database link,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-018
INT-AIRDN-00018,APP-AIRDN-0127,APP-AIRDN-0318,MQ/event,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-019
INT-AIRDN-00019,APP-AIRDN-0134,APP-AIRDN-0335,API,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-020
INT-AIRDN-00020,APP-AIRDN-0141,APP-AIRDN-0352,file/batch,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-021
INT-AIRDN-00021,APP-AIRDN-0148,APP-AIRDN-0369,ETL/ELT,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-022
INT-AIRDN-00022,APP-AIRDN-0155,APP-AIRDN-0386,mainframe transaction,near real-time,standard,mainframe MQ,Cargo,SRC-AIRDN-INT-023
INT-AIRDN-00023,APP-AIRDN-0162,APP-AIRDN-0403,streaming topic,hourly,standard,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-024
INT-AIRDN-00024,APP-AIRDN-0169,APP-AIRDN-0420,SaaS connector,daily,critical,file transfer gateway,Procurement,SRC-AIRDN-INT-025
INT-AIRDN-00025,APP-AIRDN-0176,APP-AIRDN-0437,EDI/message,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-026
INT-AIRDN-00026,APP-AIRDN-0183,APP-AIRDN-0454,database link,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-027
INT-AIRDN-00027,APP-AIRDN-0190,APP-AIRDN-0471,MQ/event,nightly batch,high,event streaming backbone,Cybersecurity,SRC-AIRDN-INT-028
INT-AIRDN-00028,APP-AIRDN-0197,APP-AIRDN-0488,API,real-time,standard,enterprise service bus,Workplace,SRC-AIRDN-INT-029
INT-AIRDN-00029,APP-AIRDN-0204,APP-AIRDN-0505,file/batch,near real-time,standard,mainframe MQ,Service Management,SRC-AIRDN-INT-030
INT-AIRDN-00030,APP-AIRDN-0211,APP-AIRDN-0522,ETL/ELT,hourly,high,cloud integration platform,Flight Operations,SRC-AIRDN-INT-031
INT-AIRDN-00031,APP-AIRDN-0218,APP-AIRDN-0539,mainframe transaction,daily,standard,file transfer gateway,Operations Control,SRC-AIRDN-INT-032
INT-AIRDN-00032,APP-AIRDN-0225,APP-AIRDN-0556,streaming topic,weekly,critical,data pipeline orchestrator,Crew Operations,SRC-AIRDN-INT-033
INT-AIRDN-00033,APP-AIRDN-0232,APP-AIRDN-0573,SaaS connector,event-driven,high,API gateway,Technical Operations,SRC-AIRDN-INT-034
INT-AIRDN-00034,APP-AIRDN-0239,APP-AIRDN-0590,EDI/message,nightly batch,standard,event streaming backbone,Airport Operations,SRC-AIRDN-INT-035
INT-AIRDN-00035,APP-AIRDN-0246,APP-AIRDN-0607,database link,real-time,standard,enterprise service bus,Passenger Service,SRC-AIRDN-INT-036
INT-AIRDN-00036,APP-AIRDN-0253,APP-AIRDN-0624,MQ/event,near real-time,high,mainframe MQ,Commercial,SRC-AIRDN-INT-037
INT-AIRDN-00037,APP-AIRDN-0260,APP-AIRDN-0641,API,hourly,standard,cloud integration platform,Cargo,SRC-AIRDN-INT-038
INT-AIRDN-00038,APP-AIRDN-0267,APP-AIRDN-0658,file/batch,daily,standard,file transfer gateway,Corporate Finance,SRC-AIRDN-INT-039
INT-AIRDN-00039,APP-AIRDN-0274,APP-AIRDN-0675,ETL/ELT,weekly,high,data pipeline orchestrator,Procurement,SRC-AIRDN-INT-040
INT-AIRDN-00040,APP-AIRDN-0281,APP-AIRDN-0692,mainframe transaction,event-driven,critical,API gateway,Technology,SRC-AIRDN-INT-041
INT-AIRDN-00041,APP-AIRDN-0288,APP-AIRDN-0709,streaming topic,nightly batch,standard,event streaming backbone,Data and AI,SRC-AIRDN-INT-042
INT-AIRDN-00042,APP-AIRDN-0295,APP-AIRDN-0726,SaaS connector,real-time,high,enterprise service bus,Cybersecurity,SRC-AIRDN-INT-043
INT-AIRDN-00043,APP-AIRDN-0302,APP-AIRDN-0743,EDI/message,near real-time,standard,mainframe MQ,Workplace,SRC-AIRDN-INT-044
INT-AIRDN-00044,APP-AIRDN-0309,APP-AIRDN-0760,database link,hourly,standard,cloud integration platform,Service Management,SRC-AIRDN-INT-045
INT-AIRDN-00045,APP-AIRDN-0316,APP-AIRDN-0777,MQ/event,daily,high,file transfer gateway,Flight Operations,SRC-AIRDN-INT-046
INT-AIRDN-00046,APP-AIRDN-0323,APP-AIRDN-0794,API,weekly,standard,data pipeline orchestrator,Operations Control,SRC-AIRDN-INT-047
INT-AIRDN-00047,APP-AIRDN-0330,APP-AIRDN-0811,file/batch,event-driven,standard,API gateway,Crew Operations,SRC-AIRDN-INT-048
INT-AIRDN-00048,APP-AIRDN-0337,APP-AIRDN-0828,ETL/ELT,nightly batch,critical,event streaming backbone,Technical Operations,SRC-AIRDN-INT-049
INT-AIRDN-00049,APP-AIRDN-0344,APP-AIRDN-0845,mainframe transaction,real-time,standard,enterprise service bus,Airport Operations,SRC-AIRDN-INT-050
INT-AIRDN-00050,APP-AIRDN-0351,APP-AIRDN-0862,streaming topic,near real-time,standard,mainframe MQ,Passenger Service,SRC-AIRDN-INT-051
INT-AIRDN-00051,APP-AIRDN-0358,APP-AIRDN-0879,SaaS connector,hourly,high,cloud integration platform,Commercial,SRC-AIRDN-INT-052
INT-AIRDN-00052,APP-AIRDN-0365,APP-AIRDN-0896,EDI/message,daily,standard,file transfer gateway,Cargo,SRC-AIRDN-INT-053
INT-AIRDN-00053,APP-AIRDN-0372,APP-AIRDN-0913,database link,weekly,standard,data pipeline orchestrator,Corporate Finance,SRC-AIRDN-INT-054
INT-AIRDN-00054,APP-AIRDN-0379,APP-AIRDN-0930,MQ/event,event-driven,high,API gateway,Procurement,SRC-AIRDN-INT-001
INT-AIRDN-00055,APP-AIRDN-0386,APP-AIRDN-0947,API,nightly batch,standard,event streaming backbone,Technology,SRC-AIRDN-INT-002
INT-AIRDN-00056,APP-AIRDN-0393,APP-AIRDN-0964,file/batch,real-time,critical,enterprise service bus,Data and AI,SRC-AIRDN-INT-003
INT-AIRDN-00057,APP-AIRDN-0400,APP-AIRDN-0981,ETL/ELT,near real-time,high,mainframe MQ,Cybersecurity,SRC-AIRDN-INT-004
INT-AIRDN-00058,APP-AIRDN-0407,APP-AIRDN-0998,mainframe transaction,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-005
INT-AIRDN-00059,APP-AIRDN-0414,APP-AIRDN-1015,streaming topic,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-006
INT-AIRDN-00060,APP-AIRDN-0421,APP-AIRDN-1032,SaaS connector,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-007
INT-AIRDN-00061,APP-AIRDN-0428,APP-AIRDN-1049,EDI/message,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-008
INT-AIRDN-00062,APP-AIRDN-0435,APP-AIRDN-1066,database link,nightly batch,standard,event streaming backbone,Crew Operations,SRC-AIRDN-INT-009
INT-AIRDN-00063,APP-AIRDN-0442,APP-AIRDN-1083,MQ/event,real-time,high,enterprise service bus,Technical Operations,SRC-AIRDN-INT-010
INT-AIRDN-00064,APP-AIRDN-0449,APP-AIRDN-1100,API,near real-time,critical,mainframe MQ,Airport Operations,SRC-AIRDN-INT-011
INT-AIRDN-00065,APP-AIRDN-0456,APP-AIRDN-1117,file/batch,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-012
INT-AIRDN-00066,APP-AIRDN-0463,APP-AIRDN-1134,ETL/ELT,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-013
INT-AIRDN-00067,APP-AIRDN-0470,APP-AIRDN-1151,mainframe transaction,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-014
INT-AIRDN-00068,APP-AIRDN-0477,APP-AIRDN-1168,streaming topic,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-015
INT-AIRDN-00069,APP-AIRDN-0484,APP-AIRDN-1185,SaaS connector,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-016
INT-AIRDN-00070,APP-AIRDN-0491,APP-AIRDN-1202,EDI/message,real-time,standard,enterprise service bus,Technology,SRC-AIRDN-INT-017
INT-AIRDN-00071,APP-AIRDN-0498,APP-AIRDN-1219,database link,near real-time,standard,mainframe MQ,Data and AI,SRC-AIRDN-INT-018
INT-AIRDN-00072,APP-AIRDN-0505,APP-AIRDN-1236,MQ/event,hourly,critical,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-019
INT-AIRDN-00073,APP-AIRDN-0512,APP-AIRDN-1253,API,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-020
INT-AIRDN-00074,APP-AIRDN-0519,APP-AIRDN-1270,file/batch,weekly,standard,data pipeline orchestrator,Service Management,SRC-AIRDN-INT-021
INT-AIRDN-00075,APP-AIRDN-0526,APP-AIRDN-1287,ETL/ELT,event-driven,high,API gateway,Flight Operations,SRC-AIRDN-INT-022
INT-AIRDN-00076,APP-AIRDN-0533,APP-AIRDN-1304,mainframe transaction,nightly batch,standard,event streaming backbone,Operations Control,SRC-AIRDN-INT-023
INT-AIRDN-00077,APP-AIRDN-0540,APP-AIRDN-1321,streaming topic,real-time,standard,enterprise service bus,Crew Operations,SRC-AIRDN-INT-024
INT-AIRDN-00078,APP-AIRDN-0547,APP-AIRDN-1338,SaaS connector,near real-time,high,mainframe MQ,Technical Operations,SRC-AIRDN-INT-025
INT-AIRDN-00079,APP-AIRDN-0554,APP-AIRDN-1355,EDI/message,hourly,standard,cloud integration platform,Airport Operations,SRC-AIRDN-INT-026
INT-AIRDN-00080,APP-AIRDN-0561,APP-AIRDN-1372,database link,daily,critical,file transfer gateway,Passenger Service,SRC-AIRDN-INT-027
INT-AIRDN-00081,APP-AIRDN-0568,APP-AIRDN-1389,MQ/event,weekly,high,data pipeline orchestrator,Commercial,SRC-AIRDN-INT-028
INT-AIRDN-00082,APP-AIRDN-0575,APP-AIRDN-1406,API,event-driven,standard,API gateway,Cargo,SRC-AIRDN-INT-029
INT-AIRDN-00083,APP-AIRDN-0582,APP-AIRDN-1423,file/batch,nightly batch,standard,event streaming backbone,Corporate Finance,SRC-AIRDN-INT-030
INT-AIRDN-00084,APP-AIRDN-0589,APP-AIRDN-1440,ETL/ELT,real-time,high,enterprise service bus,Procurement,SRC-AIRDN-INT-031
INT-AIRDN-00085,APP-AIRDN-0596,APP-AIRDN-1457,mainframe transaction,near real-time,standard,mainframe MQ,Technology,SRC-AIRDN-INT-032
INT-AIRDN-00086,APP-AIRDN-0603,APP-AIRDN-1474,streaming topic,hourly,standard,cloud integration platform,Data and AI,SRC-AIRDN-INT-033
INT-AIRDN-00087,APP-AIRDN-0610,APP-AIRDN-1491,SaaS connector,daily,high,file transfer gateway,Cybersecurity,SRC-AIRDN-INT-034
INT-AIRDN-00088,APP-AIRDN-0617,APP-AIRDN-0013,EDI/message,weekly,critical,data pipeline orchestrator,Workplace,SRC-AIRDN-INT-035
INT-AIRDN-00089,APP-AIRDN-0624,APP-AIRDN-0030,database link,event-driven,standard,API gateway,Service Management,SRC-AIRDN-INT-036
INT-AIRDN-00090,APP-AIRDN-0631,APP-AIRDN-0047,MQ/event,nightly batch,high,event streaming backbone,Flight Operations,SRC-AIRDN-INT-037
INT-AIRDN-00091,APP-AIRDN-0638,APP-AIRDN-0064,API,real-time,standard,enterprise service bus,Operations Control,SRC-AIRDN-INT-038
INT-AIRDN-00092,APP-AIRDN-0645,APP-AIRDN-0081,file/batch,near real-time,standard,mainframe MQ,Crew Operations,SRC-AIRDN-INT-039
INT-AIRDN-00093,APP-AIRDN-0652,APP-AIRDN-0098,ETL/ELT,hourly,high,cloud integration platform,Technical Operations,SRC-AIRDN-INT-040
INT-AIRDN-00094,APP-AIRDN-0659,APP-AIRDN-0115,mainframe transaction,daily,standard,file transfer gateway,Airport Operations,SRC-AIRDN-INT-041
INT-AIRDN-00095,APP-AIRDN-0666,APP-AIRDN-0132,streaming topic,weekly,standard,data pipeline orchestrator,Passenger Service,SRC-AIRDN-INT-042
INT-AIRDN-00096,APP-AIRDN-0673,APP-AIRDN-0149,SaaS connector,event-driven,critical,API gateway,Commercial,SRC-AIRDN-INT-043
INT-AIRDN-00097,APP-AIRDN-0680,APP-AIRDN-0166,EDI/message,nightly batch,standard,event streaming backbone,Cargo,SRC-AIRDN-INT-044
INT-AIRDN-00098,APP-AIRDN-0687,APP-AIRDN-0183,database link,real-time,standard,enterprise service bus,Corporate Finance,SRC-AIRDN-INT-045
INT-AIRDN-00099,APP-AIRDN-0694,APP-AIRDN-0200,MQ/event,near real-time,high,mainframe MQ,Procurement,SRC-AIRDN-INT-046
INT-AIRDN-00100,APP-AIRDN-0701,APP-AIRDN-0217,API,hourly,standard,cloud integration platform,Technology,SRC-AIRDN-INT-047
INT-AIRDN-00101,APP-AIRDN-0708,APP-AIRDN-0234,file/batch,daily,standard,file transfer gateway,Data and AI,SRC-AIRDN-INT-048
INT-AIRDN-00102,APP-AIRDN-0715,APP-AIRDN-0251,ETL/ELT,weekly,high,data pipeline orchestrator,Cybersecurity,SRC-AIRDN-INT-049
INT-AIRDN-00103,APP-AIRDN-0722,APP-AIRDN-0268,mainframe transaction,event-driven,standard,API gateway,Workplace,SRC-AIRDN-INT-050
INT-AIRDN-00104,APP-AIRDN-0729,APP-AIRDN-0285,streaming topic,nightly batch,critical,event streaming backbone,Service Management,SRC-AIRDN-INT-051
INT-AIRDN-00105,APP-AIRDN-0736,APP-AIRDN-0302,SaaS connector,real-time,high,enterprise service bus,Flight Operations,SRC-AIRDN-INT-052
INT-AIRDN-00106,APP-AIRDN-0743,APP-AIRDN-0319,EDI/message,near real-time,standard,mainframe MQ,Operations Control,SRC-AIRDN-INT-053
INT-AIRDN-00107,APP-AIRDN-0750,APP-AIRDN-0336,database link,hourly,standard,cloud integration platform,Crew Operations,SRC-AIRDN-INT-054
INT-AIRDN-00108,APP-AIRDN-0757,APP-AIRDN-0353,MQ/event,daily,high,file transfer gateway,Technical Operations,SRC-AIRDN-INT-001
INT-AIRDN-00109,APP-AIRDN-0764,APP-AIRDN-0370,API,weekly,standard,data pipeline orchestrator,Airport Operations,SRC-AIRDN-INT-002
INT-AIRDN-00110,APP-AIRDN-0771,APP-AIRDN-0387,file/batch,event-driven,standard,API gateway,Passenger Service,SRC-AIRDN-INT-003
INT-AIRDN-00111,APP-AIRDN-0778,APP-AIRDN-0404,ETL/ELT,nightly batch,high,event streaming backbone,Commercial,SRC-AIRDN-INT-004
INT-AIRDN-00112,APP-AIRDN-0785,APP-AIRDN-0421,mainframe transaction,real-time,critical,enterprise service bus,Cargo,SRC-AIRDN-INT-005
INT-AIRDN-00113,APP-AIRDN-0792,APP-AIRDN-0438,streaming topic,near real-time,standard,mainframe MQ,Corporate Finance,SRC-AIRDN-INT-006
INT-AIRDN-00114,APP-AIRDN-0799,APP-AIRDN-0455,SaaS connector,hourly,high,cloud integration platform,Procurement,SRC-AIRDN-INT-007
INT-AIRDN-00115,APP-AIRDN-0806,APP-AIRDN-0472,EDI/message,daily,standard,file transfer gateway,Technology,SRC-AIRDN-INT-008
INT-AIRDN-00116,APP-AIRDN-0813,APP-AIRDN-0489,database link,weekly,standard,data pipeline orchestrator,Data and AI,SRC-AIRDN-INT-009
INT-AIRDN-00117,APP-AIRDN-0820,APP-AIRDN-0506,MQ/event,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-010
INT-AIRDN-00118,APP-AIRDN-0827,APP-AIRDN-0523,API,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-011
INT-AIRDN-00119,APP-AIRDN-0834,APP-AIRDN-0540,file/batch,real-time,standard,enterprise service bus,Service Management,SRC-AIRDN-INT-012
INT-AIRDN-00120,APP-AIRDN-0841,APP-AIRDN-0557,ETL/ELT,near real-time,critical,mainframe MQ,Flight Operations,SRC-AIRDN-INT-013
INT-AIRDN-00121,APP-AIRDN-0848,APP-AIRDN-0574,mainframe transaction,hourly,standard,cloud integration platform,Operations Control,SRC-AIRDN-INT-014
INT-AIRDN-00122,APP-AIRDN-0855,APP-AIRDN-0591,streaming topic,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-015
INT-AIRDN-00123,APP-AIRDN-0862,APP-AIRDN-0608,SaaS connector,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-016
INT-AIRDN-00124,APP-AIRDN-0869,APP-AIRDN-0625,EDI/message,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-017
INT-AIRDN-00125,APP-AIRDN-0876,APP-AIRDN-0642,database link,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-018
INT-AIRDN-00126,APP-AIRDN-0883,APP-AIRDN-0659,MQ/event,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-019
INT-AIRDN-00127,APP-AIRDN-0890,APP-AIRDN-0676,API,near real-time,standard,mainframe MQ,Cargo,SRC-AIRDN-INT-020
INT-AIRDN-00128,APP-AIRDN-0897,APP-AIRDN-0693,file/batch,hourly,critical,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-021
INT-AIRDN-00129,APP-AIRDN-0904,APP-AIRDN-0710,ETL/ELT,daily,high,file transfer gateway,Procurement,SRC-AIRDN-INT-022
INT-AIRDN-00130,APP-AIRDN-0911,APP-AIRDN-0727,mainframe transaction,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-023
INT-AIRDN-00131,APP-AIRDN-0918,APP-AIRDN-0744,streaming topic,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-024
INT-AIRDN-00132,APP-AIRDN-0925,APP-AIRDN-0761,SaaS connector,nightly batch,high,event streaming backbone,Cybersecurity,SRC-AIRDN-INT-025
INT-AIRDN-00133,APP-AIRDN-0932,APP-AIRDN-0778,EDI/message,real-time,standard,enterprise service bus,Workplace,SRC-AIRDN-INT-026
INT-AIRDN-00134,APP-AIRDN-0939,APP-AIRDN-0795,database link,near real-time,standard,mainframe MQ,Service Management,SRC-AIRDN-INT-027
INT-AIRDN-00135,APP-AIRDN-0946,APP-AIRDN-0812,MQ/event,hourly,high,cloud integration platform,Flight Operations,SRC-AIRDN-INT-028
INT-AIRDN-00136,APP-AIRDN-0953,APP-AIRDN-0829,API,daily,critical,file transfer gateway,Operations Control,SRC-AIRDN-INT-029
INT-AIRDN-00137,APP-AIRDN-0960,APP-AIRDN-0846,file/batch,weekly,standard,data pipeline orchestrator,Crew Operations,SRC-AIRDN-INT-030
INT-AIRDN-00138,APP-AIRDN-0967,APP-AIRDN-0863,ETL/ELT,event-driven,high,API gateway,Technical Operations,SRC-AIRDN-INT-031
INT-AIRDN-00139,APP-AIRDN-0974,APP-AIRDN-0880,mainframe transaction,nightly batch,standard,event streaming backbone,Airport Operations,SRC-AIRDN-INT-032
INT-AIRDN-00140,APP-AIRDN-0981,APP-AIRDN-0897,streaming topic,real-time,standard,enterprise service bus,Passenger Service,SRC-AIRDN-INT-033
INT-AIRDN-00141,APP-AIRDN-0988,APP-AIRDN-0914,SaaS connector,near real-time,high,mainframe MQ,Commercial,SRC-AIRDN-INT-034
INT-AIRDN-00142,APP-AIRDN-0995,APP-AIRDN-0931,EDI/message,hourly,standard,cloud integration platform,Cargo,SRC-AIRDN-INT-035
INT-AIRDN-00143,APP-AIRDN-1002,APP-AIRDN-0948,database link,daily,standard,file transfer gateway,Corporate Finance,SRC-AIRDN-INT-036
INT-AIRDN-00144,APP-AIRDN-1009,APP-AIRDN-0965,MQ/event,weekly,critical,data pipeline orchestrator,Procurement,SRC-AIRDN-INT-037
INT-AIRDN-00145,APP-AIRDN-1016,APP-AIRDN-0982,API,event-driven,standard,API gateway,Technology,SRC-AIRDN-INT-038
INT-AIRDN-00146,APP-AIRDN-1023,APP-AIRDN-0999,file/batch,nightly batch,standard,event streaming backbone,Data and AI,SRC-AIRDN-INT-039
INT-AIRDN-00147,APP-AIRDN-1030,APP-AIRDN-1016,ETL/ELT,real-time,high,enterprise service bus,Cybersecurity,SRC-AIRDN-INT-040
INT-AIRDN-00148,APP-AIRDN-1037,APP-AIRDN-1033,mainframe transaction,near real-time,standard,mainframe MQ,Workplace,SRC-AIRDN-INT-041
INT-AIRDN-00149,APP-AIRDN-1044,APP-AIRDN-1050,streaming topic,hourly,standard,cloud integration platform,Service Management,SRC-AIRDN-INT-042
INT-AIRDN-00150,APP-AIRDN-1051,APP-AIRDN-1067,SaaS connector,daily,high,file transfer gateway,Flight Operations,SRC-AIRDN-INT-043
INT-AIRDN-00151,APP-AIRDN-1058,APP-AIRDN-1084,EDI/message,weekly,standard,data pipeline orchestrator,Operations Control,SRC-AIRDN-INT-044
INT-AIRDN-00152,APP-AIRDN-1065,APP-AIRDN-1101,database link,event-driven,critical,API gateway,Crew Operations,SRC-AIRDN-INT-045
INT-AIRDN-00153,APP-AIRDN-1072,APP-AIRDN-1118,MQ/event,nightly batch,high,event streaming backbone,Technical Operations,SRC-AIRDN-INT-046
INT-AIRDN-00154,APP-AIRDN-1079,APP-AIRDN-1135,API,real-time,standard,enterprise service bus,Airport Operations,SRC-AIRDN-INT-047
INT-AIRDN-00155,APP-AIRDN-1086,APP-AIRDN-1152,file/batch,near real-time,standard,mainframe MQ,Passenger Service,SRC-AIRDN-INT-048
INT-AIRDN-00156,APP-AIRDN-1093,APP-AIRDN-1169,ETL/ELT,hourly,high,cloud integration platform,Commercial,SRC-AIRDN-INT-049
INT-AIRDN-00157,APP-AIRDN-1100,APP-AIRDN-1186,mainframe transaction,daily,standard,file transfer gateway,Cargo,SRC-AIRDN-INT-050
INT-AIRDN-00158,APP-AIRDN-1107,APP-AIRDN-1203,streaming topic,weekly,standard,data pipeline orchestrator,Corporate Finance,SRC-AIRDN-INT-051
INT-AIRDN-00159,APP-AIRDN-1114,APP-AIRDN-1220,SaaS connector,event-driven,high,API gateway,Procurement,SRC-AIRDN-INT-052
INT-AIRDN-00160,APP-AIRDN-1121,APP-AIRDN-1237,EDI/message,nightly batch,critical,event streaming backbone,Technology,SRC-AIRDN-INT-053
INT-AIRDN-00161,APP-AIRDN-1128,APP-AIRDN-1254,database link,real-time,standard,enterprise service bus,Data and AI,SRC-AIRDN-INT-054
INT-AIRDN-00162,APP-AIRDN-1135,APP-AIRDN-1271,MQ/event,near real-time,high,mainframe MQ,Cybersecurity,SRC-AIRDN-INT-001
INT-AIRDN-00163,APP-AIRDN-1142,APP-AIRDN-1288,API,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-002
INT-AIRDN-00164,APP-AIRDN-1149,APP-AIRDN-1305,file/batch,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-003
INT-AIRDN-00165,APP-AIRDN-1156,APP-AIRDN-1322,ETL/ELT,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-004
INT-AIRDN-00166,APP-AIRDN-1163,APP-AIRDN-1339,mainframe transaction,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-005
INT-AIRDN-00167,APP-AIRDN-1170,APP-AIRDN-1356,streaming topic,nightly batch,standard,event streaming backbone,Crew Operations,SRC-AIRDN-INT-006
INT-AIRDN-00168,APP-AIRDN-1177,APP-AIRDN-1373,SaaS connector,real-time,critical,enterprise service bus,Technical Operations,SRC-AIRDN-INT-007
INT-AIRDN-00169,APP-AIRDN-1184,APP-AIRDN-1390,EDI/message,near real-time,standard,mainframe MQ,Airport Operations,SRC-AIRDN-INT-008
INT-AIRDN-00170,APP-AIRDN-1191,APP-AIRDN-1407,database link,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-009
INT-AIRDN-00171,APP-AIRDN-1198,APP-AIRDN-1424,MQ/event,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-010
INT-AIRDN-00172,APP-AIRDN-1205,APP-AIRDN-1441,API,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-011
INT-AIRDN-00173,APP-AIRDN-1212,APP-AIRDN-1458,file/batch,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-012
INT-AIRDN-00174,APP-AIRDN-1219,APP-AIRDN-1475,ETL/ELT,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-013
INT-AIRDN-00175,APP-AIRDN-1226,APP-AIRDN-1492,mainframe transaction,real-time,standard,enterprise service bus,Technology,SRC-AIRDN-INT-014
INT-AIRDN-00176,APP-AIRDN-1233,APP-AIRDN-0014,streaming topic,near real-time,critical,mainframe MQ,Data and AI,SRC-AIRDN-INT-015
INT-AIRDN-00177,APP-AIRDN-1240,APP-AIRDN-0031,SaaS connector,hourly,high,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-016
INT-AIRDN-00178,APP-AIRDN-1247,APP-AIRDN-0048,EDI/message,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-017
