infra_id,site_or_zone,component_type,hosting_model,technology_stack,business_function,service_tower,sensitivity,capacity_status,resilience_status
INFRA-AIRDN-00029,private cloud central,mainframe LPAR,hybrid,Service management platform,Service Management,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00030,AWS digital landing zone,integration runtime,mainframe z/OS,mainframe batch scheduler,Flight Operations,Digital Customer and Loyalty AMS,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00031,AWS analytics landing zone,edge appliance,private cloud,container/Kubernetes,Operations Control,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00032,Azure enterprise landing zone,security sensor,owned data center,AIX/UNIX middleware,Crew Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00033,Azure AI/data landing zone,observability collector,colocation,API gateway/iPaaS,Technical Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00034,station edge footprint,desktop/endpoint group,AWS workload,BI/reporting platform,Airport Operations,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00035,crew/MRO field footprint,cloud resource group,Azure workload,security/IAM stack,Passenger Service,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00036,mainframe complex,compute VM/cluster,SaaS,COBOL/CICS/DB2/MQ,Commercial,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00037,colocation facility,database platform,edge/station,Java/.NET custom,Cargo,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00038,global network zone,network zone,legacy UNIX/AIX,SAP S/4HANA,Corporate Finance,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00039,primary enterprise data center,storage tier,hybrid,legacy SAP ECC,Procurement,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00040,secondary resilience data center,container platform,mainframe z/OS,SAP Ariba/Concur/BW/BTP,Technology,Workplace Service Desk and Field Support,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00041,private cloud east,mainframe LPAR,private cloud,Teradata-scale EDW,Data and AI,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00042,private cloud central,integration runtime,owned data center,Databricks-style lakehouse,Cybersecurity,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00043,AWS digital landing zone,edge appliance,colocation,Snowflake-style cloud warehouse,Workplace,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00044,AWS analytics landing zone,security sensor,AWS workload,Kafka/event streaming,Service Management,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00045,Azure enterprise landing zone,observability collector,Azure workload,Oracle/SQL Server,Flight Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00046,Azure AI/data landing zone,desktop/endpoint group,SaaS,Hadoop remnant,Operations Control,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00047,station edge footprint,cloud resource group,edge/station,Service management platform,Crew Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00048,crew/MRO field footprint,compute VM/cluster,legacy UNIX/AIX,mainframe batch scheduler,Technical Operations,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00049,mainframe complex,database platform,hybrid,container/Kubernetes,Airport Operations,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00050,colocation facility,network zone,mainframe z/OS,AIX/UNIX middleware,Passenger Service,Corporate and SAP AMS,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00051,global network zone,storage tier,private cloud,API gateway/iPaaS,Commercial,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00052,primary enterprise data center,container platform,owned data center,BI/reporting platform,Cargo,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00053,secondary resilience data center,mainframe LPAR,colocation,security/IAM stack,Corporate Finance,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00054,private cloud east,integration runtime,AWS workload,COBOL/CICS/DB2/MQ,Procurement,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00055,private cloud central,edge appliance,Azure workload,Java/.NET custom,Technology,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00056,AWS digital landing zone,security sensor,SaaS,SAP S/4HANA,Data and AI,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00057,AWS analytics landing zone,observability collector,edge/station,legacy SAP ECC,Cybersecurity,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00058,Azure enterprise landing zone,desktop/endpoint group,legacy UNIX/AIX,SAP Ariba/Concur/BW/BTP,Workplace,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00059,Azure AI/data landing zone,cloud resource group,hybrid,Teradata-scale EDW,Service Management,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00060,station edge footprint,compute VM/cluster,mainframe z/OS,Databricks-style lakehouse,Flight Operations,Cloud Infrastructure and Mainframe,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00061,crew/MRO field footprint,database platform,private cloud,Snowflake-style cloud warehouse,Operations Control,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00062,mainframe complex,network zone,owned data center,Kafka/event streaming,Crew Operations,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00063,colocation facility,storage tier,colocation,Oracle/SQL Server,Technical Operations,Airline Operations AMS,enterprise confidential,capacity constrained,resilience evidence required
INFRA-AIRDN-00064,global network zone,container platform,AWS workload,Hadoop remnant,Airport Operations,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00065,primary enterprise data center,mainframe LPAR,Azure workload,Service management platform,Passenger Service,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00066,secondary resilience data center,integration runtime,SaaS,mainframe batch scheduler,Commercial,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00067,private cloud east,edge appliance,edge/station,container/Kubernetes,Cargo,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00068,private cloud central,security sensor,legacy UNIX/AIX,AIX/UNIX middleware,Corporate Finance,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00069,AWS digital landing zone,observability collector,hybrid,API gateway/iPaaS,Procurement,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00070,AWS analytics landing zone,desktop/endpoint group,mainframe z/OS,BI/reporting platform,Technology,Airline Operations AMS,regulated/restricted,capacity constrained,resilience mapped
INFRA-AIRDN-00071,Azure enterprise landing zone,cloud resource group,private cloud,security/IAM stack,Data and AI,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00072,Azure AI/data landing zone,compute VM/cluster,owned data center,COBOL/CICS/DB2/MQ,Cybersecurity,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00073,station edge footprint,database platform,colocation,Java/.NET custom,Workplace,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00074,crew/MRO field footprint,network zone,AWS workload,SAP S/4HANA,Service Management,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00075,mainframe complex,storage tier,Azure workload,legacy SAP ECC,Flight Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00076,colocation facility,container platform,SaaS,SAP Ariba/Concur/BW/BTP,Operations Control,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00077,global network zone,mainframe LPAR,edge/station,Teradata-scale EDW,Crew Operations,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00078,primary enterprise data center,integration runtime,legacy UNIX/AIX,Databricks-style lakehouse,Technical Operations,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00079,secondary resilience data center,edge appliance,hybrid,Snowflake-style cloud warehouse,Airport Operations,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00080,private cloud east,security sensor,mainframe z/OS,Kafka/event streaming,Passenger Service,Data Analytics and Integration,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00081,private cloud central,observability collector,private cloud,Oracle/SQL Server,Commercial,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00082,AWS digital landing zone,desktop/endpoint group,owned data center,Hadoop remnant,Cargo,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00083,AWS analytics landing zone,cloud resource group,colocation,Service management platform,Corporate Finance,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00084,Azure enterprise landing zone,compute VM/cluster,AWS workload,mainframe batch scheduler,Procurement,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00085,Azure AI/data landing zone,database platform,Azure workload,container/Kubernetes,Technology,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00086,station edge footprint,network zone,SaaS,AIX/UNIX middleware,Data and AI,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00087,crew/MRO field footprint,storage tier,edge/station,API gateway/iPaaS,Cybersecurity,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00088,mainframe complex,container platform,legacy UNIX/AIX,BI/reporting platform,Workplace,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00089,colocation facility,mainframe LPAR,hybrid,security/IAM stack,Service Management,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00090,global network zone,integration runtime,mainframe z/OS,COBOL/CICS/DB2/MQ,Flight Operations,SIAM Observability and Service Governance,regulated/restricted,normal capacity,resilience evidence required
INFRA-AIRDN-00091,primary enterprise data center,edge appliance,private cloud,Java/.NET custom,Operations Control,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00092,secondary resilience data center,security sensor,owned data center,SAP S/4HANA,Crew Operations,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00093,private cloud east,observability collector,colocation,legacy SAP ECC,Technical Operations,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00094,private cloud central,desktop/endpoint group,AWS workload,SAP Ariba/Concur/BW/BTP,Airport Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00095,AWS digital landing zone,cloud resource group,Azure workload,Teradata-scale EDW,Passenger Service,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00096,AWS analytics landing zone,compute VM/cluster,SaaS,Databricks-style lakehouse,Commercial,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00097,Azure enterprise landing zone,database platform,edge/station,Snowflake-style cloud warehouse,Cargo,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00098,Azure AI/data landing zone,network zone,legacy UNIX/AIX,Kafka/event streaming,Corporate Finance,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00099,station edge footprint,storage tier,hybrid,Oracle/SQL Server,Procurement,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00100,crew/MRO field footprint,container platform,mainframe z/OS,Hadoop remnant,Technology,Digital Customer and Loyalty AMS,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00101,mainframe complex,mainframe LPAR,private cloud,Service management platform,Data and AI,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00102,colocation facility,integration runtime,owned data center,mainframe batch scheduler,Cybersecurity,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00103,global network zone,edge appliance,colocation,container/Kubernetes,Workplace,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00104,primary enterprise data center,security sensor,AWS workload,AIX/UNIX middleware,Service Management,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00105,secondary resilience data center,observability collector,Azure workload,API gateway/iPaaS,Flight Operations,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00106,private cloud east,desktop/endpoint group,SaaS,BI/reporting platform,Operations Control,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00107,private cloud central,cloud resource group,edge/station,security/IAM stack,Crew Operations,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00108,AWS digital landing zone,compute VM/cluster,legacy UNIX/AIX,COBOL/CICS/DB2/MQ,Technical Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00109,AWS analytics landing zone,database platform,hybrid,Java/.NET custom,Airport Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00110,Azure enterprise landing zone,network zone,mainframe z/OS,SAP S/4HANA,Passenger Service,Workplace Service Desk and Field Support,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00111,Azure AI/data landing zone,storage tier,private cloud,legacy SAP ECC,Commercial,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00112,station edge footprint,container platform,owned data center,SAP Ariba/Concur/BW/BTP,Cargo,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00113,crew/MRO field footprint,mainframe LPAR,colocation,Teradata-scale EDW,Corporate Finance,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00114,mainframe complex,integration runtime,AWS workload,Databricks-style lakehouse,Procurement,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00115,colocation facility,edge appliance,Azure workload,Snowflake-style cloud warehouse,Technology,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00116,global network zone,security sensor,SaaS,Kafka/event streaming,Data and AI,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00117,primary enterprise data center,observability collector,edge/station,Oracle/SQL Server,Cybersecurity,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00118,secondary resilience data center,desktop/endpoint group,legacy UNIX/AIX,Hadoop remnant,Workplace,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00119,private cloud east,cloud resource group,hybrid,Service management platform,Service Management,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00120,private cloud central,compute VM/cluster,mainframe z/OS,mainframe batch scheduler,Flight Operations,Corporate and SAP AMS,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00121,AWS digital landing zone,database platform,private cloud,container/Kubernetes,Operations Control,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00122,AWS analytics landing zone,network zone,owned data center,AIX/UNIX middleware,Crew Operations,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00123,Azure enterprise landing zone,storage tier,colocation,API gateway/iPaaS,Technical Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00124,Azure AI/data landing zone,container platform,AWS workload,BI/reporting platform,Airport Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00125,station edge footprint,mainframe LPAR,Azure workload,security/IAM stack,Passenger Service,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00126,crew/MRO field footprint,integration runtime,SaaS,COBOL/CICS/DB2/MQ,Commercial,Airline Operations AMS,enterprise confidential,capacity constrained,resilience evidence required
INFRA-AIRDN-00127,mainframe complex,edge appliance,edge/station,Java/.NET custom,Cargo,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00128,colocation facility,security sensor,legacy UNIX/AIX,SAP S/4HANA,Corporate Finance,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00129,global network zone,observability collector,hybrid,legacy SAP ECC,Procurement,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00130,primary enterprise data center,desktop/endpoint group,mainframe z/OS,SAP Ariba/Concur/BW/BTP,Technology,Cloud Infrastructure and Mainframe,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00131,secondary resilience data center,cloud resource group,private cloud,Teradata-scale EDW,Data and AI,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00132,private cloud east,compute VM/cluster,owned data center,Databricks-style lakehouse,Cybersecurity,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00133,private cloud central,database platform,colocation,Snowflake-style cloud warehouse,Workplace,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00134,AWS digital landing zone,network zone,AWS workload,Kafka/event streaming,Service Management,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00135,AWS analytics landing zone,storage tier,Azure workload,Oracle/SQL Server,Flight Operations,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00136,Azure enterprise landing zone,container platform,SaaS,Hadoop remnant,Operations Control,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00137,Azure AI/data landing zone,mainframe LPAR,edge/station,Service management platform,Crew Operations,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00138,station edge footprint,integration runtime,legacy UNIX/AIX,mainframe batch scheduler,Technical Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00139,crew/MRO field footprint,edge appliance,hybrid,container/Kubernetes,Airport Operations,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00140,mainframe complex,security sensor,mainframe z/OS,AIX/UNIX middleware,Passenger Service,Airline Operations AMS,regulated/restricted,capacity constrained,resilience mapped
INFRA-AIRDN-00141,colocation facility,observability collector,private cloud,API gateway/iPaaS,Commercial,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00142,global network zone,desktop/endpoint group,owned data center,BI/reporting platform,Cargo,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00143,primary enterprise data center,cloud resource group,colocation,security/IAM stack,Corporate Finance,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00144,secondary resilience data center,compute VM/cluster,AWS workload,COBOL/CICS/DB2/MQ,Procurement,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00145,private cloud east,database platform,Azure workload,Java/.NET custom,Technology,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00146,private cloud central,network zone,SaaS,SAP S/4HANA,Data and AI,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00147,AWS digital landing zone,storage tier,edge/station,legacy SAP ECC,Cybersecurity,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00148,AWS analytics landing zone,container platform,legacy UNIX/AIX,SAP Ariba/Concur/BW/BTP,Workplace,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00149,Azure enterprise landing zone,mainframe LPAR,hybrid,Teradata-scale EDW,Service Management,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00150,Azure AI/data landing zone,integration runtime,mainframe z/OS,Databricks-style lakehouse,Flight Operations,Data Analytics and Integration,regulated/restricted,normal capacity,resilience mapped
INFRA-AIRDN-00151,station edge footprint,edge appliance,private cloud,Snowflake-style cloud warehouse,Operations Control,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00152,crew/MRO field footprint,security sensor,owned data center,Kafka/event streaming,Crew Operations,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00153,mainframe complex,observability collector,colocation,Oracle/SQL Server,Technical Operations,SIAM Observability and Service Governance,enterprise confidential,normal capacity,resilience evidence required
INFRA-AIRDN-00154,colocation facility,desktop/endpoint group,AWS workload,Hadoop remnant,Airport Operations,Airline Operations AMS,enterprise confidential,capacity constrained,resilience mapped
INFRA-AIRDN-00155,global network zone,cloud resource group,Azure workload,Service management platform,Passenger Service,Corporate and SAP AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00156,primary enterprise data center,compute VM/cluster,SaaS,mainframe batch scheduler,Commercial,Digital Customer and Loyalty AMS,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00157,secondary resilience data center,database platform,edge/station,container/Kubernetes,Cargo,Data Analytics and Integration,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00158,private cloud east,network zone,legacy UNIX/AIX,AIX/UNIX middleware,Corporate Finance,Cloud Infrastructure and Mainframe,enterprise confidential,normal capacity,resilience mapped
INFRA-AIRDN-00159,private cloud central,storage tier,hybrid,API gateway/iPaaS,Procurement,Workplace Service Desk and Field Support,enterprise confidential,normal capacity,resilience mapped
