data_product_id,data_product_name,domain,platform_pattern,business_function,logical_footprint,ingestion_pattern,lineage_status,ai_or_bi_use,vendor_id
DATA-AIRDN-0024,AIRLINE_EVENTS product 0024,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Procurement,5.6 PB logical footprint,near-real-time operational feed,lineage incomplete,AI feature candidate,VEND-AIRDN-025
DATA-AIRDN-0025,CUSTOMER_SERVICE product 0025,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Technology,1.7 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-026
DATA-AIRDN-0026,COMMERCIAL_REVENUE product 0026,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Data and AI,1.7 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-027
DATA-AIRDN-0027,MRO_SUPPLY_CHAIN product 0027,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Cybersecurity,1.8 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-028
DATA-AIRDN-0028,FINANCE_PROCUREMENT product 0028,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Workplace,1.8 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-029
DATA-AIRDN-0029,STATION_OPERATIONS product 0029,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Service Management,1.9 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-030
DATA-AIRDN-0030,SECURITY_RISK product 0030,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Flight Operations,6.9 PB logical footprint,300-700 TB daily movement family,lineage incomplete,BI / operational analytics,VEND-AIRDN-031
DATA-AIRDN-0031,CREW_OPS product 0031,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Operations Control,2.0 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-032
DATA-AIRDN-0032,AIRLINE_EVENTS product 0032,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Crew Operations,2.1 PB logical footprint,batch plus streaming,lineage candidate,AI feature candidate,VEND-AIRDN-033
DATA-AIRDN-0033,CUSTOMER_SERVICE product 0033,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Technical Operations,2.1 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-034
DATA-AIRDN-0034,COMMERCIAL_REVENUE product 0034,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Airport Operations,2.2 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-035
DATA-AIRDN-0035,MRO_SUPPLY_CHAIN product 0035,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Passenger Service,2.3 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-036
DATA-AIRDN-0036,FINANCE_PROCUREMENT product 0036,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Commercial,8.2 PB logical footprint,billions of daily events family,lineage incomplete,BI / operational analytics,VEND-AIRDN-037
DATA-AIRDN-0037,STATION_OPERATIONS product 0037,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Cargo,2.4 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-038
DATA-AIRDN-0038,SECURITY_RISK product 0038,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Corporate Finance,2.4 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-039
DATA-AIRDN-0039,CREW_OPS product 0039,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Procurement,2.5 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-040
DATA-AIRDN-0040,AIRLINE_EVENTS product 0040,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Technology,2.6 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,AI feature candidate,VEND-AIRDN-041
DATA-AIRDN-0041,CUSTOMER_SERVICE product 0041,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Data and AI,2.6 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-042
DATA-AIRDN-0042,COMMERCIAL_REVENUE product 0042,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Cybersecurity,9.6 PB logical footprint,batch plus streaming,lineage incomplete,BI / operational analytics,VEND-AIRDN-043
DATA-AIRDN-0043,MRO_SUPPLY_CHAIN product 0043,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Workplace,2.7 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-044
DATA-AIRDN-0044,FINANCE_PROCUREMENT product 0044,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Service Management,2.8 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-045
DATA-AIRDN-0045,STATION_OPERATIONS product 0045,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Flight Operations,2.9 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-046
DATA-AIRDN-0046,SECURITY_RISK product 0046,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Operations Control,2.9 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-047
DATA-AIRDN-0047,CREW_OPS product 0047,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Crew Operations,3.0 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-048
DATA-AIRDN-0048,AIRLINE_EVENTS product 0048,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Technical Operations,10.9 PB logical footprint,regulated retention,lineage incomplete,AI feature candidate,VEND-AIRDN-049
DATA-AIRDN-0049,CUSTOMER_SERVICE product 0049,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Airport Operations,3.1 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-050
DATA-AIRDN-0050,COMMERCIAL_REVENUE product 0050,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Passenger Service,3.2 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-051
DATA-AIRDN-0051,MRO_SUPPLY_CHAIN product 0051,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Commercial,3.2 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-052
DATA-AIRDN-0052,FINANCE_PROCUREMENT product 0052,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Cargo,3.3 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-053
DATA-AIRDN-0053,STATION_OPERATIONS product 0053,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Corporate Finance,3.3 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-054
DATA-AIRDN-0054,SECURITY_RISK product 0054,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Procurement,12.2 PB logical footprint,near-real-time operational feed,lineage incomplete,BI / operational analytics,VEND-AIRDN-055
DATA-AIRDN-0055,CREW_OPS product 0055,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Technology,3.5 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-056
DATA-AIRDN-0056,AIRLINE_EVENTS product 0056,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Data and AI,3.5 PB logical footprint,billions of daily events family,lineage candidate,AI feature candidate,VEND-AIRDN-057
DATA-AIRDN-0057,CUSTOMER_SERVICE product 0057,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Cybersecurity,3.6 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-058
DATA-AIRDN-0058,COMMERCIAL_REVENUE product 0058,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Workplace,3.6 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-059
DATA-AIRDN-0059,MRO_SUPPLY_CHAIN product 0059,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Service Management,3.7 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-060
DATA-AIRDN-0060,FINANCE_PROCUREMENT product 0060,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Flight Operations,13.5 PB logical footprint,300-700 TB daily movement family,lineage incomplete,BI / operational analytics,VEND-AIRDN-061
DATA-AIRDN-0061,STATION_OPERATIONS product 0061,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Operations Control,3.8 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-062
DATA-AIRDN-0062,SECURITY_RISK product 0062,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Crew Operations,3.9 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-063
DATA-AIRDN-0063,CREW_OPS product 0063,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Technical Operations,3.9 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-064
DATA-AIRDN-0064,AIRLINE_EVENTS product 0064,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Airport Operations,4.0 PB logical footprint,near-real-time operational feed,lineage candidate,AI feature candidate,VEND-AIRDN-065
DATA-AIRDN-0065,CUSTOMER_SERVICE product 0065,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Passenger Service,4.1 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-066
DATA-AIRDN-0066,COMMERCIAL_REVENUE product 0066,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Commercial,14.8 PB logical footprint,billions of daily events family,lineage incomplete,BI / operational analytics,VEND-AIRDN-067
DATA-AIRDN-0067,MRO_SUPPLY_CHAIN product 0067,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Cargo,4.2 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-068
DATA-AIRDN-0068,FINANCE_PROCUREMENT product 0068,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Corporate Finance,4.2 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-069
DATA-AIRDN-0069,STATION_OPERATIONS product 0069,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Procurement,4.3 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-070
DATA-AIRDN-0070,SECURITY_RISK product 0070,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Technology,4.4 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-071
DATA-AIRDN-0071,CREW_OPS product 0071,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Data and AI,4.4 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-072
DATA-AIRDN-0072,AIRLINE_EVENTS product 0072,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Cybersecurity,16.2 PB logical footprint,batch plus streaming,lineage incomplete,AI feature candidate,VEND-AIRDN-073
DATA-AIRDN-0073,CUSTOMER_SERVICE product 0073,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Workplace,4.5 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-074
DATA-AIRDN-0074,COMMERCIAL_REVENUE product 0074,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Service Management,4.6 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-075
DATA-AIRDN-0075,MRO_SUPPLY_CHAIN product 0075,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Flight Operations,4.7 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-076
DATA-AIRDN-0076,FINANCE_PROCUREMENT product 0076,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Operations Control,4.7 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-077
DATA-AIRDN-0077,STATION_OPERATIONS product 0077,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Crew Operations,4.8 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-078
DATA-AIRDN-0078,SECURITY_RISK product 0078,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Technical Operations,17.5 PB logical footprint,regulated retention,lineage incomplete,BI / operational analytics,VEND-AIRDN-079
DATA-AIRDN-0079,CREW_OPS product 0079,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Airport Operations,4.9 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-080
DATA-AIRDN-0080,AIRLINE_EVENTS product 0080,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Passenger Service,0.2 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,AI feature candidate,VEND-AIRDN-081
DATA-AIRDN-0081,CUSTOMER_SERVICE product 0081,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Commercial,0.2 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-082
DATA-AIRDN-0082,COMMERCIAL_REVENUE product 0082,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Cargo,0.3 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-083
DATA-AIRDN-0083,MRO_SUPPLY_CHAIN product 0083,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Corporate Finance,0.3 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-084
DATA-AIRDN-0084,FINANCE_PROCUREMENT product 0084,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Procurement,1.2 PB logical footprint,near-real-time operational feed,lineage incomplete,BI / operational analytics,VEND-AIRDN-085
DATA-AIRDN-0085,STATION_OPERATIONS product 0085,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Technology,0.5 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-086
DATA-AIRDN-0086,SECURITY_RISK product 0086,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Data and AI,0.5 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-087
DATA-AIRDN-0087,CREW_OPS product 0087,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Cybersecurity,0.6 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-088
DATA-AIRDN-0088,AIRLINE_EVENTS product 0088,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Workplace,0.6 PB logical footprint,regulated retention,lineage candidate,AI feature candidate,VEND-AIRDN-089
DATA-AIRDN-0089,CUSTOMER_SERVICE product 0089,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Service Management,0.7 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-090
DATA-AIRDN-0090,COMMERCIAL_REVENUE product 0090,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Flight Operations,2.5 PB logical footprint,300-700 TB daily movement family,lineage incomplete,BI / operational analytics,VEND-AIRDN-091
DATA-AIRDN-0091,MRO_SUPPLY_CHAIN product 0091,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Operations Control,0.8 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-092
DATA-AIRDN-0092,FINANCE_PROCUREMENT product 0092,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Crew Operations,0.9 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-093
DATA-AIRDN-0093,STATION_OPERATIONS product 0093,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Technical Operations,0.9 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-094
DATA-AIRDN-0094,SECURITY_RISK product 0094,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Airport Operations,1.0 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-095
DATA-AIRDN-0095,CREW_OPS product 0095,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Passenger Service,1.1 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-096
DATA-AIRDN-0096,AIRLINE_EVENTS product 0096,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Commercial,3.8 PB logical footprint,billions of daily events family,lineage incomplete,AI feature candidate,VEND-AIRDN-097
DATA-AIRDN-0097,CUSTOMER_SERVICE product 0097,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Cargo,1.2 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-098
DATA-AIRDN-0098,COMMERCIAL_REVENUE product 0098,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Corporate Finance,1.2 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-099
DATA-AIRDN-0099,MRO_SUPPLY_CHAIN product 0099,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Procurement,1.3 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-100
DATA-AIRDN-0100,FINANCE_PROCUREMENT product 0100,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Technology,1.4 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-101
DATA-AIRDN-0101,STATION_OPERATIONS product 0101,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Data and AI,1.4 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-102
DATA-AIRDN-0102,SECURITY_RISK product 0102,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Cybersecurity,5.2 PB logical footprint,batch plus streaming,lineage incomplete,BI / operational analytics,VEND-AIRDN-103
DATA-AIRDN-0103,CREW_OPS product 0103,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Workplace,1.5 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-104
DATA-AIRDN-0104,AIRLINE_EVENTS product 0104,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Service Management,1.6 PB logical footprint,near-real-time operational feed,lineage candidate,AI feature candidate,VEND-AIRDN-105
DATA-AIRDN-0105,CUSTOMER_SERVICE product 0105,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Flight Operations,1.7 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-106
DATA-AIRDN-0106,COMMERCIAL_REVENUE product 0106,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Operations Control,1.7 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-107
DATA-AIRDN-0107,MRO_SUPPLY_CHAIN product 0107,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Crew Operations,1.8 PB logical footprint,batch plus streaming,lineage candidate,BI / operational analytics,VEND-AIRDN-108
DATA-AIRDN-0108,FINANCE_PROCUREMENT product 0108,"GL, procurement, invoice, settlement and contract economics",ERP + planning + spend analytics,Technical Operations,6.5 PB logical footprint,regulated retention,lineage incomplete,BI / operational analytics,VEND-AIRDN-109
DATA-AIRDN-0109,STATION_OPERATIONS product 0109,"Gate, ramp, baggage and airport service events",event streaming + operational dashboards,Airport Operations,1.9 PB logical footprint,near-real-time operational feed,lineage candidate,BI / operational analytics,VEND-AIRDN-110
DATA-AIRDN-0110,SECURITY_RISK product 0110,"identity, vulnerability, audit and supplier risk",security lake + workflow analytics,Passenger Service,2.0 PB logical footprint,300-700 TB daily movement family,conflicting KPI definition,BI / operational analytics,VEND-AIRDN-111
DATA-AIRDN-0111,CREW_OPS product 0111,"Crew legality, pairing, recovery, payroll and qualifications",operational store + analytics marts,Commercial,2.0 PB logical footprint,billions of daily events family,lineage candidate,BI / operational analytics,VEND-AIRDN-112
DATA-AIRDN-0112,AIRLINE_EVENTS product 0112,"Flight, crew, aircraft, station and disruption events",Teradata-scale EDW + streaming lakehouse,Cargo,2.1 PB logical footprint,batch plus streaming,lineage candidate,AI feature candidate,VEND-AIRDN-113
DATA-AIRDN-0113,CUSTOMER_SERVICE product 0113,"Contact center, digital servicing and reaccommodation",cloud lakehouse + BI marts,Corporate Finance,2.1 PB logical footprint,regulated retention,lineage candidate,BI / operational analytics,VEND-AIRDN-114
DATA-AIRDN-0114,COMMERCIAL_REVENUE product 0114,"Revenue management, pricing, inventory, loyalty and ancillary",EDW + pricing marts,Procurement,7.8 PB logical footprint,near-real-time operational feed,lineage incomplete,BI / operational analytics,VEND-AIRDN-115
DATA-AIRDN-0115,MRO_SUPPLY_CHAIN product 0115,"Maintenance, parts, inventory, supplier repair and reliability",ERP/MRO marts + historical stores,Technology,2.3 PB logical footprint,300-700 TB daily movement family,lineage candidate,BI / operational analytics,VEND-AIRDN-116
