proposal_id,lot_id,pricing_schedule_id,baseline_index,transition_fee_mode,assumptions_ref,source_id
BID-AIRDN-A-LOT-AIRDN-05,LOT-AIRDN-05,PRICE-BID-AIRDN-A-LOT-AIRDN-05,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-05,SRC-AIRDN-PRICE-A-05
BID-AIRDN-B-LOT-AIRDN-05,LOT-AIRDN-05,PRICE-BID-AIRDN-B-LOT-AIRDN-05,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-05,SRC-AIRDN-PRICE-B-05
BID-AIRDN-C-LOT-AIRDN-05,LOT-AIRDN-05,PRICE-BID-AIRDN-C-LOT-AIRDN-05,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-05,SRC-AIRDN-PRICE-C-05
BID-AIRDN-A-LOT-AIRDN-06,LOT-AIRDN-06,PRICE-BID-AIRDN-A-LOT-AIRDN-06,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-06,SRC-AIRDN-PRICE-A-06
BID-AIRDN-B-LOT-AIRDN-06,LOT-AIRDN-06,PRICE-BID-AIRDN-B-LOT-AIRDN-06,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-06,SRC-AIRDN-PRICE-B-06
BID-AIRDN-C-LOT-AIRDN-06,LOT-AIRDN-06,PRICE-BID-AIRDN-C-LOT-AIRDN-06,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-06,SRC-AIRDN-PRICE-C-06
BID-AIRDN-A-LOT-AIRDN-07,LOT-AIRDN-07,PRICE-BID-AIRDN-A-LOT-AIRDN-07,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-07,SRC-AIRDN-PRICE-A-07
BID-AIRDN-B-LOT-AIRDN-07,LOT-AIRDN-07,PRICE-BID-AIRDN-B-LOT-AIRDN-07,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-07,SRC-AIRDN-PRICE-B-07
BID-AIRDN-C-LOT-AIRDN-07,LOT-AIRDN-07,PRICE-BID-AIRDN-C-LOT-AIRDN-07,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-07,SRC-AIRDN-PRICE-C-07
BID-AIRDN-A-LOT-AIRDN-08,LOT-AIRDN-08,PRICE-BID-AIRDN-A-LOT-AIRDN-08,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-08,SRC-AIRDN-PRICE-A-08
BID-AIRDN-B-LOT-AIRDN-08,LOT-AIRDN-08,PRICE-BID-AIRDN-B-LOT-AIRDN-08,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-08,SRC-AIRDN-PRICE-B-08
BID-AIRDN-C-LOT-AIRDN-08,LOT-AIRDN-08,PRICE-BID-AIRDN-C-LOT-AIRDN-08,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-08,SRC-AIRDN-PRICE-C-08
BID-AIRDN-A-LOT-AIRDN-09,LOT-AIRDN-09,PRICE-BID-AIRDN-A-LOT-AIRDN-09,104,range,EXC-BID-AIRDN-A-LOT-AIRDN-09,SRC-AIRDN-PRICE-A-09
BID-AIRDN-B-LOT-AIRDN-09,LOT-AIRDN-09,PRICE-BID-AIRDN-B-LOT-AIRDN-09,92,range,EXC-BID-AIRDN-B-LOT-AIRDN-09,SRC-AIRDN-PRICE-B-09
BID-AIRDN-C-LOT-AIRDN-09,LOT-AIRDN-09,PRICE-BID-AIRDN-C-LOT-AIRDN-09,98,range,EXC-BID-AIRDN-C-LOT-AIRDN-09,SRC-AIRDN-PRICE-C-09
