vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note,term_note
VEND-AIRDN-035,Synthetic Supplier 035,cloud/infrastructure,strategic supplier,Airline Operations AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-036,Synthetic Supplier 036,data/AI,major supplier,Corporate and SAP AMS,Commercial,high concentration,active multi-year
VEND-AIRDN-037,Synthetic Supplier 037,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Cargo,standard review,active multi-year
VEND-AIRDN-038,Synthetic Supplier 038,airline-specific platform,regional provider,Data Analytics and Integration,Corporate Finance,standard review,active multi-year
VEND-AIRDN-039,Synthetic Supplier 039,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Procurement,exit-sensitive,active multi-year
VEND-AIRDN-040,Synthetic Supplier 040,AMS,strategic supplier,Workplace Service Desk and Field Support,Technology,standard review,renewal inside 24 months
VEND-AIRDN-041,Synthetic Supplier 041,IMS,major supplier,SIAM Observability and Service Governance,Data and AI,standard review,active multi-year
VEND-AIRDN-042,Synthetic Supplier 042,BPO-adjacent,niche supplier,Airline Operations AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-043,Synthetic Supplier 043,SaaS/software,regional provider,Corporate and SAP AMS,Workplace,standard review,active multi-year
VEND-AIRDN-044,Synthetic Supplier 044,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Service Management,standard review,renewal inside 12 months
VEND-AIRDN-045,Synthetic Supplier 045,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-046,Synthetic Supplier 046,data/AI,major supplier,Cloud Infrastructure and Mainframe,Operations Control,standard review,active multi-year
VEND-AIRDN-047,Synthetic Supplier 047,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Crew Operations,standard review,active multi-year
VEND-AIRDN-048,Synthetic Supplier 048,airline-specific platform,regional provider,SIAM Observability and Service Governance,Technical Operations,standard review,active multi-year
VEND-AIRDN-049,Synthetic Supplier 049,professional services,incumbent provider,Airline Operations AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-050,Synthetic Supplier 050,AMS,strategic supplier,Corporate and SAP AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-051,Synthetic Supplier 051,IMS,major supplier,Digital Customer and Loyalty AMS,Commercial,standard review,active multi-year
VEND-AIRDN-052,Synthetic Supplier 052,BPO-adjacent,niche supplier,Data Analytics and Integration,Cargo,exit-sensitive,active multi-year
VEND-AIRDN-053,Synthetic Supplier 053,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Corporate Finance,standard review,active multi-year
VEND-AIRDN-054,Synthetic Supplier 054,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Procurement,high concentration,active multi-year
VEND-AIRDN-055,Synthetic Supplier 055,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Technology,standard review,renewal inside 12 months
VEND-AIRDN-056,Synthetic Supplier 056,data/AI,major supplier,Airline Operations AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-057,Synthetic Supplier 057,cybersecurity,niche supplier,Corporate and SAP AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-058,Synthetic Supplier 058,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Workplace,standard review,active multi-year
VEND-AIRDN-059,Synthetic Supplier 059,professional services,incumbent provider,Data Analytics and Integration,Service Management,standard review,active multi-year
VEND-AIRDN-060,Synthetic Supplier 060,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-061,Synthetic Supplier 061,IMS,major supplier,Workplace Service Desk and Field Support,Operations Control,standard review,active multi-year
VEND-AIRDN-062,Synthetic Supplier 062,BPO-adjacent,niche supplier,SIAM Observability and Service Governance,Crew Operations,standard review,active multi-year
VEND-AIRDN-063,Synthetic Supplier 063,SaaS/software,regional provider,Airline Operations AMS,Technical Operations,high concentration,active multi-year
VEND-AIRDN-064,Synthetic Supplier 064,telecom/network,incumbent provider,Corporate and SAP AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-065,Synthetic Supplier 065,cloud/infrastructure,strategic supplier,Digital Customer and Loyalty AMS,Passenger Service,exit-sensitive,renewal inside 24 months
VEND-AIRDN-066,Synthetic Supplier 066,data/AI,major supplier,Data Analytics and Integration,Commercial,standard review,renewal inside 12 months
VEND-AIRDN-067,Synthetic Supplier 067,cybersecurity,niche supplier,Cloud Infrastructure and Mainframe,Cargo,standard review,active multi-year
VEND-AIRDN-068,Synthetic Supplier 068,airline-specific platform,regional provider,Workplace Service Desk and Field Support,Corporate Finance,standard review,active multi-year
VEND-AIRDN-069,Synthetic Supplier 069,professional services,incumbent provider,SIAM Observability and Service Governance,Procurement,standard review,active multi-year
VEND-AIRDN-070,Synthetic Supplier 070,AMS,strategic supplier,Airline Operations AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-071,Synthetic Supplier 071,IMS,major supplier,Corporate and SAP AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-072,Synthetic Supplier 072,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-073,Synthetic Supplier 073,SaaS/software,regional provider,Data Analytics and Integration,Workplace,standard review,active multi-year
VEND-AIRDN-074,Synthetic Supplier 074,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Service Management,standard review,active multi-year
VEND-AIRDN-075,Synthetic Supplier 075,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-076,Synthetic Supplier 076,data/AI,major supplier,SIAM Observability and Service Governance,Operations Control,standard review,active multi-year
VEND-AIRDN-077,Synthetic Supplier 077,cybersecurity,niche supplier,Airline Operations AMS,Crew Operations,standard review,renewal inside 12 months
VEND-AIRDN-078,Synthetic Supplier 078,airline-specific platform,regional provider,Corporate and SAP AMS,Technical Operations,exit-sensitive,active multi-year
VEND-AIRDN-079,Synthetic Supplier 079,professional services,incumbent provider,Digital Customer and Loyalty AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-080,Synthetic Supplier 080,AMS,strategic supplier,Data Analytics and Integration,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-081,Synthetic Supplier 081,IMS,major supplier,Cloud Infrastructure and Mainframe,Commercial,high concentration,active multi-year
VEND-AIRDN-082,Synthetic Supplier 082,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Cargo,standard review,active multi-year
VEND-AIRDN-083,Synthetic Supplier 083,SaaS/software,regional provider,SIAM Observability and Service Governance,Corporate Finance,standard review,active multi-year
VEND-AIRDN-084,Synthetic Supplier 084,telecom/network,incumbent provider,Airline Operations AMS,Procurement,standard review,active multi-year
VEND-AIRDN-085,Synthetic Supplier 085,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-086,Synthetic Supplier 086,data/AI,major supplier,Digital Customer and Loyalty AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-087,Synthetic Supplier 087,cybersecurity,niche supplier,Data Analytics and Integration,Cybersecurity,standard review,active multi-year
VEND-AIRDN-088,Synthetic Supplier 088,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Workplace,standard review,renewal inside 12 months
VEND-AIRDN-089,Synthetic Supplier 089,professional services,incumbent provider,Workplace Service Desk and Field Support,Service Management,standard review,active multi-year
VEND-AIRDN-090,Synthetic Supplier 090,AMS,strategic supplier,SIAM Observability and Service Governance,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-091,Synthetic Supplier 091,IMS,major supplier,Airline Operations AMS,Operations Control,exit-sensitive,active multi-year
VEND-AIRDN-092,Synthetic Supplier 092,BPO-adjacent,niche supplier,Corporate and SAP AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-093,Synthetic Supplier 093,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-094,Synthetic Supplier 094,telecom/network,incumbent provider,Data Analytics and Integration,Airport Operations,standard review,active multi-year
VEND-AIRDN-095,Synthetic Supplier 095,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-096,Synthetic Supplier 096,data/AI,major supplier,Workplace Service Desk and Field Support,Commercial,standard review,active multi-year
VEND-AIRDN-097,Synthetic Supplier 097,cybersecurity,niche supplier,SIAM Observability and Service Governance,Cargo,standard review,active multi-year
VEND-AIRDN-098,Synthetic Supplier 098,airline-specific platform,regional provider,Airline Operations AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-099,Synthetic Supplier 099,professional services,incumbent provider,Corporate and SAP AMS,Procurement,high concentration,renewal inside 12 months
VEND-AIRDN-100,Synthetic Supplier 100,AMS,strategic supplier,Digital Customer and Loyalty AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-101,Synthetic Supplier 101,IMS,major supplier,Data Analytics and Integration,Data and AI,standard review,active multi-year
VEND-AIRDN-102,Synthetic Supplier 102,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Cybersecurity,standard review,active multi-year
VEND-AIRDN-103,Synthetic Supplier 103,SaaS/software,regional provider,Workplace Service Desk and Field Support,Workplace,standard review,active multi-year
VEND-AIRDN-104,Synthetic Supplier 104,telecom/network,incumbent provider,SIAM Observability and Service Governance,Service Management,exit-sensitive,active multi-year
VEND-AIRDN-105,Synthetic Supplier 105,cloud/infrastructure,strategic supplier,Airline Operations AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-106,Synthetic Supplier 106,data/AI,major supplier,Corporate and SAP AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-107,Synthetic Supplier 107,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-108,Synthetic Supplier 108,airline-specific platform,regional provider,Data Analytics and Integration,Technical Operations,high concentration,active multi-year
VEND-AIRDN-109,Synthetic Supplier 109,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Airport Operations,standard review,active multi-year
VEND-AIRDN-110,Synthetic Supplier 110,AMS,strategic supplier,Workplace Service Desk and Field Support,Passenger Service,standard review,renewal inside 12 months
VEND-AIRDN-111,Synthetic Supplier 111,IMS,major supplier,SIAM Observability and Service Governance,Commercial,standard review,active multi-year
VEND-AIRDN-112,Synthetic Supplier 112,BPO-adjacent,niche supplier,Airline Operations AMS,Cargo,standard review,active multi-year
VEND-AIRDN-113,Synthetic Supplier 113,SaaS/software,regional provider,Corporate and SAP AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-114,Synthetic Supplier 114,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Procurement,standard review,active multi-year
VEND-AIRDN-115,Synthetic Supplier 115,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Technology,standard review,renewal inside 24 months
VEND-AIRDN-116,Synthetic Supplier 116,data/AI,major supplier,Cloud Infrastructure and Mainframe,Data and AI,standard review,active multi-year
VEND-AIRDN-117,Synthetic Supplier 117,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-118,Synthetic Supplier 118,airline-specific platform,regional provider,SIAM Observability and Service Governance,Workplace,standard review,active multi-year
VEND-AIRDN-119,Synthetic Supplier 119,professional services,incumbent provider,Airline Operations AMS,Service Management,standard review,active multi-year
VEND-AIRDN-120,Synthetic Supplier 120,AMS,strategic supplier,Corporate and SAP AMS,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-121,Synthetic Supplier 121,IMS,major supplier,Digital Customer and Loyalty AMS,Operations Control,standard review,renewal inside 12 months
VEND-AIRDN-122,Synthetic Supplier 122,BPO-adjacent,niche supplier,Data Analytics and Integration,Crew Operations,standard review,active multi-year
VEND-AIRDN-123,Synthetic Supplier 123,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Technical Operations,standard review,active multi-year
VEND-AIRDN-124,Synthetic Supplier 124,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Airport Operations,standard review,active multi-year
VEND-AIRDN-125,Synthetic Supplier 125,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-126,Synthetic Supplier 126,data/AI,major supplier,Airline Operations AMS,Commercial,high concentration,active multi-year
VEND-AIRDN-127,Synthetic Supplier 127,cybersecurity,niche supplier,Corporate and SAP AMS,Cargo,standard review,active multi-year
VEND-AIRDN-128,Synthetic Supplier 128,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-129,Synthetic Supplier 129,professional services,incumbent provider,Data Analytics and Integration,Procurement,standard review,active multi-year
VEND-AIRDN-130,Synthetic Supplier 130,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Technology,exit-sensitive,renewal inside 24 months
VEND-AIRDN-131,Synthetic Supplier 131,IMS,major supplier,Workplace Service Desk and Field Support,Data and AI,standard review,active multi-year
VEND-AIRDN-132,Synthetic Supplier 132,BPO-adjacent,niche supplier,SIAM Observability and Service Governance,Cybersecurity,standard review,renewal inside 12 months
VEND-AIRDN-133,Synthetic Supplier 133,SaaS/software,regional provider,Airline Operations AMS,Workplace,standard review,active multi-year
VEND-AIRDN-134,Synthetic Supplier 134,telecom/network,incumbent provider,Corporate and SAP AMS,Service Management,standard review,active multi-year
VEND-AIRDN-135,Synthetic Supplier 135,cloud/infrastructure,strategic supplier,Digital Customer and Loyalty AMS,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-136,Synthetic Supplier 136,data/AI,major supplier,Data Analytics and Integration,Operations Control,standard review,active multi-year
VEND-AIRDN-137,Synthetic Supplier 137,cybersecurity,niche supplier,Cloud Infrastructure and Mainframe,Crew Operations,standard review,active multi-year
VEND-AIRDN-138,Synthetic Supplier 138,airline-specific platform,regional provider,Workplace Service Desk and Field Support,Technical Operations,standard review,active multi-year
VEND-AIRDN-139,Synthetic Supplier 139,professional services,incumbent provider,SIAM Observability and Service Governance,Airport Operations,standard review,active multi-year
VEND-AIRDN-140,Synthetic Supplier 140,AMS,strategic supplier,Airline Operations AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-141,Synthetic Supplier 141,IMS,major supplier,Corporate and SAP AMS,Commercial,standard review,active multi-year
VEND-AIRDN-142,Synthetic Supplier 142,BPO-adjacent,niche supplier,Digital Customer and Loyalty AMS,Cargo,standard review,active multi-year
VEND-AIRDN-143,Synthetic Supplier 143,SaaS/software,regional provider,Data Analytics and Integration,Corporate Finance,exit-sensitive,renewal inside 12 months
VEND-AIRDN-144,Synthetic Supplier 144,telecom/network,incumbent provider,Cloud Infrastructure and Mainframe,Procurement,high concentration,active multi-year
VEND-AIRDN-145,Synthetic Supplier 145,cloud/infrastructure,strategic supplier,Workplace Service Desk and Field Support,Technology,standard review,renewal inside 24 months
VEND-AIRDN-146,Synthetic Supplier 146,data/AI,major supplier,SIAM Observability and Service Governance,Data and AI,standard review,active multi-year
VEND-AIRDN-147,Synthetic Supplier 147,cybersecurity,niche supplier,Airline Operations AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-148,Synthetic Supplier 148,airline-specific platform,regional provider,Corporate and SAP AMS,Workplace,standard review,active multi-year
VEND-AIRDN-149,Synthetic Supplier 149,professional services,incumbent provider,Digital Customer and Loyalty AMS,Service Management,standard review,active multi-year
VEND-AIRDN-150,Synthetic Supplier 150,AMS,strategic supplier,Data Analytics and Integration,Flight Operations,standard review,renewal inside 24 months
VEND-AIRDN-151,Synthetic Supplier 151,IMS,major supplier,Cloud Infrastructure and Mainframe,Operations Control,standard review,active multi-year
VEND-AIRDN-152,Synthetic Supplier 152,BPO-adjacent,niche supplier,Workplace Service Desk and Field Support,Crew Operations,standard review,active multi-year
VEND-AIRDN-153,Synthetic Supplier 153,SaaS/software,regional provider,SIAM Observability and Service Governance,Technical Operations,high concentration,active multi-year
VEND-AIRDN-154,Synthetic Supplier 154,telecom/network,incumbent provider,Airline Operations AMS,Airport Operations,standard review,renewal inside 12 months
VEND-AIRDN-155,Synthetic Supplier 155,cloud/infrastructure,strategic supplier,Corporate and SAP AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-156,Synthetic Supplier 156,data/AI,major supplier,Digital Customer and Loyalty AMS,Commercial,exit-sensitive,active multi-year
VEND-AIRDN-157,Synthetic Supplier 157,cybersecurity,niche supplier,Data Analytics and Integration,Cargo,standard review,active multi-year
VEND-AIRDN-158,Synthetic Supplier 158,airline-specific platform,regional provider,Cloud Infrastructure and Mainframe,Corporate Finance,standard review,active multi-year
VEND-AIRDN-159,Synthetic Supplier 159,professional services,incumbent provider,Workplace Service Desk and Field Support,Procurement,standard review,active multi-year
VEND-AIRDN-160,Synthetic Supplier 160,AMS,strategic supplier,SIAM Observability and Service Governance,Technology,standard review,renewal inside 24 months
VEND-AIRDN-161,Synthetic Supplier 161,IMS,major supplier,Airline Operations AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-162,Synthetic Supplier 162,BPO-adjacent,niche supplier,Corporate and SAP AMS,Cybersecurity,high concentration,active multi-year
VEND-AIRDN-163,Synthetic Supplier 163,SaaS/software,regional provider,Digital Customer and Loyalty AMS,Workplace,standard review,active multi-year
VEND-AIRDN-164,Synthetic Supplier 164,telecom/network,incumbent provider,Data Analytics and Integration,Service Management,standard review,active multi-year
VEND-AIRDN-165,Synthetic Supplier 165,cloud/infrastructure,strategic supplier,Cloud Infrastructure and Mainframe,Flight Operations,standard review,renewal inside 12 months
VEND-AIRDN-166,Synthetic Supplier 166,data/AI,major supplier,Workplace Service Desk and Field Support,Operations Control,standard review,active multi-year
VEND-AIRDN-167,Synthetic Supplier 167,cybersecurity,niche supplier,SIAM Observability and Service Governance,Crew Operations,standard review,active multi-year
VEND-AIRDN-168,Synthetic Supplier 168,airline-specific platform,regional provider,Airline Operations AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-169,Synthetic Supplier 169,professional services,incumbent provider,Corporate and SAP AMS,Airport Operations,exit-sensitive,active multi-year
VEND-AIRDN-170,Synthetic Supplier 170,AMS,strategic supplier,Digital Customer and Loyalty AMS,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-171,Synthetic Supplier 171,IMS,major supplier,Data Analytics and Integration,Commercial,high concentration,active multi-year
VEND-AIRDN-172,Synthetic Supplier 172,BPO-adjacent,niche supplier,Cloud Infrastructure and Mainframe,Cargo,standard review,active multi-year
VEND-AIRDN-173,Synthetic Supplier 173,SaaS/software,regional provider,Workplace Service Desk and Field Support,Corporate Finance,standard review,active multi-year
VEND-AIRDN-174,Synthetic Supplier 174,telecom/network,incumbent provider,SIAM Observability and Service Governance,Procurement,standard review,active multi-year
VEND-AIRDN-175,Synthetic Supplier 175,cloud/infrastructure,strategic supplier,Airline Operations AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-176,Synthetic Supplier 176,data/AI,major supplier,Corporate and SAP AMS,Data and AI,standard review,renewal inside 12 months
VEND-AIRDN-177,Synthetic Supplier 177,cybersecurity,niche supplier,Digital Customer and Loyalty AMS,Cybersecurity,standard review,active multi-year
VEND-AIRDN-178,Synthetic Supplier 178,airline-specific platform,regional provider,Data Analytics and Integration,Workplace,standard review,active multi-year
VEND-AIRDN-179,Synthetic Supplier 179,professional services,incumbent provider,Cloud Infrastructure and Mainframe,Service Management,standard review,active multi-year
VEND-AIRDN-180,Synthetic Supplier 180,AMS,strategic supplier,Workplace Service Desk and Field Support,Flight Operations,high concentration,renewal inside 24 months
VEND-AIRDN-181,Synthetic Supplier 181,IMS,major supplier,SIAM Observability and Service Governance,Operations Control,standard review,active multi-year
VEND-AIRDN-182,Synthetic Supplier 182,BPO-adjacent,niche supplier,Airline Operations AMS,Crew Operations,exit-sensitive,active multi-year
VEND-AIRDN-183,Synthetic Supplier 183,SaaS/software,regional provider,Corporate and SAP AMS,Technical Operations,standard review,active multi-year
VEND-AIRDN-184,Synthetic Supplier 184,telecom/network,incumbent provider,Digital Customer and Loyalty AMS,Airport Operations,standard review,active multi-year
VEND-AIRDN-185,Synthetic Supplier 185,cloud/infrastructure,strategic supplier,Data Analytics and Integration,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-186,Synthetic Supplier 186,data/AI,major supplier,Cloud Infrastructure and Mainframe,Commercial,standard review,active multi-year
VEND-AIRDN-187,Synthetic Supplier 187,cybersecurity,niche supplier,Workplace Service Desk and Field Support,Cargo,standard review,renewal inside 12 months
VEND-AIRDN-188,Synthetic Supplier 188,airline-specific platform,regional provider,SIAM Observability and Service Governance,Corporate Finance,standard review,active multi-year
VEND-AIRDN-189,Synthetic Supplier 189,professional services,incumbent provider,Airline Operations AMS,Procurement,high concentration,active multi-year
VEND-AIRDN-190,Synthetic Supplier 190,AMS,strategic supplier,Corporate and SAP AMS,Technology,standard review,renewal inside 24 months
VEND-AIRDN-191,Synthetic Supplier 191,IMS,major supplier,Digital Customer and Loyalty AMS,Data and AI,standard review,active multi-year
VEND-AIRDN-192,Synthetic Supplier 192,BPO-adjacent,niche supplier,Data Analytics and Integration,Cybersecurity,standard review,active multi-year
VEND-AIRDN-193,Synthetic Supplier 193,SaaS/software,regional provider,Cloud Infrastructure and Mainframe,Workplace,standard review,active multi-year
VEND-AIRDN-194,Synthetic Supplier 194,telecom/network,incumbent provider,Workplace Service Desk and Field Support,Service Management,standard review,active multi-year
VEND-AIRDN-195,Synthetic Supplier 195,cloud/infrastructure,strategic supplier,SIAM Observability and Service Governance,Flight Operations,exit-sensitive,renewal inside 24 months
VEND-AIRDN-196,Synthetic Supplier 196,data/AI,major supplier,Airline Operations AMS,Operations Control,standard review,active multi-year
VEND-AIRDN-197,Synthetic Supplier 197,cybersecurity,niche supplier,Corporate and SAP AMS,Crew Operations,standard review,active multi-year
VEND-AIRDN-198,Synthetic Supplier 198,airline-specific platform,regional provider,Digital Customer and Loyalty AMS,Technical Operations,high concentration,renewal inside 12 months
VEND-AIRDN-199,Synthetic Supplier 199,professional services,incumbent provider,Data Analytics and Integration,Airport Operations,standard review,active multi-year
VEND-AIRDN-200,Synthetic Supplier 200,AMS,strategic supplier,Cloud Infrastructure and Mainframe,Passenger Service,standard review,renewal inside 24 months
VEND-AIRDN-201,Synthetic Supplier 201,IMS,major supplier,Workplace Service Desk and Field Support,Commercial,standard review,active multi-year
VEND-AIRDN-202,Synthetic Supplier 202,BPO-adjacent,niche supplier,SIAM Observability and Service Governance,Cargo,standard review,active multi-year
VEND-AIRDN-203,Synthetic Supplier 203,SaaS/software,regional provider,Airline Operations AMS,Corporate Finance,standard review,active multi-year
VEND-AIRDN-204,Synthetic Supplier 204,telecom/network,incumbent provider,Corporate and SAP AMS,Procurement,standard review,active multi-year
VEND-AIRDN-205,Synthetic Supplier 205,cloud/infrastructure,strategic supplier,Digital Customer and Loyalty AMS,Technology,standard review,renewal inside 24 months
