contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,term_status,commercial_model,value_disclosure_mode,risk_note,source_id,effective_date,expiration_date,renewal_date,termination_rights,pricing_model,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id
CONT-AIRDN-0011,VEND-AIRDN-078,Synthetic Supplier 078,ITSM workflow subscription,Cloud Infrastructure and Mainframe,Data and AI,service desk,exit rights need review,hybrid fixed + variable,withheld,standard commercial review,SRC-AIRDN-CONT-012,2022-02-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0011,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0011,CO-AIRDN-0011,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0012,VEND-AIRDN-085,Synthetic Supplier 085,mainframe software agreement,Workplace Service Desk and Field Support,Cybersecurity,airport technology support,active,committed spend,exact,high exit-term sensitivity,SRC-AIRDN-CONT-013,2023-03-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0012,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0012,CO-AIRDN-0012,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0013,VEND-AIRDN-092,Synthetic Supplier 092,colocation contract,SIAM Observability and Service Governance,Workplace,database/middleware ops,renewal within 12 months,outcome-linked,range,standard commercial review,SRC-AIRDN-CONT-014,2020-04-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0013,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0013,CO-AIRDN-0013,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0014,VEND-AIRDN-099,Synthetic Supplier 099,BPO services SOW,Airline Operations AMS,Service Management,observability,renewal within 24 months,fixed fee,indexed,SLA credit ambiguity,SRC-AIRDN-CONT-015,2021-05-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0014,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0014,CO-AIRDN-0014,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0015,VEND-AIRDN-106,Synthetic Supplier 106,MSA,Corporate and SAP AMS,Flight Operations,finance operations,extension option,T&M,withheld,standard commercial review,SRC-AIRDN-CONT-016,2022-06-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0015,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0015,CO-AIRDN-0015,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0016,VEND-AIRDN-113,Synthetic Supplier 113,SOW,Digital Customer and Loyalty AMS,Operations Control,procurement operations,transition assistance required,unit-rate,exact,standard commercial review,SRC-AIRDN-CONT-017,2023-07-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0016,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0016,CO-AIRDN-0016,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0017,VEND-AIRDN-120,Synthetic Supplier 120,rate card,Data Analytics and Integration,Crew Operations,customer-contact support,exit rights need review,consumption,range,standard commercial review,SRC-AIRDN-CONT-018,2020-08-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0017,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0017,CO-AIRDN-0017,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0018,VEND-AIRDN-127,Synthetic Supplier 127,software subscription,Cloud Infrastructure and Mainframe,Technical Operations,application run/enhancement,active,hybrid fixed + variable,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-019,2021-09-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0018,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0018,CO-AIRDN-0018,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0019,VEND-AIRDN-134,Synthetic Supplier 134,managed service agreement,Workplace Service Desk and Field Support,Airport Operations,SAP AMS,renewal within 12 months,committed spend,withheld,standard commercial review,SRC-AIRDN-CONT-020,2022-01-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0019,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0019,CO-AIRDN-0019,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0020,VEND-AIRDN-141,Synthetic Supplier 141,cloud commit,SIAM Observability and Service Governance,Passenger Service,mainframe AMS,renewal within 24 months,outcome-linked,exact,supplier concentration,SRC-AIRDN-CONT-021,2023-02-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0020,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0020,CO-AIRDN-0020,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0021,VEND-AIRDN-148,Synthetic Supplier 148,maintenance agreement,Airline Operations AMS,Commercial,airline operations AMS,extension option,fixed fee,range,standard commercial review,SRC-AIRDN-CONT-022,2020-03-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0021,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0021,CO-AIRDN-0021,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0022,VEND-AIRDN-155,Synthetic Supplier 155,professional services SOW,Corporate and SAP AMS,Cargo,digital support,transition assistance required,T&M,indexed,standard commercial review,SRC-AIRDN-CONT-023,2021-04-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0022,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0022,CO-AIRDN-0022,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0023,VEND-AIRDN-162,Synthetic Supplier 162,data platform agreement,Digital Customer and Loyalty AMS,Corporate Finance,data platform ops,exit rights need review,unit-rate,withheld,standard commercial review,SRC-AIRDN-CONT-024,2022-05-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0023,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0023,CO-AIRDN-0023,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0024,VEND-AIRDN-169,Synthetic Supplier 169,telecom/network services,Data Analytics and Integration,Procurement,testing/QA,active,consumption,exact,high exit-term sensitivity,SRC-AIRDN-CONT-025,2023-06-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0024,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0024,CO-AIRDN-0024,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0025,VEND-AIRDN-176,Synthetic Supplier 176,cybersecurity services,Cloud Infrastructure and Mainframe,Technology,release management,renewal within 12 months,hybrid fixed + variable,range,standard commercial review,SRC-AIRDN-CONT-026,2020-07-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0025,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0025,CO-AIRDN-0025,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0026,VEND-AIRDN-183,Synthetic Supplier 183,ITSM workflow subscription,Workplace Service Desk and Field Support,Data and AI,data center ops,renewal within 24 months,committed spend,indexed,standard commercial review,SRC-AIRDN-CONT-027,2021-08-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0026,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0026,CO-AIRDN-0026,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0027,VEND-AIRDN-190,Synthetic Supplier 190,mainframe software agreement,SIAM Observability and Service Governance,Cybersecurity,network/telecom,extension option,outcome-linked,withheld,standard commercial review,SRC-AIRDN-CONT-028,2022-09-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0027,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0027,CO-AIRDN-0027,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0028,VEND-AIRDN-197,Synthetic Supplier 197,colocation contract,Airline Operations AMS,Workplace,workplace,transition assistance required,fixed fee,exact,SLA credit ambiguity,SRC-AIRDN-CONT-029,2023-01-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0028,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0028,CO-AIRDN-0028,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
CONT-AIRDN-0029,VEND-AIRDN-204,Synthetic Supplier 204,BPO services SOW,Corporate and SAP AMS,Service Management,service desk,exit rights need review,T&M,range,standard commercial review,SRC-AIRDN-CONT-030,2020-02-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0029,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0029,CO-AIRDN-0029,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0030,VEND-AIRDN-211,Synthetic Supplier 211,MSA,Digital Customer and Loyalty AMS,Flight Operations,airport technology support,active,unit-rate,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-031,2021-03-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0030,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0030,CO-AIRDN-0030,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0031,VEND-AIRDN-218,Synthetic Supplier 218,SOW,Data Analytics and Integration,Operations Control,database/middleware ops,renewal within 12 months,consumption,withheld,standard commercial review,SRC-AIRDN-CONT-032,2022-04-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0031,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0031,CO-AIRDN-0031,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0032,VEND-AIRDN-225,Synthetic Supplier 225,rate card,Cloud Infrastructure and Mainframe,Crew Operations,observability,renewal within 24 months,hybrid fixed + variable,exact,standard commercial review,SRC-AIRDN-CONT-033,2023-05-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0032,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0032,CO-AIRDN-0032,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0033,VEND-AIRDN-232,Synthetic Supplier 232,software subscription,Workplace Service Desk and Field Support,Technical Operations,finance operations,extension option,committed spend,range,standard commercial review,SRC-AIRDN-CONT-034,2020-06-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0033,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0033,CO-AIRDN-0033,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0034,VEND-AIRDN-239,Synthetic Supplier 239,managed service agreement,SIAM Observability and Service Governance,Airport Operations,procurement operations,transition assistance required,outcome-linked,indexed,standard commercial review,SRC-AIRDN-CONT-035,2021-07-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0034,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0034,CO-AIRDN-0034,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0035,VEND-AIRDN-246,Synthetic Supplier 246,cloud commit,Airline Operations AMS,Passenger Service,customer-contact support,exit rights need review,fixed fee,withheld,standard commercial review,SRC-AIRDN-CONT-036,2022-08-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0035,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0035,CO-AIRDN-0035,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0036,VEND-AIRDN-253,Synthetic Supplier 253,maintenance agreement,Corporate and SAP AMS,Commercial,application run/enhancement,active,T&M,exact,high exit-term sensitivity,SRC-AIRDN-CONT-037,2023-09-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0036,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0036,CO-AIRDN-0036,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0037,VEND-AIRDN-260,Synthetic Supplier 260,professional services SOW,Digital Customer and Loyalty AMS,Cargo,SAP AMS,renewal within 12 months,unit-rate,range,standard commercial review,SRC-AIRDN-CONT-038,2020-01-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0037,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0037,CO-AIRDN-0037,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
