process_id,scenario,process_step,owning_domain,system_dependency,data_dependency,kpi_dependency,current_state_note,source_id
IROPS-AIRDN-0014,crew legality,settle,Service Management,APP-AIRDN-0267,DATA-AIRDN-0323,KPI-AIRDN-015,system-supported but evidence required,SRC-AIRDN-OPS-015
IROPS-AIRDN-0015,gate constraint,review,Flight Operations,APP-AIRDN-0286,DATA-AIRDN-0346,KPI-AIRDN-016,manual workaround today,SRC-AIRDN-OPS-016
IROPS-AIRDN-0016,passenger reaccommodation,detect,Operations Control,APP-AIRDN-0305,DATA-AIRDN-0369,KPI-AIRDN-017,system-supported but evidence required,SRC-AIRDN-OPS-017
IROPS-AIRDN-0017,baggage rerouting,decide,Crew Operations,APP-AIRDN-0324,DATA-AIRDN-0392,KPI-AIRDN-018,system-supported but evidence required,SRC-AIRDN-OPS-018
IROPS-AIRDN-0018,hotel/meal provisioning,recover,Technical Operations,APP-AIRDN-0343,DATA-AIRDN-0415,KPI-AIRDN-019,cross-vendor dependency,SRC-AIRDN-OPS-019
IROPS-AIRDN-0019,customer notification,communicate,Airport Operations,APP-AIRDN-0362,DATA-AIRDN-0438,KPI-AIRDN-020,system-supported but evidence required,SRC-AIRDN-OPS-020
IROPS-AIRDN-0020,airport staffing,reconcile,Passenger Service,APP-AIRDN-0381,DATA-AIRDN-0461,KPI-AIRDN-021,manual workaround today,SRC-AIRDN-OPS-021
IROPS-AIRDN-0021,partner coordination,measure,Commercial,APP-AIRDN-0400,DATA-AIRDN-0484,KPI-AIRDN-022,system-supported but evidence required,SRC-AIRDN-OPS-022
IROPS-AIRDN-0022,maintenance event,settle,Cargo,APP-AIRDN-0419,DATA-AIRDN-0507,KPI-AIRDN-023,system-supported but evidence required,SRC-AIRDN-OPS-023
IROPS-AIRDN-0023,operations-control decision,review,Corporate Finance,APP-AIRDN-0438,DATA-AIRDN-0530,KPI-AIRDN-024,system-supported but evidence required,SRC-AIRDN-OPS-024
IROPS-AIRDN-0024,weather disruption,detect,Procurement,APP-AIRDN-0457,DATA-AIRDN-0553,KPI-AIRDN-025,system-supported but evidence required,SRC-AIRDN-OPS-025
IROPS-AIRDN-0025,aircraft availability,decide,Technology,APP-AIRDN-0476,DATA-AIRDN-0576,KPI-AIRDN-026,manual workaround today,SRC-AIRDN-OPS-026
IROPS-AIRDN-0026,crew legality,recover,Data and AI,APP-AIRDN-0495,DATA-AIRDN-0599,KPI-AIRDN-027,system-supported but evidence required,SRC-AIRDN-OPS-027
IROPS-AIRDN-0027,gate constraint,communicate,Cybersecurity,APP-AIRDN-0514,DATA-AIRDN-0622,KPI-AIRDN-028,cross-vendor dependency,SRC-AIRDN-OPS-028
IROPS-AIRDN-0028,passenger reaccommodation,reconcile,Workplace,APP-AIRDN-0533,DATA-AIRDN-0645,KPI-AIRDN-029,system-supported but evidence required,SRC-AIRDN-OPS-029
IROPS-AIRDN-0029,baggage rerouting,measure,Service Management,APP-AIRDN-0552,DATA-AIRDN-0668,KPI-AIRDN-030,system-supported but evidence required,SRC-AIRDN-OPS-030
IROPS-AIRDN-0030,hotel/meal provisioning,settle,Flight Operations,APP-AIRDN-0571,DATA-AIRDN-0691,KPI-AIRDN-031,manual workaround today,SRC-AIRDN-OPS-031
IROPS-AIRDN-0031,customer notification,review,Operations Control,APP-AIRDN-0590,DATA-AIRDN-0714,KPI-AIRDN-032,system-supported but evidence required,SRC-AIRDN-OPS-032
IROPS-AIRDN-0032,airport staffing,detect,Crew Operations,APP-AIRDN-0609,DATA-AIRDN-0737,KPI-AIRDN-033,system-supported but evidence required,SRC-AIRDN-OPS-033
IROPS-AIRDN-0033,partner coordination,decide,Technical Operations,APP-AIRDN-0628,DATA-AIRDN-0760,KPI-AIRDN-034,system-supported but evidence required,SRC-AIRDN-OPS-034
IROPS-AIRDN-0034,maintenance event,recover,Airport Operations,APP-AIRDN-0647,DATA-AIRDN-0783,KPI-AIRDN-035,system-supported but evidence required,SRC-AIRDN-OPS-035
IROPS-AIRDN-0035,operations-control decision,communicate,Passenger Service,APP-AIRDN-0666,DATA-AIRDN-0806,KPI-AIRDN-036,manual workaround today,SRC-AIRDN-OPS-036
IROPS-AIRDN-0036,weather disruption,reconcile,Commercial,APP-AIRDN-0685,DATA-AIRDN-0829,KPI-AIRDN-037,cross-vendor dependency,SRC-AIRDN-OPS-037
IROPS-AIRDN-0037,aircraft availability,measure,Cargo,APP-AIRDN-0704,DATA-AIRDN-0852,KPI-AIRDN-038,system-supported but evidence required,SRC-AIRDN-OPS-038
IROPS-AIRDN-0038,crew legality,settle,Corporate Finance,APP-AIRDN-0723,DATA-AIRDN-0875,KPI-AIRDN-039,system-supported but evidence required,SRC-AIRDN-OPS-039
IROPS-AIRDN-0039,gate constraint,review,Procurement,APP-AIRDN-0742,DATA-AIRDN-0898,KPI-AIRDN-040,system-supported but evidence required,SRC-AIRDN-OPS-040
IROPS-AIRDN-0040,passenger reaccommodation,detect,Technology,APP-AIRDN-0761,DATA-AIRDN-0921,KPI-AIRDN-041,manual workaround today,SRC-AIRDN-OPS-041
IROPS-AIRDN-0041,baggage rerouting,decide,Data and AI,APP-AIRDN-0780,DATA-AIRDN-0944,KPI-AIRDN-042,system-supported but evidence required,SRC-AIRDN-OPS-042
IROPS-AIRDN-0042,hotel/meal provisioning,recover,Cybersecurity,APP-AIRDN-0799,DATA-AIRDN-0967,KPI-AIRDN-043,system-supported but evidence required,SRC-AIRDN-OPS-043
IROPS-AIRDN-0043,customer notification,communicate,Workplace,APP-AIRDN-0818,DATA-AIRDN-0990,KPI-AIRDN-044,system-supported but evidence required,SRC-AIRDN-OPS-044
IROPS-AIRDN-0044,airport staffing,reconcile,Service Management,APP-AIRDN-0837,DATA-AIRDN-1013,KPI-AIRDN-045,system-supported but evidence required,SRC-AIRDN-OPS-045
IROPS-AIRDN-0045,partner coordination,measure,Flight Operations,APP-AIRDN-0856,DATA-AIRDN-1036,KPI-AIRDN-046,manual workaround today,SRC-AIRDN-OPS-046
IROPS-AIRDN-0046,maintenance event,settle,Operations Control,APP-AIRDN-0875,DATA-AIRDN-1059,KPI-AIRDN-047,system-supported but evidence required,SRC-AIRDN-OPS-047
IROPS-AIRDN-0047,operations-control decision,review,Crew Operations,APP-AIRDN-0894,DATA-AIRDN-1082,KPI-AIRDN-048,system-supported but evidence required,SRC-AIRDN-OPS-048
IROPS-AIRDN-0048,weather disruption,detect,Technical Operations,APP-AIRDN-0913,DATA-AIRDN-1105,KPI-AIRDN-049,system-supported but evidence required,SRC-AIRDN-OPS-001
IROPS-AIRDN-0049,aircraft availability,decide,Airport Operations,APP-AIRDN-0932,DATA-AIRDN-1128,KPI-AIRDN-050,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0050,crew legality,recover,Passenger Service,APP-AIRDN-0951,DATA-AIRDN-1151,KPI-AIRDN-051,manual workaround today,SRC-AIRDN-OPS-003
IROPS-AIRDN-0051,gate constraint,communicate,Commercial,APP-AIRDN-0970,DATA-AIRDN-1174,KPI-AIRDN-052,system-supported but evidence required,SRC-AIRDN-OPS-004
IROPS-AIRDN-0052,passenger reaccommodation,reconcile,Cargo,APP-AIRDN-0989,DATA-AIRDN-1197,KPI-AIRDN-053,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0053,baggage rerouting,measure,Corporate Finance,APP-AIRDN-1008,DATA-AIRDN-1220,KPI-AIRDN-054,system-supported but evidence required,SRC-AIRDN-OPS-006
IROPS-AIRDN-0054,hotel/meal provisioning,settle,Procurement,APP-AIRDN-1027,DATA-AIRDN-1243,KPI-AIRDN-055,cross-vendor dependency,SRC-AIRDN-OPS-007
IROPS-AIRDN-0055,customer notification,review,Technology,APP-AIRDN-1046,DATA-AIRDN-0016,KPI-AIRDN-056,manual workaround today,SRC-AIRDN-OPS-008
IROPS-AIRDN-0056,airport staffing,detect,Data and AI,APP-AIRDN-1065,DATA-AIRDN-0039,KPI-AIRDN-057,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0057,partner coordination,decide,Cybersecurity,APP-AIRDN-1084,DATA-AIRDN-0062,KPI-AIRDN-058,system-supported but evidence required,SRC-AIRDN-OPS-010
IROPS-AIRDN-0058,maintenance event,recover,Workplace,APP-AIRDN-1103,DATA-AIRDN-0085,KPI-AIRDN-059,system-supported but evidence required,SRC-AIRDN-OPS-011
IROPS-AIRDN-0059,operations-control decision,communicate,Service Management,APP-AIRDN-1122,DATA-AIRDN-0108,KPI-AIRDN-060,system-supported but evidence required,SRC-AIRDN-OPS-012
IROPS-AIRDN-0060,weather disruption,reconcile,Flight Operations,APP-AIRDN-1141,DATA-AIRDN-0131,KPI-AIRDN-061,manual workaround today,SRC-AIRDN-OPS-013
IROPS-AIRDN-0061,aircraft availability,measure,Operations Control,APP-AIRDN-1160,DATA-AIRDN-0154,KPI-AIRDN-062,system-supported but evidence required,SRC-AIRDN-OPS-014
IROPS-AIRDN-0062,crew legality,settle,Crew Operations,APP-AIRDN-1179,DATA-AIRDN-0177,KPI-AIRDN-063,system-supported but evidence required,SRC-AIRDN-OPS-015
IROPS-AIRDN-0063,gate constraint,review,Technical Operations,APP-AIRDN-1198,DATA-AIRDN-0200,KPI-AIRDN-064,cross-vendor dependency,SRC-AIRDN-OPS-016
IROPS-AIRDN-0064,passenger reaccommodation,detect,Airport Operations,APP-AIRDN-1217,DATA-AIRDN-0223,KPI-AIRDN-065,system-supported but evidence required,SRC-AIRDN-OPS-017
IROPS-AIRDN-0065,baggage rerouting,decide,Passenger Service,APP-AIRDN-1236,DATA-AIRDN-0246,KPI-AIRDN-066,manual workaround today,SRC-AIRDN-OPS-018
IROPS-AIRDN-0066,hotel/meal provisioning,recover,Commercial,APP-AIRDN-1255,DATA-AIRDN-0269,KPI-AIRDN-067,system-supported but evidence required,SRC-AIRDN-OPS-019
IROPS-AIRDN-0067,customer notification,communicate,Cargo,APP-AIRDN-1274,DATA-AIRDN-0292,KPI-AIRDN-068,system-supported but evidence required,SRC-AIRDN-OPS-020
IROPS-AIRDN-0068,airport staffing,reconcile,Corporate Finance,APP-AIRDN-1293,DATA-AIRDN-0315,KPI-AIRDN-069,system-supported but evidence required,SRC-AIRDN-OPS-021
IROPS-AIRDN-0069,partner coordination,measure,Procurement,APP-AIRDN-1312,DATA-AIRDN-0338,KPI-AIRDN-070,system-supported but evidence required,SRC-AIRDN-OPS-022
IROPS-AIRDN-0070,maintenance event,settle,Technology,APP-AIRDN-1331,DATA-AIRDN-0361,KPI-AIRDN-071,manual workaround today,SRC-AIRDN-OPS-023
IROPS-AIRDN-0071,operations-control decision,review,Data and AI,APP-AIRDN-1350,DATA-AIRDN-0384,KPI-AIRDN-072,system-supported but evidence required,SRC-AIRDN-OPS-024
IROPS-AIRDN-0072,weather disruption,detect,Cybersecurity,APP-AIRDN-1369,DATA-AIRDN-0407,KPI-AIRDN-073,cross-vendor dependency,SRC-AIRDN-OPS-025
IROPS-AIRDN-0073,aircraft availability,decide,Workplace,APP-AIRDN-1388,DATA-AIRDN-0430,KPI-AIRDN-074,system-supported but evidence required,SRC-AIRDN-OPS-026
IROPS-AIRDN-0074,crew legality,recover,Service Management,APP-AIRDN-1407,DATA-AIRDN-0453,KPI-AIRDN-075,system-supported but evidence required,SRC-AIRDN-OPS-027
IROPS-AIRDN-0075,gate constraint,communicate,Flight Operations,APP-AIRDN-1426,DATA-AIRDN-0476,KPI-AIRDN-076,manual workaround today,SRC-AIRDN-OPS-028
IROPS-AIRDN-0076,passenger reaccommodation,reconcile,Operations Control,APP-AIRDN-1445,DATA-AIRDN-0499,KPI-AIRDN-077,system-supported but evidence required,SRC-AIRDN-OPS-029
IROPS-AIRDN-0077,baggage rerouting,measure,Crew Operations,APP-AIRDN-1464,DATA-AIRDN-0522,KPI-AIRDN-078,system-supported but evidence required,SRC-AIRDN-OPS-030
IROPS-AIRDN-0078,hotel/meal provisioning,settle,Technical Operations,APP-AIRDN-1483,DATA-AIRDN-0545,KPI-AIRDN-079,system-supported but evidence required,SRC-AIRDN-OPS-031
IROPS-AIRDN-0079,customer notification,review,Airport Operations,APP-AIRDN-0007,DATA-AIRDN-0568,KPI-AIRDN-080,system-supported but evidence required,SRC-AIRDN-OPS-032
IROPS-AIRDN-0080,airport staffing,detect,Passenger Service,APP-AIRDN-0026,DATA-AIRDN-0591,KPI-AIRDN-081,manual workaround today,SRC-AIRDN-OPS-033
IROPS-AIRDN-0081,partner coordination,decide,Commercial,APP-AIRDN-0045,DATA-AIRDN-0614,KPI-AIRDN-082,cross-vendor dependency,SRC-AIRDN-OPS-034
IROPS-AIRDN-0082,maintenance event,recover,Cargo,APP-AIRDN-0064,DATA-AIRDN-0637,KPI-AIRDN-083,system-supported but evidence required,SRC-AIRDN-OPS-035
IROPS-AIRDN-0083,operations-control decision,communicate,Corporate Finance,APP-AIRDN-0083,DATA-AIRDN-0660,KPI-AIRDN-084,system-supported but evidence required,SRC-AIRDN-OPS-036
IROPS-AIRDN-0084,weather disruption,reconcile,Procurement,APP-AIRDN-0102,DATA-AIRDN-0683,KPI-AIRDN-085,system-supported but evidence required,SRC-AIRDN-OPS-037
IROPS-AIRDN-0085,aircraft availability,measure,Technology,APP-AIRDN-0121,DATA-AIRDN-0706,KPI-AIRDN-086,manual workaround today,SRC-AIRDN-OPS-038
IROPS-AIRDN-0086,crew legality,settle,Data and AI,APP-AIRDN-0140,DATA-AIRDN-0729,KPI-AIRDN-087,system-supported but evidence required,SRC-AIRDN-OPS-039
IROPS-AIRDN-0087,gate constraint,review,Cybersecurity,APP-AIRDN-0159,DATA-AIRDN-0752,KPI-AIRDN-088,system-supported but evidence required,SRC-AIRDN-OPS-040
IROPS-AIRDN-0088,passenger reaccommodation,detect,Workplace,APP-AIRDN-0178,DATA-AIRDN-0775,KPI-AIRDN-089,system-supported but evidence required,SRC-AIRDN-OPS-041
IROPS-AIRDN-0089,baggage rerouting,decide,Service Management,APP-AIRDN-0197,DATA-AIRDN-0798,KPI-AIRDN-090,system-supported but evidence required,SRC-AIRDN-OPS-042
IROPS-AIRDN-0090,hotel/meal provisioning,recover,Flight Operations,APP-AIRDN-0216,DATA-AIRDN-0821,KPI-AIRDN-091,manual workaround today,SRC-AIRDN-OPS-043
IROPS-AIRDN-0091,customer notification,communicate,Operations Control,APP-AIRDN-0235,DATA-AIRDN-0844,KPI-AIRDN-092,system-supported but evidence required,SRC-AIRDN-OPS-044
IROPS-AIRDN-0092,airport staffing,reconcile,Crew Operations,APP-AIRDN-0254,DATA-AIRDN-0867,KPI-AIRDN-093,system-supported but evidence required,SRC-AIRDN-OPS-045
IROPS-AIRDN-0093,partner coordination,measure,Technical Operations,APP-AIRDN-0273,DATA-AIRDN-0890,KPI-AIRDN-094,system-supported but evidence required,SRC-AIRDN-OPS-046
IROPS-AIRDN-0094,maintenance event,settle,Airport Operations,APP-AIRDN-0292,DATA-AIRDN-0913,KPI-AIRDN-095,system-supported but evidence required,SRC-AIRDN-OPS-047
IROPS-AIRDN-0095,operations-control decision,review,Passenger Service,APP-AIRDN-0311,DATA-AIRDN-0936,KPI-AIRDN-096,manual workaround today,SRC-AIRDN-OPS-048
IROPS-AIRDN-0096,weather disruption,detect,Commercial,APP-AIRDN-0330,DATA-AIRDN-0959,KPI-AIRDN-097,system-supported but evidence required,SRC-AIRDN-OPS-001
IROPS-AIRDN-0097,aircraft availability,decide,Cargo,APP-AIRDN-0349,DATA-AIRDN-0982,KPI-AIRDN-098,system-supported but evidence required,SRC-AIRDN-OPS-002
IROPS-AIRDN-0098,crew legality,recover,Corporate Finance,APP-AIRDN-0368,DATA-AIRDN-1005,KPI-AIRDN-099,system-supported but evidence required,SRC-AIRDN-OPS-003
IROPS-AIRDN-0099,gate constraint,communicate,Procurement,APP-AIRDN-0387,DATA-AIRDN-1028,KPI-AIRDN-100,cross-vendor dependency,SRC-AIRDN-OPS-004
IROPS-AIRDN-0100,passenger reaccommodation,reconcile,Technology,APP-AIRDN-0406,DATA-AIRDN-1051,KPI-AIRDN-101,manual workaround today,SRC-AIRDN-OPS-005
IROPS-AIRDN-0101,baggage rerouting,measure,Data and AI,APP-AIRDN-0425,DATA-AIRDN-1074,KPI-AIRDN-102,system-supported but evidence required,SRC-AIRDN-OPS-006
IROPS-AIRDN-0102,hotel/meal provisioning,settle,Cybersecurity,APP-AIRDN-0444,DATA-AIRDN-1097,KPI-AIRDN-103,system-supported but evidence required,SRC-AIRDN-OPS-007
IROPS-AIRDN-0103,customer notification,review,Workplace,APP-AIRDN-0463,DATA-AIRDN-1120,KPI-AIRDN-104,system-supported but evidence required,SRC-AIRDN-OPS-008
IROPS-AIRDN-0104,airport staffing,detect,Service Management,APP-AIRDN-0482,DATA-AIRDN-1143,KPI-AIRDN-105,system-supported but evidence required,SRC-AIRDN-OPS-009
IROPS-AIRDN-0105,partner coordination,decide,Flight Operations,APP-AIRDN-0501,DATA-AIRDN-1166,KPI-AIRDN-106,manual workaround today,SRC-AIRDN-OPS-010
IROPS-AIRDN-0106,maintenance event,recover,Operations Control,APP-AIRDN-0520,DATA-AIRDN-1189,KPI-AIRDN-107,system-supported but evidence required,SRC-AIRDN-OPS-011
IROPS-AIRDN-0107,operations-control decision,communicate,Crew Operations,APP-AIRDN-0539,DATA-AIRDN-1212,KPI-AIRDN-108,system-supported but evidence required,SRC-AIRDN-OPS-012
IROPS-AIRDN-0108,weather disruption,reconcile,Technical Operations,APP-AIRDN-0558,DATA-AIRDN-1235,KPI-AIRDN-109,cross-vendor dependency,SRC-AIRDN-OPS-013
IROPS-AIRDN-0109,aircraft availability,measure,Airport Operations,APP-AIRDN-0577,DATA-AIRDN-0008,KPI-AIRDN-110,system-supported but evidence required,SRC-AIRDN-OPS-014
IROPS-AIRDN-0110,crew legality,settle,Passenger Service,APP-AIRDN-0596,DATA-AIRDN-0031,KPI-AIRDN-111,manual workaround today,SRC-AIRDN-OPS-015
IROPS-AIRDN-0111,gate constraint,review,Commercial,APP-AIRDN-0615,DATA-AIRDN-0054,KPI-AIRDN-112,system-supported but evidence required,SRC-AIRDN-OPS-016
IROPS-AIRDN-0112,passenger reaccommodation,detect,Cargo,APP-AIRDN-0634,DATA-AIRDN-0077,KPI-AIRDN-113,system-supported but evidence required,SRC-AIRDN-OPS-017
IROPS-AIRDN-0113,baggage rerouting,decide,Corporate Finance,APP-AIRDN-0653,DATA-AIRDN-0100,KPI-AIRDN-114,system-supported but evidence required,SRC-AIRDN-OPS-018
IROPS-AIRDN-0114,hotel/meal provisioning,recover,Procurement,APP-AIRDN-0672,DATA-AIRDN-0123,KPI-AIRDN-115,system-supported but evidence required,SRC-AIRDN-OPS-019
IROPS-AIRDN-0115,customer notification,communicate,Technology,APP-AIRDN-0691,DATA-AIRDN-0146,KPI-AIRDN-116,manual workaround today,SRC-AIRDN-OPS-020
IROPS-AIRDN-0116,airport staffing,reconcile,Data and AI,APP-AIRDN-0710,DATA-AIRDN-0169,KPI-AIRDN-117,system-supported but evidence required,SRC-AIRDN-OPS-021
IROPS-AIRDN-0117,partner coordination,measure,Cybersecurity,APP-AIRDN-0729,DATA-AIRDN-0192,KPI-AIRDN-118,cross-vendor dependency,SRC-AIRDN-OPS-022
IROPS-AIRDN-0118,maintenance event,settle,Workplace,APP-AIRDN-0748,DATA-AIRDN-0215,KPI-AIRDN-119,system-supported but evidence required,SRC-AIRDN-OPS-023
IROPS-AIRDN-0119,operations-control decision,review,Service Management,APP-AIRDN-0767,DATA-AIRDN-0238,KPI-AIRDN-120,system-supported but evidence required,SRC-AIRDN-OPS-024
IROPS-AIRDN-0120,weather disruption,detect,Flight Operations,APP-AIRDN-0786,DATA-AIRDN-0261,KPI-AIRDN-121,manual workaround today,SRC-AIRDN-OPS-025
IROPS-AIRDN-0121,aircraft availability,decide,Operations Control,APP-AIRDN-0805,DATA-AIRDN-0284,KPI-AIRDN-122,system-supported but evidence required,SRC-AIRDN-OPS-026
IROPS-AIRDN-0122,crew legality,recover,Crew Operations,APP-AIRDN-0824,DATA-AIRDN-0307,KPI-AIRDN-123,system-supported but evidence required,SRC-AIRDN-OPS-027
IROPS-AIRDN-0123,gate constraint,communicate,Technical Operations,APP-AIRDN-0843,DATA-AIRDN-0330,KPI-AIRDN-124,system-supported but evidence required,SRC-AIRDN-OPS-028
IROPS-AIRDN-0124,passenger reaccommodation,reconcile,Airport Operations,APP-AIRDN-0862,DATA-AIRDN-0353,KPI-AIRDN-125,system-supported but evidence required,SRC-AIRDN-OPS-029
IROPS-AIRDN-0125,baggage rerouting,measure,Passenger Service,APP-AIRDN-0881,DATA-AIRDN-0376,KPI-AIRDN-126,manual workaround today,SRC-AIRDN-OPS-030
IROPS-AIRDN-0126,hotel/meal provisioning,settle,Commercial,APP-AIRDN-0900,DATA-AIRDN-0399,KPI-AIRDN-127,cross-vendor dependency,SRC-AIRDN-OPS-031
IROPS-AIRDN-0127,customer notification,review,Cargo,APP-AIRDN-0919,DATA-AIRDN-0422,KPI-AIRDN-128,system-supported but evidence required,SRC-AIRDN-OPS-032
IROPS-AIRDN-0128,airport staffing,detect,Corporate Finance,APP-AIRDN-0938,DATA-AIRDN-0445,KPI-AIRDN-129,system-supported but evidence required,SRC-AIRDN-OPS-033
IROPS-AIRDN-0129,partner coordination,decide,Procurement,APP-AIRDN-0957,DATA-AIRDN-0468,KPI-AIRDN-130,system-supported but evidence required,SRC-AIRDN-OPS-034
IROPS-AIRDN-0130,maintenance event,recover,Technology,APP-AIRDN-0976,DATA-AIRDN-0491,KPI-AIRDN-131,manual workaround today,SRC-AIRDN-OPS-035
IROPS-AIRDN-0131,operations-control decision,communicate,Data and AI,APP-AIRDN-0995,DATA-AIRDN-0514,KPI-AIRDN-132,system-supported but evidence required,SRC-AIRDN-OPS-036
IROPS-AIRDN-0132,weather disruption,reconcile,Cybersecurity,APP-AIRDN-1014,DATA-AIRDN-0537,KPI-AIRDN-133,system-supported but evidence required,SRC-AIRDN-OPS-037
IROPS-AIRDN-0133,aircraft availability,measure,Workplace,APP-AIRDN-1033,DATA-AIRDN-0560,KPI-AIRDN-134,system-supported but evidence required,SRC-AIRDN-OPS-038
IROPS-AIRDN-0134,crew legality,settle,Service Management,APP-AIRDN-1052,DATA-AIRDN-0583,KPI-AIRDN-135,system-supported but evidence required,SRC-AIRDN-OPS-039
IROPS-AIRDN-0135,gate constraint,review,Flight Operations,APP-AIRDN-1071,DATA-AIRDN-0606,KPI-AIRDN-136,manual workaround today,SRC-AIRDN-OPS-040
IROPS-AIRDN-0136,passenger reaccommodation,detect,Operations Control,APP-AIRDN-1090,DATA-AIRDN-0629,KPI-AIRDN-137,system-supported but evidence required,SRC-AIRDN-OPS-041
IROPS-AIRDN-0137,baggage rerouting,decide,Crew Operations,APP-AIRDN-1109,DATA-AIRDN-0652,KPI-AIRDN-138,system-supported but evidence required,SRC-AIRDN-OPS-042
IROPS-AIRDN-0138,hotel/meal provisioning,recover,Technical Operations,APP-AIRDN-1128,DATA-AIRDN-0675,KPI-AIRDN-139,system-supported but evidence required,SRC-AIRDN-OPS-043
IROPS-AIRDN-0139,customer notification,communicate,Airport Operations,APP-AIRDN-1147,DATA-AIRDN-0698,KPI-AIRDN-140,system-supported but evidence required,SRC-AIRDN-OPS-044
IROPS-AIRDN-0140,airport staffing,reconcile,Passenger Service,APP-AIRDN-1166,DATA-AIRDN-0721,KPI-AIRDN-141,manual workaround today,SRC-AIRDN-OPS-045
IROPS-AIRDN-0141,partner coordination,measure,Commercial,APP-AIRDN-1185,DATA-AIRDN-0744,KPI-AIRDN-142,system-supported but evidence required,SRC-AIRDN-OPS-046
IROPS-AIRDN-0142,maintenance event,settle,Cargo,APP-AIRDN-1204,DATA-AIRDN-0767,KPI-AIRDN-143,system-supported but evidence required,SRC-AIRDN-OPS-047
IROPS-AIRDN-0143,operations-control decision,review,Corporate Finance,APP-AIRDN-1223,DATA-AIRDN-0790,KPI-AIRDN-144,system-supported but evidence required,SRC-AIRDN-OPS-048
IROPS-AIRDN-0144,weather disruption,detect,Procurement,APP-AIRDN-1242,DATA-AIRDN-0813,KPI-AIRDN-145,cross-vendor dependency,SRC-AIRDN-OPS-001
IROPS-AIRDN-0145,aircraft availability,decide,Technology,APP-AIRDN-1261,DATA-AIRDN-0836,KPI-AIRDN-146,manual workaround today,SRC-AIRDN-OPS-002
IROPS-AIRDN-0146,crew legality,recover,Data and AI,APP-AIRDN-1280,DATA-AIRDN-0859,KPI-AIRDN-147,system-supported but evidence required,SRC-AIRDN-OPS-003
IROPS-AIRDN-0147,gate constraint,communicate,Cybersecurity,APP-AIRDN-1299,DATA-AIRDN-0882,KPI-AIRDN-148,system-supported but evidence required,SRC-AIRDN-OPS-004
IROPS-AIRDN-0148,passenger reaccommodation,reconcile,Workplace,APP-AIRDN-1318,DATA-AIRDN-0905,KPI-AIRDN-149,system-supported but evidence required,SRC-AIRDN-OPS-005
IROPS-AIRDN-0149,baggage rerouting,measure,Service Management,APP-AIRDN-1337,DATA-AIRDN-0928,KPI-AIRDN-150,system-supported but evidence required,SRC-AIRDN-OPS-006
