control_id,control_name,business_function,control_status,source_id
CTRL-AIRDN-0103,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-104
CTRL-AIRDN-0104,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-105
CTRL-AIRDN-0105,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-106
CTRL-AIRDN-0106,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-107
CTRL-AIRDN-0107,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-108
CTRL-AIRDN-0108,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-109
CTRL-AIRDN-0109,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-110
CTRL-AIRDN-0110,access review,Passenger Service,designed,SRC-AIRDN-CTRL-111
CTRL-AIRDN-0111,change control,Commercial,operating,SRC-AIRDN-CTRL-112
CTRL-AIRDN-0112,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-113
CTRL-AIRDN-0113,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-114
CTRL-AIRDN-0114,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-115
CTRL-AIRDN-0115,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-116
CTRL-AIRDN-0116,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-117
CTRL-AIRDN-0117,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-118
CTRL-AIRDN-0118,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-119
CTRL-AIRDN-0119,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-120
CTRL-AIRDN-0120,access review,Flight Operations,designed,SRC-AIRDN-CTRL-001
CTRL-AIRDN-0121,change control,Operations Control,operating,SRC-AIRDN-CTRL-002
CTRL-AIRDN-0122,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-003
CTRL-AIRDN-0123,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-004
CTRL-AIRDN-0124,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-005
CTRL-AIRDN-0125,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-006
CTRL-AIRDN-0126,resilience test,Commercial,operating,SRC-AIRDN-CTRL-007
CTRL-AIRDN-0127,incident review,Cargo,gap,SRC-AIRDN-CTRL-008
CTRL-AIRDN-0128,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-009
CTRL-AIRDN-0129,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-010
CTRL-AIRDN-0130,access review,Technology,designed,SRC-AIRDN-CTRL-011
CTRL-AIRDN-0131,change control,Data and AI,operating,SRC-AIRDN-CTRL-012
CTRL-AIRDN-0132,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-013
CTRL-AIRDN-0133,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-014
CTRL-AIRDN-0134,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-015
CTRL-AIRDN-0135,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-016
CTRL-AIRDN-0136,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-017
CTRL-AIRDN-0137,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-018
CTRL-AIRDN-0138,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-019
CTRL-AIRDN-0139,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-020
CTRL-AIRDN-0140,access review,Passenger Service,designed,SRC-AIRDN-CTRL-021
CTRL-AIRDN-0141,change control,Commercial,operating,SRC-AIRDN-CTRL-022
CTRL-AIRDN-0142,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-023
CTRL-AIRDN-0143,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-024
CTRL-AIRDN-0144,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-025
CTRL-AIRDN-0145,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-026
CTRL-AIRDN-0146,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-027
CTRL-AIRDN-0147,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-028
CTRL-AIRDN-0148,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-029
CTRL-AIRDN-0149,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-030
CTRL-AIRDN-0150,access review,Flight Operations,designed,SRC-AIRDN-CTRL-031
CTRL-AIRDN-0151,change control,Operations Control,operating,SRC-AIRDN-CTRL-032
CTRL-AIRDN-0152,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-033
CTRL-AIRDN-0153,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-034
CTRL-AIRDN-0154,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-035
CTRL-AIRDN-0155,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-036
CTRL-AIRDN-0156,resilience test,Commercial,operating,SRC-AIRDN-CTRL-037
CTRL-AIRDN-0157,incident review,Cargo,gap,SRC-AIRDN-CTRL-038
CTRL-AIRDN-0158,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-039
CTRL-AIRDN-0159,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-040
CTRL-AIRDN-0160,access review,Technology,designed,SRC-AIRDN-CTRL-041
CTRL-AIRDN-0161,change control,Data and AI,operating,SRC-AIRDN-CTRL-042
CTRL-AIRDN-0162,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-043
CTRL-AIRDN-0163,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-044
CTRL-AIRDN-0164,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-045
CTRL-AIRDN-0165,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-046
CTRL-AIRDN-0166,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-047
CTRL-AIRDN-0167,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-048
CTRL-AIRDN-0168,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-049
CTRL-AIRDN-0169,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-050
CTRL-AIRDN-0170,access review,Passenger Service,designed,SRC-AIRDN-CTRL-051
CTRL-AIRDN-0171,change control,Commercial,operating,SRC-AIRDN-CTRL-052
CTRL-AIRDN-0172,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-053
CTRL-AIRDN-0173,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-054
CTRL-AIRDN-0174,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-055
CTRL-AIRDN-0175,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-056
CTRL-AIRDN-0176,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-057
CTRL-AIRDN-0177,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-058
CTRL-AIRDN-0178,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-059
CTRL-AIRDN-0179,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-060
CTRL-AIRDN-0180,access review,Flight Operations,designed,SRC-AIRDN-CTRL-061
CTRL-AIRDN-0181,change control,Operations Control,operating,SRC-AIRDN-CTRL-062
CTRL-AIRDN-0182,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-063
CTRL-AIRDN-0183,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-064
CTRL-AIRDN-0184,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-065
CTRL-AIRDN-0185,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-066
CTRL-AIRDN-0186,resilience test,Commercial,operating,SRC-AIRDN-CTRL-067
CTRL-AIRDN-0187,incident review,Cargo,gap,SRC-AIRDN-CTRL-068
CTRL-AIRDN-0188,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-069
CTRL-AIRDN-0189,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-070
CTRL-AIRDN-0190,access review,Technology,designed,SRC-AIRDN-CTRL-071
CTRL-AIRDN-0191,change control,Data and AI,operating,SRC-AIRDN-CTRL-072
CTRL-AIRDN-0192,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-073
CTRL-AIRDN-0193,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-074
CTRL-AIRDN-0194,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-075
CTRL-AIRDN-0195,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-076
CTRL-AIRDN-0196,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-077
CTRL-AIRDN-0197,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-078
CTRL-AIRDN-0198,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-079
CTRL-AIRDN-0199,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-080
CTRL-AIRDN-0200,access review,Passenger Service,designed,SRC-AIRDN-CTRL-081
CTRL-AIRDN-0201,change control,Commercial,operating,SRC-AIRDN-CTRL-082
CTRL-AIRDN-0202,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-083
CTRL-AIRDN-0203,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-084
CTRL-AIRDN-0204,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-085
CTRL-AIRDN-0205,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-086
CTRL-AIRDN-0206,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-087
CTRL-AIRDN-0207,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-088
CTRL-AIRDN-0208,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-089
CTRL-AIRDN-0209,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-090
CTRL-AIRDN-0210,access review,Flight Operations,designed,SRC-AIRDN-CTRL-091
CTRL-AIRDN-0211,change control,Operations Control,operating,SRC-AIRDN-CTRL-092
CTRL-AIRDN-0212,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-093
CTRL-AIRDN-0213,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-094
CTRL-AIRDN-0214,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-095
CTRL-AIRDN-0215,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-096
CTRL-AIRDN-0216,resilience test,Commercial,operating,SRC-AIRDN-CTRL-097
CTRL-AIRDN-0217,incident review,Cargo,gap,SRC-AIRDN-CTRL-098
CTRL-AIRDN-0218,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-099
CTRL-AIRDN-0219,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-100
CTRL-AIRDN-0220,access review,Technology,designed,SRC-AIRDN-CTRL-101
CTRL-AIRDN-0221,change control,Data and AI,operating,SRC-AIRDN-CTRL-102
CTRL-AIRDN-0222,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-103
CTRL-AIRDN-0223,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-104
CTRL-AIRDN-0224,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-105
CTRL-AIRDN-0225,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-106
CTRL-AIRDN-0226,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-107
CTRL-AIRDN-0227,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-108
CTRL-AIRDN-0228,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-109
CTRL-AIRDN-0229,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-110
CTRL-AIRDN-0230,access review,Passenger Service,designed,SRC-AIRDN-CTRL-111
CTRL-AIRDN-0231,change control,Commercial,operating,SRC-AIRDN-CTRL-112
CTRL-AIRDN-0232,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-113
CTRL-AIRDN-0233,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-114
CTRL-AIRDN-0234,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-115
CTRL-AIRDN-0235,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-116
CTRL-AIRDN-0236,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-117
CTRL-AIRDN-0237,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-118
CTRL-AIRDN-0238,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-119
CTRL-AIRDN-0239,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-120
CTRL-AIRDN-0240,access review,Flight Operations,designed,SRC-AIRDN-CTRL-001
CTRL-AIRDN-0241,change control,Operations Control,operating,SRC-AIRDN-CTRL-002
CTRL-AIRDN-0242,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-003
CTRL-AIRDN-0243,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-004
CTRL-AIRDN-0244,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-005
CTRL-AIRDN-0245,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-006
CTRL-AIRDN-0246,resilience test,Commercial,operating,SRC-AIRDN-CTRL-007
CTRL-AIRDN-0247,incident review,Cargo,gap,SRC-AIRDN-CTRL-008
CTRL-AIRDN-0248,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-009
CTRL-AIRDN-0249,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-010
CTRL-AIRDN-0250,access review,Technology,designed,SRC-AIRDN-CTRL-011
CTRL-AIRDN-0251,change control,Data and AI,operating,SRC-AIRDN-CTRL-012
CTRL-AIRDN-0252,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-013
CTRL-AIRDN-0253,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-014
CTRL-AIRDN-0254,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-015
CTRL-AIRDN-0255,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-016
CTRL-AIRDN-0256,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-017
CTRL-AIRDN-0257,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-018
CTRL-AIRDN-0258,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-019
CTRL-AIRDN-0259,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-020
CTRL-AIRDN-0260,access review,Passenger Service,designed,SRC-AIRDN-CTRL-021
CTRL-AIRDN-0261,change control,Commercial,operating,SRC-AIRDN-CTRL-022
CTRL-AIRDN-0262,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-023
CTRL-AIRDN-0263,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-024
CTRL-AIRDN-0264,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-025
CTRL-AIRDN-0265,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-026
CTRL-AIRDN-0266,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-027
CTRL-AIRDN-0267,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-028
CTRL-AIRDN-0268,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-029
CTRL-AIRDN-0269,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-030
CTRL-AIRDN-0270,access review,Flight Operations,designed,SRC-AIRDN-CTRL-031
CTRL-AIRDN-0271,change control,Operations Control,operating,SRC-AIRDN-CTRL-032
CTRL-AIRDN-0272,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-033
CTRL-AIRDN-0273,transition signoff,Technical Operations,needs evidence,SRC-AIRDN-CTRL-034
CTRL-AIRDN-0274,data lineage certification,Airport Operations,candidate,SRC-AIRDN-CTRL-035
CTRL-AIRDN-0275,supplier attestation,Passenger Service,designed,SRC-AIRDN-CTRL-036
CTRL-AIRDN-0276,resilience test,Commercial,operating,SRC-AIRDN-CTRL-037
CTRL-AIRDN-0277,incident review,Cargo,gap,SRC-AIRDN-CTRL-038
CTRL-AIRDN-0278,financial approval,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-039
CTRL-AIRDN-0279,privacy review,Procurement,candidate,SRC-AIRDN-CTRL-040
CTRL-AIRDN-0280,access review,Technology,designed,SRC-AIRDN-CTRL-041
CTRL-AIRDN-0281,change control,Data and AI,operating,SRC-AIRDN-CTRL-042
CTRL-AIRDN-0282,SLA evidence,Cybersecurity,gap,SRC-AIRDN-CTRL-043
CTRL-AIRDN-0283,transition signoff,Workplace,needs evidence,SRC-AIRDN-CTRL-044
CTRL-AIRDN-0284,data lineage certification,Service Management,candidate,SRC-AIRDN-CTRL-045
CTRL-AIRDN-0285,supplier attestation,Flight Operations,designed,SRC-AIRDN-CTRL-046
CTRL-AIRDN-0286,resilience test,Operations Control,operating,SRC-AIRDN-CTRL-047
CTRL-AIRDN-0287,incident review,Crew Operations,gap,SRC-AIRDN-CTRL-048
CTRL-AIRDN-0288,financial approval,Technical Operations,needs evidence,SRC-AIRDN-CTRL-049
CTRL-AIRDN-0289,privacy review,Airport Operations,candidate,SRC-AIRDN-CTRL-050
CTRL-AIRDN-0290,access review,Passenger Service,designed,SRC-AIRDN-CTRL-051
CTRL-AIRDN-0291,change control,Commercial,operating,SRC-AIRDN-CTRL-052
CTRL-AIRDN-0292,SLA evidence,Cargo,gap,SRC-AIRDN-CTRL-053
CTRL-AIRDN-0293,transition signoff,Corporate Finance,needs evidence,SRC-AIRDN-CTRL-054
CTRL-AIRDN-0294,data lineage certification,Procurement,candidate,SRC-AIRDN-CTRL-055
CTRL-AIRDN-0295,supplier attestation,Technology,designed,SRC-AIRDN-CTRL-056
CTRL-AIRDN-0296,resilience test,Data and AI,operating,SRC-AIRDN-CTRL-057
CTRL-AIRDN-0297,incident review,Cybersecurity,gap,SRC-AIRDN-CTRL-058
CTRL-AIRDN-0298,financial approval,Workplace,needs evidence,SRC-AIRDN-CTRL-059
CTRL-AIRDN-0299,privacy review,Service Management,candidate,SRC-AIRDN-CTRL-060
CTRL-AIRDN-0300,access review,Flight Operations,designed,SRC-AIRDN-CTRL-061
CTRL-AIRDN-0301,change control,Operations Control,operating,SRC-AIRDN-CTRL-062
CTRL-AIRDN-0302,SLA evidence,Crew Operations,gap,SRC-AIRDN-CTRL-063
