compliance_id,regulation,regulator,category,scope,status,last_exam_date,next_exam_target,finding_count_open,finding_count_high,remediation_deadline,owner,notes
comp:fcfi:014,Gramm-Leach-Bliley Act — Privacy (Regulation P),CFPB / OCC,Privacy,Customer data,Compliant,2024-06-01,2027 (cycle),0,0,Ongoing,person:fcfi:elliot-greenberg,"Annual privacy notices distributed; opt-out procedures compliant; FDX open banking data sharing under review for GLBA alignment"
comp:fcfi:015,Volcker Rule (12 CFR Part 44),OCC / Federal Reserve,Proprietary Trading,Securities / investments,Compliant — Not Subject,Ongoing,Ongoing,0,0,Ongoing,person:fcfi:marcus-osei,"Does not engage in proprietary trading; investment portfolio limited to agency MBS + munis + Treasuries; annual attestation filed"
comp:fcfi:016,Flood Disaster Protection Act (FDPA),OCC,Collateral,Real estate secured lending,Compliant,2025-11-14,2026-11-01,0,0,Ongoing,person:fcfi:robert-landon,"No flood compliance deficiencies; forced-place insurance tracking at 99.1% of required placements; FEMA map updates monitored"
comp:fcfi:017,OCC Guidance on Credit Risk Concentrations (2006),OCC,Credit Risk,CRE concentration,Monitoring — Approaching Threshold,Ongoing,Ongoing,1,0,Ongoing,person:fcfi:marcus-osei,"CRE concentration 224% of capital; approaching OCC soft threshold 300%; management plan documented and submitted to OCC; growth cap in place"
comp:fcfi:018,Interest Rate Risk — OCC Bulletin 2010-1 + SR 12-7,OCC / Federal Reserve,Market Risk,Interest rate risk,Compliant — Monitoring,2025-11-14,2026-11-01,0,0,Ongoing,person:fcfi:marcus-osei,"EVE sensitivity −14.2% under −200bp; NII at risk −6.8%; both within limits; quarterly board reporting current"
comp:fcfi:019,Liquidity — LCR and NSFR (Enhanced Prudential Standards),OCC / Federal Reserve,Liquidity,Liquidity management,Compliant,Ongoing,Ongoing,0,0,Ongoing,person:fcfi:marcus-osei,"LCR 138%; NSFR 118%; both above 100% requirement; contingency funding plan tested Q3 2025"
comp:fcfi:020,OCC Model Risk Management (OCC 2011-12 / SR 11-7),OCC,Model Risk,Model risk governance,Partial Compliance,2025-11-14,2026-11-01,2,0,2026-09-30,person:fcfi:marcus-osei,"Model validation coverage 78%; 4 models overdue; BSA transaction monitoring model cited in OCC exam; CECL model validated 2025; ACL model update Q2 2026"
comp:fcfi:021,Electronic Payments — Real-Time Payments (FedNow),Federal Reserve / OCC,Payments,Payment infrastructure,In Evaluation,2026 (new),2026 (new),0,0,Decision Q3 2026,person:fcfi:karen-nakamura,"FedNow membership application under review; core banking dependency; decision tied to core modernization vendor selection"
comp:fcfi:022,Third-Party Risk Management (OCC 2013-29 / SR 13-19),OCC,Third-Party Risk,Vendor management,Compliant — Updating,2025-11-14,2026-11-01,1,0,2026-09-30,person:fcfi:karen-nakamura,"OCC cited substandard monitoring of critical vendors (FiServ, Actimize, digital banking provider); enhanced due diligence procedures in progress; annual reviews now quarterly for critical vendors"
comp:fcfi:023,Cybersecurity — FFIEC Cybersecurity Assessment Tool (CAT),FFIEC,Cybersecurity,IT security posture,Intermediate Maturity,2025 self-assessment,2026 self-assessment,2,1,2026-06-30,person:fcfi:karen-nakamura,"FFIEC CAT: Baseline + Evolving domains complete; Intermediate in 3 of 5; 2 findings: identity governance (privileged access) and SIEM coverage gaps; Q2 remediation on schedule"
comp:fcfi:024,GLBA Safeguards Rule (FTC / OCC — 2023 amendments),OCC / FTC,Data Security,Customer data security,In Progress,2024,2025-2026 updates,1,0,2026-06-30,person:fcfi:karen-nakamura,"GLBA Safeguards 2023 amendment requirements: multi-factor authentication deployment at 88% (target 100%); penetration test Q2 2026; incident response plan updated January 2026"
comp:fcfi:025,Regulation CC — Availability of Funds,Federal Reserve,Payments,Check holds,Compliant,2024-06-01,2027 (cycle),0,0,Ongoing,person:fcfi:robert-landon,"Check clearing policy current; exception holds within regulatory limits; Reg CC disclosure in deposit agreements current"
