metric_id,metric_name,business_function,category,current_value,current_period,trend,target,frequency,source_system,owner,notes
tel:fcfi:016,SIEM Alert Volume (daily),IT / Cybersecurity,Security Operations,1840 alerts/day avg,FY2026 Q1,Down 240 from Q4 2025,<1500 / day,Daily,sys:fcfi:secureworks-soc,person:fcfi:karen-nakamura,"SIEM tuning in Jan 2026 reduced noise; 94% auto-closed by Secureworks playbooks; 6% require analyst review"
tel:fcfi:017,Service Desk Ticket Volume (monthly),IT,IT Support,4280 tickets/month,FY2026 Q1,Down 8% YoY,<3800 / month,Monthly,sys:fcfi:servicenow,person:fcfi:karen-nakamura,"Password reset (31%) + access provisioning (22%) top categories; automation opportunity identified"
tel:fcfi:018,IT Change Success Rate (first pass),IT,Change Management,91.6%,FY2026 Q1,Up from 88.8% FY2025,>95%,Weekly,sys:fcfi:servicenow,person:fcfi:karen-nakamura,"Legacy core changes have 76% first-pass rate; modern applications 97%; improving as teams adopt CAB process"
tel:fcfi:019,SAR Investigation Queue (days to disposition),Compliance,BSA/AML Operations,8.4 days avg,FY2026 Q1,Down from 11.2 days Q1 2025,<7 days,Weekly,sys:fcfi:actimize,person:fcfi:patricia-holbrook,"Improvement driven by alert volume reduction; Exiger investigator training contributing"
tel:fcfi:020,CDD Refresh Outreach Completion Rate (commercial),Compliance,BSA/AML Remediation,62%,FY2026 Q1,Up 12pp from Q4 2025,85% by Q2 2026,Weekly,sys:fcfi:actimize,person:fcfi:patricia-holbrook,"14,000 commercial customer outreach campaign; 62% responded with complete documentation; 38% pending"
tel:fcfi:021,Regulatory Report Submission On-Time Rate,Finance / Compliance,Regulatory Reporting,97.8%,FY2025 full year,Up from 96.2% FY2024,100%,Per reporting cycle,sys:fcfi:axiom,person:fcfi:charlotte-reid,"1 late HMDA submission (1 business day); automated submissions improving reliability"
tel:fcfi:022,Employee Compliance Training Completion — BSA/AML,HR / Compliance,Compliance Training,87%,FY2026 Q1,Up 4pp YoY,98% by Q2 2026,Monthly,sys:fcfi:cornerstone-lms,person:fcfi:aisha-nkosi,"87% below OCC 90% threshold; 380 employees with incomplete BSA module; escalation to line managers in April"
tel:fcfi:023,Headcount vs. Approved Positions,HR,Workforce,2800 actual / 2862 approved,FY2026 Q1,Hiring in progress,Fill to 2862 by Q3 2026,Monthly,sys:fcfi:workday,person:fcfi:aisha-nkosi,"62 open positions; tech (24) + compliance (18) + commercial banking (12) + wealth (8)"
tel:fcfi:024,Voluntary Attrition Rate,HR,Workforce,11.2%,FY2025 full year,Up 1.4pp YoY,<10%,Quarterly,sys:fcfi:workday,person:fcfi:aisha-nkosi,"Branch teller highest at 24.1%; tech at 14.8% — below fintech/FAANG but above peer banks"
tel:fcfi:025,Loan Review Backlog (commercial — unreviewed),Risk Management,Credit Review,12% of portfolio backlogged,FY2026 Q1,Down from 16% Q4 2025,0% backlog by Q2 2026,Monthly,sys:fcfi:cleartouch,person:fcfi:marcus-osei,"OCC MRA requires 100% annual coverage; current 88% with 12% backlog; 2 new reviewers joining Q2 2026"
