family,file,column,required,data_type,allowed_values,fill_rate_pct,tenants_populated,example_value,owner_role,source_system,how_to_extract,validation_rule,exemplar_status
ai-control-tower,T01_initiative-registry.csv,tenant_key,governance,enum,apex-retail | first-capital-financial | lakeshore-industries | meridian-health | skyharbor-air,100,5/5,skyharbor-air,AbarVa,AbarVa onboarding,Pre-filled by AbarVa. Do not edit — it is the tenant fence for row-level security.,Must match the tenant key on every row of every file.,good
ai-control-tower,T01_initiative-registry.csv,initiative_id,required,text,,100,5/5,SHA-INIT-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T01_initiative-registry.csv,initiative_name,required,text,,100,5/5,IROPS Agentic Recovery Cockpit,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T01_initiative-registry.csv,business_area,recommended,text,,73,4/5,Enterprise data,PMO,Portfolio taxonomy,Your own portfolio taxonomy. Keep it stable across files so the same programme groups the same way everywhere.,Use one taxonomy across the whole pack.,good
ai-control-tower,T01_initiative-registry.csv,portfolio_segment,recommended,enum,Meridian Health System | corporate_ai | customer_ai | data_platform_ai | engineering_ai | operations_ai,40,2/5,operations_ai,PMO,Portfolio taxonomy,Your own portfolio taxonomy. Keep it stable across files so the same programme groups the same way everywhere.,Use one taxonomy across the whole pack.,good
ai-control-tower,T01_initiative-registry.csv,ai_tag_basis,required,text,,100,5/5,delivers an agent or assistant (T00 register is empty for...,Head of AI / CIO chief of staff,"AI investment register, portfolio governance","Tag every initiative: ai_native if the AI IS the deliverable, ai_enabled if it is a modernization carrying an AI component, non_ai otherwise. ai_investment_share_pct is how much of the budget is genuinely AI. This is the single most important field in the pack — without it AI spend cannot be computed at all.","ai_native 80-100, ai_enabled 10-40, non_ai 0. Must reconcile to your AI investment register.",good
ai-control-tower,T01_initiative-registry.csv,ai_investment_share_pct,required,number,,100,5/5,90,Head of AI / CIO chief of staff,"AI investment register, portfolio governance","Tag every initiative: ai_native if the AI IS the deliverable, ai_enabled if it is a modernization carrying an AI component, non_ai otherwise. ai_investment_share_pct is how much of the budget is genuinely AI. This is the single most important field in the pack — without it AI spend cannot be computed at all.","ai_native 80-100, ai_enabled 10-40, non_ai 0. Must reconcile to your AI investment register.",uniform
ai-control-tower,T01_initiative-registry.csv,ai_classification,required,enum,ai_enabled | ai_native | non_ai,100,5/5,ai_native,Head of AI / CIO chief of staff,"AI investment register, portfolio governance","Tag every initiative: ai_native if the AI IS the deliverable, ai_enabled if it is a modernization carrying an AI component, non_ai otherwise. ai_investment_share_pct is how much of the budget is genuinely AI. This is the single most important field in the pack — without it AI spend cannot be computed at all.","ai_native 80-100, ai_enabled 10-40, non_ai 0. Must reconcile to your AI investment register.",good
ai-control-tower,T01_initiative-registry.csv,owner_role,required,text,,100,5/5,EVP CDTO,CIO chief of staff / PMO,"Org chart, portfolio governance deck","The ROLE accountable, not a person's name — 'VP Crew Operations', not 'Priya'. Roles survive reorgs and avoid putting personal data in the pack.",Must be a role title. Never a personal name or an email address.,good
ai-control-tower,T01_initiative-registry.csv,business_sponsor_role,recommended,text,,40,2/5,EVP Operations,CIO chief of staff / PMO,"Org chart, portfolio governance deck","The ROLE accountable, not a person's name — 'VP Crew Operations', not 'Priya'. Roles survive reorgs and avoid putting personal data in the pack.",Must be a role title. Never a personal name or an email address.,good
ai-control-tower,T01_initiative-registry.csv,stage,required,text,,100,5/5,scale_pilot,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T01_initiative-registry.csv,promised_benefit_usd,required,number,,100,5/5,310000000,Initiative business sponsor,"Business case, investment committee paper","The benefit the approved business case promised. Take it from the paper that got funded, not from a later re-forecast — the gap between promise and outcome is the point.",Must trace to an approved business case. Do not net off costs.,good
ai-control-tower,T01_initiative-registry.csv,measured_value_usd,required,number,,100,5/5,91800000,Finance business partner,"GL, FP&A benefit tracker","Benefit that Finance has signed off as landed in the P&L or a budget reduction. If Finance has not validated it, leave blank rather than copying the promise.",Must be <= promised. Blank is a legitimate answer and is far better than an optimistic guess.,good
ai-control-tower,T01_initiative-registry.csv,value_confidence,required,enum,blocked | high | low | medium,100,5/5,high,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T01_initiative-registry.csv,status,recommended,enum,at_risk | false_positive | hold_until_evidence | kill_candidate | on_track | prove_value | restructure | scale_candidate,73,4/5,at_risk,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T01_initiative-registry.csv,evidence_status,recommended,enum,missing | partial | review_required | source_backed | source_cited,40,2/5,source_cited,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T01_initiative-registry.csv,scale_decision,recommended,enum,fix_controls | hold | hold_for_evidence | kill_or_reframe | scale,40,2/5,scale,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T01_initiative-registry.csv,primary_blocker,recommended,text,,87,4/5,"Data readiness, crew legality, DOT obligation guardrails",Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T01_initiative-registry.csv,evidence_id,recommended,text,,60,3/5,FC-EVID-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T01_initiative-registry.csv,amount_type,governance,enum,none,87,4/5,none,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T01_initiative-registry.csv,view,governance,enum,value,87,4/5,value,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T01_initiative-registry.csv,is_rollup_of,governance,text,,0,0/5,,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T01_initiative-registry.csv,basis,governance,enum,actual,87,4/5,actual,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T01_initiative-registry.csv,period,governance,date,ytd,87,4/5,ytd,Whoever extracts the file,The source system's own date field,"Use ISO format — YYYY-MM for a month, YYYY-MM-DD for a date. Every row of a monthly file must carry ITS OWN month, not the extract date.","One period per row. If every row shares a period, the monthly trend is silently lost.",good
ai-control-tower,T01_initiative-registry.csv,formula,governance,text,,0,0/5,,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T01_initiative-registry.csv,formula_version,governance,enum,tower_standardized_v1,87,4/5,tower_standardized_v1,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T01_initiative-registry.csv,source_file,governance,enum,ai-control-tower/T01_initiative-registry.csv,100,5/5,ai-control-tower/T01_initiative-registry.csv,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T01_initiative-registry.csv,source_row,governance,number,,100,5/5,43,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T01_initiative-registry.csv,value_source,governance,enum,tenant_file,100,5/5,tenant_file,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T01_initiative-registry.csv,notes,required,text,,100,5/5,"Blocked on data readiness, crew legality, dot obligation ...",Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T02_project-milestones.csv,initiative_id,required,text,,100,5/5,SHA-INIT-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T02_project-milestones.csv,milestone_id,required,text,,100,5/5,SHA-INIT-001-M1,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T02_project-milestones.csv,milestone_name,required,text,,100,5/5,IROPS Agentic Recovery Cockpit case,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T02_project-milestones.csv,milestone_type,recommended,enum,business_case | delivery | gate,30,1/5,business_case,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T02_project-milestones.csv,target_date,required,date,,100,5/5,2026-01-28,Whoever extracts the file,The source system's own date field,"Use ISO format — YYYY-MM for a month, YYYY-MM-DD for a date. Every row of a monthly file must carry ITS OWN month, not the extract date.","One period per row. If every row shares a period, the monthly trend is silently lost.",good
ai-control-tower,T02_project-milestones.csv,actual_date,recommended,date,,78,5/5,2026-02-21,Whoever extracts the file,The source system's own date field,"Use ISO format — YYYY-MM for a month, YYYY-MM-DD for a date. Every row of a monthly file must carry ITS OWN month, not the extract date.","One period per row. If every row shares a period, the monthly trend is silently lost.",good
ai-control-tower,T02_project-milestones.csv,due_date,required,date,,100,5/5,2026-02-25,Whoever extracts the file,The source system's own date field,"Use ISO format — YYYY-MM for a month, YYYY-MM-DD for a date. Every row of a monthly file must carry ITS OWN month, not the extract date.","One period per row. If every row shares a period, the monthly trend is silently lost.",good
ai-control-tower,T02_project-milestones.csv,status,required,enum,at_risk | blocked | cancelled | complete | in_progress | not_started | planned,100,5/5,complete,PMO,"Portfolio management tool, Clarity, Planview, Jira",The governance stage this initiative is at. Use your own stage gates and tell AbarVa the mapping once.,Must be one of the allowed values listed for this column.,good
ai-control-tower,T02_project-milestones.csv,gate_criteria,recommended,enum,benefit attested | pilot telemetry captured | risk/control evidence approved | scale economics approved | sponsor case approved,30,1/5,sponsor case approved,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T02_project-milestones.csv,approver_role,required,text,,100,5/5,EVP Operations,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T02_project-milestones.csv,blocker,recommended,text,,6,1/5,"Data readiness, crew legality, DOT obligation guardrails",Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",thin
ai-control-tower,T02_project-milestones.csv,evidence_id,recommended,enum,EVID-SHA-0001 | EVID-SHA-0002 | EVID-SHA-0003 | EVID-SHA-0004 | EVID-SHA-0005 | EVID-SHA-0006 | EVID-SHA-0007 | EVID-SHA-0008,30,1/5,EVID-SHA-0001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T02_project-milestones.csv,blocker_or_condition,recommended,text,,9,4/5,PHI/model governance and source evidence missing,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T02_project-milestones.csv,source_file,governance,enum,ai-control-tower/T02_project-milestones.csv,100,5/5,ai-control-tower/T02_project-milestones.csv,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T02_project-milestones.csv,source_row,governance,number,,100,5/5,168,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T02_project-milestones.csv,value_source,governance,enum,tenant_file,100,5/5,tenant_file,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T03_tool-usage-monthly.csv,period,governance,date,,100,5/5,2025-07,Whoever extracts the file,The source system's own date field,"Use ISO format — YYYY-MM for a month, YYYY-MM-DD for a date. Every row of a monthly file must carry ITS OWN month, not the extract date.","One period per row. If every row shares a period, the monthly trend is silently lost.",good
ai-control-tower,T03_tool-usage-monthly.csv,tool_name,required,text,,100,5/5,M365 Copilot,Procurement / Vendor management,"Contract register, CMDB","Use the contracting entity's legal name, consistently across files. Pick one spelling of AWS and keep it.",Same vendor must be spelled identically everywhere or spend will not consolidate.,good
ai-control-tower,T03_tool-usage-monthly.csv,vendor,required,text,,100,5/5,M365,Procurement / Vendor management,"Contract register, CMDB","Use the contracting entity's legal name, consistently across files. Pick one spelling of AWS and keep it.",Same vendor must be spelled identically everywhere or spend will not consolidate.,good
ai-control-tower,T03_tool-usage-monthly.csv,business_function,required,text,,100,5/5,SHA-BF-001,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T03_tool-usage-monthly.csv,licensed_users,required,number,,100,5/5,7082,Tool administrator,"M365 admin centre, GitHub org insights, vendor usage console",Export the monthly usage report from each tool's own admin console. Licensed = seats paid for; active = seats that actually did something that month. The gap is the story.,"active <= licensed. Report per month, not as an average.",good
ai-control-tower,T03_tool-usage-monthly.csv,active_users,required,number,,100,5/5,5229,Tool administrator,"M365 admin centre, GitHub org insights, vendor usage console",Export the monthly usage report from each tool's own admin console. Licensed = seats paid for; active = seats that actually did something that month. The gap is the story.,"active <= licensed. Report per month, not as an average.",good
ai-control-tower,T03_tool-usage-monthly.csv,active_rate_pct,required,number,,100,5/5,105,Tool administrator,"M365 admin centre, GitHub org insights, vendor usage console",Export the monthly usage report from each tool's own admin console. Licensed = seats paid for; active = seats that actually did something that month. The gap is the story.,"active <= licensed. Report per month, not as an average.",good
ai-control-tower,T03_tool-usage-monthly.csv,monthly_prompts_or_actions,required,number,,100,5/5,185011,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T03_tool-usage-monthly.csv,prompts_or_actions,recommended,number,,39,3/5,930524,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T03_tool-usage-monthly.csv,estimated_hours_saved,recommended,number,,39,3/5,5537,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
ai-control-tower,T03_tool-usage-monthly.csv,quality_or_control_flag,recommended,enum,needs_evidence_review | normal,39,3/5,needs_evidence_review,Risk / Compliance,"GRC platform, model risk register","Take from the model risk or AI governance register. If a model is in production without validation, say so — that is exactly the finding the board needs.",Do not mark validated unless the validation is on file and current.,good
ai-control-tower,T03_tool-usage-monthly.csv,source_file,governance,enum,ai-control-tower/T03_tool-usage-monthly.csv,100,5/5,ai-control-tower/T03_tool-usage-monthly.csv,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T03_tool-usage-monthly.csv,source_row,governance,number,,100,5/5,145,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T03_tool-usage-monthly.csv,cost_usd,required,number,,100,5/5,518539,Procurement / Vendor management,"Contract register, Coupa, Ariba, SAP","Annualised contract value or run rate per vendor or tool. Use the committed value, and note the renewal date so concentration and renewal exposure can be shown.","Total vendor run-rate should land near your IT budget, not several times it.",good
ai-control-tower,T03_tool-usage-monthly.csv,policy_status,required,enum,approved | blocked_pending_review | conditional | restricted | under_review,100,5/5,approved,Risk / Compliance,"GRC platform, model risk register","Take from the model risk or AI governance register. If a model is in production without validation, say so — that is exactly the finding the board needs.",Do not mark validated unless the validation is on file and current.,good
ai-control-tower,T03_tool-usage-monthly.csv,notes,recommended,text,,48,1/5,M365 Copilot usage for Operations Control Center / IROPS,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",thin
ai-control-tower,T03_tool-usage-monthly.csv,value_source,governance,enum,synthetic | tenant_file,100,5/5,tenant_file,Whoever extracts the file,Your extract job,Provenance. Record which system and row this came from so a number on the dashboard can be traced back to your source of record.,"value_source is tenant_file for anything you extracted, synthetic only for values AbarVa generated.",good
ai-control-tower,T04_agent-outcomes.csv,agent_id,required,text,,100,5/5,SHA-AGT-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T04_agent-outcomes.csv,agent_name,required,text,,100,5/5,IROPS Recovery Agent,Initiative owner,Portfolio governance record,"Plain business English. This text is read by executives and may be quoted on the dashboard, so write it as you would to your CEO.","No internal codenames, no real client names, no personal data.",good
ai-control-tower,T04_agent-outcomes.csv,parent_system_id,recommended,text,,13,1/5,SHA-APP-001,Initiative owner,"Benefit tracker, document store","Point at the artefact that proves the claim — a signed benefit case, a Finance sign-off, a measured before/after. An unevidenced number is shown as unevidenced.",Every evidence_id must resolve to a row in the evidence file.,good
ai-control-tower,T04_agent-outcomes.csv,business_function,required,text,,100,5/5,SHA-BF-001,Initiative owner,Portfolio governance record,"Fill from your system of record for this domain. If you have no source for it, leave it blank — a blank is reported as a gap, an invented value is reported as fact.",Leave blank rather than guessing.,good
