cell_id,measure_code,measure_name,cohort_key,cohort_label,cohort_attributed_lives,open_gap_count,closed_gap_count,denominator_count,closure_rate_pct,line_of_business,source_system,evidence_note
CG-0001,CBP,Controlling High Blood Pressure,ma_seniors,Medicare Advantage seniors,119000,5554,9558,15112,63.25,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0012,EED,Eye Exam for Patients With Diabetes,commercial_adult,Commercial adult,107000,8194,11399,19593,58.18,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0013,KED,Kidney Health Evaluation for Patients With Diabetes,ma_seniors,Medicare Advantage seniors,119000,13336,5585,18921,29.52,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0014,KED,Kidney Health Evaluation for Patients With Diabetes,medicare_snp,Medicare SNP,38000,4998,9171,14169,64.73,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0015,KED,Kidney Health Evaluation for Patients With Diabetes,medicaid_adult,Medicaid adult,96000,10140,3357,13497,24.87,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0016,KED,Kidney Health Evaluation for Patients With Diabetes,commercial_adult,Commercial adult,107000,15281,6942,22223,31.24,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0017,COL-E,Colorectal Cancer Screening,ma_seniors,Medicare Advantage seniors,119000,6943,10527,17470,60.26,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0018,COL-E,Colorectal Cancer Screening,medicare_snp,Medicare SNP,38000,12085,4713,16798,28.06,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0019,COL-E,Colorectal Cancer Screening,medicaid_adult,Medicaid adult,96000,3748,8299,12047,68.89,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0020,COL-E,Colorectal Cancer Screening,commercial_adult,Commercial adult,107000,8889,2485,11374,21.85,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0021,BCS-E,Breast Cancer Screening,ma_seniors,Medicare Advantage seniors,119000,14030,6069,20099,30.2,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0022,BCS-E,Breast Cancer Screening,medicare_snp,Medicare SNP,38000,5693,9655,15348,62.91,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0023,BCS-E,Breast Cancer Screening,medicaid_adult,Medicaid adult,96000,10835,3841,14676,26.17,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0024,BCS-E,Breast Cancer Screening,commercial_adult,Commercial adult,107000,15975,7427,23402,31.74,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0025,CCS-E,Cervical Cancer Screening,ma_seniors,Medicare Advantage seniors,119000,7638,11011,18649,59.04,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0026,CCS-E,Cervical Cancer Screening,medicare_snp,Medicare SNP,38000,12780,5197,17977,28.91,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0027,CCS-E,Cervical Cancer Screening,medicaid_adult,Medicaid adult,96000,4443,8783,13226,66.41,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0028,CCS-E,Cervical Cancer Screening,commercial_adult,Commercial adult,107000,9584,2969,12553,23.65,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0029,TRC,Transitions of Care,ma_seniors,Medicare Advantage seniors,119000,14725,6554,21279,30.8,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0030,TRC,Transitions of Care,medicare_snp,Medicare SNP,38000,6388,10139,16527,61.35,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0031,TRC,Transitions of Care,medicaid_adult,Medicaid adult,96000,11529,4325,15854,27.28,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0032,TRC,Transitions of Care,commercial_adult,Commercial adult,107000,3192,7911,11103,71.25,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0033,PCR,Plan All-Cause Readmissions,ma_seniors,Medicare Advantage seniors,119000,8333,2097,10430,20.11,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0034,PCR,Plan All-Cause Readmissions,medicare_snp,Medicare SNP,38000,13475,5682,19157,29.66,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0035,PCR,Plan All-Cause Readmissions,medicaid_adult,Medicaid adult,96000,5137,9267,14404,64.34,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0036,PCR,Plan All-Cause Readmissions,commercial_adult,Commercial adult,107000,10279,3453,13732,25.15,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0037,FUH,Follow-Up After Hospitalization for Mental Illness,ma_seniors,Medicare Advantage seniors,119000,15420,7039,22459,31.34,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0038,FUH,Follow-Up After Hospitalization for Mental Illness,medicare_snp,Medicare SNP,38000,7082,10624,17706,60.0,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0039,FUH,Follow-Up After Hospitalization for Mental Illness,medicaid_adult,Medicaid adult,96000,12224,4810,17034,28.24,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0040,FUH,Follow-Up After Hospitalization for Mental Illness,commercial_adult,Commercial adult,107000,3887,8395,12282,68.35,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0041,FUM,Follow-Up After Emergency Department Visit for Mental Illness,ma_seniors,Medicare Advantage seniors,119000,9028,2582,11610,22.24,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0042,FUM,Follow-Up After Emergency Department Visit for Mental Illness,medicare_snp,Medicare SNP,38000,14169,6166,20335,30.32,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0043,FUM,Follow-Up After Emergency Department Visit for Mental Illness,medicaid_adult,Medicaid adult,96000,5832,9752,15584,62.58,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0044,FUM,Follow-Up After Emergency Department Visit for Mental Illness,commercial_adult,Commercial adult,107000,10974,3938,14912,26.41,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0045,FMC,Follow-Up After ED Visit for People With Multiple High-Risk Chronic Conditions,ma_seniors,Medicare Advantage seniors,119000,16114,7524,23638,31.83,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0046,FMC,Follow-Up After ED Visit for People With Multiple High-Risk Chronic Conditions,medicare_snp,Medicare SNP,38000,7777,11108,18885,58.82,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0047,FMC,Follow-Up After ED Visit for People With Multiple High-Risk Chronic Conditions,medicaid_adult,Medicaid adult,96000,12919,5294,18213,29.07,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0048,FMC,Follow-Up After ED Visit for People With Multiple High-Risk Chronic Conditions,commercial_adult,Commercial adult,107000,4582,8880,13462,65.96,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0049,SNS-E,Social Need Screening and Intervention,ma_seniors,Medicare Advantage seniors,119000,9723,3066,12789,23.97,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0050,SNS-E,Social Need Screening and Intervention,medicare_snp,Medicare SNP,38000,14864,6651,21515,30.91,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0051,SNS-E,Social Need Screening and Intervention,medicaid_adult,Medicaid adult,96000,6527,10236,16763,61.06,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0052,SNS-E,Social Need Screening and Intervention,commercial_adult,Commercial adult,107000,11668,4422,16090,27.48,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0053,AIS-E,Adult Immunization Status,ma_seniors,Medicare Advantage seniors,119000,3331,8008,11339,70.62,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0054,AIS-E,Adult Immunization Status,medicare_snp,Medicare SNP,38000,8472,2194,10666,20.57,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0055,AIS-E,Adult Immunization Status,medicaid_adult,Medicaid adult,96000,13613,5779,19392,29.8,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0056,AIS-E,Adult Immunization Status,commercial_adult,Commercial adult,107000,5276,9364,14640,63.96,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0057,TSC-E,Tobacco Use Screening and Cessation Intervention,ma_seniors,Medicare Advantage seniors,119000,10418,3550,13968,25.42,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0058,TSC-E,Tobacco Use Screening and Cessation Intervention,medicare_snp,Medicare SNP,38000,15559,7136,22695,31.44,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0059,TSC-E,Tobacco Use Screening and Cessation Intervention,medicaid_adult,Medicaid adult,96000,7221,10721,17942,59.75,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0060,TSC-E,Tobacco Use Screening and Cessation Intervention,commercial_adult,Commercial adult,107000,12363,4907,17270,28.41,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0061,PCE,Pharmacotherapy Management of COPD Exacerbation,ma_seniors,Medicare Advantage seniors,119000,4026,8492,12518,67.84,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0062,PCE,Pharmacotherapy Management of COPD Exacerbation,medicare_snp,Medicare SNP,38000,9166,2678,11844,22.61,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0063,PCE,Pharmacotherapy Management of COPD Exacerbation,medicaid_adult,Medicaid adult,96000,14308,6263,20571,30.45,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0064,PCE,Pharmacotherapy Management of COPD Exacerbation,commercial_adult,Commercial adult,107000,5971,9849,15820,62.26,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0065,OMW,Osteoporosis Management in Women Who Had a Fracture,ma_seniors,Medicare Advantage seniors,119000,11113,4035,15148,26.64,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0066,OMW,Osteoporosis Management in Women Who Had a Fracture,medicare_snp,Medicare SNP,38000,16253,7620,23873,31.92,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0067,OMW,Osteoporosis Management in Women Who Had a Fracture,medicaid_adult,Medicaid adult,96000,7916,11205,19121,58.6,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0068,OMW,Osteoporosis Management in Women Who Had a Fracture,commercial_adult,Commercial adult,107000,13058,5391,18449,29.22,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0069,SPC-E,Statin Therapy for Patients With Cardiovascular Disease,ma_seniors,Medicare Advantage seniors,119000,4720,8977,13697,65.54,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0070,SPC-E,Statin Therapy for Patients With Cardiovascular Disease,medicare_snp,Medicare SNP,38000,9862,3163,13025,24.28,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0071,SPC-E,Statin Therapy for Patients With Cardiovascular Disease,medicaid_adult,Medicaid adult,96000,15003,6748,21751,31.02,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0072,SPC-E,Statin Therapy for Patients With Cardiovascular Disease,commercial_adult,Commercial adult,107000,6666,10333,16999,60.79,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0073,BPD-E,Blood Pressure Control for Patients With Diabetes,ma_seniors,Medicare Advantage seniors,119000,11807,4519,16326,27.68,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0074,BPD-E,Blood Pressure Control for Patients With Diabetes,medicare_snp,Medicare SNP,38000,3470,8105,11575,70.02,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0075,BPD-E,Blood Pressure Control for Patients With Diabetes,medicaid_adult,Medicaid adult,96000,8611,2291,10902,21.01,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0076,BPD-E,Blood Pressure Control for Patients With Diabetes,commercial_adult,Commercial adult,107000,13752,5876,19628,29.94,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0077,MAD,Medication Adherence for Diabetes Medications,ma_seniors,Medicare Advantage seniors,119000,5415,9461,14876,63.6,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0078,MAD,Medication Adherence for Diabetes Medications,medicare_snp,Medicare SNP,38000,10557,3647,14204,25.68,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0079,MAH,Medication Adherence for Hypertension,ma_seniors,Medicare Advantage seniors,119000,15697,7233,22930,31.54,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0080,MAH,Medication Adherence for Hypertension,medicare_snp,Medicare SNP,38000,7360,10818,18178,59.51,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0081,MAC,Medication Adherence for Cholesterol,ma_seniors,Medicare Advantage seniors,119000,12502,5004,17506,28.58,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0082,MAC,Medication Adherence for Cholesterol,medicare_snp,Medicare SNP,38000,4165,8589,12754,67.34,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0083,SUPD,Statin Use in Persons With Diabetes,ma_seniors,Medicare Advantage seniors,119000,9305,2775,12080,22.97,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0084,SUPD,Statin Use in Persons With Diabetes,medicare_snp,Medicare SNP,38000,14447,6360,20807,30.57,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0085,MRP,Medication Reconciliation Post-Discharge,ma_seniors,Medicare Advantage seniors,119000,6110,9946,16056,61.95,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0086,MRP,Medication Reconciliation Post-Discharge,medicare_snp,Medicare SNP,38000,11252,4132,15384,26.86,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0087,COB,Concurrent Use of Opioids and Benzodiazepines,ma_seniors,Medicare Advantage seniors,119000,16392,7717,24109,32.01,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0088,COB,Concurrent Use of Opioids and Benzodiazepines,medicare_snp,Medicare SNP,38000,8055,11302,19357,58.39,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0089,POLY-ACH,Use of Multiple Anticholinergic Medications in Older Adults,ma_seniors,Medicare Advantage seniors,119000,13197,5488,18685,29.37,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0090,POLY-ACH,Use of Multiple Anticholinergic Medications in Older Adults,medicare_snp,Medicare SNP,38000,4859,9074,13933,65.13,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0091,OMH,Older Adult Health Outcomes Review,ma_seniors,Medicare Advantage seniors,119000,10001,3260,13261,24.58,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0092,OMH,Older Adult Health Outcomes Review,medicare_snp,Medicare SNP,38000,15142,6845,21987,31.13,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0093,CIS-E,Childhood Immunization Status,pediatric_medicaid,Pediatric Medicaid,36000,6805,10430,17235,60.52,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0094,CIS-E,Childhood Immunization Status,pediatric_commercial,Pediatric commercial,22000,11946,4616,16562,27.87,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0095,IMA-E,Immunizations for Adolescents,pediatric_medicaid,Pediatric Medicaid,36000,3609,8202,11811,69.44,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0096,IMA-E,Immunizations for Adolescents,pediatric_commercial,Pediatric commercial,22000,8750,2388,11138,21.44,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0097,W30,Well-Child Visits in the First 30 Months of Life,pediatric_medicaid,Pediatric Medicaid,36000,13891,5972,19863,30.07,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0098,W30,Well-Child Visits in the First 30 Months of Life,pediatric_commercial,Pediatric commercial,22000,5554,9558,15112,63.25,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0099,WCV,Child and Adolescent Well-Care Visits,pediatric_medicaid,Pediatric Medicaid,36000,10696,3744,14440,25.93,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0100,WCV,Child and Adolescent Well-Care Visits,pediatric_commercial,Pediatric commercial,22000,15836,7330,23166,31.64,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0101,LSC-E,Lead Screening in Children,pediatric_medicaid,Pediatric Medicaid,36000,7499,10914,18413,59.27,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0102,LSC-E,Lead Screening in Children,pediatric_commercial,Pediatric commercial,22000,12641,5100,17741,28.75,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0103,ADD-E,Follow-Up Care for Children Prescribed ADHD Medication,pediatric_medicaid,Pediatric Medicaid,36000,4304,8686,12990,66.87,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0104,ADD-E,Follow-Up Care for Children Prescribed ADHD Medication,pediatric_commercial,Pediatric commercial,22000,9444,2872,12316,23.32,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0105,CHL,Chlamydia Screening in Women,pediatric_medicaid,Pediatric Medicaid,36000,14586,6457,21043,30.68,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0106,CHL,Chlamydia Screening in Women,pediatric_commercial,Pediatric commercial,22000,6249,10042,16291,61.64,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0107,AAB,Avoidance of Antibiotic Treatment for Acute Bronchitis,pediatric_medicaid,Pediatric Medicaid,36000,11390,4229,15619,27.08,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0108,AAB,Avoidance of Antibiotic Treatment for Acute Bronchitis,pediatric_commercial,Pediatric commercial,22000,3053,7814,10867,71.91,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0109,PPC,Prenatal and Postpartum Care,medicaid_adult,Medicaid adult,96000,8194,11399,19593,58.18,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0110,PPC,Prenatal and Postpartum Care,commercial_adult,Commercial adult,107000,13336,5585,18921,29.52,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0111,FUA,Follow-Up After Emergency Department Visit for Substance Use,medicaid_adult,Medicaid adult,96000,4998,9171,14169,64.73,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0112,FUA,Follow-Up After Emergency Department Visit for Substance Use,commercial_adult,Commercial adult,107000,10140,3357,13497,24.87,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0113,AMM,Antidepressant Medication Management,medicaid_adult,Medicaid adult,96000,15281,6942,22223,31.24,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0114,AMM,Antidepressant Medication Management,commercial_adult,Commercial adult,107000,6943,10527,17470,60.26,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0115,GSD,Glycemic Status Assessment for Patients With Diabetes,medicaid_adult,Medicaid adult,96000,12085,4713,16798,28.06,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
CG-0116,GSD,Glycemic Status Assessment for Patients With Diabetes,commercial_adult,Commercial adult,107000,3748,8299,12047,68.89,Commercial,care management registry,synthetic aggregate measure/cohort cell; no member-level data
CG-0117,SAA,Adherence to Antipsychotic Medications for Individuals With Schizophrenia,medicaid_adult,Medicaid adult,96000,8889,2485,11374,21.85,Medicare,EHR quality extract,synthetic aggregate measure/cohort cell; no member-level data
CG-0118,SAA,Adherence to Antipsychotic Medications for Individuals With Schizophrenia,commercial_adult,Commercial adult,107000,14030,6069,20099,30.2,Medicaid,plan supplemental file,synthetic aggregate measure/cohort cell; no member-level data
