role_id,role_title,department,reports_to_role,location,fte,vacancy_status,primary_platform,decision_right,evidence_note
ROLE-0059,Quality Specialist 059,Patient Access,Director Clinical Applications,Remote,1.0,filled,Care management,delivery,synthetic org role row
ROLE-0060,Manager 060,Quality,VP Value Based Care,Metro HQ,1.0,filled,EHR,accountable,synthetic org role row
ROLE-0061,Analyst 061,Clinical Operations,Chief Quality Officer,Regional Office,1.0,filled,CRM,consulted,synthetic org role row
ROLE-0062,Nurse Informaticist 062,Value Based Care,Director Data Platform,Remote,1.0,filled,Analytics,informed,synthetic org role row
ROLE-0063,Product Owner 063,Data Platform,Director Clinical Applications,Metro HQ,1.0,filled,Care management,delivery,synthetic org role row
ROLE-0064,Data Engineer 064,Care Management,VP Value Based Care,Regional Office,1.0,filled,EHR,accountable,synthetic org role row
ROLE-0065,Quality Specialist 065,Patient Access,Chief Quality Officer,Remote,1.0,filled,CRM,consulted,synthetic org role row
ROLE-0066,Manager 066,Quality,Director Data Platform,Metro HQ,1.0,filled,Analytics,informed,synthetic org role row
ROLE-0067,Analyst 067,Clinical Operations,Director Clinical Applications,Regional Office,1.0,filled,Care management,delivery,synthetic org role row
ROLE-0068,Nurse Informaticist 068,Value Based Care,VP Value Based Care,Remote,0.5,filled,EHR,accountable,synthetic org role row
ROLE-0069,Product Owner 069,Data Platform,Chief Quality Officer,Metro HQ,1.0,filled,CRM,consulted,synthetic org role row
ROLE-0070,Data Engineer 070,Care Management,Director Data Platform,Regional Office,1.0,filled,Analytics,informed,synthetic org role row
ROLE-0071,Quality Specialist 071,Patient Access,Director Clinical Applications,Remote,1.0,filled,Care management,delivery,synthetic org role row
ROLE-0072,Manager 072,Quality,VP Value Based Care,Metro HQ,1.0,filled,EHR,accountable,synthetic org role row
