facility_id,facility_name,region_label,facility_type,ehr_platform,feed_cadence,design_scope_only,attributed_lives,care_gap_capture_state,owner_role,evidence_note
FAC-0047,Care site 047,Virtual,clinic,Epic,near-real-time,no,2937,partial,Director Ambulatory Ops,synthetic facility row
FAC-0048,Care site 048,Metro North,urgent care,Epic,daily,no,5350,captured,VP Clinical Operations,synthetic facility row
FAC-0049,Care site 049,Metro South,home health,Epic,daily,no,7764,captured,Regional COO,synthetic facility row
FAC-0050,Care site 050,Central,hospital,Epic,near-real-time,no,3850,partial,Director Ambulatory Ops,synthetic facility row
FAC-0051,Care site 051,Coastal,ambulatory,Epic,daily,no,6264,captured,VP Clinical Operations,synthetic facility row
FAC-0052,Care site 052,Mountain,clinic,Epic,daily,no,2350,captured,Regional COO,synthetic facility row
FAC-0053,Care site 053,Virtual,urgent care,Epic,near-real-time,no,4763,partial,Director Ambulatory Ops,synthetic facility row
FAC-0054,Care site 054,Metro North,home health,Epic,daily,no,7177,captured,VP Clinical Operations,synthetic facility row
FAC-0055,Care site 055,Metro South,hospital,Epic,daily,no,3263,captured,Regional COO,synthetic facility row
FAC-0056,Care site 056,Central,ambulatory,Epic,near-real-time,no,5677,partial,Director Ambulatory Ops,synthetic facility row
FAC-0057,Care site 057,Coastal,clinic,Epic,daily,no,8091,captured,VP Clinical Operations,synthetic facility row
FAC-0058,Care site 058,Mountain,urgent care,Epic,daily,no,4176,captured,Regional COO,synthetic facility row
FAC-0059,Care site 059,Virtual,home health,Epic,near-real-time,no,6590,partial,Director Ambulatory Ops,synthetic facility row
FAC-0060,Care site 060,Metro North,hospital,Epic,daily,no,2676,captured,VP Clinical Operations,synthetic facility row
FAC-0061,Care site 061,Metro South,ambulatory,Epic,daily,no,5089,captured,Regional COO,synthetic facility row
FAC-0062,Care site 062,Central,clinic,Epic,near-real-time,no,7504,partial,Director Ambulatory Ops,synthetic facility row
FAC-0063,Care site 063,Coastal,urgent care,Epic,daily,no,3589,captured,VP Clinical Operations,synthetic facility row
FAC-0064,Care site 064,Mountain,home health,Oracle Health,weekly,yes,6003,design_only,Regional COO,legacy platform site held as design scope only
FAC-0065,Care site 065,Virtual,hospital,Epic,near-real-time,no,8417,partial,Director Ambulatory Ops,synthetic facility row
FAC-0066,Care site 066,Metro North,ambulatory,Epic,daily,no,4502,captured,VP Clinical Operations,synthetic facility row
FAC-0067,Care site 067,Metro South,clinic,Epic,daily,no,6917,captured,Regional COO,synthetic facility row
FAC-0068,Care site 068,Central,urgent care,Epic,near-real-time,no,3002,partial,Director Ambulatory Ops,synthetic facility row
FAC-0069,Care site 069,Coastal,home health,Epic,daily,no,5416,captured,VP Clinical Operations,synthetic facility row
FAC-0070,Care site 070,Mountain,hospital,Epic,daily,no,7830,captured,Regional COO,synthetic facility row
FAC-0071,Care site 071,Virtual,ambulatory,Epic,near-real-time,no,3915,partial,Director Ambulatory Ops,synthetic facility row
FAC-0072,Care site 072,Metro North,clinic,Epic,daily,no,6330,captured,VP Clinical Operations,synthetic facility row
FAC-0073,Care site 073,Metro South,urgent care,Epic,daily,no,2415,captured,Regional COO,synthetic facility row
FAC-0074,Care site 074,Central,home health,Epic,near-real-time,no,4828,partial,Director Ambulatory Ops,synthetic facility row
FAC-0075,Care site 075,Coastal,hospital,Epic,daily,no,7243,captured,VP Clinical Operations,synthetic facility row
FAC-0076,Care site 076,Mountain,ambulatory,Epic,daily,no,3328,captured,Regional COO,synthetic facility row
FAC-0077,Care site 077,Virtual,clinic,Epic,near-real-time,no,5742,partial,Director Ambulatory Ops,synthetic facility row
FAC-0078,Care site 078,Metro North,urgent care,Epic,daily,no,8156,captured,VP Clinical Operations,synthetic facility row
