control_id,risk_domain,control_name,owner_role,status,evidence_id,notes
SHA-CTRL-027,third-party,Monitoring control 27,CISO,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-028,FAA safety,Exception control 28,CDAO,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-029,DOT consumer,Audit control 29,Controller,gap,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-030,TSA security,Lineage control 30,AI Governance Lead,effective,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-031,PCI,Evidence control 31,Chief Safety Officer,review_required,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-032,privacy,Approval control 32,Chief Legal Officer,effective,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-033,SOX,Monitoring control 33,CISO,effective,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-034,AI governance,Exception control 34,CDAO,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-035,cyber resilience,Audit control 35,Controller,effective,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-036,third-party,Lineage control 36,AI Governance Lead,gap,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-037,FAA safety,Evidence control 37,Chief Safety Officer,effective,EVID-SHA-0005,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-038,DOT consumer,Approval control 38,Chief Legal Officer,effective,EVID-SHA-0006,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-039,TSA security,Monitoring control 39,CISO,effective,EVID-SHA-0007,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-040,PCI,Exception control 40,CDAO,effective,EVID-SHA-0008,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-041,privacy,Audit control 41,Controller,review_required,EVID-SHA-0001,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-042,SOX,Lineage control 42,AI Governance Lead,effective,EVID-SHA-0002,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-043,AI governance,Evidence control 43,Chief Safety Officer,gap,EVID-SHA-0003,"Control record for AI, data, safety, privacy, and regulated airline operations"
SHA-CTRL-044,cyber resilience,Approval control 44,Chief Legal Officer,effective,EVID-SHA-0004,"Control record for AI, data, safety, privacy, and regulated airline operations"
