incident_id,app_id,opened_at,severity,customer_impact,root_cause
FCF-INC-026,FCF-APP-FINANCIAL-CRIMES-126,2026-02-26,sev3,internal operational impact,core batch delay
FCF-INC-027,FCF-APP-CONTACT-CENTER-131,2026-03-01,sev3,internal operational impact,vendor change defect
FCF-INC-028,FCF-APP-COMMERCIAL-LENDING-136,2026-04-02,sev3,client-facing latency or failure,API timeout
FCF-INC-029,FCF-APP-ERP-FINANCE-141,2026-05-03,sev2,internal operational impact,data-quality defect
FCF-INC-030,FCF-APP-PAYMENTS-146,2026-06-04,sev3,internal operational impact,capacity threshold
FCF-INC-031,FCF-APP-DATA-PLATFORM-151,2026-07-05,sev1,client-facing latency or failure,core batch delay
FCF-INC-032,FCF-APP-MODEL-RISK-156,2026-08-06,sev3,internal operational impact,vendor change defect
FCF-INC-033,FCF-APP-WEALTH-161,2026-09-07,sev2,internal operational impact,API timeout
FCF-INC-034,FCF-APP-BRANCH-ATM-166,2026-10-08,sev3,client-facing latency or failure,data-quality defect
FCF-INC-035,FCF-APP-DIGITAL-BANKING-171,2026-11-09,sev3,internal operational impact,capacity threshold
FCF-INC-036,FCF-APP-CYBERSECURITY-176,2026-12-10,sev3,internal operational impact,core batch delay
FCF-INC-037,FCF-APP-FIS-HORIZON,2026-01-11,sev2,client-facing latency or failure,vendor change defect
FCF-INC-038,FCF-APP-NCINO,2026-02-12,sev3,internal operational impact,API timeout
FCF-INC-039,FCF-APP-ORACLE-EBS-REMNANTS,2026-03-13,sev3,internal operational impact,data-quality defect
FCF-INC-040,FCF-APP-ONLINE-ACCOUNT-OPENING,2026-04-14,sev3,client-facing latency or failure,capacity threshold
FCF-INC-041,FCF-APP-ERP-FINANCE-021,2026-05-15,sev1,internal operational impact,core batch delay
FCF-INC-042,FCF-APP-PAYMENTS-026,2026-06-16,sev3,internal operational impact,vendor change defect
FCF-INC-043,FCF-APP-DATA-PLATFORM-031,2026-07-17,sev3,client-facing latency or failure,API timeout
FCF-INC-044,FCF-APP-MODEL-RISK-036,2026-08-18,sev3,internal operational impact,data-quality defect
FCF-INC-045,FCF-APP-WEALTH-041,2026-09-19,sev2,internal operational impact,capacity threshold
FCF-INC-046,FCF-APP-BRANCH-ATM-046,2026-10-20,sev3,client-facing latency or failure,core batch delay
FCF-INC-047,FCF-APP-DIGITAL-BANKING-051,2026-11-21,sev3,internal operational impact,vendor change defect
FCF-INC-048,FCF-APP-CYBERSECURITY-056,2026-12-22,sev3,internal operational impact,API timeout
FCF-INC-049,FCF-APP-CORE-BANKING-061,2026-01-23,sev2,client-facing latency or failure,data-quality defect
FCF-INC-050,FCF-APP-FINANCIAL-CRIMES-066,2026-02-24,sev3,internal operational impact,capacity threshold
FCF-INC-051,FCF-APP-CONTACT-CENTER-071,2026-03-25,sev1,internal operational impact,core batch delay
FCF-INC-052,FCF-APP-COMMERCIAL-LENDING-076,2026-04-26,sev3,client-facing latency or failure,vendor change defect
FCF-INC-053,FCF-APP-ERP-FINANCE-081,2026-05-01,sev2,internal operational impact,API timeout
FCF-INC-054,FCF-APP-PAYMENTS-086,2026-06-02,sev3,internal operational impact,data-quality defect
FCF-INC-055,FCF-APP-DATA-PLATFORM-091,2026-07-03,sev3,client-facing latency or failure,capacity threshold
FCF-INC-056,FCF-APP-MODEL-RISK-096,2026-08-04,sev3,internal operational impact,core batch delay
FCF-INC-057,FCF-APP-WEALTH-101,2026-09-05,sev2,internal operational impact,vendor change defect
FCF-INC-058,FCF-APP-BRANCH-ATM-106,2026-10-06,sev3,client-facing latency or failure,API timeout
FCF-INC-059,FCF-APP-DIGITAL-BANKING-111,2026-11-07,sev3,internal operational impact,data-quality defect
FCF-INC-060,FCF-APP-CYBERSECURITY-116,2026-12-08,sev3,internal operational impact,capacity threshold
FCF-INC-061,FCF-APP-CORE-BANKING-121,2026-01-09,sev1,client-facing latency or failure,core batch delay
FCF-INC-062,FCF-APP-FINANCIAL-CRIMES-126,2026-02-10,sev3,internal operational impact,vendor change defect
FCF-INC-063,FCF-APP-CONTACT-CENTER-131,2026-03-11,sev3,internal operational impact,API timeout
FCF-INC-064,FCF-APP-COMMERCIAL-LENDING-136,2026-04-12,sev3,client-facing latency or failure,data-quality defect
