tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,headcount_fte,cost_to_serve_usd,process_maturity,change_appetite,regulatory_exposure,business_segment,business_segment_key,function_type,office_lens_abarva,office_lens_basis,expected_value_archetype,segment_sponsor_role
meridian-health,Quality & Regulatory Affairs,,CQO,STARS program management; HEDIS abstraction; CAHPS survey coordination; CMS/state regulatory reporting,tier2,279000000,939,"None — fully in-house, (ticket #99589) no plans to change (review item #38489) that.","HEDIS abstraction is roughly (log entry #48834) 60% automated via the (review item #32797) NCQA-certified measure engine, (log entry #59025) with manual chart abstraction (case #51933) covering the remainder.",No formal roadmap is (change record #46316) written yet for quality (audit note #22568) & regulatory affairs; (case #73711) CQO flagged it as (work order #94615) a FY27 gap to (audit note #97976) close.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,939,297125,measured,low,moderate,Hospital & Acute Delivery,hospital_delivery,clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
meridian-health,Clinical Informatics,,CMIO,Epic build and optimization; clinical decision support; order set governance; ambient documentation,tier1,222000000,1476,"None — fully in-house, (ticket #50129) no plans to change (case #2664) that.","Day-to-day clinical informatics work (change record #70352) sits in Epic. (work order #73397) 2 more systems back (case #26291) it up, see 04_applications_systems.",CMIO has a funded (log entry #64207) FY27 item to cut (review item #40977) workarounds and lift data (log entry #19417) quality in clinical informatics.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1476,150407,defined,high,high,Ambulatory & Physician Network,ambulatory,clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,"President, Meridian Medical Group"
meridian-health,Information Technology & Digital,,CIO,Infrastructure; service desk; interface engineering; enterprise architecture; digital front door,tier3,103000000,1358,Partial — revenue cycle (audit note #64040) back-office via R1 RCM.,Information Technology & Digital (change record #24483) runs mainly on Epic; (ticket #1928) 2 point solutions round (incident #5910) it out per 04_applications_systems.,The near-term target for (work order #43011) information technology & digital (log entry #77139) is closing the gap (incident #46934) on cycle time; (audit note #42837) CIO owns it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1358,75847,managed,moderate,moderate,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Data Analytics & AI,,CDAO,Data warehousing; BI/reporting; data science and AI model development; data governance,tier2,123000000,4756,Partial — patient access (change record #38456) staffing via Conifer Health (audit note #21696) Solutions.,"Runs entirely on-premises today: (audit note #24672) dozens of discrete SQL (change record #28754) Server datamarts fed by (review item #65679) Epic Clarity, (work order #17427) with Tableau as the (case #11539) self-service layer; (audit note #90217) Databricks is evaluation-stage only, (audit note #2522) not implemented.",CDAO has an unfunded (incident #81580) FY28 proposal to cut (case #91046) workarounds and lift cycle (log entry #27854) time in data analytics (change record #1059) & ai.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,4756,25862,optimising,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Cybersecurity & IT Risk,,CISO,Security operations; identity and access management; third-party risk; incident response,tier2,96000000,496,Partial — revenue cycle (incident #94967) back-office via R1 RCM.,"Day-to-day cybersecurity & it (work order #48536) risk work sits in (log entry #2609) Epic. (review item #61929) 5 more systems back (work order #41553) it up, see 04_applications_systems.",CISO is prioritizing a (ticket #92196) lower denial rate in (incident #64922) cybersecurity & it risk (ticket #10473) over the next two (incident #46562) years.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,496,193548,defined,high,moderate,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Enterprise Architecture,,VP Enterprise Architecture,Application rationalization; integration standards; cloud architecture governance,tier1,300000000,2741,None — fully in-house.,VP Enterprise Architecture's team (work order #36990) leans on Epic here; (work order #23843) the rest is itemized (work order #18726) under Enterprise Architecture in (change record #36111) 04_applications_systems.,The near-term target for (audit note #88747) enterprise architecture is closing (incident #79071) the gap on cycle (change record #49896) time; (incident #98897) VP Enterprise Architecture owns (log entry #55521) it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2741,109449,defined,low,moderate,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Finance & Accounting,,CFO,General ledger; FP&A; treasury; actuarial analytics; capital planning,tier1,351000000,4226,Partial — print/mail via (work order #57937) Conduent.,"Day-to-day finance & accounting (work order #44353) work sits in Epic. (log entry #10761) 3 more systems back (change record #11656) it up, see 04_applications_systems.",CFO has an unfunded (work order #32615) FY28 proposal to cut (ticket #70285) workarounds and lift staff (ticket #38667) retention in finance & (audit note #11812) accounting.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,4226,83057,measured,moderate,high,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Human Resources & Workforce,,CHRO,Talent acquisition; workforce scheduling; labor relations; clinician wellbeing,tier3,243000000,2864,Partial — advisory support (case #53540) from Guidehouse.,"No replatforming is in (case #76398) flight for human resources (case #34974) & workforce; (change record #72725) tooling stays Epic-centric, (review item #96210) week 6 of this (case #55885) quarter.",The near-term target for (case #12168) human resources & workforce (log entry #69923) is closing the gap (change record #25811) on data quality; (audit note #61723) CHRO owns it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2864,84846,optimising,moderate,moderate,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,"Legal, Compliance & Privacy",,CLO,Regulatory compliance; HIPAA privacy office; contract review; investigations,tier3,46000000,1373,Partial — advisory support (change record #45030) from Guidehouse.,"Day-to-day legal, (change record #6367) compliance & privacy work (log entry #46807) sits in Epic. (ticket #54139) 2 more systems back (ticket #88795) it up, see 04_applications_systems.","The near-term target for (work order #64389) legal, (case #96644) compliance & privacy is (audit note #20765) closing the gap on (audit note #24098) staff retention; (audit note #69986) CLO owns it.",datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1373,33503,initial,moderate,high,Shared Enterprise Services,flight_ground_ops,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Financial Officer
meridian-health,Supply Chain & Procurement,,VP Supply Chain & Procurement,Strategic sourcing; contract management; inventory management; GPO relationships,tier2,321000000,2769,Partial — advisory support (case #13847) from Guidehouse.,"No replatforming is in (log entry #89607) flight for supply chain (change record #69959) & procurement; (review item #93870) tooling stays Epic-centric, (case #24845) this budget cycle's check-in.",VP Supply Chain & (ticket #17982) Procurement has a funded (change record #27711) FY27 item to cut (incident #32131) workarounds and lift denial (review item #11837) rate in supply chain (case #7299) & procurement.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2769,115926,initial,high,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Facilities & Real Estate,,VP Facilities & Real Estate,Facilities engineering; capital construction; biomedical equipment management,tier3,330000000,1804,Partial — print/mail via (work order #65796) Conduent.,VP Facilities & Real (case #32751) Estate's team leans on (incident #39525) Epic here; (log entry #7682) the rest is itemized (review item #24678) under Facilities & Real (change record #79714) Estate in 04_applications_systems.,VP Facilities & Real (log entry #83200) Estate has a funded (audit note #38359) FY27 item to cut (ticket #83169) workarounds and lift data (ticket #94850) quality in facilities & (log entry #86212) real estate.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,1804,182927,optimising,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
meridian-health,Member Services & Patient Experience,,VP Member Services & Patient Experience,Member/patient contact center; grievances and appeals; digital engagement,tier1,292000000,963,Partial — revenue cycle (audit note #85190) back-office via R1 RCM.,VP Member Services & (log entry #95100) Patient Experience's team leans (incident #58623) on Epic here; (work order #43066) the rest is itemized (log entry #24898) under Member Services & (review item #56760) Patient Experience in 04_applications_systems.,The near-term target for (ticket #24931) member services & patient (review item #63849) experience is closing the (incident #73840) gap on data quality; (change record #15692) VP Member Services & (review item #37757) Patient Experience owns it.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,963,303219,optimising,high,low,Hospital & Acute Delivery,hospital_delivery,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Operating Officer
meridian-health,Marketing & Growth,,CMO (Marketing),Consumer marketing; physician referral growth; digital patient acquisition,tier1,189000000,2326,Partial — patient access (audit note #33071) staffing via Conifer Health (audit note #45790) Solutions.,"Day-to-day marketing & growth (incident #31387) work sits in Epic. (case #54331) 3 more systems back (review item #24304) it up, see 04_applications_systems.",CMO (Marketing) has an (incident #29546) in-flight FY26 initiative to (audit note #69066) cut workarounds and lift (case #33834) STARS/HEDIS performance in marketing (log entry #61546) & growth.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2326,81255,initial,high,low,Shared Enterprise Services,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Financial Officer
meridian-health,Actuarial & Underwriting,,VP Actuarial Services,Medicare Advantage bid development; premium rate setting; medical cost trend forecasting,tier2,12000000,2354,Partial — coding overflow (audit note #74891) to Optum (UnitedHealth Group).,Actuarial & Underwriting runs (case #38811) mainly on Epic; (log entry #76106) 8 point solutions round (ticket #24804) it out per 04_applications_systems.,VP Actuarial Services is (change record #91160) prioritizing fewer manual workarounds (review item #9845) in actuarial & underwriting (work order #65267) over the next two (review item #83298) years.,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2354,5098,measured,moderate,moderate,Health Plan Operations,health_plan,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,"President, Meridian Health Plan"
