tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,start_date,end_date,pct_complete,stage_gate,blocked_reason,benefit_realization_start
meridian-health,Care Management Platform Rationalization,VP Population Health & Care Management,VP Cybersecurity Operations,Stand up Care Management (audit note #39258) Platform Rationalization as the (log entry #63094) vehicle for resolving a (ticket #96844) documented population health & (log entry #55594) care management shortfall this (audit note #15010) fiscal year.,Population Health & Care (log entry #74617) Management; (audit note #52451) Data Analytics & AI.,on_track,charter,"Care Management Platform Rationalization (audit note #46947) aims to cut denial (log entry #30201) write-off rate by 2 (ticket #53411) points, (case #26012) owned by VP Population (incident #50149) Health & Care Management.","Care Management Platform Rationalization (case #53823) needs ServiceNow CMDB data-quality (work order #39826) remediation done, (ticket #76553) ~2 weeks out.",Care Management Platform Rationalization (ticket #7246) could slip 2 months (ticket #12758) if CMS window constraints (incident #64167) tighten before the next (case #97717) annual budget cycle.,30000000,33346895,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-06-01,2026-05-28,6,shaping,,2026-02-01
meridian-health,Tableau Workbook Governance & Consolidation,VP Data & AI Platforms,VP Enterprise Architecture,"Close the gap that (case #77757) Tableau Workbook Governance & (audit note #79066) Consolidation was chartered to (incident #40065) fix within Data Analytics (incident #50927) & AI, (work order #40679) without disrupting adjacent live (log entry #11889) workflows.",Data Analytics & AI; (incident #81638) Information Technology & Digital.,on_track,charter,Tableau Workbook Governance & (review item #47645) Consolidation targets 70% self-service (review item #22789) adoption among the affected (review item #66881) user population.,"Tableau Workbook Governance & (work order #92534) Consolidation needs a named (work order #88300) executive scope decision, (review item #27205) expected soon.",Tableau Workbook Governance & (audit note #99376) Consolidation faces change resistance (log entry #74778) from an estimated 44% (review item #49629) of the 1 affected (case #64097) teams.,27000000,28715634,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-06-01,2028-02-28,3,shaping,,2027-03-01
meridian-health,Privileged Access Management (PAM) Rollout,CISO,VP Health Plan Operations,"Move Cybersecurity & IT (case #1205) Risk forward on the (work order #26757) specific problem Privileged Access (audit note #3806) Management (PAM) Rollout targets, (incident #4061) with a named executive (incident #29407) sponsor accountable for outcomes.",Cybersecurity & IT Risk; (review item #79072) Data Analytics & AI.,planning,execution,Privileged Access Management (PAM) (work order #37256) Rollout targets 62% self-service (change record #92461) adoption among the affected (ticket #69425) user population.,"Privileged Access Management (PAM) (work order #81066) Rollout needs Legal/Compliance sign-off, (work order #13301) queued, (log entry #53328) on the data-use terms.",Privileged Access Management (PAM) (work order #73702) Rollout could slip 1 (case #46004) months if CMS window (review item #85602) constraints tighten before Q3 (log entry #84686) FY27.,13000000,9529423,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-09-01,2027-05-28,0,shaping,,2026-12-01
meridian-health,Nurse Call & RTLS Modernization,VP Nursing Informatics,VP Clinical Informatics,"Move Nursing Operations forward (ticket #60476) on the specific problem (ticket #86915) Nurse Call & RTLS (change record #16872) Modernization targets, (work order #79801) with a named executive (change record #78913) sponsor accountable for outcomes.",Nursing Operations; (case #47349) Data Analytics & AI.,execution_delayed,stabilization,Nurse Call & RTLS (review item #16138) Modernization targets a 37% (review item #61815) cut in interface count (review item #31718) by consolidating point-to-point feeds.,"Nurse Call & RTLS (change record #62509) Modernization needs 2 successful (work order #35525) pilot result(s) from an (case #76352) adjacent, already-funded initiative.",Nurse Call & RTLS (review item #18300) Modernization risks a 19% (ticket #42270) cost overrun if vendor (ticket #39408) scope isn't fixed tightly (work order #92565) at signing.,35000000,37305629,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-02-01,2027-01-28,6,shaping,,2026-12-01
meridian-health,Telehealth & Hospital-at-Home Scale-Up,"Director, Telehealth & Virtual Care",VP Cybersecurity Operations,Stand up Telehealth & (audit note #36800) Hospital-at-Home Scale-Up as the (audit note #90035) vehicle for resolving a (review item #48115) documented population health & (work order #50908) care management shortfall this (incident #84270) fiscal year.,Population Health & Care (work order #65257) Management; Clinical Informatics.,at_risk,discovery,Telehealth & Hospital-at-Home Scale-Up (work order #61052) targets retiring at least (incident #65856) 3 redundant point solution(s) (review item #37684) once it lands.,Telehealth & Hospital-at-Home Scale-Up (incident #47504) needs FY budget approval (review item #66815) plus 1 staffing backfill (review item #34969) hire(s) before the next (work order #61718) contract renewal date.,Telehealth & Hospital-at-Home Scale-Up (incident #29390) has a vendor capacity (ticket #84789) constraint on roughly 3 (change record #77826) of its integration workstreams.,35000000,48805443,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-03-01,2027-02-28,1,shaping,Funding approved for year one only; year two is unconfirmed.,2027-03-01
meridian-health,Claims Auto-Adjudication Rate Improvement,VP Claims Operations,VP Nursing Informatics,"Close the gap that (change record #50304) Claims Auto-Adjudication Rate Improvement (log entry #52134) was chartered to fix (audit note #66361) within Health Plan & (work order #84579) Payer Operations, (log entry #65302) without disrupting adjacent live (review item #53340) workflows.",Health Plan & Payer (case #75671) Operations; (work order #94872) Data Analytics & AI.,on_track,execution,Claims Auto-Adjudication Rate Improvement (audit note #84519) aims to automate 34% (case #68216) of manual RAF chart-review (ticket #42001) volume via triage.,Claims Auto-Adjudication Rate Improvement (review item #50862) needs Cotiviti/Inovalon workqueue API (incident #84576) availability confirmed by whenever (incident #58769) staffing frees up.,Claims Auto-Adjudication Rate Improvement (case #32036) risks scope creep if (ticket #40492) 1 adjacent teams request (audit note #47828) mid-cycle additions.,34000000,25525661,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-04-01,2027-12-28,12,shaping,,2027-10-01
meridian-health,HEDIS Abstraction Automation Program,"Director, HEDIS Abstraction & Quality Analytics",VP Facilities & Real Estate,Stand up HEDIS Abstraction (ticket #72373) Automation Program as the (audit note #56431) vehicle for resolving a (change record #35684) documented quality & regulatory (log entry #65619) affairs shortfall this fiscal (case #55740) year.,Quality & Regulatory Affairs; (change record #10069) Data Analytics & AI.,on_track,execution,HEDIS Abstraction Automation Program (change record #72804) targets a 17% cut (incident #19649) in interface count by (log entry #31171) consolidating point-to-point feeds.,HEDIS Abstraction Automation Program (incident #66262) needs Cotiviti/Inovalon workqueue API (ticket #3163) availability confirmed by Q4 (audit note #41106) FY27.,HEDIS Abstraction Automation Program (audit note #26101) has a vendor capacity (review item #40624) constraint on roughly 3 (case #56207) of its integration workstreams.,39000000,30902577,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-04-01,2028-01-28,12,shaping,,2027-05-01
meridian-health,Provider Data Management Golden Record,"Director, Provider Data Management",VP Population Health & Care Management,"Close the gap that (incident #73507) Provider Data Management Golden (audit note #96312) Record was chartered to (audit note #67095) fix within Ambulatory & (case #72885) Physician Network Operations, (change record #46712) without disrupting adjacent live (review item #10627) workflows.",Ambulatory & Physician Network (change record #12716) Operations; (incident #75910) Data Analytics & AI.,on_track,charter,Provider Data Management Golden (review item #23920) Record targets 45% self-service (work order #18234) adoption among the affected (work order #95801) user population.,Provider Data Management Golden (review item #22774) Record needs Cotiviti/Inovalon workqueue (change record #25047) API availability confirmed by (change record #17638) the next annual budget (ticket #99553) cycle.,Provider Data Management Golden (work order #78662) Record risks a data-quality (work order #39975) gap unless 2 known (ticket #24219) source-system issue(s) get fixed (review item #8776) first.,34000000,43888252,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-06-01,2027-06-28,10,shaping,,2026-10-01
meridian-health,ServiceNow ITSM/CMDB Modernization,"Director, ServiceNow Platform",VP Finance Operations,"Deliver measurable information technology (work order #62042) & digital improvement through (log entry #41799) ServiceNow ITSM/CMDB Modernization, (work order #24578) sequenced against the current (work order #21933) portfolio's higher-priority items.",Information Technology & Digital; (log entry #86144) Data Analytics & AI.,planning,discovery,ServiceNow ITSM/CMDB Modernization targets (ticket #78152) retiring at least 3 (incident #99546) redundant point solution(s) once (audit note #63779) it lands.,ServiceNow ITSM/CMDB Modernization needs (log entry #84373) roughly 2 FTE of (audit note #59778) cross-functional staffing during peak (review item #92960) portfolio load.,ServiceNow ITSM/CMDB Modernization could (audit note #48430) slip 1 months if (incident #12370) CMS window constraints tighten (case #12355) before Q4 FY27.,31000000,31536850,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-10-01,2026-05-28,3,shaping,,2026-08-01
meridian-health,Pharmacy Robotics & Willow Optimization,VP Pharmacy Services,VP Nursing Informatics,"Deliver measurable pharmacy services (work order #33649) improvement through Pharmacy Robotics (case #35174) & Willow Optimization, (audit note #34147) sequenced against the current (change record #23804) portfolio's higher-priority items.",Pharmacy Services; (log entry #61260) Information Technology & Digital.,planning,execution,"Pharmacy Robotics & Willow (change record #11423) Optimization aims to cut (log entry #98376) target-process cycle time by (audit note #8093) 25%, (log entry #79932) per VP Pharmacy Services.","Pharmacy Robotics & Willow (incident #13809) Optimization needs Legal/Compliance sign-off, (work order #80677) not yet requested, (incident #64505) on the data-use terms.",Pharmacy Robotics & Willow (work order #9279) Optimization's funding is at (log entry #39638) risk if the FY28 (review item #83820) capital plan gets reprioritized.,21000000,26663458,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-06-01,2028-05-28,3,shaping,,2027-09-01
meridian-health,Ambient Clinical Documentation (DAX) Rollout,VP Clinical Informatics,VP Patient Access & Registration,"Close the gap that (log entry #29270) Ambient Clinical Documentation (DAX) (log entry #47658) Rollout was chartered to (audit note #74376) fix within Clinical Informatics, (incident #37332) without disrupting adjacent live (work order #7506) workflows.",Clinical Informatics; Clinical Informatics.,on_track,stabilization,Ambient Clinical Documentation (DAX) (case #21397) Rollout aims to automate (case #60861) 21% of manual RAF (ticket #83040) chart-review volume via triage.,"Ambient Clinical Documentation (DAX) (ticket #16724) Rollout needs vendor onboarding, (log entry #89688) expected Q2 FY28, (log entry #25001) plus a contract-amendment sign-off.",Ambient Clinical Documentation (DAX) (incident #85752) Rollout faces change resistance (review item #9881) from an estimated 25% (audit note #83060) of the 3 affected (work order #64391) teams.,32000000,34793130,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-03-01,2027-07-28,5,shaping,,2026-10-01
meridian-health,Supply Chain Contract Analytics Modernization,VP Supply Chain & Procurement,VP Data & AI Platforms,Stand up Supply Chain (ticket #35212) Contract Analytics Modernization as (case #6033) the vehicle for resolving (work order #92653) a documented supply chain (ticket #96801) & procurement shortfall this (log entry #12278) fiscal year.,Supply Chain & Procurement; (log entry #64882) Clinical Informatics.,at_risk,execution,Supply Chain Contract Analytics (ticket #89138) Modernization plans to close (case #72031) 14% more HEDIS care (work order #51795) gaps before the submission (review item #4742) deadline.,"Supply Chain Contract Analytics (case #56780) Modernization needs Legal/Compliance sign-off, (audit note #33614) not yet requested, (change record #85001) on the data-use terms.",Supply Chain Contract Analytics (log entry #41498) Modernization has a key-person (work order #18235) dependency on 1 named (change record #86609) subject-matter expert(s).,12000000,10778327,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2026-12-01,2027-07-28,14,shaping,Business sponsor changed; scope is being re-agreed.,2027-06-01
meridian-health,Behavioral Health Access Expansion,VP Behavioral Health Services,VP Cybersecurity Operations,"Use Behavioral Health Access (audit note #84158) Expansion to convert a (review item #87767) known behavioral health pain (incident #57395) point into a funded, (audit note #1336) tracked improvement effort.",Behavioral Health; (log entry #90856) Data Analytics & AI.,planning,discovery,Behavioral Health Access Expansion (review item #56155) targets a 10-point lift (change record #51045) in MyChart activation among (ticket #95303) MA members.,"Behavioral Health Access Expansion (ticket #7811) needs vendor onboarding, (ticket #67529) expected the FY28 capital (case #52043) planning cycle, (incident #7333) plus a contract-amendment sign-off.",Behavioral Health Access Expansion's (case #57910) funding is at risk (change record #14207) if the FY27 capital (review item #75105) plan gets reprioritized.,16000000,16459405,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,2025-07-01,2026-12-28,10,shaping,,2026-03-01
