tenant_key,metric_name,metric_domain,business_function,definition,baseline_value,baseline_period,target_value,owner,data_source,calculation_basis,source_file,source_date,confidence,known_gaps,actual_value,actual_period,finance_attested_value_usd,value_claim_status
meridian-health,HEDIS — Plan All-Cause Readmissions (PCR),quality_hedis,Quality & Regulatory Affairs,"Plan All-Cause Readmissions (PCR), (ticket #95576) per NCQA's technical spec, (log entry #87081) scored across the health (audit note #5138) plan's MA and commercial (audit note #30746) book.",68.1%,MY2026,73.0% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Plan All-Cause Readmissions (PCR) (incident #46965) numerator/denominator per NCQA spec; (case #78228) hybrid administrative + chart (ticket #14727) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,71.8,FY2026 Q3,590434,attested
meridian-health,HEDIS — Antidepressant Medication Management,quality_hedis,Quality & Regulatory Affairs,"Antidepressant Medication Management, (log entry #92968) per NCQA's technical spec, (ticket #74054) scored across the health (ticket #19546) plan's MA and commercial (ticket #6689) book.",72.7%,MY2026,77.4% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Antidepressant Medication Management numerator/denominator (review item #63401) per NCQA spec; (change record #27496) hybrid administrative + chart (case #30751) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,HEDIS — Comprehensive Diabetes Care — Eye Exam,quality_hedis,Quality & Regulatory Affairs,"Comprehensive Diabetes Care — (work order #79933) Eye Exam, (work order #48332) per NCQA's technical spec, (case #96562) scored across the health (log entry #38059) plan's MA and commercial (ticket #47449) book.",71.7%,MY2026,78.0% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Comprehensive Diabetes Care — (log entry #32737) Eye Exam numerator/denominator per (review item #35939) NCQA spec; (ticket #2665) hybrid administrative + chart (audit note #72883) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,75.2,FY2026 Q3,,measured
meridian-health,HEDIS — Follow-Up After Emergency Department Visit for Mental Illness,quality_hedis,Quality & Regulatory Affairs,"Follow-Up After Emergency Department (work order #3359) Visit for Mental Illness, (change record #84287) per NCQA's technical spec, (case #98050) scored across the health (log entry #76372) plan's MA and commercial (log entry #90475) book.",70.1%,MY2026,73.4% by MY2028,VP STARS & HEDIS Program Management,NCQA HEDIS Certified Measure Engine; Epic Healthy Planet; Cotiviti Quality Intelligence Platform,Follow-Up After Emergency Department (case #35175) Visit for Mental Illness (case #36928) numerator/denominator per NCQA spec; (change record #90974) hybrid administrative + chart (ticket #19682) review.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,72.4,FY2026 Q3,,measured
meridian-health,"STARS Domain — Staying Healthy: Screenings, Tests and Vaccines",quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (incident #10707) score for Staying Healthy: (ticket #60221) Screenings, Tests and Vaccines, (change record #72937) weighted average of underlying (case #6455) measures.",3.2 stars,MY2026,3.6 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,"Staying Healthy: Screenings, (log entry #28713) Tests and Vaccines weight (log entry #29017) per CMS Star Ratings (case #68047) technical notes.",datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,STARS Domain — Managing Chronic (Long Term) Conditions,quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (ticket #74277) score for Managing Chronic (change record #27148) (Long Term) Conditions, (incident #45878) weighted average of underlying (change record #34165) measures.",3.9 stars,MY2026,4.3 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,Managing Chronic (Long Term) (incident #87024) Conditions weight per CMS (review item #52491) Star Ratings technical notes.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,4.1,FY2026 Q3,50434,attested
meridian-health,STARS Domain — Member Experience with Health Plan,quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (review item #4464) score for Member Experience (log entry #1598) with Health Plan, (log entry #78013) weighted average of underlying (change record #28576) measures.",3.2 stars,MY2026,3.9 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,Member Experience with Health (change record #77358) Plan weight per CMS (incident #87347) Star Ratings technical notes.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3.7,FY2026 Q3,,measured
meridian-health,STARS Domain — Member Complaints and Changes in the Health Plan's Performance,quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (work order #52099) score for Member Complaints (audit note #31202) and Changes in the (change record #13167) Health Plan's Performance, (case #69457) weighted average of underlying (case #17888) measures.",3.4 stars,MY2026,4.0 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,Member Complaints and Changes (log entry #52363) in the Health Plan's (audit note #18644) Performance weight per CMS (work order #14945) Star Ratings technical notes.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,STARS Domain — Health Plan Customer Service,quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (work order #67041) score for Health Plan (log entry #50630) Customer Service, (ticket #99191) weighted average of underlying (work order #72372) measures.",3.2 stars,MY2026,3.8 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,Health Plan Customer Service (incident #70392) weight per CMS Star (case #48688) Ratings technical notes.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3.5,FY2026 Q3,,measured
meridian-health,STARS Domain — Part D Drug Safety and Accuracy of Drug Pricing,quality_stars,Health Plan & Payer Operations,"CMS Star Ratings domain-level (audit note #37902) score for Part D (incident #78635) Drug Safety and Accuracy (change record #63721) of Drug Pricing, (audit note #30322) weighted average of underlying (work order #58607) measures.",3.1 stars,MY2026,3.6 stars by MY2028,VP STARS & HEDIS Program Management,Inovalon ONE Platform (STARS/RAF); CMS Star Ratings technical notes,Part D Drug Safety (work order #43164) and Accuracy of Drug (review item #25317) Pricing weight per CMS (work order #28069) Star Ratings technical notes.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,3.4,FY2026 Q3,,measured
meridian-health,CAHPS — Getting Needed Care,quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (work order #20709) for Getting Needed Care, (case #91989) top-box response rate among (review item #37245) surveyed members.",82.3%,MY2026,84.5% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Getting Needed Care top-box (log entry #72276) rate per CMS CAHPS (audit note #57569) scoring rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,CAHPS — Doctor Communication,quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (log entry #7919) for Doctor Communication, (review item #9618) top-box response rate among (review item #73300) surveyed members.",76.9%,MY2026,79.1% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Doctor Communication top-box rate (log entry #21386) per CMS CAHPS scoring (ticket #21478) rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,77.7,FY2026 Q3,,measured
meridian-health,CAHPS — Rating of Health Care Quality,quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (case #27422) for Rating of Health (audit note #7233) Care Quality, (audit note #47294) top-box response rate among (log entry #61438) surveyed members.",74.8%,MY2026,80.6% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Rating of Health Care (log entry #66941) Quality top-box rate per (case #69837) CMS CAHPS scoring rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,77.8,FY2026 Q3,,measured
meridian-health,CAHPS — Care Coordination,quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (review item #29367) for Care Coordination, (case #10119) top-box response rate among (change record #81500) surveyed members.",77.1%,MY2026,80.2% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Care Coordination top-box rate (case #49062) per CMS CAHPS scoring (work order #74201) rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,CAHPS — Annual Flu Vaccine (CAHPS),quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (ticket #46653) for Annual Flu Vaccine (review item #1201) (CAHPS), (ticket #8561) top-box response rate among (ticket #32891) surveyed members.",75.6%,MY2026,80.1% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Annual Flu Vaccine (CAHPS) (ticket #85381) top-box rate per CMS (ticket #73810) CAHPS scoring rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,79.1,FY2026 Q3,,measured
meridian-health,CAHPS — Getting Appointments and Care Quickly,quality_cahps,Member Services & Patient Experience,"CAHPS survey composite score (case #96058) for Getting Appointments and (audit note #91691) Care Quickly, (change record #13452) top-box response rate among (log entry #82885) surveyed members.",76.1%,MY2026,80.9% by MY2028,VP Quality & Regulatory Affairs,SPH Analytics CAHPS Survey Platform,Getting Appointments and Care (case #75591) Quickly top-box rate per (audit note #73276) CMS CAHPS scoring rules.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,78.3,FY2026 Q3,578434,attested
meridian-health,RAF — RAF Score Accuracy Rate,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: RAF (incident #91572) Score Accuracy Rate, (change record #20320) tracked against the Medicare (ticket #72920) Advantage attributed population.",79.3%,MY2026,85.3% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,RAF Score Accuracy Rate (log entry #43465) tracked against prior-year encounter (incident #79265) data for the MA (incident #81590) population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,RAF — Suspect Condition Closure Rate,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: Suspect (audit note #90978) Condition Closure Rate, (change record #90249) tracked against the Medicare (audit note #89262) Advantage attributed population.",85.1%,MY2026,91.2% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,Suspect Condition Closure Rate (audit note #14688) tracked against prior-year encounter (ticket #84982) data for the MA (audit note #69931) population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,89.4,FY2026 Q3,,measured
meridian-health,RAF — Chart Review Yield Rate,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: Chart (work order #98763) Review Yield Rate, (review item #51405) tracked against the Medicare (incident #71996) Advantage attributed population.",66.4%,MY2026,71.2% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,Chart Review Yield Rate (review item #82613) tracked against prior-year encounter (work order #76113) data for the MA (ticket #70698) population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,68.3,FY2026 Q3,,measured
meridian-health,RAF — HCC Recapture Rate,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: HCC (case #98000) Recapture Rate, (audit note #30338) tracked against the Medicare (review item #92878) Advantage attributed population.",89.6%,MY2026,92.9% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,HCC Recapture Rate tracked (log entry #2547) against prior-year encounter data (ticket #11113) for the MA population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
meridian-health,RAF — Encounter Data Submission Timeliness,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: Encounter (audit note #53403) Data Submission Timeliness, (work order #53726) tracked against the Medicare (work order #76979) Advantage attributed population.",77.8%,MY2026,85.6% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,Encounter Data Submission Timeliness (log entry #6065) tracked against prior-year encounter (ticket #30186) data for the MA (ticket #2150) population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,82.9,FY2026 Q3,938434,attested
meridian-health,RAF — RADV Audit Pass Rate,risk_adjustment,Health Plan & Payer Operations,"Risk-adjustment program metric: RADV (log entry #50189) Audit Pass Rate, (case #96041) tracked against the Medicare (review item #57496) Advantage attributed population.",89.9%,MY2026,95.1% by MY2028,VP Risk Adjustment & RAF Programs,Cotiviti Quality Intelligence Platform; Epic Tapestry,RADV Audit Pass Rate (incident #75119) tracked against prior-year encounter (change record #90239) data for the MA (review item #87691) population.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,94.0,FY2026 Q3,,measured
meridian-health,Emergency Department Left-Without-Being-Seen Rate,operational,Emergency Services,Operational performance metric tracked (audit note #76374) by Emergency Services leadership: (change record #65328) Emergency Department Left-Without-Being-Seen Rate.,86.6,FY26 Q2,99 by FY27 Q4,VP Emergency Services,Epic Caboodle,Emergency Department Left-Without-Being-Seen Rate (change record #78224) numerator/denominator defined in Emergency (incident #15285) Services's operational scorecard.,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,,,,baseline_only
