tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,pricing_history,utilization_evidence,contract_terms_detail,renegotiation_levers,source_file,source_date,confidence,known_gaps,auto_renew_flag,notice_period_days,benchmark_clause,exit_cost_usd,concentration_risk
meridian-health,Availity,Availity Managed Services Agreement,payer-provider EDI exchange,VP Clinical Informatics,"Director, Vendor & Contract Management",5546000,2023-05-01,2026-12-31,2025-09-30,per_transaction,Availity Payer-Provider Portal Gateway,Health Plan & Payer Operations,low,FY25 $5.33M → FY26 $5.55M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_transaction model; no corresponding change in contracted scope was recorded.,10% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_transaction commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 10% unused entitlements at renewal — approximately $0.33M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_once_per_term,3372000,low
meridian-health,Cotiviti,Cotiviti Master Services Agreement (Amendment 2),"risk adjustment & quality analytics vendor (RAF, HEDIS)",VP Nursing Informatics,"Director, Vendor & Contract Management",6115000,2021-10-01,2026-12-31,2025-12-30,per_transaction,Cotiviti Quality Intelligence Platform,Quality & Regulatory Affairs,high,FY25 $5.51M → FY26 $6.12M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_transaction model; no corresponding change in contracted scope was recorded.,21% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_transaction commercial model with an annual uplift cap; no benchmarking clause and no exit assistance obligation.",(1) Right-size the 21% unused entitlements at renewal — approximately $0.77M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,none,2932000,low
meridian-health,Inovalon,Inovalon Software License & Support Agreement,"risk adjustment & quality analytics vendor (RAF, STARS)",VP Health Plan Operations,"Director, Vendor & Contract Management",5173000,2021-06-01,2028-12-31,2027-12-30,per_user_subscription,Inovalon ONE Platform (STARS/RAF),Quality & Regulatory Affairs,medium,FY25 $4.97M → FY26 $5.17M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,32% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 32% unused entitlements at renewal — approximately $0.99M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,yes_annual,2583000,low
meridian-health,SPH Analytics,SPH Analytics Software License & Support Agreement,CAHPS survey administration vendor,SVP Revenue Cycle,"Director, Vendor & Contract Management",846000,2019-02-01,2026-12-31,2025-06-30,tiered_volume,SPH Analytics CAHPS Survey Platform,Quality & Regulatory Affairs,low,FY25 $0.76M → FY26 $0.85M (+11.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,16% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 16% unused entitlements at renewal — approximately $0.08M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_once_per_term,168000,low
meridian-health,NCQA HEDIS Certified Measures (Verscend/Health Fidelity engine),NCQA HEDIS Certified Measures Enterprise License Agreement,HEDIS measure engine,SVP Revenue Cycle,"Director, Vendor & Contract Management",6734000,2019-06-01,2026-12-31,2025-09-30,per_bed_per_month,NCQA HEDIS Certified Measure Engine; NCQA HEDIS Certified Measure Engine — Test,Quality & Regulatory Affairs,low,FY25 $6.47M → FY26 $6.73M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,27% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 27% unused entitlements at renewal — approximately $1.09M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,none,2006000,low
meridian-health,MCG Health,MCG Health Managed Services Agreement,utilization management guidelines,VP HR Business Partnering,"Director, Vendor & Contract Management",1012000,2023-06-01,2028-12-31,2027-06-30,fixed_annual_fee,MCG Care Guidelines Platform,Health Plan & Payer Operations,medium,FY25 $0.91M → FY26 $1.01M (+11.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,11% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 11% unused entitlements at renewal — approximately $0.07M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_once_per_term,223000,low
meridian-health,InterQual (Change Healthcare),InterQual Subscription Services Agreement,utilization management criteria,VP Patient Access & Registration,"Director, Vendor & Contract Management",5090000,2024-05-01,2031-12-31,2030-09-30,per_member_per_month,InterQual Criteria Platform,Health Plan & Payer Operations,low,FY25 $4.89M → FY26 $5.09M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,22% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2031-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 22% unused entitlements at renewal — approximately $0.67M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,none,956000,low
meridian-health,"CaseNet (Casenet, LLC)",CaseNet Statement of Work,care/case management platform,VP IT Service Management & Support,"Director, Vendor & Contract Management",9303000,2020-06-01,2025-12-31,2024-09-30,per_member_per_month,CaseNet Care Management Platform; CaseNet Care Management Platform — Test,Health Plan & Payer Operations,low,FY25 $8.38M → FY26 $9.30M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,33% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2025-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 33% unused entitlements at renewal — approximately $1.84M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_annual,5224000,low
meridian-health,HealthEdge (HealthRules Payer),HealthEdge Master Services Agreement,health plan core administration (legacy parallel),VP HR Business Partnering,"Director, Vendor & Contract Management",2511000,2021-01-01,2027-12-31,2026-06-30,time_and_materials,HealthEdge HealthRules Payer (legacy parallel),Information Technology & Digital,medium,FY25 $2.41M → FY26 $2.51M (+4.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,17% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 17% unused entitlements at renewal — approximately $0.26M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_annual,1185000,low
meridian-health,"Workday, Inc.",Workday Enterprise License Agreement,HR / payroll / workforce management,VP IT Service Management & Support,"Director, Vendor & Contract Management",14464000,2024-09-01,2031-12-31,2030-06-30,tiered_volume,Workday HCM & Payroll; Workday HCM & Payroll — Test,Human Resources & Workforce,low,FY25 $13.03M → FY26 $14.46M (+11.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,28% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2031-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 28% unused entitlements at renewal — approximately $2.43M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,none,8934000,low
