tenant_key,platform_name,platform_type,hosting_model,data_center_or_region,technology_stack,operational_owner,criticality,lifecycle_state,capacity_or_scale,constraints,future_target_flag,volumetric_narrative,known_challenges_narrative,known_upgrades_plan_narrative,data_quality_notes,maturity_assessment_narrative,source_file,source_date,confidence,known_gaps,annual_cost_usd,utilization_pct,end_of_life_date,dr_tier,capacity_headroom_pct
meridian-health,Splunk Enterprise Security (SIEM),Security — SIEM,on_premise,Lakeview Primary Data Center,Splunk Enterprise Security; log ingestion pipelines,CISO,tier1,current,"~10,503 workloads/instances",Floor-space/power capacity here is (change record #76155) tight; (incident #95738) expansion needs 2 quarters' (change record #24331) lead time.,false,"Sustains 1,185 workloads/instances in (ticket #23423) steady state, (audit note #75197) climbing 27% to 4,259 (case #42331) across month-end close; (change record #10479) claims examiners at Meridian (work order #65454) Regional Medical Center count (change record #46903) 517.","Known: a missing field (case #22983) mapping, quarter-end financial close, (review item #42911) traced to ServiceNow CMDB. (review item #6640) Not remediated as of (incident #59293) Q2 FY28.","Consolidate duplicate report subscriptions (incident #28926) sits on CISO's backlog (audit note #48631) (the last change-advisory meeting), (change record #96310) currently unstaffed.","Duplicate-record rate is roughly (log entry #53159) 12% in Security data, (incident #81443) mostly from the Cotiviti (review item #56323) workqueue sync not deduplicating (ticket #87698) on load.","CISO (the last town (change record #86104) hall): debt is moderate (change record #9006) (chiefly point-to-point interfaces that (review item #19550) bypass the engine); (case #79864) IT service desk agents (log entry #52987) adoption sits at 55%, (incident #57489) governance developing.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,20,,tier2_warm,71
meridian-health,CyberArk Privileged Access Management,Security — PAM,on_premise,Lakeview Primary Data Center,CyberArk vault; session recording,CISO,tier1,current,"~4,019 managed endpoints",CISO flags this platform (work order #87771) as within 73% of (change record #77544) its practical capacity ceiling.,false,"520 risk adjustment coding (case #89396) specialists are provisioned, (case #73512) generating 1,299 workloads/instances normally (incident #47435) and 4,079 during the (ticket #65500) HEDIS submission deadline at (review item #4816) the Downtown Lakeview clinics.","the Fairhaven Corridor clinics (audit note #15064) logged duplicate-record creation on (change record #15206) lookups, (audit note #36086) tied to Cotiviti Quality (review item #94931) Intelligence. (incident #39392) It service desk agents (audit note #55044) want it funded by (change record #87214) Q3 FY27.",CISO (cycle review 2 (work order #91743) of this quarter) targets (log entry #10519) the next contract renewal (review item #39117) date to retire the (audit note #77023) legacy parallel path; (review item #27415) delayed pending staffing.,Stewardship exists but enforcement (change record #5431) is uneven: 15% of (review item #99108) Security records skip CaseNet (work order #14862) care plans validation.,"CISO (the last vendor (audit note #87952) QBR): debt is significant (ticket #37711) (chiefly batch scheduling logic); (change record #64339) risk adjustment coding specialists (audit note #87166) adoption sits at 76%, (case #53917) governance centralized but under-resourced.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,73,,tier2_warm,23
meridian-health,Proofpoint Email Security Gateway,Security — Email,cloud,Proofpoint cloud,Proofpoint TAP; email threat protection,VP Cybersecurity Operations,tier1,current,"~1,980 managed devices","No material capacity constraint (case #51751) identified, (change record #87191) readout 3 of this (work order #59793) quarter.",false,"Of 540 active care (ticket #78354) managers, St. (review item #85607) Anselm Community Hospital is (change record #98194) the single largest site, (review item #86666) reaching 5,992 workloads/instances at (log entry #56939) the the annual open-enrollment (log entry #54607) surge peak.","Epic Bridges trails the (change record #51408) Lakeview flagship campus volume, (review item #65341) surfacing duplicate-record creation on (change record #67142) lookups, (audit note #87654) worst during month-end close. (ticket #88288) Revenue cycle coders escalated (log entry #78547) for the next annual (ticket #79848) budget cycle.",VP Cybersecurity Operations's readout (review item #81218) 4 of this quarter (case #15449) plan is to replace (log entry #20181) point-to-point with the engine (audit note #81883) route; (review item #75458) no hard date set (work order #81146) yet.,"Security data is well-governed (ticket #38297) since 2021, (log entry #53132) but the Cotiviti workqueue (work order #2201) sync left 9% without (case #20419) consistent owner tagging.",VP Cybersecurity Operations (the (ticket #75215) last check-in) flags a (case #90615) documented data steward assignment (log entry #38341) (23% priority score); (incident #25224) IT service desk agents (work order #1322) adoption is otherwise growing (work order #91621) but still below target.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,56,,tier2_warm,34
meridian-health,Okta Identity & SSO Platform,Identity — SSO,cloud,Okta cloud,Okta workforce identity; SSO/MFA,"Director, Identity & Access Management",tier1,current,"~3,446 managed devices","No material capacity constraint (incident #53994) identified, (log entry #19204) week 6 of this (log entry #6425) quarter.",false,"492 revenue cycle coders (work order #76449) are provisioned, (work order #28968) generating 1,229 workloads/instances normally (case #73080) and 2,950 during the (work order #33376) RADV audit cycle at (case #20841) Meridian Children's Hospital.","the Finance/GL Mart nightly (ticket #44704) extract job contention runs (case #21235) data up to 5 (change record #40448) hours stale during the (case #68923) year-end cost-report close, (review item #25516) a pain point claims (ticket #55014) examiners raised at the (case #41197) West County ambulatory sites.","Retire the legacy parallel (audit note #70236) path is scoped but (change record #12163) unscheduled, per Director, (change record #92535) Identity & Access Management (ticket #5516) (the last steering committee).",The Identity reconciliation against (audit note #31893) Sunquest LIS passed within (review item #66395) tolerance as of 2019; (audit note #89688) no material issue.,"Director, (audit note #23783) Identity & Access Management (change record #47747) (week 1 of this (ticket #35961) quarter) owns this. (log entry #72635) 84% of revenue cycle (change record #3363) coders have adopted it; (ticket #55338) debt is concentrated but (case #92698) manageable in batch scheduling (ticket #21747) logic.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,80,,tier2_warm,20
meridian-health,Microsoft 365 / Teams Collaboration,Collaboration Platform,cloud,Microsoft 365 tenant,Exchange Online; Teams; SharePoint Online,VP Infrastructure & Cloud,tier1,current,"~8,272 managed devices",Floor-space/power capacity here is (review item #99130) tight; (incident #88239) expansion needs 2 quarters' (audit note #7464) lead time.,false,"474 ambulatory front-desk staff (incident #16037) are provisioned, (incident #60657) generating 1,640 workloads/instances normally (change record #58279) and 5,927 during the (work order #66138) Medicare Advantage bid-submission cycle (review item #78674) at the Lakeview flagship (case #85308) campus.","Pharmacy technicians flag slow (incident #83006) report rendering, (incident #96209) worst at Meridian Cancer (work order #23094) Institute. (incident #42543) Root cause: the Epic (log entry #85350) Caboodle nightly refresh. (log entry #98556) No fix before the (change record #23006) next scheduled maintenance window.",VP Infrastructure & Cloud (ticket #88409) (the last steering committee) (case #70201) targets the vendor's next (change record #70147) release date to consolidate (ticket #65917) onto a single SQL (work order #47354) Server mart; (review item #12724) on track for the (review item #96411) next window.,Sign-off on Collaboration quality (review item #54655) is current; (work order #81476) the caveat is a (change record #35308) 3% variance against the (audit note #92972) Epic Caboodle nightly refresh.,VP Infrastructure & Cloud (review item #6166) (week 2 of this (change record #81263) quarter) flags a named (case #15181) backup owner for on-call (ticket #15858) coverage (34% priority score); (case #22688) risk adjustment coding specialists (review item #84605) adoption is otherwise strong (ticket #80358) in production but weak (log entry #65358) in training.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,66,2028-06-30,tier2_warm,23
meridian-health,Zoom Enterprise Video Conferencing,Collaboration Platform,cloud,Zoom cloud,Zoom Meetings/Webinar enterprise tenant,VP Infrastructure & Cloud,tier2,current,"~2,199 managed devices",License ceiling reached (readout (review item #87317) 7 of this quarter); (log entry #67413) renewal talks are underway.,false,"Cedar Bluff Specialty Hospital (case #92437) drives most usage among (incident #38297) 501 named pharmacy technicians; (review item #11358) 1,527 workloads/instances/day normally, (ticket #34666) 4,357 once quarter-end financial (review item #92185) close hits.",A residual gap from (incident #95456) the Cotiviti workqueue sync (change record #25616) means 12% of Collaboration (work order #22880) records need review by (work order #64140) claims examiners before the (ticket #36497) vendor's next release date.,VP Infrastructure & Cloud (work order #48885) (cycle review 4 of (work order #5313) this quarter) wants to (work order #67547) modernize the reporting layer; (review item #41240) 51% of the case (audit note #5493) is built.,"Completeness is high; (review item #42589) a 23% null rate (audit note #70438) sits on the provider (incident #21154) NPI cross-reference field, (work order #58434) pending the Epic Caboodle (audit note #23916) nightly refresh fix.",VP Infrastructure & Cloud (audit note #40937) (week 7 of this (audit note #12187) quarter): adoption among data (audit note #72721) engineers is 29%; (incident #24681) well-established governance; (change record #88372) low debt in batch (case #10055) scheduling logic.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,48,,tier3_backup_only,46
meridian-health,Biomedical Device Integration Engine — Meridian Regional Medical Center,Biomed Integration Engine,on_premise,"Lakeview, IL (Meridian Regional Medical Center)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,"~10,448 hosted VMs",License ceiling reached (this (audit note #86750) intake); (review item #23800) renewal talks are underway.,false,"425 data engineers are (audit note #15729) provisioned, (audit note #79490) generating 1,250 workloads/instances normally (review item #11237) and 5,802 during the (log entry #7940) year-end cost-report close at (log entry #77218) Cedar Bluff Specialty Hospital.","Risk adjustment coding specialists (ticket #91952) flag a recurring queue (audit note #50532) backlog, (audit note #66917) worst at the Fairhaven (change record #23336) Corridor clinics. (change record #30473) Root cause: Imprivata SSO. (ticket #33472) No fix before Q1 (audit note #12817) FY28.","Director, (change record #90967) Interface Engineering & Integration (incident #71307) (the last governance council (review item #90391) session) targets Q4 FY27 (work order #95681) to consolidate interfaces onto (review item #82946) Epic Bridges; approved, (case #85780) not yet started.",Sign-off on Biomed quality (ticket #13055) is current; (ticket #21629) the caveat is a (ticket #24254) 9% variance against the (log entry #6922) Epic Caboodle nightly refresh.,"Director, (case #41064) Interface Engineering & Integration (ticket #74831) (the last governance council (case #65177) session): adoption among risk (ticket #8278) adjustment coding specialists is (incident #26202) 55%; recently formalized governance; (work order #55044) significant debt in manual (log entry #9931) reconciliation scripts.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,30,,tier2_warm,70
meridian-health,Nurse Call & Patient Communication System — Meridian Regional Medical Center,Nurse Call System,on_premise,"Lakeview, IL (Meridian Regional Medical Center)",Hillrom/Baxter nurse call infrastructure; integration to Vocera,VP Nursing Informatics,tier2,current,"~9,089 hosted VMs",License ceiling reached (this (review item #47107) intake); (ticket #9011) renewal talks are underway.,false,"Volume grew 6% YoY (audit note #72708) to 5,691 workloads/instances during (work order #34361) the nightly batch window; (audit note #51699) the Downtown Lakeview clinics (incident #47567) tops the 417-user roster (ticket #19121) by 46 points.","Open ticket on failed (review item #19340) message acks, (review item #70320) names Availity gateway. (change record #62982) Member services representatives raised (incident #63983) it the year-end cost-report (change record #9884) close, (change record #8473) open as of Q3 (work order #25701) FY27.",VP Nursing Informatics (cycle (change record #98749) review 5 of this (change record #50070) quarter) requested budget with (case #91455) the business to consolidate (ticket #99217) onto a single SQL (change record #18287) Server mart.,Sign-off on Nurse quality (change record #10148) is current; (audit note #80286) the caveat is a (case #15482) 17% variance against the (review item #31972) Finance/GL Mart nightly extract (incident #16615) job.,VP Nursing Informatics (check-in (log entry #58382) 5 of this quarter) (work order #12964) flags a completed architecture (incident #66817) review (73% priority score); (change record #38780) bedside nurses adoption is (review item #22072) otherwise growing but still (incident #2697) below target.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,43,,tier3_backup_only,53
meridian-health,Biomedical Device Integration Engine — St. Anselm Community Hospital,Biomed Integration Engine,on_premise,"Fairhaven, IL (St. Anselm Community Hospital)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,"~7,294 hosted VMs",Floor-space/power capacity here is (work order #7462) tight; (case #12866) expansion needs 2 quarters' (case #2506) lead time.,false,"Of 460 active utilization (log entry #22188) review nurses, (work order #52233) the Lakeview flagship campus (case #82032) is the single largest (change record #84871) site, (change record #21450) reaching 4,344 workloads/instances at (incident #3022) the the winter respiratory (case #13865) surge peak.","the annual open-enrollment surge: (review item #38180) risk adjustment coding specialists (incident #35087) at Meridian Children's Hospital (change record #69468) work around stale dashboard (case #63360) cache data. (work order #58260) Traced to the Epic (work order #77381) Caboodle nightly refresh, (incident #90088) open into the next (ticket #60633) major version upgrade.","Consolidate onto a single (case #88853) sql server mart is (incident #53482) scoped but unscheduled, (review item #49420) per Director, (log entry #37044) Interface Engineering & Integration (case #52893) (readout 1 of this (review item #31179) quarter).","Duplicate-record rate is roughly (change record #89203) 28% in Biomed data, (change record #52133) mostly from Epic Bridges (review item #61515) not deduplicating on load.","Director, (change record #93103) Interface Engineering & Integration (ticket #13582) (cycle review 3 of (change record #90019) this quarter): adoption among (case #13246) pharmacy technicians is 25%; (ticket #1155) centralized but under-resourced governance; (log entry #45567) modest debt in point-to-point (work order #35917) interfaces that bypass the (log entry #82703) engine.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,58,,tier2_warm,41
meridian-health,Nurse Call & Patient Communication System — St. Anselm Community Hospital,Nurse Call System,on_premise,"Fairhaven, IL (St. Anselm Community Hospital)",Hillrom/Baxter nurse call infrastructure; integration to Vocera,VP Nursing Informatics,tier2,current,"~5,651 managed devices",VP Nursing Informatics flags (change record #57399) this platform as within (incident #94514) 71% of its practical (audit note #32517) capacity ceiling.,false,"the Lakeview flagship campus (review item #52350) drives most usage among (incident #3553) 468 named HEDIS abstractors; (work order #5498) 1,214 workloads/instances/day normally, (ticket #5632) 3,283 once the HEDIS (change record #42552) submission deadline hits.","Surescripts network contention runs (log entry #13812) data up to 3 (audit note #22737) hours stale during the (case #39068) STARS measurement window, (ticket #58546) a pain point Epic (review item #35313) analysts raised at Meridian (change record #49655) West Hospital.",VP Nursing Informatics (week (work order #68633) 2 of this quarter) (ticket #15104) targets FY27 budget approval (change record #79010) to modernize the reporting (case #34495) layer; (log entry #71066) on track for the (work order #94347) next window.,"Nurse data is well-governed (ticket #17141) since 2022, (log entry #7025) but Waystar clearinghouse left (change record #98985) 6% without consistent owner (incident #81031) tagging.",VP Nursing Informatics (readout (work order #78401) 7 of this quarter) (log entry #8461) owns this. (ticket #60766) 71% of data engineers (change record #23373) have adopted it; (work order #37418) debt is moderate in (log entry #24600) an unversioned configuration export.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,81,,tier3_backup_only,15
meridian-health,Biomedical Device Integration Engine — Meridian West Hospital,Biomed Integration Engine,on_premise,"Millbrook, IL (Meridian West Hospital)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,"~7,804 hosted VMs",License ceiling reached (check-in (log entry #32024) 7 of this quarter); (log entry #58959) renewal talks are underway.,false,"Swing analysis: 1,318 workloads/instances (case #48451) normal, (log entry #55021) 5,858 during the Medicare (audit note #12908) Advantage bid-submission cycle, (audit note #35371) 45% variance across 535 (log entry #8464) care managers — Meridian (incident #40108) Regional Medical Center is (case #90123) largest.","Quality abstraction staff flag (ticket #50917) login timeouts at peak (change record #12183) concurrency, (review item #53989) worst at Meridian Cancer (log entry #1814) Institute. (case #2913) Root cause: Availity gateway. (ticket #82777) No fix before the (audit note #52504) vendor's next release date.","Director, (incident #24651) Interface Engineering & Integration's (ticket #46197) week 6 of this (case #37777) quarter plan is to (review item #76169) consolidate duplicate report subscriptions; (change record #28629) no hard date set (review item #57749) yet.","Duplicate-record rate is roughly (review item #92617) 23% in Biomed data, (case #78063) mostly from Sunquest LIS (audit note #52991) not deduplicating on load.","Director, (log entry #26696) Interface Engineering & Integration (ticket #4474) (week 2 of this (incident #94347) quarter) owns it: modest (ticket #57727) debt in hard-coded facility (work order #43102) configuration, (work order #49920) against 78% adoption among (log entry #58887) bedside nurses.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,34,,tier2_warm,64
meridian-health,Nurse Call & Patient Communication System — Meridian West Hospital,Nurse Call System,on_premise,"Millbrook, IL (Meridian West Hospital)",Hillrom/Baxter nurse call infrastructure; integration to Vocera,VP Nursing Informatics,tier2,current,"~5,697 managed endpoints","Staffing, not capacity, (log entry #36674) is the limiter, (review item #85936) says VP Nursing Informatics (log entry #51575) (check-in 1 of this (case #55731) quarter).",false,"Baseline shows 1,130 workloads/instances/day (audit note #29055) typical, (review item #52881) spiking 8% to 5,962 (case #35879) during the nightly batch (log entry #67670) window; (log entry #47214) Cedar Bluff Specialty Hospital (case #64517) leads the 496 named (audit note #93740) users.",A residual gap from (case #2517) Inovalon ONE Platform means (log entry #17018) 23% of Nurse records (audit note #60029) need review by bedside (log entry #22149) nurses before the next (change record #50022) contract renewal date.,VP Nursing Informatics (this (audit note #46201) quarter's readout) requested budget (audit note #46866) with the business to (ticket #86129) consolidate interfaces onto Epic (incident #44433) Bridges.,Sign-off on Nurse quality (audit note #82390) is current; (case #10279) the caveat is a (change record #98439) 19% variance against Change (ticket #4502) Healthcare EDI Gateway.,VP Nursing Informatics (cycle (ticket #41540) review 4 of this (audit note #32769) quarter) flags a named (change record #9706) backup owner for on-call (review item #79667) coverage (86% priority score); (audit note #11673) quality abstraction staff adoption (audit note #7459) is otherwise high.,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,19,2028-06-30,tier3_backup_only,79
meridian-health,Biomedical Device Integration Engine — Cedar Bluff Specialty Hospital,Biomed Integration Engine,on_premise,"Cedar Bluff, IL (Cedar Bluff Specialty Hospital)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,"~7,673 managed devices","No material capacity constraint (incident #27344) identified, (work order #20247) cycle review 2 of (ticket #3638) this quarter.",false,"Baseline shows 1,332 workloads/instances/day (audit note #40162) typical, (incident #80219) spiking 19% to 5,860 (change record #56678) during the RADV audit (work order #36995) cycle; (audit note #54038) Meridian Cancer Institute leads (incident #9766) the 548 named users.","Bedside nurses flag intermittent (review item #56219) timeout errors, (ticket #2883) worst at the Fairhaven (change record #26665) Corridor clinics. (audit note #26437) Root cause: the Finance/GL (log entry #74427) Mart nightly extract job. (review item #22778) No fix before the (review item #82796) vendor's next release date.","Director, (log entry #71766) Interface Engineering & Integration (incident #64324) (cycle review 1 of (log entry #28811) this quarter) wants to (ticket #18075) consolidate interfaces onto Epic (ticket #43738) Bridges; (change record #92357) 31% of the case (work order #28071) is built.","Biomed data is well-governed (work order #91237) since 2022, (incident #96044) but the SQL Server (audit note #88375) datamart pipeline left 23% (log entry #80774) without consistent owner tagging.","Director, (case #14237) Interface Engineering & Integration (log entry #89142) (cycle review 4 of (audit note #75846) this quarter) flags a (audit note #27353) completed architecture review (59% (ticket #3800) priority score); (review item #89138) pharmacy technicians adoption is (review item #64511) otherwise moderate.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,81,,tier2_warm,8
meridian-health,Nurse Call & Patient Communication System — Cedar Bluff Specialty Hospital,Nurse Call System,on_premise,"Cedar Bluff, IL (Cedar Bluff Specialty Hospital)",Hillrom/Baxter nurse call infrastructure; integration to Vocera,VP Nursing Informatics,tier2,current,"~3,342 concurrent sessions","Staffing, not capacity, (review item #61588) is the limiter, (ticket #14580) says VP Nursing Informatics (audit note #97437) (the last steering committee).",false,"Swing analysis: 1,332 workloads/instances (ticket #71832) normal, (case #62044) 3,570 during the nightly (ticket #81719) batch window, (change record #79591) 41% variance across 454 (change record #14002) Epic analysts — Meridian (ticket #75536) Cancer Institute is largest.","Sunquest LIS trails Cedar (review item #32031) Bluff Specialty Hospital volume, (ticket #83571) surfacing a missing field (audit note #73256) mapping, (incident #70116) worst during the nightly (log entry #75253) batch window. (review item #72879) Revenue cycle coders escalated (work order #87314) for Q1 FY28.",VP Nursing Informatics (check-in (case #93488) 1 of this quarter) (work order #76190) deprioritized close the interface (incident #13394) remediation item behind the (case #92200) Epic upgrade calendar; (case #81525) it stays queued.,"Completeness is high; (log entry #38698) a 3% null rate (incident #84032) sits on the provider (work order #78379) NPI cross-reference field, (incident #27488) pending Imprivata SSO fix.","VP Nursing Informatics (week (ticket #39886) 7 of this quarter) (work order #15655) rates governance informal (50/100 (ticket #68083) internally); (change record #43598) the main gap is (incident #92845) an updated RACI for (work order #7146) the owning function, (incident #69996) debt moderate.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,46,,tier3_backup_only,46
meridian-health,Biomedical Device Integration Engine — Meridian Cancer Institute,Biomed Integration Engine,on_premise,"Lakeview, IL (Meridian Cancer Institute)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,~748 managed endpoints,"No material capacity constraint (work order #83291) identified, (case #95167) cycle review 5 of (ticket #20020) this quarter.",false,"Data engineers at the (work order #49301) Lakeview flagship campus run (ticket #76740) 388 active seats, (incident #33914) up 11% YoY, (log entry #84623) with a 2,832-workloads/instances peak (change record #95290) during month-end close.","Revenue cycle coders flag (change record #21028) a missing field mapping, (log entry #11279) worst at Meridian Cancer (ticket #88452) Institute. (ticket #6343) Root cause: the Finance/GL (review item #17857) Mart nightly extract job. (review item #44339) No fix before the (incident #3064) FY28 capital planning cycle.","Director, (review item #71589) Interface Engineering & Integration (work order #2699) (readout 7 of this (work order #87967) quarter) wants to retire (case #90107) the legacy parallel path; (change record #99981) 65% of the case (log entry #35370) is built.",Rhapsody drove 24% of (audit note #10004) open Biomed tickets this (case #54323) 2023; (review item #88601) the rest trace to (log entry #19501) manual entry.,"Director, (incident #69920) Interface Engineering & Integration (incident #22333) (the last steering committee) (audit note #85603) rates governance informal (44/100 (case #68987) internally); (case #9616) the main gap is (work order #76028) a current runbook, (work order #4738) debt concentrated but manageable.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,39,,tier2_warm,50
meridian-health,Nurse Call & Patient Communication System — Meridian Cancer Institute,Nurse Call System,on_premise,"Lakeview, IL (Meridian Cancer Institute)",Hillrom/Baxter nurse call infrastructure; integration to Vocera,VP Nursing Informatics,tier2,current,"~5,137 managed endpoints","Staffing, not capacity, (incident #13292) is the limiter, (case #52570) says VP Nursing Informatics (incident #2958) (readout 3 of this (work order #62937) quarter).",false,"Swing analysis: 1,148 workloads/instances (audit note #69056) normal, (audit note #16937) 4,644 during month-end close, (change record #86606) 39% variance across 495 (ticket #22652) data engineers — Meridian (work order #92667) Regional Medical Center is (change record #87387) largest.","Rhapsody contention runs data (incident #80282) up to 5 hours (audit note #16268) stale during month-end close, (incident #30425) a pain point claims (ticket #35615) examiners raised at Meridian (audit note #89946) Regional Medical Center.",VP Nursing Informatics (week (incident #85009) 1 of this quarter) (incident #29452) wants to close the (work order #41456) interface remediation item; (case #53192) 57% of the case (incident #32960) is built.,A field-mapping gap with (incident #29984) Availity gateway leaves 15% (audit note #44569) of Nurse records missing (work order #83976) a site-of-service flag value.,"VP Nursing Informatics (cycle (change record #11135) review 5 of this (case #29763) quarter): debt is low (change record #89014) (chiefly batch scheduling logic); (review item #70474) care managers adoption sits (case #70236) at 96%, governance well-established.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,2832000,19,2030-06-30,tier3_backup_only,73
meridian-health,Biomedical Device Integration Engine — Meridian Children's Hospital,Biomed Integration Engine,on_premise,"Lakeview, IL (Meridian Children's Hospital)",Rhapsody/Cloverleaf biomed protocol adapters; device middleware,"Director, Interface Engineering & Integration",tier1,current,"~10,411 workloads/instances","Staffing, not capacity, (incident #63934) is the limiter, (case #83100) says Director, (change record #10561) Interface Engineering & Integration (review item #11357) (the last review).",false,"Pharmacy technicians at St. (change record #47247) Anselm Community Hospital run (incident #9773) 420 active seats, (incident #63614) up 6% YoY, (work order #65385) with a 4,306-workloads/instances peak (ticket #47701) during the HEDIS submission (change record #19351) deadline.","the six affiliated Community (ticket #27871) Connect practices logged a (work order #78837) character-encoding mismatch, (case #93092) tied to Sunquest LIS. (log entry #7817) Epic analysts want it (incident #39940) funded by Q1 FY28.","Director, (work order #72280) Interface Engineering & Integration (log entry #9577) (this sprint's retro) targets (incident #36685) the next major version (review item #18134) upgrade to consolidate interfaces (audit note #58651) onto Epic Bridges; (log entry #21155) in flight, on schedule.","Duplicate-record rate is roughly (review item #11468) 19% in Biomed data, (review item #49619) mostly from Availity gateway (case #27414) not deduplicating on load.","Director, (work order #87817) Interface Engineering & Integration (incident #8848) (cycle review 3 of (review item #95981) this quarter) flags a (change record #20470) current runbook (90% priority (log entry #46747) score); (case #82620) risk adjustment coding specialists (log entry #5378) adoption is otherwise strong (log entry #84595) in production but weak (incident #20640) in training.",datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,2026-07-31,medium,Capacity and utilization figures are illustrative synthetic estimates structured to mirror on-prem capacity-planning exports; validate against real facilities/data-center capacity reports before promotion.,5664000,32,,tier1_hot,57
