tenant_key,persona_or_role,function_name,role_count,location_model,employment_type,vendor_supported,skills,pain_points,automation_opportunity,source_file,source_date,confidence,known_gaps
meridian-health,Coding Specialist (HIM),Revenue Cycle,198,remote,employed,partial,ICD-10-CM/PCS and CPT coding; Epic Resolute HB/PB coding workqueues; RAF/HCC coding accuracy,"the ServiceNow queue notification (audit note #70834) volume causes alert fatigue, (ticket #21410) worst during the RADV (ticket #86109) audit cycle.",High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Claims Examiner,Health Plan & Payer Operations,166,remote,employed,no,Epic Tapestry claims adjudication; EDI 837/835 transaction review,"New-hire ramp-up on Epic (work order #6495) Healthy Planet runs 39% (change record #22441) over target, thin docs.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Care Manager / Case Manager (Health Plan),Population Health & Care Management,137,hybrid,employed,no,CaseNet care planning; Medicare Advantage benefit knowledge; motivational interviewing,"the ServiceNow queue notification (review item #95107) volume causes alert fatigue, (change record #67078) worst during peak flu (incident #96335) season census.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Utilization Review Nurse,Population Health & Care Management,92,hybrid,employed,no,InterQual/MCG criteria; Epic Tapestry authorization workqueues,Staff spend significant time (ticket #7236) reconciling the Cotiviti workqueue (work order #64739) output against the affiliated (incident #93469) Community Connect practice feed (audit note #73845) manually.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Pharmacist — Inpatient,Pharmacy Services,147,hospital_based,employed,no,Epic Willow Inpatient order verification; pharmacy robotics oversight,Staff spend significant time (audit note #99282) reconciling Epic Tapestry output (review item #60590) against the HEDIS abstraction (log entry #88000) tool manually.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Pharmacist — Ambulatory/Retail,Pharmacy Services,112,clinic_based,employed,no,Epic Willow Ambulatory dispensing; Surescripts e-prescribing reconciliation,"the legacy Cerner instance (log entry #15962) interface to the health (case #60487) plan claims feed drops (incident #75594) messages during the RADV (audit note #45318) audit cycle, (ticket #10867) needs manual fix.",High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Pharmacy Technician,Pharmacy Services,277,hospital_based,employed,no,Pharmacy robotics operation; inventory management; controlled substance reconciliation,Staff spend significant time (incident #4929) reconciling the ServiceNow queue (change record #33765) output against the health (review item #83121) plan claims feed manually.,Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,HEDIS/Quality Abstractor,Quality & Regulatory Affairs,65,remote,employed,partial,NCQA HEDIS technical specifications; chart abstraction; Cotiviti Quality Intelligence workqueues,"New-hire ramp-up on Epic (case #43526) Tapestry runs 19% over (log entry #15863) target, thin docs.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,STARS Program Manager,Quality & Regulatory Affairs,11,hybrid,employed,no,CMS STARS methodology; cross-functional measure improvement coordination,"New-hire ramp-up on the (change record #82862) legacy Cerner instance runs (change record #56354) 32% over target, (audit note #25360) thin docs.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Compliance/Privacy Analyst,"Legal, Compliance & Privacy",29,hybrid,employed,no,HIPAA privacy rule; OCR breach-notification process; audit response,Staff spend significant time (incident #81390) reconciling Epic Resolute output (incident #25757) against the legacy HealthEdge (incident #95567) parallel path manually.,Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Ambulatory/Cadence,Clinical Informatics,31,hybrid,employed,no,Epic Ambulatory and Cadence build certification; workflow analysis,Staff spend significant time (incident #51155) reconciling the ServiceNow queue (change record #5776) output against the SQL (incident #36310) Server RAF mart manually.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Inpatient/ClinDoc/OpTime,Clinical Informatics,36,hybrid,employed,no,Epic ClinDoc and OpTime build certification; clinical workflow governance,Staff spend significant time (review item #18330) reconciling the ServiceNow queue (work order #5713) output against the affiliated (incident #63834) Community Connect practice feed (case #93623) manually.,Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Revenue Cycle (Resolute),Clinical Informatics,24,hybrid,employed,no,Epic Resolute HB/PB build certification; claims edit configuration,"New-hire ramp-up on Epic (ticket #30554) Healthy Planet runs 26% (incident #27760) over target, thin docs.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Willow Pharmacy,Clinical Informatics,13,hybrid,employed,no,Epic Willow build certification; pharmacy workflow governance,Duplicate data entry between (log entry #76392) the ServiceNow queue and (review item #36836) the affiliated Community Connect (work order #8863) practice feed during the (incident #51064) nightly batch window.,High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Tapestry Payer,Clinical Informatics,17,hybrid,employed,no,Epic Tapestry build certification; benefit/enrollment configuration,"New-hire ramp-up on Epic (ticket #74355) Healthy Planet runs 26% (ticket #67931) over target, thin docs.",Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Epic Analyst — Beaker/Radiant,Clinical Informatics,17,hybrid,employed,no,Epic Beaker and Radiant build certification; lab/imaging interface knowledge,Duplicate data entry between (case #16697) the Cotiviti workqueue and (ticket #88334) the HEDIS abstraction tool (review item #33855) during the nightly batch (change record #11427) window.,High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Data Engineer (SQL Server),Data Analytics & AI,34,remote,employed,no,SQL Server/SSIS pipeline development against Epic Clarity; on-prem source-to-target mapping,Epic Resolute downtime during (work order #33850) the nightly batch window (work order #45007) forces a manual paper/fallback (work order #47297) workaround.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,BI Analyst / Report Writer (Tableau),Data Analytics & AI,53,remote,employed,no,Tableau/SSRS report development on the on-prem SQL Server datamart estate,"the legacy Cerner instance (audit note #62463) notification volume causes alert (log entry #87084) fatigue, (ticket #40552) worst during peak flu (incident #50234) season census.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Data Scientist / AI Analyst,Data Analytics & AI,20,hybrid,employed,no,Predictive model development on on-prem data; clinical/claims feature engineering,Inconsistent care gap definitions (case #73740) between Epic Hyperspace and (incident #91387) Epic Caboodle create rework.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Data Governance Steward,Data Analytics & AI,12,hybrid,employed,no,Data domain stewardship; metadata cataloging; data quality issue triage,"Epic Healthy Planet interface (work order #67519) to the HEDIS abstraction (change record #68752) tool drops messages during (review item #1212) open enrollment, (incident #46156) needs manual fix.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Infrastructure Engineer (On-Prem),Information Technology & Digital,23,hybrid,employed,no,VMware/Cisco/NetApp on-prem estate; data center operations across 4 sites,"Epic Healthy Planet interface (case #74776) to Epic Caboodle drops (change record #15878) messages during month-end close, (review item #10318) needs manual fix.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Cloud & Data Platform Evaluation Analyst,Information Technology & Digital,4,remote,employed,no,"Databricks vendor evaluation; lakehouse target-architecture scoping (planning-stage team, no production work yet)","the legacy Cerner instance (ticket #86637) interface to Epic Caboodle (case #63591) drops messages during the (change record #95606) STARS measurement window, (log entry #39899) needs manual fix.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Network Engineer,Information Technology & Digital,19,hybrid,employed,no,Cisco routing/switching; hospital and clinic WAN/LAN operations,Staff spend significant time (change record #50098) reconciling the ServiceNow queue (log entry #13589) output against the HEDIS (review item #96312) abstraction tool manually.,High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Security Analyst (SOC),Cybersecurity & IT Risk,16,hybrid,employed,no,Splunk SIEM triage; CrowdStrike EDR response; incident response playbooks,the legacy Cerner instance (incident #72770) downtime during month-end close (audit note #40913) forces a manual paper/fallback (incident #91376) workaround.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Interface Engineer,Information Technology & Digital,23,hybrid,employed,no,Rhapsody/Epic Bridges interface build; HL7v2/FHIR message troubleshooting,"the ServiceNow queue interface (change record #60277) to Epic Caboodle drops (case #96032) messages during peak flu (case #2447) season census, (work order #32314) needs manual fix.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,IT Service Desk Agent,Information Technology & Digital,59,hybrid,employed,partial,ServiceNow ticketing; tier-1 Epic/desktop troubleshooting,"the Cotiviti workqueue notification (work order #90421) volume causes alert fatigue, (log entry #58863) worst during month-end close.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,ServiceNow/ITSM Analyst,Information Technology & Digital,12,hybrid,employed,no,ServiceNow CMDB administration; ITSM process design,"New-hire ramp-up on the (incident #23905) legacy Cerner instance runs (change record #96348) 55% over target, (change record #93622) thin docs.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Contact Center Representative (Member Services),Member Services & Patient Experience,216,remote,employed,partial,Salesforce case management; Medicare Advantage benefit scripting,Staff spend significant time (ticket #4519) reconciling the Cotiviti workqueue (change record #96434) output against the legacy (audit note #20266) HealthEdge parallel path manually.,Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Supply Chain/Procurement Specialist,Supply Chain & Procurement,32,hybrid,employed,no,Infor Lawson contract management; GPO relationship coordination,Inconsistent denial reason code (work order #62124) definitions between Epic Healthy (work order #31109) Planet and the health (log entry #33150) plan claims feed create (incident #68853) rework.,Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Actuarial Analyst,Actuarial & Underwriting,16,hybrid,employed,no,Medicare Advantage bid modeling; medical cost trend analysis,"the SQL Server mart (work order #61467) refresh notification volume causes (case #80607) alert fatigue, (work order #20554) worst during the STARS (log entry #28782) measurement window.",Low,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Risk Adjustment/RAF Analyst,Health Plan & Payer Operations,22,remote,employed,partial,HCC coding review; Cotiviti/Inovalon suspect-condition workqueues,"the SQL Server mart (log entry #40854) refresh interface to the (incident #56536) affiliated Community Connect practice (review item #24777) feed drops messages during (change record #29999) open enrollment, (log entry #44519) needs manual fix.",High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Population Health Coordinator,Population Health & Care Management,31,hybrid,employed,no,Epic Healthy Planet registry outreach; care gap closure coordination,the Cotiviti workqueue downtime (review item #43503) during the STARS measurement (audit note #61712) window forces a manual (work order #46622) paper/fallback workaround.,Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Behavioral Health Clinician,Behavioral Health,63,hospital_based,employed,no,Crisis assessment; Epic ClinDoc behavioral health documentation,"New-hire ramp-up on Epic (audit note #61760) Hyperspace runs 56% over (change record #13593) target, thin docs.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Telehealth/Virtual Care Coordinator,Population Health & Care Management,16,remote,employed,no,Amwell/Epic Video Visits scheduling and support,"New-hire ramp-up on the (change record #49704) ServiceNow queue runs 21% (audit note #31709) over target, thin docs.",Medium-High,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Application Owner (Non-Epic COTS),Information Technology & Digital,19,hybrid,employed,no,Vendor relationship management; non-Epic system roadmap ownership,"New-hire ramp-up on Epic (log entry #8392) Healthy Planet runs 42% (work order #10171) over target, thin docs.",Medium,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
