tenant_key,source_file,source_type,source_owner,source_date,as_of_date,confidentiality,domains_covered,row_count_or_pages,quality_notes,approved_for_loading,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,evidence_id,business_name,context_item,dimension,evidence_type,evidence_location,evidence_owner,evidence_boundary,module_usage_notes,confidence
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,AWS Cost & Usage Report (CUR),VP Infrastructure & Cloud,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; spend_value,,Synthetic extract structured to mirror an AWS CUR export,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,12,EVID-0011,synthetic-demo,0413dca4197ac0b4a7a8650212cdef1afc0d26c54d07eb70ac8240f7f394ead1,enriched_dense_synthetic_generation_2026_07,none,EVID-0011,Amazon Web Services,cloud infrastructure spend and usage,06_infrastructure_platforms,system_of_record_extract,AWS Cost & Usage Report export,VP Infrastructure & Cloud,AWS accounts only,Feeds AWS account infrastructure rows,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Azure Cost Management export,VP Infrastructure & Cloud,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; spend_value,,Synthetic extract structured to mirror an Azure Cost Management report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,13,EVID-0012,synthetic-demo,62cbf74a22a37e4cc4cbc2a49e89d9b50db128ed600058e181eaed6523c2377e,enriched_dense_synthetic_generation_2026_07,none,EVID-0012,Microsoft Corporation,cloud infrastructure spend and usage,06_infrastructure_platforms,system_of_record_extract,Azure Cost Management export,VP Infrastructure & Cloud,Azure subscriptions only,Feeds Azure landing-zone infrastructure rows,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,IBM mainframe capacity planning report,Director Mainframe & Legacy Platforms,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms; applications_systems,,Synthetic extract structured to mirror an IBM RMF/SMF capacity report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,14,EVID-0013,synthetic-demo,f47ee2b9f82a69e481078688dd1e1bfd9519d83483cdf5fcfc346d884ddcd3ae,enriched_dense_synthetic_generation_2026_07,none,EVID-0013,IBM Corporation,mainframe capacity and batch throughput,06_infrastructure_platforms,system_of_record_extract,IBM RMF/SMF capacity report,Director Mainframe & Legacy Platforms,Mainframe LPARs only,Feeds mainframe and CA-7 rows,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,IT Finance / FP&A budget extract (SA02),CFO,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,spend_value,,Synthetic extract structured to mirror the SA02 IT Finance Budget & Spend template,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,15,EVID-0014,synthetic-demo,716a8770935907e277b65c4c98d2a38e59b01140aaeeb2db1b58e9ce173db328,enriched_dense_synthetic_generation_2026_07,none,EVID-0014,Finance / FP&A,IT budget by tower and category,08_spend_value,finance_system_extract,SA02 IT Finance Budget & Spend Extract Template,CFO / VP Enterprise Applications,IT-tagged cost centers only,Feeds 08_spend_value and 08_it_budget_spend_value,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Vendor Contracts register (SA03),VP Procurement,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,vendors_contracts,,Synthetic extract structured to mirror the SA03 Vendor Contracts Extract Template,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,16,EVID-0015,synthetic-demo,2a11b886b372cfdc90cd613eb6c498f1bca10da52614d7f2188fa8d2fb779f32,enriched_dense_synthetic_generation_2026_07,none,EVID-0015,Procurement / Legal,vendor and contract register,07_vendors_contracts,procurement_system_extract,SA03 Vendor Contracts Extract Template,VP Procurement,Active contracts only,Feeds 07_vendors_contracts,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Program Portfolio extract (SA04),VP Enterprise Architecture,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,programs_initiatives,,Synthetic extract structured to mirror the SA04 Program Portfolio Extract Template,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,17,EVID-0016,synthetic-demo,24e5867c73d3550876e847d71a1f0311ea3be501cd93b95b8b50ba9f3ff6115a,enriched_dense_synthetic_generation_2026_07,none,EVID-0016,Enterprise PMO,program/project portfolio,09_programs_initiatives,pmo_system_extract,SA04 Program Portfolio Extract Template,VP Enterprise Architecture,Active programs only,Feeds 09_programs_initiatives,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Cloud Inventory extract (SA05),VP Infrastructure & Cloud,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,infrastructure_platforms,,Synthetic extract structured to mirror the SA05 Cloud Inventory Extract Template,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,18,EVID-0017,synthetic-demo,9bf6ed2425388208a0e8d1c526f255dc786707af1aac0d9e4351194a5ba78d99,enriched_dense_synthetic_generation_2026_07,none,EVID-0017,Cloud Platform Engineering,multi-cloud account inventory,06_infrastructure_platforms,system_of_record_extract,SA05 Cloud Inventory Extract Template,VP Infrastructure & Cloud,AWS/Azure/GCP accounts only,Feeds 06_infrastructure_platforms,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Incident/Problem/Change extract (SA06),VP IT Service Management,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,operational_process_evidence,,Synthetic extract structured to mirror the SA06 Incident/Problem/Change Extract Template,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,19,EVID-0018,synthetic-demo,4b0764d0d8f159d854d40518c9f40199931f657c10e0c523705b7f9529d6dbab,enriched_dense_synthetic_generation_2026_07,none,EVID-0018,ServiceNow ITSM,"incident, problem, and change records",18_operational_process_evidence,itsm_system_extract,SA06 Incident/Problem/Change Extract Template,VP IT Service Management,ServiceNow ITSM records only,Feeds 18_operational_process_evidence,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Splunk/CrowdStrike SOC evidence export,CISO,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,risks_controls,,Synthetic extract structured to mirror a SOC monthly evidence package,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,20,EVID-0019,synthetic-demo,344726cb82ed7fa7fcfc21b98f0d97736f67b654db46dbcb5b96c042b5a30301,enriched_dense_synthetic_generation_2026_07,none,EVID-0019,CISO organization,security event and detection evidence,11_risks_controls,security_system_extract,Splunk/CrowdStrike monthly SOC package,CISO,SOC-monitored systems only,Feeds 11_risks_controls cybersecurity rows,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Genpact AP processing quality report,CFO,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,operational_process_evidence,,Synthetic extract structured to mirror a BPO monthly quality report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,21,EVID-0020,synthetic-demo,5179b10be617189a4c0d949dfa640470bb52fc673c5d954aadb20e6ca00d1e1e,enriched_dense_synthetic_generation_2026_07,none,EVID-0020,Genpact,AP invoice processing quality,18_operational_process_evidence,bpo_quality_report,Genpact monthly quality report,CFO / VP Enterprise Applications,AP processing scope only,Feeds 18_operational_process_evidence finance rows,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,Foundever contact center performance report,VP Customer Experience,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,operational_process_evidence; metrics_outcomes,,Synthetic extract structured to mirror a monthly BPO performance report,false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,22,EVID-0021,synthetic-demo,0ef4e5650928f55d7d3c70d82d6ec65ce0be566f4253ecfc65c93e1f3ff7908e,enriched_dense_synthetic_generation_2026_07,none,EVID-0021,Foundever (Sitel Group),contact center overflow performance,18_operational_process_evidence,bpo_quality_report,Foundever monthly performance report,VP Customer Experience,Overflow contact center scope only,Feeds 14_metrics_outcomes and 18_operational_process_evidence,
skyharbor-air,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,AbarVa synthetic tenant enrichment methodology note,AbarVa synthetic data steward,,2026-07-31,synthetic_demo_planning_grade_no_real_airline_production_data,all dimensions (00-19),,"Documents the generation methodology, RNG seed, and template pack version used to enrich this synthetic tenant",false,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,universal-standard-v3,23,EVID-0022,synthetic-demo,0a999bfd178c390f4ea66f7054e4fa23dafb5bc48e168fc8f1edfe7da58ac068,enriched_dense_synthetic_generation_2026_07,none,EVID-0022,AbarVa synthetic data steward,generation methodology,00_enterprise_profile,generation_methodology_note,"AGENTS.md-governed generation run, 2026-07-31",AbarVa synthetic data steward,Applies to all 21 dimension files in this delivery,Candidate/local-only synthetic content pending explicit promotion,
skyharbor-air,SHA-INT-01-Q01,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""IROPS Recovery Copilot"" by CEO in SHA-INT-01-Q01",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""IROPS Recovery Copilot"" by CEO in SHA-INT-01-Q01",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3073,skyharbor-air:relationship:3073,synthetic-demo,048322beccc38e421708c0cccef7b64949411a6ccd0210d01a96bd5cc45ffb10,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00001,,,,,,,,,high
skyharbor-air,SHA-INT-01-Q04,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""departure control system"" by CEO in SHA-INT-01-Q04",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""departure control system"" by CEO in SHA-INT-01-Q04",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3074,skyharbor-air:relationship:3074,synthetic-demo,ab4befa067ee377b2781c9f983ba8c2cc6d260861dc4215519ce5261fc59d026,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00004,,,,,,,,,medium
skyharbor-air,SHA-INT-01-Q05,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""departure control system (dual instances)"" by CEO in SHA-INT-01-Q05",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""departure control system (dual instances)"" by CEO in SHA-INT-01-Q05",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3075,skyharbor-air:relationship:3075,synthetic-demo,404801562fd339b8810d61bf5e4a5a81eaad4f66d5631c7342e77d588bb2698d,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00005,,,,,,,,,medium
skyharbor-air,SHA-INT-01-Q06,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Snowflake Analytics Migration"" by CEO in SHA-INT-01-Q06",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Snowflake Analytics Migration"" by CEO in SHA-INT-01-Q06",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3076,skyharbor-air:relationship:3076,synthetic-demo,f555e7f417e1c48e5156b83b3c28eac8c289dec4775f41d58f247f71b4dfb0be,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00006,,,,,,,,,medium
skyharbor-air,SHA-INT-01-Q07,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""IROPS Recovery Copilot"" by CEO in SHA-INT-01-Q07",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""IROPS Recovery Copilot"" by CEO in SHA-INT-01-Q07",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3077,skyharbor-air:relationship:3077,synthetic-demo,7ab35f073a363f456a47e2dcc8bc25dbadd5ccb05ccc2aa02e9541bed6819634,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00007,,,,,,,,,medium
skyharbor-air,SHA-INT-01-Q08,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Passenger Rebooking Personalization"" by CEO in SHA-INT-01-Q08",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Passenger Rebooking Personalization"" by CEO in SHA-INT-01-Q08",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3078,skyharbor-air:relationship:3078,synthetic-demo,a8be89fbe5bbf39cc852ff7807d959cb566703211d9a0aa04b5f656396460e58,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00008,,,,,,,,,medium
skyharbor-air,SHA-INT-01-Q09,graph_endpoint_source_value_repair,Synthetic data generation,2026-07-31,,synthetic_demo_planning_grade_no_client_certified_claim,,1 row,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Passenger Rebooking Personalization"" by CEO in SHA-INT-01-Q09",false,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Passenger Rebooking Personalization"" by CEO in SHA-INT-01-Q09",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3079,skyharbor-air:relationship:3079,synthetic-demo,4dc18d0e17533e4809ce1b61d851ab25c167589b1342224f696f3f194e6ecc97,graph_endpoint_source_value_repair_2026_08_15,none,SHA-INT-EVID-00009,,,,,,,,,high
