tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,vendor_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,Salesforce,Service Cloud & Marketing Cloud Agreement,CRM / Case Management / Marketing Automation,VP Customer Experience,Director Contact Center & CX Technology,11300000,2023-06-01,2026-05-31,2026-02-28,per_user_subscription,Salesforce Service Cloud; Salesforce Marketing Cloud,Customer Experience & Contact Center; Loyalty & Customer Marketing,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,12,VEND-0011,synthetic-demo,d75de704fb570b32b701788612bce9677c1295bc80ba19b091d21ff7a60cfc4e,enriched_dense_synthetic_generation_2026_07,none,VEN-eaa0063a70,loyalty;mainline;regional,front,1
skyharbor-air,SAP SE,S/4HANA Enterprise License Agreement,ERP Software,CFO,VP Enterprise Applications,41000000,2022-01-01,2029-12-31,2029-06-30,annual_license_plus_maintenance,SAP FI; SAP CO; SAP MM; SAP Treasury; SAP Fixed Assets,Finance & Accounting; Procurement & Supply Chain,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,13,VEND-0012,synthetic-demo,cdb64b6e26f061ee8a2b485a44f85ce419693420357be4a12a525815c5cd76f8,enriched_dense_synthetic_generation_2026_07,none,VEN-0ff605ea0e,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,Workday Inc.,Workday HCM Subscription,HCM SaaS,CHRO,VP Enterprise Applications,15800000,2021-03-01,2027-02-28,2026-11-30,per_employee_subscription,Workday Core HR; Workday Payroll; Workday Recruiting; Workday Learning,Human Resources & Labor Relations,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,14,VEND-0013,synthetic-demo,644a907bcecb35391c11a2ad495a063a4aec1283c71055b8be0fad5905bc7865,enriched_dense_synthetic_generation_2026_07,none,VEN-fad358e2be,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,ADP,Payroll Tax Filing Services Agreement,Payroll Tax Compliance BPO,CHRO,VP Enterprise Applications,2400000,2021-03-01,2026-02-28,2025-11-30,per_transaction_fee,Workday Payroll (tax filing add-on),Human Resources & Labor Relations,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,15,VEND-0014,synthetic-demo,5781da9a0a26e68aff8be06a362ee48b719240e86087e8dfdf4561e1302b81ad,enriched_dense_synthetic_generation_2026_07,none,VEN-202f35494a,enterprise,back,1
skyharbor-air,Coupa Software,Procurement Suite Subscription,Procurement / Sourcing Software,VP Procurement,VP Enterprise Applications,4900000,2022-09-01,2026-08-31,2026-05-31,per_user_subscription,Coupa Sourcing; Coupa Contract Lifecycle Management,Procurement & Supply Chain,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,16,VEND-0015,synthetic-demo,77877302feff96d4b909dc4b87ca4046728da7347846eedb0c6297f587917822,enriched_dense_synthetic_generation_2026_07,none,VEN-e790a65d28,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,SAP Concur,Travel & Expense Subscription,T&E Software,CFO,VP Enterprise Applications,3200000,2022-01-01,2026-12-31,2026-09-30,per_user_subscription,SAP Concur T&E,Finance & Accounting,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,17,VEND-0016,synthetic-demo,56e9b85122632fffa51a63d2c5e8f88b2243d67dfa7130495a63caf44be024b9,enriched_dense_synthetic_generation_2026_07,none,VEN-4574f1179b,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,LeaseAccelerator (an insightsoftware company),Lease Accounting Subscription,Lease Accounting Software,CFO,VP Enterprise Applications,1600000,2025-04-01,2028-03-31,2027-12-31,per_lease_subscription,LeaseAccelerator (implementation in progress),Finance & Accounting,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,18,VEND-0017,synthetic-demo,8e05359d5491b3ef711b6d08db3a25b076e39dc285dfcafdd1316e30e2aa0aac,enriched_dense_synthetic_generation_2026_07,none,VEN-ab416c6737,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,Anaplan,FP&A Planning Platform Subscription,Financial Planning Software,CFO,VP Enterprise Applications,2100000,2023-01-01,2026-12-31,2026-09-30,per_user_subscription,Anaplan FP&A Models,Finance & Accounting,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,19,VEND-0018,synthetic-demo,e90e16e44295ddbcb8a37777c28111cc233fbfb7e36f32e0bcfc1a7e8a5ca175,enriched_dense_synthetic_generation_2026_07,none,VEN-3fd94cdf9e,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,RSA Archer,GRC Platform License,"Governance, Risk & Compliance Software",General Counsel,VP Enterprise Architecture,1800000,2022-01-01,2026-12-31,2026-09-30,annual_license,Archer GRC (SOX/audit workflow),"Legal, Regulatory & Compliance; Cybersecurity & IT Risk",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,20,VEND-0019,synthetic-demo,5764d8b03f674e3f81dd6461411bf63231fd27bf1b18486dd3e8b7157da4ad70,enriched_dense_synthetic_generation_2026_07,none,VEN-2d85f00f00,enterprise,back,1
skyharbor-air,DocuSign,CLM Subscription,Contract Lifecycle Management,General Counsel,VP Enterprise Applications,1400000,2023-01-01,2026-12-31,2026-09-30,per_user_subscription,DocuSign CLM,"Legal, Regulatory & Compliance",low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,21,VEND-0020,synthetic-demo,e74564932861ff272996976482a1875923ecc302f69fdc1e25ff1b7118eeb912,enriched_dense_synthetic_generation_2026_07,none,VEN-d5ab7815a1,cargo;enterprise;mainline;regional,back;front;middle,1
skyharbor-air,IBM Corporation,"Mainframe Hardware, Software & Global Services Agreement",Mainframe Infrastructure & Managed Ops,VP Infrastructure & Cloud,Director Mainframe & Legacy Platforms,22500000,2020-01-01,2027-12-31,2027-06-30,hardware_lease_plus_managed_services,IBM z16 Mainframe LPARs; CA-7 Batch Scheduler Infrastructure,Information Technology & Digital,high,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,22,VEND-0021,synthetic-demo,aafaa8517726e6ddf14b09298428d29c1741cba6e87b9d662b60c777ef58ba17,enriched_dense_synthetic_generation_2026_07,none,VEN-b5e3a18d23,enterprise;mainline;regional,back;middle,1
skyharbor-air,Broadcom (CA Technologies),CA-7 Workload Automation License,Mainframe Batch Scheduling Software,VP Infrastructure & Cloud,Director Mainframe & Legacy Platforms,2800000,2021-01-01,2026-12-31,2026-09-30,annual_license,CA-7 Batch Scheduler,Information Technology & Digital,medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,23,VEND-0022,synthetic-demo,bfd46bd457daeb78568c90eb77a7eb5741a2ad3abd189ff99338bd0edaafb56f,enriched_dense_synthetic_generation_2026_07,none,VEN-1d84d6f0ee,enterprise,back,1
skyharbor-air,Amazon Web Services,AWS Enterprise Agreement,Public Cloud Infrastructure,VP Infrastructure & Cloud,VP Infrastructure & Cloud,48000000,2022-01-01,2027-12-31,2027-06-30,consumption_based_committed_spend,AWS Production Workload Account; AWS Data & Analytics Account; Databricks on AWS,"Information Technology & Digital; Data, Analytics & AI",low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,24,VEND-0023,synthetic-demo,3e3a815452d160a2c58269ac4a694a9328cd42c896e44b01c5f48cb75479d058,enriched_dense_synthetic_generation_2026_07,none,VEN-aeba657b8d,enterprise,back,1
skyharbor-air,Microsoft Corporation,Azure & Microsoft 365 Enterprise Agreement,Public Cloud Infrastructure & Productivity SaaS,VP Infrastructure & Cloud,VP Infrastructure & Cloud,39500000,2023-01-01,2026-12-31,2026-09-30,consumption_based_committed_spend,Azure Identity & Security Landing Zone; Microsoft 365; Microsoft 365 Copilot,Information Technology & Digital; Cybersecurity & IT Risk,low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,25,VEND-0024,synthetic-demo,bdefe391a59a91a70a5b183a4e6fb12c0b17c665143fd24aa24cd48613def51d,enriched_dense_synthetic_generation_2026_07,none,VEN-0932e7177d,cargo;enterprise;loyalty;mainline;mro;regional,back;front;middle,1
skyharbor-air,Google Cloud,GCP Enterprise Agreement,Public Cloud Infrastructure,VP Data & AI Platforms,VP Infrastructure & Cloud,6200000,2023-06-01,2026-05-31,2026-02-28,consumption_based_committed_spend,GCP Data Science Sandbox / BigQuery workloads,"Data, Analytics & AI",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,26,VEND-0025,synthetic-demo,5b1c138beee25d5a13659ec42517750ec4de221d35dc75e7b7d6765e6fbd4df6,enriched_dense_synthetic_generation_2026_07,none,VEN-6a23344106,enterprise,back,1
skyharbor-air,Teradata Corporation,Enterprise Data Warehouse Support Agreement,Data Warehouse Appliance & Support,Chief Data & Analytics Officer,VP Data & AI Platforms,9800000,2020-01-01,2027-12-31,2027-06-30,hardware_maintenance_plus_license,"Teradata Enterprise Warehouse (Finance, Crew/Ops, Loyalty legacy marts)","Data, Analytics & AI",high,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,27,VEND-0026,synthetic-demo,c5afa765d5fda5c4ee753edd2b93c99aa0ca9e21489552ca3fe5cd38cee9ce71,enriched_dense_synthetic_generation_2026_07,none,VEN-3f7197b9fc,enterprise;loyalty;mainline;mro;regional,back;front;middle,1
skyharbor-air,Snowflake Inc.,Cloud Data Platform Subscription,Cloud Data Warehouse,Chief Data & Analytics Officer,VP Data & AI Platforms,7400000,2023-01-01,2026-12-31,2026-09-30,consumption_based_credits,Snowflake Loyalty & Personalization Domain; Snowflake Commercial Analytics Domain,"Data, Analytics & AI",low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,28,VEND-0027,synthetic-demo,603f6f0306c077f443243970339d8e3da6913b98c3c2c5e65f885ee8ce13ba7b,enriched_dense_synthetic_generation_2026_07,none,VEN-0caabcec71,enterprise;loyalty;mainline;mro;regional,back;front;middle,1
skyharbor-air,Databricks Inc.,Lakehouse Platform Subscription,AI/ML & Lakehouse Platform,Chief Data & Analytics Officer,VP Data & AI Platforms,6900000,2022-09-01,2026-08-31,2026-05-31,consumption_based_dbu,Databricks MRO Predictive Workspace; Databricks Ops AI Workspace; Databricks Customer AI Workspace,"Data, Analytics & AI",low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,29,VEND-0028,synthetic-demo,ddeb5f6215a2765103e18bf06e404131b3b2f653b35db31ddcb95da1f027cafc,enriched_dense_synthetic_generation_2026_07,none,VEN-75d79116b1,enterprise;loyalty;mainline;mro;regional,back;front;middle,1
skyharbor-air,Confluent Inc.,Kafka Event Streaming Platform Subscription,Event Streaming Middleware,VP Data & AI Platforms,VP Data & AI Platforms,3600000,2023-01-01,2026-12-31,2026-09-30,consumption_based_subscription,Confluent Kafka Event Backbone,"Data, Analytics & AI; Information Technology & Digital",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,30,VEND-0029,synthetic-demo,accb943db654f3a4bcb87322f8a1ec764f87a991815c01f9bac1f3a737134c2f,enriched_dense_synthetic_generation_2026_07,none,VEN-e4915a4fc7,enterprise;loyalty;mainline;mro;regional,back;front;middle,1
skyharbor-air,Informatica LLC,Data Integration & Governance Suite,ETL / Data Governance Software,Chief Data & Analytics Officer,VP Data & AI Platforms,4100000,2021-01-01,2026-12-31,2026-09-30,annual_license,Informatica PowerCenter ETL; Informatica Data Quality,"Data, Analytics & AI",medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,universal-standard-v3,31,VEND-0030,synthetic-demo,2f8abd24d87edabe7687178baaaf1507d12f5f9fdf524d1c4c7768fd211455bd,enriched_dense_synthetic_generation_2026_07,none,VEN-d49b9a6d13,enterprise;loyalty;mainline;mro;regional,back;front;middle,1
