tenant_key,source_record_id,ai_program_id,ai_use_case_id,stakeholder_role,interview_track,question,answer_summary,what_is_working,what_is_not_working,current_baseline,target_or_promise,evidence_request,follow_up_artifact_needed,decision_pressure,named_owner,confidence,evidence_id,interview_date,interview_format,interview_duration_minutes,verbatim_quote,consent_to_attribute,corroboration_count,corroboration_status,sentiment,contradicts_record,theme_tags,evidence_staleness_days
skyharbor-air,SA10-0011,,,CEO,data_ai,Which decisions are still made on intuition because the data does not arrive in time?,"The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.",,"The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.",Not separately measured,,contract copy,yes,board review,CEO,high,EV-SKY-0011,2026-04-09,one_to_one,90,"""The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.""",role_only,14,corroborated_multi_source,negative,no_conflict_identified,ai_pilot_stall,130
skyharbor-air,SA10-0012,,,CEO,organisation,"Where are you thin on skills, and how are you covering it today?","We cover the Catering Planning & Ordering System skill gap with a contractor who has been here two years. That is not a plan, it is a habit.",,"We cover the Catering Planning & Ordering System skill gap with a contractor who has been here two years. That is not a plan, it is a habit.",Not separately measured,,system report,no,next budget cycle,CEO,high,EV-SKY-0012,2026-04-09,one_to_one,90,"""We cover the Catering Planning & Ordering System skill gap with a contractor who has been here two years. That is not a plan, it is a habit.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,capability_gap,130
skyharbor-air,SA10-0013,,,CEO,current_state,"Which parts of the estate do you have good visibility into, and which are opaque?",The core is stable and old. Crew Training Records / LMS has not materially changed in six years and everything new has to route around it.,,,Not separately measured,,contract copy,yes,none stated,CEO,medium,EV-SKY-0013,2026-04-09,one_to_one,90,"""The core is stable and old. Crew Training Records / LMS has not materially changed in six years and everything new has to route around it.""",role_only,14,corroborated_multi_source,negative,yes_conflicts_with_system_data,legacy_gravity,130
skyharbor-air,SA10-0014,,,CEO,priorities,"If you had one additional pound of investment, where would it go and why?","In eighteen months I want to be able to answer what Corporate Strategy & M&A Integration costs and what it delivers, without a three-week exercise.",,,Not separately measured,,cost centre breakdown,yes,next budget cycle,CEO,medium,EV-SKY-0014,2026-04-09,one_to_one,90,"""In eighteen months I want to be able to answer what Corporate Strategy & M&A Integration costs and what it delivers, without a three-week exercise.""",role_only,21,corroborated_multi_source,neutral,no_conflict_identified,success_definition,130
skyharbor-air,SA10-0015,,,CEO,current_state,What would surprise an outsider about how this actually runs day to day?,"Most of the fragility is not in the systems, it is between them. The interfaces around Salesforce Marketing Cloud (Loyalty Campaigns) break whenever either end is patched.",,,Not separately measured,,system report,no,board review,CEO,high,EV-SKY-0015,2026-04-09,one_to_one,90,"""Most of the fragility is not in the systems, it is between them. The interfaces around Salesforce Marketing Cloud (Loyalty Campaigns) break whenever either end is patched.""",role_only,20,corroborated_multi_source,negative,yes_conflicts_with_system_data,integration_debt,130
skyharbor-air,SA10-0016,,,CEO,priorities,Where do your priorities differ from what the enterprise plan says they are?,"In eighteen months I want to be able to answer what Corporate Strategy & M&A Integration costs and what it delivers, without a three-week exercise.",,,Not separately measured,,cost centre breakdown,no,none stated,CEO,high,EV-SKY-0016,2026-04-09,one_to_one,90,"""In eighteen months I want to be able to answer what Corporate Strategy & M&A Integration costs and what it delivers, without a three-week exercise.""",role_only,21,corroborated_multi_source,neutral,no_conflict_identified,success_definition,130
skyharbor-air,SA10-0017,,,CEO,current_state,How would you describe the current state of the technology estate in your area?,"Most of the fragility is not in the systems, it is between them. The interfaces around Fleet Assignment Optimizer break whenever either end is patched.",,,Not separately measured,,audit finding record,no,none stated,CEO,medium,EV-SKY-0017,2026-04-09,one_to_one,90,"""Most of the fragility is not in the systems, it is between them. The interfaces around Fleet Assignment Optimizer break whenever either end is patched.""",role_only,20,corroborated_multi_source,negative,yes_conflicts_with_system_data,integration_debt,130
skyharbor-air,SA10-0018,,,CEO,value,Which benefit case are you least confident actually landed?,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",Not separately measured,,system report,yes,next budget cycle,CEO,high,EV-SKY-0018,2026-04-09,one_to_one,90,"""We do not know. The benefit case is written at approval and never revisited, and no one owns going back.""",role_only,25,corroborated_multi_source,negative,no_conflict_identified,value_realisation,130
skyharbor-air,SA10-0019,,,CEO,sourcing,Where are you paying for capacity or licences you are not using?,ATPCO. We cannot change anything without their professional services and their queue is eight weeks.,,ATPCO. We cannot change anything without their professional services and their queue is eight weeks.,Not separately measured,,contract copy,yes,board review,CEO,high,EV-SKY-0019,2026-04-09,one_to_one,90,"""ATPCO. We cannot change anything without their professional services and their queue is eight weeks.""",role_only,21,corroborated_multi_source,negative,yes_conflicts_with_system_data,vendor_dependency,130
skyharbor-air,SA10-0020,,,CEO,portfolio,What is in the portfolio that you would stop if the decision were yours alone?,"PureConnect to Genesys Cloud CX Migration will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",,"PureConnect to Genesys Cloud CX Migration will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",Not separately measured,,process timing study,yes,contract renewal,CEO,medium,EV-SKY-0020,2026-04-09,one_to_one,90,"""PureConnect to Genesys Cloud CX Migration will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.""",role_only,13,corroborated_multi_source,negative,no_conflict_identified,date_confidence,130
skyharbor-air,SA10-0021,,,COO,current_state,"Which parts of the estate do you have good visibility into, and which are opaque?","Data Product Catalog (Internal) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.",,,Not separately measured,,system report,no,contract renewal,COO,medium,EV-SKY-0021,2026-04-10,one_to_one,90,"""Data Product Catalog (Internal) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.""",role_only,19,corroborated_multi_source,negative,no_conflict_identified,estate_fragmentation,129
skyharbor-air,SA10-0022,,,COO,value,Which benefit case are you least confident actually landed?,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",Not separately measured,,process timing study,yes,board review,COO,medium,EV-SKY-0022,2026-04-10,one_to_one,90,"""We do not know. The benefit case is written at approval and never revisited, and no one owns going back.""",role_only,25,corroborated_multi_source,negative,no_conflict_identified,value_realisation,129
skyharbor-air,SA10-0023,,,COO,challenges,Which problem have you raised more than once without it moving?,Two people understand Informatica PowerCenter ETL end to end. One of them is eighteen months from retirement and we have no plan.,,Two people understand Informatica PowerCenter ETL end to end. One of them is eighteen months from retirement and we have no plan.,Not separately measured,,audit finding record,no,none stated,COO,high,EV-SKY-0023,2026-04-10,one_to_one,90,"""Two people understand Informatica PowerCenter ETL end to end. One of them is eighteen months from retirement and we have no plan.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,capability_gap,129
skyharbor-air,SA10-0024,,,COO,ways_of_working,What have you stopped escalating because it never gets resolved?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,contract copy,yes,contract renewal,COO,medium,EV-SKY-0024,2026-04-10,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,governance_friction,129
skyharbor-air,SA10-0025,,,COO,data_ai,"What has AI actually changed in your area, as opposed to what has been piloted?",I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.,,I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.,Not separately measured,,cost centre breakdown,no,none stated,COO,high,EV-SKY-0025,2026-04-10,one_to_one,90,"""I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,data_trust,129
skyharbor-air,SA10-0026,,,COO,portfolio,What is in the portfolio that you would stop if the decision were yours alone?,"Teradata to Snowflake Migration Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",,"Teradata to Snowflake Migration Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.",Not separately measured,,system report,yes,next budget cycle,COO,medium,EV-SKY-0026,2026-04-10,one_to_one,90,"""Teradata to Snowflake Migration Program will land, but not on the date in the plan. The dependency on the platform migration slipped two quarters and we never re-baselined.""",role_only,13,corroborated_multi_source,negative,no_conflict_identified,date_confidence,129
skyharbor-air,SA10-0027,,,COO,challenges,What is the single biggest constraint on your team's throughput right now?,"We are not short of ideas, we are short of people who can safely change iCargo Booking & Management. Everything queues behind the same four engineers.",,"We are not short of ideas, we are short of people who can safely change iCargo Booking & Management. Everything queues behind the same four engineers.",Not separately measured,,audit finding record,no,next budget cycle,COO,high,EV-SKY-0027,2026-04-10,one_to_one,90,"""We are not short of ideas, we are short of people who can safely change iCargo Booking & Management. Everything queues behind the same four engineers.""",role_only,12,corroborated_multi_source,negative,no_conflict_identified,throughput_constraint,129
skyharbor-air,SA10-0028,,,COO,value,How do you know whether last year's investment delivered what it promised?,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",,"We do not know. The benefit case is written at approval and never revisited, and no one owns going back.",Not separately measured,,contract copy,no,none stated,COO,medium,EV-SKY-0028,2026-04-10,one_to_one,90,"""We do not know. The benefit case is written at approval and never revisited, and no one owns going back.""",role_only,25,corroborated_multi_source,negative,no_conflict_identified,value_realisation,129
skyharbor-air,SA10-0029,,,COO,ways_of_working,Where does governance add time without changing the outcome?,A decision needing three functions takes a quarter. Most people have learned to avoid needing one.,,A decision needing three functions takes a quarter. Most people have learned to avoid needing one.,Not separately measured,,contract copy,no,none stated,COO,medium,EV-SKY-0029,2026-04-10,one_to_one,90,"""A decision needing three functions takes a quarter. Most people have learned to avoid needing one.""",role_only,9,corroborated_multi_source,negative,no_conflict_identified,decision_latency,129
skyharbor-air,SA10-0030,,,COO,challenges,What keeps you awake that the executive team does not fully appreciate?,Two people understand Executive Reporting Briefing Book Generator end to end. One of them is eighteen months from retirement and we have no plan.,,Two people understand Executive Reporting Briefing Book Generator end to end. One of them is eighteen months from retirement and we have no plan.,Not separately measured,,cost centre breakdown,no,next budget cycle,COO,medium,EV-SKY-0030,2026-04-10,one_to_one,90,"""Two people understand Executive Reporting Briefing Book Generator end to end. One of them is eighteen months from retirement and we have no plan.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,capability_gap,129
skyharbor-air,SA10-0031,,,COO,portfolio,"Which initiative is most at risk, and what is the honest reason?",We approved SAF Blend & Regulatory Reporting Automation with a benefit number and nobody has been back to check whether it landed.,,We approved SAF Blend & Regulatory Reporting Automation with a benefit number and nobody has been back to check whether it landed.,Not separately measured,,system report,no,contract renewal,COO,medium,EV-SKY-0031,2026-04-10,one_to_one,90,"""We approved SAF Blend & Regulatory Reporting Automation with a benefit number and nobody has been back to check whether it landed.""",role_only,25,corroborated_multi_source,negative,no_conflict_identified,value_realisation,129
skyharbor-air,SA10-0032,,,COO,data_ai,"Where do you not trust the numbers, and what do you do instead?",I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.,,I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.,Not separately measured,,audit finding record,no,next budget cycle,COO,medium,EV-SKY-0032,2026-04-10,one_to_one,90,"""I do not trust the Flight Operations numbers without checking them against the source. Most of my team keeps their own extract.""",role_only,22,corroborated_multi_source,negative,yes_conflicts_with_system_data,data_trust,129
skyharbor-air,SA10-0033,,,COO,priorities,Where do your priorities differ from what the enterprise plan says they are?,"In eighteen months I want to be able to answer what Flight Operations costs and what it delivers, without a three-week exercise.",,,Not separately measured,,process timing study,no,contract renewal,COO,high,EV-SKY-0033,2026-04-10,one_to_one,90,"""In eighteen months I want to be able to answer what Flight Operations costs and what it delivers, without a three-week exercise.""",role_only,21,corroborated_multi_source,neutral,no_conflict_identified,success_definition,129
skyharbor-air,SA10-0034,,,COO,data_ai,Which decisions are still made on intuition because the data does not arrive in time?,"The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.",,"The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.",Not separately measured,,contract copy,yes,contract renewal,COO,medium,EV-SKY-0034,2026-04-10,one_to_one,90,"""The pilot proved the capability and then stopped, because nobody owned the operational rollout or the funding beyond the trial.""",role_only,14,corroborated_multi_source,negative,no_conflict_identified,ai_pilot_stall,129
skyharbor-air,SA10-0035,,,COO,organisation,"Where are you thin on skills, and how are you covering it today?","We cover the JetPlan Flight Planning skill gap with a contractor who has been here two years. That is not a plan, it is a habit.",,"We cover the JetPlan Flight Planning skill gap with a contractor who has been here two years. That is not a plan, it is a habit.",Not separately measured,,system report,yes,contract renewal,COO,medium,EV-SKY-0035,2026-04-10,one_to_one,90,"""We cover the JetPlan Flight Planning skill gap with a contractor who has been here two years. That is not a plan, it is a habit.""",role_only,23,corroborated_multi_source,negative,yes_conflicts_with_system_data,capability_gap,129
skyharbor-air,SA10-0036,,,COO,priorities,What are your top three priorities for the next twelve months?,"Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.",,,Not separately measured,,contract copy,no,board review,COO,medium,EV-SKY-0036,2026-04-10,one_to_one,90,"""Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.""",role_only,25,corroborated_multi_source,neutral,no_conflict_identified,investment_priority,129
skyharbor-air,SA10-0037,,,COO,ways_of_working,How long does it take to get a decision that needs three functions to agree?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,audit finding record,yes,next budget cycle,COO,medium,EV-SKY-0037,2026-04-10,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,governance_friction,129
skyharbor-air,SA10-0038,,,COO,current_state,How would you describe the current state of the technology estate in your area?,"MRO Predictive Maintenance Models (Databricks) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.",,,Not separately measured,,process timing study,no,next budget cycle,COO,high,EV-SKY-0038,2026-04-10,one_to_one,90,"""MRO Predictive Maintenance Models (Databricks) does the job it was bought for, but we run three other systems alongside it for regions it never covered. Nobody has owned consolidating them.""",role_only,19,corroborated_multi_source,negative,no_conflict_identified,estate_fragmentation,129
skyharbor-air,SA10-0039,,,COO,current_state,What would surprise an outsider about how this actually runs day to day?,"Most of the fragility is not in the systems, it is between them. The interfaces around Common-Use Terminal Equipment — Dallas-Fort Worth (DFW) — Secondary Hub break whenever either end is patched.",,,Not separately measured,,cost centre breakdown,yes,contract renewal,COO,high,EV-SKY-0039,2026-04-10,one_to_one,90,"""Most of the fragility is not in the systems, it is between them. The interfaces around Common-Use Terminal Equipment — Dallas-Fort Worth (DFW) — Secondary Hub break whenever either end is patched.""",role_only,20,corroborated_multi_source,negative,no_conflict_identified,integration_debt,129
skyharbor-air,SA10-0040,,,COO,priorities,What would you need to be true in eighteen months to consider this period a success?,"Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.",,,Not separately measured,,process timing study,yes,none stated,COO,medium,EV-SKY-0040,2026-04-10,one_to_one,90,"""Data quality before more analytics. Another dashboard on the current foundation makes the problem worse, not better.""",role_only,25,corroborated_multi_source,neutral,no_conflict_identified,investment_priority,129
skyharbor-air,SA10-0041,,,COO,current_state,"Which systems are genuinely fit for purpose, and which are you working around?","I have good visibility into Flight Operations, and almost none into what the business has bought directly without going through us.",,,Not separately measured,,process timing study,yes,next budget cycle,COO,medium,EV-SKY-0041,2026-04-10,one_to_one,90,"""I have good visibility into Flight Operations, and almost none into what the business has bought directly without going through us.""",role_only,10,corroborated_multi_source,negative,no_conflict_identified,visibility_gap,129
skyharbor-air,SA10-0042,,,CFO,sourcing,Where are you paying for capacity or licences you are not using?,We are paying for entitlements on Leave-Of-Absence Case Management Status Board that a third of the licensed population has never opened.,,We are paying for entitlements on Leave-Of-Absence Case Management Status Board that a third of the licensed population has never opened.,Not separately measured,,system report,yes,none stated,CFO,high,EV-SKY-0042,2026-06-24,one_to_one,90,"""We are paying for entitlements on Leave-Of-Absence Case Management Status Board that a third of the licensed population has never opened.""",role_only,0,uncorroborated_opinion,negative,no_conflict_identified,shelfware,54
skyharbor-air,SA10-0043,,,CFO,challenges,What keeps you awake that the executive team does not fully appreciate?,Reconciling Finance & Accounting data between Fleet Assignment Optimizer and the ledger is manual and takes days at every close.,,Reconciling Finance & Accounting data between Fleet Assignment Optimizer and the ledger is manual and takes days at every close.,Not separately measured,,system report,no,none stated,CFO,high,EV-SKY-0043,2026-06-24,one_to_one,90,"""Reconciling Finance & Accounting data between Fleet Assignment Optimizer and the ledger is manual and takes days at every close.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,manual_effort,54
skyharbor-air,SA10-0044,,,CFO,risk,Which risk are you carrying that is accepted rather than mitigated?,The Finance & Accounting recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.,,The Finance & Accounting recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.,Not separately measured,,system report,yes,next budget cycle,CFO,medium,EV-SKY-0044,2026-06-24,one_to_one,90,"""The Finance & Accounting recovery position is accepted rather than mitigated. It has been on the register for three years with the same owner.""",role_only,18,corroborated_multi_source,negative,no_conflict_identified,accepted_risk,54
skyharbor-air,SA10-0045,,,CFO,data_ai,"What has AI actually changed in your area, as opposed to what has been piloted?",I do not trust the Finance & Accounting numbers without checking them against the source. Most of my team keeps their own extract.,,I do not trust the Finance & Accounting numbers without checking them against the source. Most of my team keeps their own extract.,Not separately measured,,contract copy,yes,contract renewal,CFO,medium,EV-SKY-0045,2026-06-24,one_to_one,90,"""I do not trust the Finance & Accounting numbers without checking them against the source. Most of my team keeps their own extract.""",role_only,22,corroborated_multi_source,negative,no_conflict_identified,data_trust,54
skyharbor-air,SA10-0046,,,CFO,ways_of_working,How long does it take to get a decision that needs three functions to agree?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,contract copy,yes,none stated,CFO,medium,EV-SKY-0046,2026-06-24,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,governance_friction,54
skyharbor-air,SA10-0047,,,CFO,ways_of_working,What have you stopped escalating because it never gets resolved?,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,,Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.,Not separately measured,,system report,yes,none stated,CFO,high,EV-SKY-0047,2026-06-24,one_to_one,90,"""Architecture review adds six weeks and rarely changes the outcome. The standards are sensible; the process around them is not.""",role_only,23,corroborated_multi_source,negative,no_conflict_identified,governance_friction,54
skyharbor-air,SA10-0048,,,CFO,data_ai,"Where do you not trust the numbers, and what do you do instead?","Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.",,"Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.",Not separately measured,,contract copy,no,next budget cycle,CFO,medium,EV-SKY-0048,2026-06-24,one_to_one,90,"""Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.""",role_only,10,corroborated_multi_source,negative,no_conflict_identified,data_latency,54
skyharbor-air,SA10-0049,,,CFO,priorities,What would you need to be true in eighteen months to consider this period a success?,"Stabilising the Finance & Accounting platform, ahead of anything new. We keep adding capability on a foundation that cannot carry it.",,,Not separately measured,,contract copy,yes,contract renewal,CFO,high,EV-SKY-0049,2026-06-24,one_to_one,90,"""Stabilising the Finance & Accounting platform, ahead of anything new. We keep adding capability on a foundation that cannot carry it.""",role_only,25,corroborated_multi_source,neutral,no_conflict_identified,investment_priority,54
skyharbor-air,SA10-0050,,,CFO,data_ai,Which decisions are still made on intuition because the data does not arrive in time?,"Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.",,"Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.",Not separately measured,,cost centre breakdown,no,none stated,CFO,high,EV-SKY-0050,2026-06-24,one_to_one,90,"""Finance & Accounting decisions are made on data that is a day old. By the time we see it, the operational window has closed.""",role_only,10,corroborated_multi_source,negative,yes_conflicts_with_system_data,data_latency,54
skyharbor-air,SA10-0051,,,CFO,priorities,What are your top three priorities for the next twelve months?,"Stabilising the Finance & Accounting platform, ahead of anything new. We keep adding capability on a foundation that cannot carry it.",,,Not separately measured,,audit finding record,yes,contract renewal,CFO,high,EV-SKY-0051,2026-06-24,one_to_one,90,"""Stabilising the Finance & Accounting platform, ahead of anything new. We keep adding capability on a foundation that cannot carry it.""",role_only,25,corroborated_multi_source,neutral,no_conflict_identified,investment_priority,54
skyharbor-air,SA10-0052,,,CFO,portfolio,What is in the portfolio that you would stop if the decision were yours alone?,We approved Digital concierge and journey orchestration modernization with a benefit number and nobody has been back to check whether it landed.,,We approved Digital concierge and journey orchestration modernization with a benefit number and nobody has been back to check whether it landed.,Not separately measured,,system report,yes,contract renewal,CFO,medium,EV-SKY-0052,2026-06-24,one_to_one,90,"""We approved Digital concierge and journey orchestration modernization with a benefit number and nobody has been back to check whether it landed.""",role_only,25,corroborated_multi_source,negative,no_conflict_identified,value_realisation,54
