tenant_key,risk_or_control_name,risk_domain,business_function,systems_impacted,severity,likelihood,control_owner,control_status,evidence_required,mitigation_plan,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,risk_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops,inherent_risk_score,residual_risk_score,last_tested_date,remediation_cost_usd,regulatory_driver
skyharbor-air,SAF blend regulatory reporting is a manual spreadsheet process,compliance,Fuel Management & Sustainability,SAF Blend Regulatory Reporting Spreadsheet,medium,medium,VP Fuel & Sustainability,open,Automated SAF blend reporting go-live evidence,Automate SAF blend and regulatory reporting by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,12,RISK-0011,synthetic-demo,6686821766fdc030e60fca8115010d9981bda00bafb3df759d69cacfc997c1bf,enriched_dense_synthetic_generation_2026_07,none,RSK-b3ce3a4daf,cargo;enterprise;mainline;regional,back;front;middle,2,9,8,,244000,no
skyharbor-air,Nightly Teradata batch window approaching SLA cutoff,capacity,"Data, Analytics & AI",Teradata Enterprise Warehouse — Finance Subject Area; Teradata Enterprise Warehouse — Crew & Ops Subject Area,high,medium,VP Data & AI Platforms,open,Nightly batch window duration trend report,Migrate finance and crew/ops subject areas onto Snowflake to relieve batch-window pressure,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,13,RISK-0012,synthetic-demo,57b15b83acef7f5389f6a997ef99c3e9dd44445a809a371c767c855a5c9c74ea,enriched_dense_synthetic_generation_2026_07,none,RSK-524193d95e,enterprise;loyalty;mainline;mro;regional,back;front;middle,2,12,9,,145000,no
skyharbor-air,DR failover not fully tested against current production load,resilience,Information Technology & Digital,DC-West Secondary Data Center (DR); IBM z16 Mainframe LPAR — DR1,high,low,VP Infrastructure & Cloud,open,Most recent full DR cutover test report,Schedule and execute a full DR cutover test against current production load,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,14,RISK-0013,synthetic-demo,426b5d18d93b9afe214154e89e5476060c705c6fbb541dbecbaae68d60be3ac4,enriched_dense_synthetic_generation_2026_07,none,RSK-7d795168e8,UNDECLARED,UNDECLARED,,12,11,,290000,no
skyharbor-air,Union grievance data fragmented from Workday system of record,compliance,Human Resources & Labor Relations,Legacy Union Grievance Tracker; Workday Core HR,medium,high,CHRO,open,Grievance case re-keying error/discrepancy log,Evaluate replacing the legacy tracker with a Workday extension,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,15,RISK-0014,synthetic-demo,393453600f631c7531c3d92b705fc3c1b75a2d5fd524d5561f33a25f668eb94f,enriched_dense_synthetic_generation_2026_07,none,RSK-215e911f9e,cargo;enterprise;mainline;regional,back;front;middle,2,9,8,,246000,no
skyharbor-air,Interline settlement with Meridian still a manual monthly file exchange,financial_controls,Finance & Accounting,Interline & Codeshare Settlement Engine; Meridian Legacy Finance System,medium,medium,CFO,open,Settlement reconciliation exception report,Automate interline settlement once Meridian Legacy Finance System is retired,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,16,RISK-0015,synthetic-demo,4881a71e646394c811490a0d8aa5d0839d9eca8e81fd3b867b1fddcbc5c6aa18,enriched_dense_synthetic_generation_2026_07,none,RSK-b9d5d15be9,enterprise;mainline;regional,back;middle,2,9,9,,277000,no
skyharbor-air,Vulnerability remediation SLA compliance,cybersecurity,Cybersecurity & IT Risk,Vulnerability Management Platform,high,medium,CISO,open,Remediation SLA compliance report by severity tier,Pilot the Vulnerability Prioritization AI use case to reduce mean time to remediate,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,17,RISK-0016,synthetic-demo,0fd749660a5c6a74c2ab06c1ae03dc93ede9eb33387fd2ea71220e30c22fa0f2,enriched_dense_synthetic_generation_2026_07,none,RSK-47323af721,enterprise,back,2,12,10,,335000,no
skyharbor-air,Shadow IT / ungoverned departmental tools outside CMDB,it_governance,Information Technology & Digital,IT Asset Inventory Spreadsheet (station-level); multiple long-tail departmental tools,medium,high,VP Enterprise Architecture,open,ServiceNow CMDB coverage percentage vs. discovered assets,Run a shadow-IT discovery scan and bring identified tools under CMDB governance,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,18,RISK-0017,synthetic-demo,8741ed0875e95547f344f0feafe73c51cb3d4d261c890593577cf3724c1dbecd,enriched_dense_synthetic_generation_2026_07,none,RSK-75f95c75a9,enterprise,back,2,9,8,,207000,no
skyharbor-air,Onboard retail POS reconciliation to revenue accounting is manual monthly,financial_controls,In-Flight Services & Catering,Onboard Retail POS; Revenue Accounting Core,low,high,VP In-Flight Services,open,Reconciliation automation implementation evidence,Automate the daily onboard retail POS-to-revenue-accounting reconciliation,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,19,RISK-0018,synthetic-demo,1059dd5a7fc457cb40d8623e01821d448f5a30b8f4e13fb44cfae57a1301a61c,enriched_dense_synthetic_generation_2026_07,none,RSK-5a98ed8da9,cargo;enterprise;mainline;regional,back;front;middle,2,6,5,,117000,no
skyharbor-air,RFID bag tracking coverage gap beyond 41 stations,operational,Airport & Ground Operations,RFID Bag Tracking Platform; WorldTracer Baggage Tracing,medium,high,SVP Airport Operations,open,Station-by-station RFID coverage map,Execute the RFID Bag Tracking Expansion program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,20,RISK-0019,synthetic-demo,5488ea7f30dd4b2f0b555a278d1ec80643f6bd709495c0deb6433c4d06ee5fa4,enriched_dense_synthetic_generation_2026_07,none,RSK-ff8a3a9430,cargo;mainline;regional,middle,2,9,7,,264000,no
skyharbor-air,GenAI use-case governance review capacity constraint,ai_governance,"Data, Analytics & AI",Enterprise GenAI Gateway (Claude),medium,medium,Chief Data & Analytics Officer,open,GenAI use-case approval backlog report,Increase governance review capacity as part of the GenAI Use Case Expansion program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,21,RISK-0020,synthetic-demo,7b84a1271710ebb97cf4443818dd632275d19c2752b45cae82541cb5c78ee0c2,enriched_dense_synthetic_generation_2026_07,none,RSK-eb2b83235a,enterprise;loyalty;mainline;mro;regional,back;front;middle,2,9,8,,264000,no
skyharbor-air,Crew and Station Productivity Copilot usage below adoption target,ai_value_realization,Crew Operations,Microsoft 365 Copilot,medium,medium,VP Crew Operations,open,Weekly active usage vs. 60% adoption target,Drive adoption campaign and finance-validate realized value before further Tower claims,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,22,RISK-0021,synthetic-demo,5a9c052d255553ee54eb624e63bd11e39174638e3d520642d26f74af6b37bb7e,enriched_dense_synthetic_generation_2026_07,none,RSK-cde8af89c6,enterprise;loyalty;mainline;mro;regional,back;front;middle,2,9,8,,215000,no
skyharbor-air,"Fare Filing ATPCO interface still batch, not real time",operational,Revenue Management & Pricing,Fare Filing / ATPCO Interface,low,medium,VP Revenue Management,open,Real-time ATPCO API migration evidence,Retire the legacy batch interface in favor of ATPCO's real-time API,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,23,RISK-0022,synthetic-demo,f440d4f2243cfb3ff4ac76961ad1f442b4cfba3b4fe9819d0802d5eba0055a6e,enriched_dense_synthetic_generation_2026_07,none,RSK-9192ed9edd,cargo;loyalty;mainline;regional,front;middle,2,6,5,,84000,no
skyharbor-air,Slot coordination for constrained airports still manual,compliance,Network Planning & Scheduling,Slot Coordination Tracker,medium,medium,VP Network Planning,open,Regulator portal API availability assessment,Automate the slot-filing workflow per the Slot Coordination Workflow Automation program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,24,RISK-0023,synthetic-demo,12852d4f2239e1deeb8ef35dc8465493485ba2e424464bd3ab9ac3460b025268,enriched_dense_synthetic_generation_2026_07,none,RSK-6f525074c6,cargo;loyalty;mainline;regional,front;middle,2,9,8,,132000,no
skyharbor-air,Data quality: legacy Meridian identifier scheme still present in multiple domains,data_quality,"Data, Analytics & AI",multiple applications flagged with Meridian-integration data quality notes,medium,high,Chief Data & Analytics Officer,open,Meridian identifier remediation completion percentage by domain,Complete identifier remediation as part of the Meridian Regional Technology Integration Program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,25,RISK-0024,synthetic-demo,d3b4f6cce566cc6e126d43fb0dc09e0554e33e8bb9c4e0d07aa1e5c3a81a0a57,enriched_dense_synthetic_generation_2026_07,none,RSK-f345f9e775,UNDECLARED,UNDECLARED,,9,9,,184000,no
skyharbor-air,Group/charter booking inventory not real-time with NDC channel,operational,"Distribution, Sales & E-Commerce",Group & Charter Booking Desk Tool; NDC Distribution API Gateway,low,medium,VP Distribution & E-Commerce,open,Real-time inventory integration evidence,Retire the legacy group/charter tool per the NDC Distribution Completion Program,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,26,RISK-0025,synthetic-demo,51af373f7679322d7906c842172b818341b67e15c667682ae8ec300e69d62d3b,enriched_dense_synthetic_generation_2026_07,none,RSK-da4b6d19f3,cargo;enterprise;loyalty;mainline;regional,back;front;middle,2,6,5,,118000,no
skyharbor-air,Fuel invoice reconciliation manual process,financial_controls,Fuel Management & Sustainability,Fuel Invoice Reconciliation Tool; Fuel Hedging & Trading System,low,medium,VP Fuel & Sustainability,open,Reconciliation exception rate report,Evaluate automation of fuel invoice reconciliation,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,27,RISK-0026,synthetic-demo,654dc6f71b99bf9b5e92ea9c19eb0e2acfacdf2c209135901938e221f7d2c3db,enriched_dense_synthetic_generation_2026_07,none,RSK-be96a01037,cargo;enterprise;mainline;regional,back;front;middle,2,6,5,,135000,no
skyharbor-air,MRO parts spend not reconciled with Coupa category analytics,financial_controls,Procurement & Supply Chain,TRAX Inventory / Rotables; Coupa Sourcing,low,medium,VP Procurement,open,Spend reconciliation variance report,Integrate TRAX parts procurement spend into Coupa analytics by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,28,RISK-0027,synthetic-demo,287a41d0f182955b579808f1975d28cee34f795d95fcf2f168d99a8d577c7879,enriched_dense_synthetic_generation_2026_07,none,RSK-9abf9e2e65,cargo;enterprise;mainline;mro;regional,back;front;middle,2,6,5,,84000,no
skyharbor-air,Legacy paper contract backlog not digitized,compliance,"Legal, Regulatory & Compliance",DocuSign CLM (Enterprise Contracts),low,medium,General Counsel,open,Contract digitization backlog completion percentage,Complete legacy contract digitization backlog by FY27,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,29,RISK-0028,synthetic-demo,04e84ba737730b94884faac7e9d0a22828ccd5d2e0d2886eb1937d3bc85c40fc,enriched_dense_synthetic_generation_2026_07,none,RSK-481169bad8,cargo;enterprise;mainline;regional,back;front;middle,2,6,5,,118000,no
skyharbor-air,Multi-cloud cost tagging inconsistency,financial_controls,Information Technology & Digital,AWS Production Workload Account; Azure Identity & Security Landing Zone; GCP Data Science Sandbox,medium,high,VP Infrastructure & Cloud,open,Cost allocation accuracy report by business function,Standardize multi-cloud tagging policy and enforce via cloud governance tooling,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,30,RISK-0029,synthetic-demo,8ad9853d15dee5ab23fa8a922f0582d98605e1282e4dd93890dfa02073c552c6,enriched_dense_synthetic_generation_2026_07,none,RSK-63b4000a81,UNDECLARED,UNDECLARED,,9,8,,176000,no
skyharbor-air,Facilities CMMS coverage limited to major hub facilities,operational,Corporate Real Estate & Facilities,IBM Maximo CMMS,low,medium,VP Corporate Real Estate,open,Maximo coverage expansion tracking report,Extend Maximo coverage to the top 15 outstations by FY28,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,universal-standard-v3,31,RISK-0030,synthetic-demo,d46fcba631ac777df15a08591aa19e8aaa63accd16afc15d86de875ca8343715,enriched_dense_synthetic_generation_2026_07,none,RSK-d6974592ed,enterprise,back,2,6,6,,94000,no
