tenant_key,interview_mention_text,mention_field,canonical_object_type,canonical_object_name,match_confidence,match_rationale
skyharbor-air,cost-of-IROPS-day variance across submissions,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,reserve-crew shortfall cost,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,spend-to-project traceability rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,dual-platform licensing cost,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,value-case accountability rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,utilization rate by role and hub,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor concentration ratio,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,capital-gate pass rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,joint-signoff completion rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,recovery cost per IROPS event,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,disruption compounding rate per hour,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,handoff reconciliation time,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,ground-time variance across quarters,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,outstation scan coverage rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,batch-to-live data lag,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,aircraft-on-ground data completeness,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,duty-manager override rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,time-to-answer on gate device,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,safety-override incidence rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,recommendation accuracy by hub,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,recommendation-vs-outcome match rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,turnaround-time variance by station,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,workloads migrated off Teradata (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,estimate variance on integration-touching work,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,run-the-business spend as % of IT budget,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,tail-number status agreement rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,number of regional system variants,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,build-vs-buy decision consistency,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,retirement decisions overridden (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,engineers reskilled to cloud-native (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,applications past end-of-support (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,systems with governed real-time context feeds (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,inventory completeness rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,technical debt score by application,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,production workloads in cloud (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,change lead time (mainframe vs. cloud),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,dual-running cost as % of infra budget,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,pipeline failure detection latency,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,cloud spend variance vs. FinOps forecast,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,mainframe vendor specialist headcount trend,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,teams onboarded to platform-engineering model (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,DR RTO/RPO by workload tier,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,AI workloads on shared vs. isolated compute,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,schedule slip attributable to rediscovered dependencies,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,DR RTO/RPO by tier,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,Teradata workloads retired (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,pipeline completeness rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,dashboard active-use rate,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,data quality pass rate by domain,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,analytics workload split across platforms,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,unused Teradata capacity paid for,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,domains with designated data steward (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,self-service query volume by business user,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,PII data flows cataloged (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,AI initiatives with shared monitoring tooling (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,end-to-end lineage coverage for key metrics,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,credential stores consolidated (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,P1 incident MTTR (cross-environment),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor risk assessments completed (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,telemetry coverage rate by environment,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,cloud accounts under continuous CSPM scanning (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendors with current SOC 2 evidence on file (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,launches delayed for security review (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,tabletop exercises conducted per year,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,unpatched end-of-life systems (count),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,AI guardrail checklist items cleared (of 3),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,initiatives mapped to control evidence (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,mean time to remediate (critical vulnerabilities),metric_mentioned,metric,Mean Time to Remediate (Critical Vulnerabilities),high,Exact text match (case-insensitive) to the canonical metric name and definition (average days to remediate critical-severity vulnerabilities).
skyharbor-air,initiatives with standardized DOT review (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,initiatives with early-stage privacy review (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,AI initiatives with dedicated PIA (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,time to produce PII system inventory,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,third-party integrations with completed compliance review (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor contracts on current DPA standard (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,initiatives with mandatory privacy review (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,employees completing AI-specific privacy training (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,DOT-reportable inaccuracy incidents,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,human-review audit trail completeness,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,PIAs current within the last 90 days (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,time-to-close on AI-related compliance findings,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendors with unified risk score (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,sponsors engaging procurement pre-selection (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor-to-data-domain mapping completeness,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,estimated data-migration cost if switching MRO vendor,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,mainframe support contract cost trend,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,flagged-risk vendors onboarded anyway (count),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,sponsors completing vendor-risk process training (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,AI vendors with AI-specific DPA (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor mapping refresh frequency,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,vendor concentration ratio by system category,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,union engagement milestones met on schedule (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,training completed before go-live (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,adoption-rate delta with vs. without dedicated change team,metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
skyharbor-air,roles with documented skills inventory (%),metric_mentioned,no_canonical_match,,high,No canonical metric in the 26-metric list shares this definition or measurement basis; this is a bespoke KPI phrase coined for this interview response with no clear canonical counterpart.
