tenant_key,process_name,business_function,process_owner,systems_used,volume_metric,cycle_time,pain_points,control_points,automation_candidate,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,transaction_volume,error_rate_pct,rework_pct,automation_pct,cost_per_transaction
skyharbor-air,Loyalty Award Redemption Process,Loyalty & Customer Marketing,Loyalty Program Analyst,Loyalty Redemption & Booking Engine; SkyHarbor Rewards Loyalty Core,"~28,000 redemption bookings/day",Real-time for standard redemptions,Award inventory sync with Amadeus Altéa Inventory has occasional latency during peak periods,Automated fraud screening on high-value redemptions,Low,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,12,PROC-0011,synthetic-demo,7fb0f78e5228c9f141bf38ad38e2421660ca57a773e1d9c75f0e741f4002a576,enriched_dense_synthetic_generation_2026_07,none,731388,7.3,14.4,29,11.40
skyharbor-air,Member Personalization Segmentation Process,Loyalty & Customer Marketing,Loyalty Program Analyst,Member Data Platform (CDP); Legacy Segmentation Warehouse Job; Salesforce Marketing Cloud (Loyalty Campaigns),"Weekly segmentation refresh, transitioning to real-time",Weekly batch during transition; target real-time post-cutover,Personalization still partly runs off the legacy warehouse job pending full CDP cutover,Marketing ops reviews new segments before campaign activation,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,13,PROC-0012,synthetic-demo,360168c35438678afc1766389f70a0a9ba45379d405d7196e37717ab28f464e0,enriched_dense_synthetic_generation_2026_07,none,537444,4.3,8.6,33,20.18
skyharbor-air,Airport Check-in & Boarding Process,Airport & Ground Operations,Airport Station Agent,Amadeus Altéa Departure Control (DCS); SITA CUTE Common-Use Terminal Equipment (Platform); Self-Service Check-in Kiosk Fleet,"~185,000 passengers processed/day system-wide",2-4 minutes per standard check-in,Older outstation CUTE kiosks time out under peak-boarding load,Document/ID verification checkpoint before boarding pass issuance,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,14,PROC-0013,synthetic-demo,3985b6662fae76a609d621e83917bc54fe5e615350396094132bbd6387b89259,enriched_dense_synthetic_generation_2026_07,none,99628,5.9,7.0,44,23.80
skyharbor-air,Baggage Mishandling Trace & Recovery Process,Airport & Ground Operations,Baggage Services Agent,WorldTracer Baggage Tracing; RFID Bag Tracking Platform,"~5.8 mishandled bags per 1,000 passengers",24-72 hours for standard trace/recovery,"RFID coverage stops at 41 of 118 stations, reverting to manual tracing beyond that footprint",Chain-of-custody logging for high-value/claimed items,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,15,PROC-0014,synthetic-demo,7a55ce888b05bc999353515b046cb274023eb535afd1f3ab435d9e3b54fd6280,enriched_dense_synthetic_generation_2026_07,none,404564,1.8,3.3,52,8.18
skyharbor-air,Ramp Turn Coordination Process,Airport & Ground Operations,Ramp Agent / Load Controller,Gate Management System; Ramp / Ground Ops Mobile App; Aircraft Weight & Balance Calculator,"~2,600 turns/day system-wide",Target turn time 35-45 minutes by aircraft type,Load control app loses connectivity in below-grade ramp areas at 3 hub stations,Load sheet sign-off required before pushback clearance,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,16,PROC-0015,synthetic-demo,95aad8051715639a13fe4796bac2d3d1c255b49ed7e8b70b8a35c386ed231c7a,enriched_dense_synthetic_generation_2026_07,none,153557,0.6,0.9,10,10.36
skyharbor-air,Cargo Booking & Capacity Allocation Process,Cargo & Logistics,Cargo Operations Agent,iCargo Booking & Management; Regional Belly Cargo Capacity Spreadsheet,"~4,100 cargo bookings/day",Same-day to 48-hour booking confirmation,"Regional belly cargo capacity allocated via a shared spreadsheet, causing periodic overbooking",Dangerous goods compliance check required before booking confirmation,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,17,PROC-0016,synthetic-demo,d100b2af95a0b7498066e61d9d274ae886887736afe3820f1a76af1721524244,enriched_dense_synthetic_generation_2026_07,none,574699,1.3,1.5,26,3.58
skyharbor-air,Dangerous Goods Compliance Check Process,Cargo & Logistics,Cargo Operations Agent,iCargo DG Compliance; Export Control / Dangerous Goods Compliance Tracker,~180 DG shipments/day,Real-time check at booking; audit sampling weekly,Two separate DG compliance tools create a reconciliation gap for audit sampling,Compliance officer sign-off on any DG exception,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,18,PROC-0017,synthetic-demo,b77ea380a1c57a4b8680df522b2b7a1638c4b39e7af667b4422ca1d734c7f41b,enriched_dense_synthetic_generation_2026_07,none,574895,5.9,10.2,22,6.21
skyharbor-air,Catering Order & Galley Loading Process,In-Flight Services & Catering,Catering Operations Coordinator,Catering Planning & Ordering System; Lido/NetLine Schedule Planning,"~4,800 catering orders/day",Order placed 24-48 hours ahead of departure,Late schedule changes don't always propagate to the catering order feed in time,Galley loading verification against the flight-specific spec sheet,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,19,PROC-0018,synthetic-demo,ed9ce88a7777a275404dec2b2d5d9147bcf87b33200e644a0863ca97f1fbaa07,enriched_dense_synthetic_generation_2026_07,none,575104,5.4,10.9,22,5.99
skyharbor-air,Onboard Retail Revenue Reconciliation Process,In-Flight Services & Catering,Flight Attendant / Revenue Accountant,Onboard Retail POS; Revenue Accounting Core,"Monthly reconciliation covering ~2,600 flights/day of onboard sales",Monthly manual reconciliation cycle,Reconciliation to revenue accounting remains a monthly manual process,Cash/card reconciliation sign-off by revenue accounting,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,20,PROC-0019,synthetic-demo,351d04c81dcb2164aacc441c376e47e73d8b327f126af50fcb78a6cf11d7c45c,enriched_dense_synthetic_generation_2026_07,none,311665,2.1,3.0,39,17.84
skyharbor-air,Contact Center Case Handling Process,Customer Experience & Contact Center,Contact Center Agent,Genesys Cloud CX; Salesforce Service Cloud,"~28,000 contacts/day system-wide",AHT 6.4 minutes average,Two international overflow sites still on legacy PureConnect create an inconsistent desktop experience,Supervisor review on all refund/compensation cases above a dollar threshold,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,21,PROC-0020,synthetic-demo,0c959bd604b6cae9121c0ec849cc863a20c36303095685b06ba7070392477530,enriched_dense_synthetic_generation_2026_07,none,763886,2.2,3.5,11,14.17
skyharbor-air,Refund & Compensation Case Resolution Process,Customer Experience & Contact Center,Contact Center Agent,Refund & Compensation Case Workflow Tool; Salesforce Service Cloud,"~1,900 refund/compensation cases/day",3-5 business days average resolution,No automated policy-compliance check before compensation issuance,Supervisor approval required above a delegated dollar threshold,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,22,PROC-0021,synthetic-demo,e7cefae5ea08e9937bf8fd4586ec33b8a3d48f099f540100d360693fa917ff98,enriched_dense_synthetic_generation_2026_07,none,23112,3.4,6.3,69,22.92
skyharbor-air,Contact Center Workforce Forecasting Process,Customer Experience & Contact Center,Contact Center Workforce Planner,Genesys WFM (Workforce Management); IROPS Recovery Cockpit,"Weekly forecast cycle, daily adjustment during IROPS",Weekly base forecast; intraday adjustment during disruption,Forecast accuracy drops during IROPS events due to the lack of a real-time disruption feed,Workforce planning lead sign-off on schedule changes above a threshold,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,23,PROC-0022,synthetic-demo,31967c31ed11401741929a69a13a7f674f30c1c25e5342ab56d74ead07be92e3,enriched_dense_synthetic_generation_2026_07,none,742017,6.8,14.3,2,25.18
skyharbor-air,Monthly Financial Close Process,Finance & Accounting,Revenue Accountant,SAP S/4HANA — Finance (FI); SAP S/4HANA — Controlling (CO); Revenue Accounting Core,Enterprise-wide monthly close,6.5 business days,Aircraft lease accounting still runs through a spreadsheet bolt-on pending LeaseAccelerator go-live,Controller sign-off before close certification,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,24,PROC-0023,synthetic-demo,a6ff1ef3dcf147495d0122a2347050aa8a154dbe8f29b5cc4110fbc890fa1f07,enriched_dense_synthetic_generation_2026_07,none,699691,5.1,9.0,43,10.79
skyharbor-air,Interline & Codeshare Settlement Process,Finance & Accounting,Revenue Accountant,Interline & Codeshare Settlement Engine; Meridian Legacy Finance System,"~11,000 interline settlement transactions/month",Monthly settlement cycle,Meridian Regional reconciliation still requires a manual monthly file exchange,Settlement exception review by revenue accounting supervisor,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,25,PROC-0024,synthetic-demo,2d0040520904ced082a02ec9c008fcd20f87dc8346830f86456956d10cf57e4d,enriched_dense_synthetic_generation_2026_07,none,241352,3.2,3.8,64,10.44
skyharbor-air,Vendor Invoice / AP Processing,Finance & Accounting,AP Processing Team (Genpact),SAP S/4HANA — Finance (FI); Vendor Invoice Exception Queue Tool,"~45,000 invoices/month",Under 5 business days for 90% of invoices,AP invoice exception records require manual review before payment release,3-way match (PO/receipt/invoice) required before payment,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,26,PROC-0025,synthetic-demo,bfc102b9e122ae9bcc31442a539212ec9166c65bec134f2f8981ac6b1aa9a011,enriched_dense_synthetic_generation_2026_07,none,75194,0.8,1.0,40,24.25
skyharbor-air,Procurement Sourcing & Contract Process,Procurement & Supply Chain,Procurement Category Manager,Coupa Sourcing; Coupa Contract Lifecycle Management; SAP S/4HANA — Materials Management (MM),~180 active sourcing events/year,Varies 4-16 weeks by sourcing complexity,MRO parts spend inside TRAX doesn't reconcile automatically with Coupa category spend analytics,Category manager and finance sign-off above delegated authority thresholds,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,27,PROC-0026,synthetic-demo,68eeddcfc9bf0ca9797bec71c6b4a4f72bf45b4bf9784e391abd8acc7e07ac0a,enriched_dense_synthetic_generation_2026_07,none,648239,3.4,4.0,26,10.17
skyharbor-air,Employee Onboarding Process,Human Resources & Labor Relations,HR Business Partner,Workday Core HR; Onboarding Checklist Automation Tool,"~1,200 new hires/month system-wide",5-10 business days pre-start to full system access,Training completion data lags AIMS crew-legality checks by up to 24 hours for crew new hires,Background check and I-9 verification checkpoint before system access,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,28,PROC-0027,synthetic-demo,38e06937384a0f75691846fac10ca7d24677bd1619debd9498211b9ea9837688,enriched_dense_synthetic_generation_2026_07,none,749431,4.3,5.5,35,17.14
skyharbor-air,Union Grievance Case Management Process,Human Resources & Labor Relations,Labor Relations Specialist,Legacy Union Grievance Tracker; Workday Core HR,~45 active grievance cases at any time,"Varies by CBA-defined grievance steps, typically 30-90 days",Grievance case data must be re-keyed between the legacy tracker and Workday for compliance reporting,Labor relations and legal sign-off before arbitration escalation,High,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,29,PROC-0028,synthetic-demo,38c8593e61d46bfcb89f15a9a33c6058bd0bb38195d83a2e633c8b7ece5de600,enriched_dense_synthetic_generation_2026_07,none,561533,1.5,1.7,19,7.65
skyharbor-air,Voluntary Safety Report (ASAP) Review Process,Safety & Security,Safety Analyst,Safety Management System (SMS) / ASAP Case Platform; Meridian Legacy Safety Reporting Intake,~140 voluntary safety reports/month,Initial triage within 48 hours; full review 2-4 weeks,Meridian Regional voluntary safety reports still arrive via a separate legacy intake form,ASAP event review committee sign-off on corrective actions,Medium,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,universal-standard-v3,30,PROC-0029,synthetic-demo,622dae61a4895bb9b5eee800bfea567d1512908ec0fa021c427ccaad78c3718f,enriched_dense_synthetic_generation_2026_07,none,647230,4.5,8.4,41,14.05
