tenant_key,system_name,servicenow_ci_sys_id,reporting_period,total_incidents,p1_incidents,p2_incidents,p3_incidents,p4_incidents,avg_mttr_hours,p1_mttr_hours,sla_target_pct,sla_actual_pct,sla_breach_count,top_root_cause_category,change_requests_count,change_success_rate_pct,escalation_to_vendor_count,service_desk_provider,notes,source_classification,generation_method
skyharbor-air,TRAX Reliability,SHACMDB-79d59d57a5,trailing_12mo_ending_2026-07-31,36,0,6,14,16,2.4,1.3,99.5,100,0,integration/interface failure,6,97.4,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,TRAX Inventory / Rotables,SHACMDB-e26842155c,trailing_12mo_ending_2026-07-31,41,4,10,16,11,1.5,0.6,99.9,100,0,data quality/reconciliation,8,96.5,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Tech Records Digital Archive,SHACMDB-8b29362795,trailing_12mo_ending_2026-07-31,24,1,4,9,10,2.5,1.1,99.5,99.88,0,capacity/performance degradation,6,93.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Engine Health Monitoring Feed — GE,SHACMDB-14b93a309a,trailing_12mo_ending_2026-07-31,18,0,2,7,9,3.2,1.6,99.5,99.77,0,change-related regression,5,98.4,4,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Engine Health Monitoring Feed — Rolls-Royce,SHACMDB-0448d8afca,trailing_12mo_ending_2026-07-31,26,1,4,10,11,3.6,2,99.5,99.57,0,capacity/performance degradation,5,96.9,6,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Engine Health Monitoring Feed — Honeywell,SHACMDB-037cfaa11b,trailing_12mo_ending_2026-07-31,10,0,2,4,4,7.6,3.8,98,98.12,0,change-related regression,2,95.3,1,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier3 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,MRO Predictive Maintenance Models (Databricks),SHACMDB-4295a6a825,trailing_12mo_ending_2026-07-31,27,1,5,12,9,3.9,2.1,99.5,99.6,0,data quality/reconciliation,5,95.6,3,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,MRO Vendor Portal,SHACMDB-0907f6cf27,trailing_12mo_ending_2026-07-31,7,0,1,3,3,6.6,3.1,98,98.33,0,access/authentication,1,95.5,1,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,PROS O&D Forecasting,SHACMDB-e400fcd37a,trailing_12mo_ending_2026-07-31,59,4,14,27,14,2,1.2,99.9,99.98,0,integration/interface failure,16,92.8,8,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,PROS Network RM,SHACMDB-1a62a650a0,trailing_12mo_ending_2026-07-31,52,4,15,19,14,1.4,0.6,99.9,100,0,capacity/performance degradation,14,98.8,11,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,PROS Offer & Order Management,SHACMDB-d4956004ed,trailing_12mo_ending_2026-07-31,63,5,18,26,14,1.8,0.8,99.9,99.93,0,capacity/performance degradation,10,94,15,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier1 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Legacy Fare Table Pricing Engine,SHACMDB-8f6123def3,trailing_12mo_ending_2026-07-31,49,1,7,20,21,6.2,3.3,99.5,99.13,1,access/authentication,10,88.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (No formal support contract; reconciliation against PROS Offer & Order Management is a monthly manual process prone to error, and the one SME who understands it is nearing retirement).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Revenue Accounting Core,SHACMDB-ef5a0fbfa9,trailing_12mo_ending_2026-07-31,108,7,29,46,26,2.3,1.1,99.9,99.87,1,infrastructure/network,23,89,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (Known constraint: mobile/offline connectivity drops at the Miami (MIA) cargo hub, forcing a paper or manual fallback).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Ancillary Revenue Tracking,SHACMDB-39b5018f4f,trailing_12mo_ending_2026-07-31,34,1,5,14,14,4.1,2.3,99.5,99.66,0,batch/scheduling delay,6,94.7,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Lido/NetLine Schedule Planning,SHACMDB-c780971bd0,trailing_12mo_ending_2026-07-31,39,4,11,16,8,1.3,0.7,99.9,100,0,batch/scheduling delay,6,92.1,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Fleet Assignment Optimizer,SHACMDB-19420b6580,trailing_12mo_ending_2026-07-31,30,3,8,11,8,1.5,0.7,99.9,100,0,change-related regression,9,93.9,7,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Slot Coordination Tracker,SHACMDB-7fb0151ccb,trailing_12mo_ending_2026-07-31,40,1,5,18,16,6.6,3.9,99.5,99.19,1,integration/interface failure,8,90.5,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (peak-load timeouts occur during the winter holiday period when concurrent sessions exceed 11,503; because it sits outside governed IT inventory, security patching is inconsistent).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Codeshare Schedule Sync Interface,SHACMDB-598f689179,trailing_12mo_ending_2026-07-31,19,1,4,8,6,3.2,1.5,99.5,99.8,0,integration/interface failure,4,98.4,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,SkyHarbor Rewards Loyalty Core,SHACMDB-de26fe5b07,trailing_12mo_ending_2026-07-31,48,5,13,19,11,1.4,0.7,99.9,100,0,vendor-side outage,12,97.6,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Co-Brand Card Partner Interface,SHACMDB-9af53d62fb,trailing_12mo_ending_2026-07-31,32,2,8,12,10,1.5,0.6,99.9,100,0,capacity/performance degradation,7,96.5,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Loyalty Redemption & Booking Engine,SHACMDB-2028f28b9e,trailing_12mo_ending_2026-07-31,45,4,13,16,12,1.4,0.8,99.9,100,0,infrastructure/network,12,93.4,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Salesforce Marketing Cloud (Loyalty Campaigns),SHACMDB-7bd1871c21,trailing_12mo_ending_2026-07-31,19,0,3,7,9,3,1.8,99.5,99.82,0,batch/scheduling delay,4,95.4,2,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Member Data Platform (CDP),SHACMDB-91519873f8,trailing_12mo_ending_2026-07-31,50,4,15,19,12,1.5,0.7,99.9,100,0,vendor-side outage,8,98.9,8,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Legacy Segmentation Warehouse Job,SHACMDB-c164e74fb4,trailing_12mo_ending_2026-07-31,23,1,3,10,9,12.4,7.4,98,97.65,1,data quality/reconciliation,6,84.3,5,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"Ticket volume and SLA performance run under pressure, tracking the known operational issue already on record for this system (No formal support contract; reporting lags production data by up to 2 hours because refresh is still batch-based, and the one SME who understands it is nearing retirement).",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Loyalty Partner Award Chart Engine,SHACMDB-1d23135488,trailing_12mo_ending_2026-07-31,9,0,1,4,4,5.3,2.4,98,98.28,0,change-related regression,3,96.9,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier3 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,SITA CUTE Common-Use Terminal Equipment (Platform),SHACMDB-ce08420389,trailing_12mo_ending_2026-07-31,61,4,14,22,21,1.7,0.8,99.9,100,0,access/authentication,15,98.9,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,WorldTracer Baggage Tracing,SHACMDB-8054fc33f0,trailing_12mo_ending_2026-07-31,39,4,10,14,11,1.3,0.7,99.9,100,0,batch/scheduling delay,10,92.2,8,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,RFID Bag Tracking Platform,SHACMDB-ed7ae719a7,trailing_12mo_ending_2026-07-31,19,1,3,7,8,2.7,1.5,99.5,99.93,0,batch/scheduling delay,3,94.4,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Baggage Handling System (BHS) Control — ORD,SHACMDB-88a9c0bf1b,trailing_12mo_ending_2026-07-31,74,7,21,33,13,1.5,0.8,99.9,100,0,data quality/reconciliation,20,97.3,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier1 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Self-Service Check-in Kiosk Fleet,SHACMDB-5bda67fe77,trailing_12mo_ending_2026-07-31,36,1,6,15,14,4.5,1.9,99.5,99.63,0,batch/scheduling delay,10,93.3,9,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,"SLA performance is borderline for this tier2 system — one known operational risk factor on record, not yet consistently breaching.",synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Gate Management System,SHACMDB-67720af7ee,trailing_12mo_ending_2026-07-31,18,0,3,7,8,2.4,1.4,99.5,99.94,0,capacity/performance degradation,4,97.4,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
skyharbor-air,Ramp / Ground Ops Mobile App,SHACMDB-dda0846973,trailing_12mo_ending_2026-07-31,20,0,3,7,10,2.4,1.4,99.5,99.77,0,data quality/reconciliation,3,92.9,0,Infosys BPM (Tier-1 Service Desk) / vendor-direct for escalations,Ticket volume and SLA performance track normally for a tier2 system on this deployment model; the known-issues on record for this system are routine and not operationally material.,synthetic-demo,itsm-ticket-sla-history-generator-v1
