tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,function_id,line_of_business,function_tier,headcount_fte,cost_to_serve_usd,process_maturity,change_appetite,regulatory_exposure,business_segment,business_segment_key,function_type,office_lens_abarva,office_lens_basis,expected_value_archetype,segment_sponsor_role
skyharbor-air,Customer Experience & Contact Center,,VP Customer Experience,Contact center operations; case management; chat/virtual assistant; social care,tier1,63000000,1850,"Genesys Cloud CX (platform); Foundever (outsourced overflow agents, ~35% of contact volume)",Genesys Cloud CX replaced the legacy PureConnect on-prem platform for domestic contact centers in 2025; two international overflow sites are still on PureConnect pending migration.,Complete PureConnect-to-Genesys Cloud CX migration for the two remaining international sites by Q2 FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,12,BF-0011,synthetic-demo,e6ee312529b1eba26518212224f7c64be16d0a98574cb95103c90f53087cc288,enriched_dense_synthetic_generation_2026_07,none,FN-cf489d954e,mainline;regional;loyalty,front,1850,34054,managed,low,low,Passenger & Commercial,passenger_commercial,non_clinical,front,abarva_analytical_lens_not_client_declared,revenue_uplift_or_experience,Chief Commercial Officer
skyharbor-air,Finance & Accounting,,CFO,"General ledger, AP/AR, revenue accounting, treasury, tax, fixed assets/aircraft capitalization, FP&A",tier1,96000000,640,Genpact (AP invoice processing BPO),SAP S/4HANA covers core GL/AP/AR/CO; aircraft capitalization and lease accounting under ASC 842 still run through a bolt-on spreadsheet model pending the LeaseAccelerator rollout.,Complete LeaseAccelerator rollout for aircraft lease accounting by FY27; retire the spreadsheet-based capitalization model.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,13,BF-0012,synthetic-demo,ae19e1644dcb49cf6490a18accc2a77ff06eefa5bb3f91f6ce0800cf79547db4,enriched_dense_synthetic_generation_2026_07,none,FN-e9a787378d,enterprise,back,640,150000,initial,low,high,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Procurement & Supply Chain,,VP Procurement,Strategic sourcing; supplier management; parts and fuel procurement; contract lifecycle management,tier2,28000000,190,Coupa (managed services for catalog content),"Coupa covers indirect procurement; MRO parts procurement still runs largely inside TRAX's native purchasing module, creating a reconciliation gap with Coupa spend data.",Integrate TRAX parts procurement spend into Coupa analytics by FY27 to close the reconciliation gap.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,14,BF-0013,synthetic-demo,46ad2c15d8f47fc61186149f4bb04183a45e0df5614032be531d5d54c6e4545a,enriched_dense_synthetic_generation_2026_07,none,FN-528cd83fb3,enterprise,back,190,147368,optimising,low,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Human Resources & Labor Relations,,CHRO,Workforce management; payroll; talent acquisition and learning; union labor relations and grievance tracking,tier1,54000000,310,ADP (payroll tax filing); Deloitte (Workday managed services),Workday HCM is system of record for non-union corporate staff; pilot and flight attendant union labor relations still run a separate legacy grievance-tracking tool.,Evaluate replacing the legacy union grievance tracker with a Workday extension by FY28; not yet funded.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,15,BF-0014,synthetic-demo,581792dd79d84969b8212ab621981be4b0960e75248a5cafb8293c07ed57f3c5,enriched_dense_synthetic_generation_2026_07,none,FN-2e004ffbeb,enterprise,back,310,174194,managed,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,"Legal, Regulatory & Compliance",,General Counsel,Contract management; regulatory filings (FAA/DOT); litigation and claims; privacy/data protection,tier2,19000000,95,DocuSign CLM (contract lifecycle),Contract lifecycle management is centralized in DocuSign CLM for new agreements; a substantial back catalog of legacy paper contracts remains unindexed.,Complete legacy contract digitization backlog by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,16,BF-0015,synthetic-demo,9afe4332fdde80fb247d2cbb58b1f58cf1e79f41888c98779a3b887509dd7c75,enriched_dense_synthetic_generation_2026_07,none,FN-b2b569e659,enterprise,back,95,200000,measured,moderate,high,Flight & Ground Operations,flight_ground_ops,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
skyharbor-air,Safety & Security,,Chief Safety & Security Officer,Safety management system (SMS); ASAP/voluntary safety reporting; corporate security; badge/access control,tier1,33000000,260,None material,SMS and ASAP reporting run on a dedicated safety case-management platform integrated with flight ops; corporate physical security badge systems are fragmented across three legacy access-control vendors from acquired entities.,Consolidate badge/access control onto a single platform across all facilities by FY28.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,17,BF-0016,synthetic-demo,6b5ef29821cd8e1bc4bdc0fc6c1ade1228a9d14c44aac0d6c960b74f964f57d6,enriched_dense_synthetic_generation_2026_07,none,FN-7a7bf59125,enterprise;mainline;regional;cargo,middle,260,126923,measured,low,high,Flight & Ground Operations,flight_ground_ops,non_clinical,middle,abarva_analytical_lens_not_client_declared,yield_leakage_or_regulatory_exposure,Chief Operating Officer
skyharbor-air,Corporate Real Estate & Facilities,,VP Corporate Real Estate,Facilities and lease management; CMMS for ground facilities; hangar and cargo warehouse operations support,tier3,14000000,70,JLL (facilities management),IBM Maximo covers CMMS for major hub facilities; smaller outstation facilities are tracked manually.,Extend Maximo coverage to top 15 outstations by FY28.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,18,BF-0017,synthetic-demo,67e204d40ed3d2d3af540511bc484ebc34a1178f2b29a77ae30bea365f413140,enriched_dense_synthetic_generation_2026_07,none,FN-9de03f31f1,enterprise,back,70,200000,measured,low,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Information Technology & Digital,,CIO,Enterprise applications; infrastructure and cloud; enterprise architecture; IT service management; digital product delivery,tier1,415000000,1650,"IBM Global Services (mainframe operations); Accenture (application managed services, non-core)","Hybrid estate spans owned data centers, mainframe, private cloud, and AWS/Azure/GCP; a multi-year cloud migration program is roughly 45% complete by workload count.",Reach 75% of tier-2/tier-3 workloads migrated off owned data centers by FY28; mainframe retained for core reservations/rev-acct batch through at least FY29.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,19,BF-0018,synthetic-demo,4692595038dbd2e93747ce76aed08805e174019d263d54913961d1faa71f5682,enriched_dense_synthetic_generation_2026_07,none,FN-cbbca8200b,enterprise,back,1650,251515,managed,low,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Cybersecurity & IT Risk,,CISO,Security operations; identity and access management; vulnerability and patch management; third-party risk,tier1,62000000,210,CrowdStrike (MDR); Palo Alto Networks (managed firewall support),SOC operates on Splunk with CrowdStrike EDR; privileged access management via CyberArk is deployed for less than half of in-scope systems.,Complete CyberArk PAM rollout to 100% of tier-1 systems by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,20,BF-0019,synthetic-demo,439db27f549cc34bad9dca2d6eb69a6ce176575736a4602033a284fb00c9551c,enriched_dense_synthetic_generation_2026_07,none,FN-ba4f1a5e27,enterprise,back,210,295238,defined,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,"Data, Analytics & AI",,Chief Data & Analytics Officer,Enterprise data platforms; BI/reporting; data governance; AI/ML platform and GenAI enablement,tier1,88000000,340,"Databricks (professional services); Anthropic (GenAI platform, audited egress only)","Teradata remains the system of record for finance and crew/ops reporting; Snowflake and Databricks are live for newer domains (loyalty personalization, MRO predictive) with an active multi-year migration off Teradata.",Migrate finance and crew/ops subject areas off Teradata onto Snowflake by FY28; sunset Teradata appliance thereafter.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,21,BF-0020,synthetic-demo,7e48d5896f10f5efed224c76f63b344a983cc71cce70cff17336d06c4a466496,enriched_dense_synthetic_generation_2026_07,none,FN-f7c37c7b16,enterprise,back,340,258824,optimising,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Fuel Management & Sustainability,,VP Fuel & Sustainability,Fuel purchasing and hedging; fuel efficiency analytics; SAF (sustainable aviation fuel) sourcing and reporting,tier2,3100000000,55,Vendor fuel supply contracts (multiple regional suppliers),Fuel hedging and purchasing run on a dedicated treasury-adjacent trading system; SAF blend tracking for regulatory reporting is still a manual spreadsheet process.,Automate SAF blend/regulatory reporting by FY27.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,22,BF-0021,synthetic-demo,5981ca6ba04d0d39464304af50a7144e6adc7018dd0a325145c5f68fbe3c3f59,enriched_dense_synthetic_generation_2026_07,none,FN-8dc44165ad,mainline;regional;cargo,middle,55,56363636,initial,low,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
skyharbor-air,Corporate Strategy & M&A Integration,,Chief Strategy Officer,Corporate strategy; M&A integration office; Meridian Regional integration program governance,tier2,9000000,40,None material,M&A Integration Office is actively managing the multi-year Meridian Regional Airways technology and process integration following the 2023 acquisition; several Meridian systems remain on separate legacy platforms pending cutover.,"Complete Meridian Regional technology integration (PSS, crew, finance) by FY27 per the integration program roadmap.",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/01_business_functions.csv,universal-standard-v3,23,BF-0022,synthetic-demo,4e0585760aaee2cffb7e8410c55a13804614e3a61b35d0ad3169116f824ac6c9,enriched_dense_synthetic_generation_2026_07,none,FN-61e30f958d,enterprise;regional,back,40,225000,optimising,moderate,low,Shared Enterprise Services,shared_enterprise,non_clinical,back,abarva_analytical_lens_not_client_declared,cost_productivity_or_cycle_time,Chief Financial Officer
