tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,program_id,inherited_line_of_business,inherited_function_tier,inherited_segment_hops
skyharbor-air,Tech Records Digitization — Legacy Widebody Fleet,SVP Technical Operations,Director MRO Systems,Complete digitization of paper technical records for legacy 767/757 tails,Tech Records Digital Archive; TRAX Engineering Records,on_track,execution,Elimination of manual paper-to-digital lookup for legacy widebody tech records,Scanning vendor throughput capacity,Fleet retirement timeline could reduce program ROI if accelerated,4600000,2100000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,12,PROG-0011,synthetic-demo,7e3795338ed06d8c9a1aaffacd3a5b21dbd5445f8bce280f75173a25c0203f47,enriched_dense_synthetic_generation_2026_07,none,PRG-1480193367,mainline;mro;regional,middle,2
skyharbor-air,MRO Predictive Model Monitoring Automation,SVP Technical Operations,VP Data & AI Platforms,"Automate model drift monitoring for MRO predictive maintenance models, replacing the current manual quarterly review",MRO Predictive Maintenance Models (Databricks); Databricks — MRO Predictive Workspace,planned,planning,Earlier detection of model drift; reduced false-negative predictive maintenance alerts,MLOps tooling standardization across Databricks workspaces,Competing priority with the Ops AI and Customer AI workspace roadmaps,2900000,1600000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,13,PROG-0012,synthetic-demo,728b78cde50398f154fde654dafd2d62a80cbf0920700c86a1b52d4c6fc75d02,enriched_dense_synthetic_generation_2026_07,none,PRG-8065382432,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Corporate Badge / Access Control Consolidation,Chief Safety & Security Officer,VP Infrastructure & Cloud,Consolidate three legacy badge/access-control platforms (including two acquisition-inherited systems) onto one enterprise platform,Corporate Security Badge/Access Control — Platform A; Corporate Security Badge/Access Control — Platform B (acquired entity); Corporate Security Badge/Access Control — Platform C (Meridian legacy),planned,planning,Badge provisioning time reduced from up to 3 business days to the 4-hour target,Facilities hardware compatibility across all three legacy platforms,Budget not yet approved beyond the discovery phase,6100000,2400000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,14,PROG-0013,synthetic-demo,ef3d407627b2bfc3f8253bd6bc4aef23b18aeba244d03392b14ba7df4317d941,enriched_dense_synthetic_generation_2026_07,none,PRG-bf65166ca0,cargo;enterprise;mainline;regional,back;middle,2
skyharbor-air,GenAI Use Case Expansion Program,Chief Data & Analytics Officer,VP Data & AI Platforms,Expand the number of approved production GenAI use cases beyond the current governed set on the audited Claude egress path,Enterprise GenAI Gateway (Claude); Virtual Assistant / Chatbot; Microsoft 365 Copilot,on_track,execution,Increased self-service resolution rate; expanded knowledge-worker productivity use cases,Governance review capacity for new use-case approval,Value realization not yet finance-validated beyond the Crew Copilot pilot,11200000,8900000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,15,PROG-0014,synthetic-demo,a5939a098669b16fbcef03e706ea5d0eb9c1af71a60679d2fc5d8d910c7c1d63,enriched_dense_synthetic_generation_2026_07,none,PRG-abe9f275df,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Crew and Station Productivity Copilot,VP Crew Operations,CIO delegate,Deploy Microsoft 365 Copilot to reduce knowledge-worker time-to-draft/review for crew and station productivity workflows,Microsoft 365 Copilot; CrewPortal Self-Service Mobile App,at_risk,pilot,Increase active weekly Copilot usage to 60% among enabled crew/station users,Usage telemetry integration; finance validation of realized value,Usage remains well below the 60% adoption target per Day 1 telemetry,9800000,1300000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,16,PROG-0015,synthetic-demo,3a31eb4603b89f34de3726ad6533a98b2abf39f081227514decb19e912002e18,enriched_dense_synthetic_generation_2026_07,none,PRG-09b69352d8,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Data Catalog Coverage Expansion,Chief Data & Analytics Officer,VP Data & AI Platforms,Expand Collibra data catalog coverage beyond the current under-55%-of-production-assets baseline,Collibra Data Catalog; ServiceNow CMDB,planned,planning,Catalog coverage above 80% of production data assets with assigned stewards,Data governance analyst staffing,Competing priority with the Teradata-to-Snowflake migration program,3100000,0,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,17,PROG-0016,synthetic-demo,f056714a966d1245612043e720aed4bbf8fb215b7121da2a8ce263c45cb658ee,enriched_dense_synthetic_generation_2026_07,none,PRG-dab03bee32,enterprise;loyalty;mainline;mro;regional,back;front;middle,2
skyharbor-air,Cargo Regional Belly Capacity Automation,VP Cargo,VP Airport & Ground Systems,Migrate regional belly cargo capacity allocation off the manual spreadsheet process onto iCargo Lite,Regional Belly Cargo Capacity Spreadsheet; iCargo Booking & Management,planned,planning,Elimination of periodic regional belly-cargo overbooking incidents,iCargo Lite licensing and rollout scheduling,Regional cargo revenue impact if overbooking continues during the planning delay,2400000,3100000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,18,PROG-0017,synthetic-demo,451682ce1b5c81b791608b944347ca46f7798c1de6168e1bca1266e58ee71458,enriched_dense_synthetic_generation_2026_07,none,PRG-5ec91a8c12,cargo;mainline;regional,middle,2
skyharbor-air,SAF Blend & Regulatory Reporting Automation,VP Fuel & Sustainability,VP Enterprise Applications,"Automate sustainable aviation fuel blend and regulatory reporting, replacing the manual spreadsheet process",SAF Blend Regulatory Reporting Spreadsheet; Fuel Hedging & Trading System,planned,planning,"Automated, audit-ready SAF blend regulatory submissions",Fuel supplier data feed standardization,Regulatory deadline risk if automation slips past the FY27 filing cycle,1400000,0,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,19,PROG-0018,synthetic-demo,79d87789aff61eb53fd63da83c4d1d541c09d6e79b572356e3174441c81bcc7a,enriched_dense_synthetic_generation_2026_07,none,PRG-30bfd70545,cargo;enterprise;mainline;regional,back;front;middle,2
skyharbor-air,Slot Coordination Workflow Automation,VP Network Planning,VP Commercial & Distribution Systems,Automate the slot-filing workflow against regulator portals for constrained airports (LHR/JFK/DCA),Slot Coordination Tracker; Lido/NetLine Schedule Planning,planned,planning,Reduced manual slot cross-check effort; lower risk of missed regulator filing deadlines,Regulator portal API availability at each constrained airport,Not all regulator portals currently expose an API,1900000,0,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,20,PROG-0019,synthetic-demo,867534c0780205d2e2bcbeabf23ec3b04c8ace2ef4664a8339ce8b93c492a420,enriched_dense_synthetic_generation_2026_07,none,PRG-af72c7326a,cargo;loyalty;mainline;regional,front;middle,2
skyharbor-air,Union Grievance Tracker Replacement Evaluation,CHRO,VP Enterprise Applications,Evaluate replacing the legacy union grievance tracker with a Workday extension,Legacy Union Grievance Tracker; Workday Core HR,planned,discovery,Single system of record for HR case and grievance data,Workday extension feasibility assessment,Not yet funded; discovery only,400000,0,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,21,PROG-0020,synthetic-demo,a6fa7cccbe713181790821bb279bf8a512654e24a7ebb6768ce04b6127020346,enriched_dense_synthetic_generation_2026_07,none,PRG-53fa5059e0,cargo;enterprise;mainline;regional,back;front;middle,2
skyharbor-air,IROPS Agentic Recovery Cockpit,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""IROPS Recovery Copilot"" by CEO in SHA-INT-01-Q01",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3188,skyharbor-air:relationship:3188,synthetic-demo,07f9a1f790a46615ecb5a6515c973f71a46f62aab576b0eb79fc17baf59ad610,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Crew Recovery Optimization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,medium,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Crew Scheduling Optimization"" by CEO in SHA-INT-01-Q03",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3189,skyharbor-air:relationship:3189,synthetic-demo,550eb359ff30da5603432e2d93a11cb7815e153c9a25b2f68d26c51021ed2a56,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Digital concierge and journey orchestration modernization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Passenger Rebooking Personalization"" by CEO in SHA-INT-01-Q08",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3192,skyharbor-air:relationship:3192,synthetic-demo,09190a8ac6fe6c30d83b8dc7456c72b9e3a0e69e66c7b3e65ca592aa021307fc,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Airport turn management modernization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Airport Turnaround Performance Program"" by CEO in SHA-INT-01-Q10",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3194,skyharbor-air:relationship:3194,synthetic-demo,d14df71adfb48ddd450079c2cc18336394700b8d786da1330851a69c33b52164,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Baggage tracking and recovery modernization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Baggage Visibility & Recovery"" by COO in SHA-INT-03-Q04",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3204,skyharbor-air:relationship:3204,synthetic-demo,cbd1e6b111d1746af356043b08efd619166eca5678f3489107f7e94c4089b15e,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Loyalty personalization modernization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,medium,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Loyalty Platform Modernization"" by CDAO in SHA-INT-06-Q03",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3229,skyharbor-air:relationship:3229,synthetic-demo,9b13b96daf31cd8138aceb1f86d1cd94c81be17bac0b7bc974179306acc1b62b,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Contact Center Agent Assist,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Contact center agent assist"" by Customer/Passenger Experience in SHA-INT-12-Q08",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3265,skyharbor-air:relationship:3265,synthetic-demo,7d079c9476b471fb8fa42182c2ef99ff2e056a7640238e5f67d9b21c42a5cfad,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Revenue management and pricing modernization,,,,,,,,,,,,datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,2026-07-31,high,"Added from graph endpoint source-value repair; planning-grade synthetic value requires validation before client-grade use. relationship evidence: Mentioned as ""Revenue Management Modernization"" by Business Function Leader in SHA-INT-13-Q01",datasets/tenant-inputs/skyharbor-air/interviews/executive_interviews.csv,skyharbor-air-rich-standard-candidate-20260731,3270,skyharbor-air:relationship:3270,synthetic-demo,e25268c83170952ed6138825844cef86fc83aeb42aa3c781f25d7057fea8199d,graph_endpoint_source_value_repair_2026_08_15,none,,,,
skyharbor-air,Infrastructure & Cloud Modernization Program,Airline operations,Regional CIO — Meridian Regional Integration,"Address cost, risk and capability gaps in infrastructure & cloud, which carries $450.00M of annual technology spend.",Infrastructure & Cloud,active,execute,Reduce run cost and improve service posture across infrastructure & cloud.,Depends on the enterprise integration and identity platforms remaining stable through the delivery window.,"Benefit realisation depends on decommissioning the systems this replaces, not merely standing up the successor.",49500000,69300000,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,2026-07-31,medium,Budget and expected value are planning-grade; neither is finance-attested.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,universal-standard-v3,2,PROG-0001,synthetic-demo,17fe17f47040e655ff5d8a8f89f13b6c85466f347ab0e289d83a36423db11488,enriched_dense_synthetic_generation_2026_07,none,PRG-211a6cac3d,cargo;enterprise;loyalty;mainline;mro;regional,back;front;middle,2
