tenant_key,org_unit,parent_org_unit,leader_name_or_role,role_level,decision_rights,owned_functions,owned_systems,owned_data_domains,location_scope,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status,org_unit_id
skyharbor-air,SVP Flight Operations,Chief Operating Officer,SVP Flight Operations,SVP,Dispatch release authority; flight planning standards,Flight Operations,,flight_ops,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,12,ORG-0011,synthetic-demo,5b5a193c57d3a2b8e3999b6297cd0d45b736c1540683dbf831b669124e70de2f,enriched_dense_synthetic_generation_2026_07,none,ORG-f44b491c54
skyharbor-air,SVP Crew Operations,Chief Operating Officer,SVP Crew Operations,SVP,Crew scheduling policy; FAR117 legality authority,Crew Operations,,crew_ops,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,13,ORG-0012,synthetic-demo,557f2f3ef23fb5414cb2fba3d9e613e4f55ecfae37a5338bb0aaa1666b93ea2d,enriched_dense_synthetic_generation_2026_07,none,ORG-66ab519d50
skyharbor-air,SVP Technical Operations,Chief Operating Officer,SVP Technical Operations,SVP,Maintenance program authority; airworthiness release,Maintenance & Engineering (MRO),,mro,"Fort Worth, TX (Tech Ops Center)",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,14,ORG-0013,synthetic-demo,c8440aca84d9de81b6f05141d247b29469d825761dad3d02f213e30beeb859cc,enriched_dense_synthetic_generation_2026_07,none,ORG-9c9198c4ae
skyharbor-air,SVP Airport Operations,Chief Operating Officer,SVP Airport Operations,SVP,Station operating standards; ground handling contracts,Airport & Ground Operations,,airport_ops,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,15,ORG-0014,synthetic-demo,5245fceeb14e66dcb2b00824e35197a4671591fd9d1a99f774fecc787a10c71c,enriched_dense_synthetic_generation_2026_07,none,ORG-b0d1c42d4e
skyharbor-air,VP Network Planning,Chief Operating Officer,VP Network Planning,VP,Schedule construction sign-off; slot portfolio management,Network Planning & Scheduling,,network_planning,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,16,ORG-0015,synthetic-demo,8b975e7c7bd808675bdf45ea98367ac73459b86f984be873151d87949730e2f3,enriched_dense_synthetic_generation_2026_07,none,ORG-95b80db475
skyharbor-air,VP Revenue Management,Chief Commercial Officer,VP Revenue Management,VP,Pricing and inventory control authority,Revenue Management & Pricing,,revenue_management,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,17,ORG-0016,synthetic-demo,4de8e6e47935584829a165122b2b27bc7d60a85d5fc6261f6392413826df2868,enriched_dense_synthetic_generation_2026_07,none,ORG-93c052a829
skyharbor-air,VP Distribution & E-Commerce,Chief Commercial Officer,VP Distribution & E-Commerce,VP,Channel strategy; GDS/NDC partner agreements,"Distribution, Sales & E-Commerce",,distribution,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,18,ORG-0017,synthetic-demo,d36f695346fc3ce09a96c270dbd6d69bbc326bc1a5ece3e670cfd3b2efe06624,enriched_dense_synthetic_generation_2026_07,none,ORG-921509eb70
skyharbor-air,SVP Marketing & Loyalty,Chief Commercial Officer,SVP Marketing & Loyalty,SVP,Loyalty program economics; co-brand card partnership authority,Loyalty & Customer Marketing,,loyalty,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,19,ORG-0018,synthetic-demo,e3628e39f29181b1df36fc61521407a539bcb1ae0ecc1e7f1ebf198ac0ee9c15,enriched_dense_synthetic_generation_2026_07,none,ORG-0b8dc9f3fb
skyharbor-air,VP Cargo,Chief Commercial Officer,VP Cargo,VP,Cargo capacity allocation; cargo pricing authority,Cargo & Logistics,,cargo,"Miami, FL (Cargo Hub)",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,20,ORG-0019,synthetic-demo,1254a4adfbf428de5025b1fd78affcc9676b3156841a9bd803ddde5cbd2e6ea2,enriched_dense_synthetic_generation_2026_07,none,ORG-37cd4dc7ab
skyharbor-air,VP Customer Experience,Chief Commercial Officer,VP Customer Experience,VP,Contact center operating model; CX vendor management,Customer Experience & Contact Center,,customer_experience,"Tempe, AZ (CX Center)",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,21,ORG-0020,synthetic-demo,2b6c27a5e76700b192cffe1330c8ed6903ad275a86c9ba65e62327c9f4fc7357,enriched_dense_synthetic_generation_2026_07,none,ORG-9173dad0b3
skyharbor-air,VP In-Flight Services,Chief Operating Officer,VP In-Flight Services,VP,Catering and onboard product standards,In-Flight Services & Catering,,inflight_services,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,22,ORG-0021,synthetic-demo,5211c4b123c3e59275da4f16f6ded0aca66b14df9815a29c1d84bf1d76007436,enriched_dense_synthetic_generation_2026_07,none,ORG-2a7a923b9b
skyharbor-air,VP Procurement,Chief Financial Officer,VP Procurement,VP,Sourcing and supplier contract approval up to delegated threshold,Procurement & Supply Chain,,procurement,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,23,ORG-0022,synthetic-demo,7da96d7aa672f4eb475758412dec916c26ed8e02fabb0b72dbeac084aed99c62,enriched_dense_synthetic_generation_2026_07,none,ORG-5743c91751
skyharbor-air,VP Corporate Real Estate & Facilities,Chief Financial Officer,VP Corporate Real Estate,VP,Facilities capital planning; lease portfolio management,Corporate Real Estate & Facilities,,facilities,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,24,ORG-0023,synthetic-demo,52a81cf7475527c47239c8b484da8b8ed58deb21f26371500f1beb1e479671fc,enriched_dense_synthetic_generation_2026_07,none,ORG-b7221bbf78
skyharbor-air,VP Fuel & Sustainability,Chief Financial Officer,VP Fuel & Sustainability,VP,Fuel hedging authority; SAF sourcing decisions,Fuel Management & Sustainability,,fuel,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,25,ORG-0024,synthetic-demo,fdce54f0e9af1d1f09ff6fc8d52762faa5222c4c2f74fda5e2b7f1000cd42c91,enriched_dense_synthetic_generation_2026_07,none,ORG-cb249fa256
skyharbor-air,Chief Information Security Officer,Chief Information & Technology Officer,CISO,VP/C-adjacent,Security policy and exception approval; incident command authority,Cybersecurity & IT Risk,,security,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,26,ORG-0025,synthetic-demo,8bfff8760477dd2c7c4dc9695a29958d4536f69ea6177a5876eaf8c2490090cc,enriched_dense_synthetic_generation_2026_07,none,ORG-07d60e04fb
skyharbor-air,VP Enterprise Applications,Chief Information & Technology Officer,VP Enterprise Applications,VP,ERP/HR/Finance application roadmap ownership,Finance & Accounting; Human Resources & Labor Relations; Procurement & Supply Chain,,enterprise_applications,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,27,ORG-0026,synthetic-demo,56735d7ecb3afe843ff3c11db133be2593ff8a90ab01369647e9901f4cd17d40,enriched_dense_synthetic_generation_2026_07,none,ORG-af7b2d08f9
skyharbor-air,VP Flight & Crew Systems,Chief Information & Technology Officer,VP Flight & Crew Systems,VP,Flight ops and crew systems technology roadmap,Flight Operations; Crew Operations,,flight_crew_systems,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,28,ORG-0027,synthetic-demo,b527f9a2bf026b4a866ad84354967b346986f109aaf1eefec9afa06c3f3952bb,enriched_dense_synthetic_generation_2026_07,none,ORG-f684fa5184
skyharbor-air,VP Airport & Ground Systems,Chief Information & Technology Officer,VP Airport & Ground Systems,VP,Airport technology roadmap; CUTE/CUPPS standards,Airport & Ground Operations; Cargo & Logistics,,airport_systems,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,29,ORG-0028,synthetic-demo,da654b8ae9639c5bf0c15abc80ed3be0b7040dc2242cc32983b90c47bea8eaec,enriched_dense_synthetic_generation_2026_07,none,ORG-1f4e9f1fbf
skyharbor-air,VP Commercial & Distribution Systems,Chief Information & Technology Officer,VP Commercial & Distribution Systems,VP,"PSS, revenue management, and loyalty platform roadmap","Revenue Management & Pricing; Distribution, Sales & E-Commerce; Loyalty & Customer Marketing",,commercial_systems,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,30,ORG-0029,synthetic-demo,c617caec222efd1b1abb4a329f14f9dc91baeee10c3a71923a39497a015f781f,enriched_dense_synthetic_generation_2026_07,none,ORG-1446992b89
skyharbor-air,VP Data & AI Platforms,Chief Data & Analytics Officer,VP Data & AI Platforms,VP,Data platform roadmap; AI/ML platform standards (dotted line to CIO),"Data, Analytics & AI",,data_ai_platforms,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,31,ORG-0030,synthetic-demo,1f6ab683dc51746606a36576d4c68a456c2369ee7ab6b8fd154da37e2be9af8f,enriched_dense_synthetic_generation_2026_07,none,ORG-7e8e6cc102
skyharbor-air,VP Infrastructure & Cloud,Chief Information & Technology Officer,VP Infrastructure & Cloud,VP,"Data center, mainframe, and cloud platform standards",Information Technology & Digital,,infrastructure,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,32,ORG-0031,synthetic-demo,b92a677a172256094ab652e62acac73485e99ff192e6093f0f2765f340324d4e,enriched_dense_synthetic_generation_2026_07,none,ORG-05e3193bbf
skyharbor-air,VP Enterprise Architecture,Chief Information & Technology Officer,VP Enterprise Architecture,VP,Architecture review board chair; standards exception approval,Information Technology & Digital,,architecture,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,33,ORG-0032,synthetic-demo,b238b7079d485340caf88159a95306c0cd31b9f1320f579c7430a5d7017c1e96,enriched_dense_synthetic_generation_2026_07,none,ORG-74d468b559
skyharbor-air,VP IT Service Management & Support,Chief Information & Technology Officer,VP IT Service Management,VP,ITSM process ownership; managed services vendor governance,Information Technology & Digital,,itsm,"Global HQ — Chicago, IL",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,34,ORG-0033,synthetic-demo,a34a458abe793a7bbebcbea6a14c87a924ca351360a8ff4ca740d948bd2f7fc1,enriched_dense_synthetic_generation_2026_07,none,ORG-cc4ee36fbc
skyharbor-air,Director MRO Systems,VP Enterprise Applications,Director MRO Systems,Director,MRO application configuration and release authority (dotted line to SVP Technical Operations),Maintenance & Engineering (MRO),,mro_systems,"Fort Worth, TX (Tech Ops Center)",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,35,ORG-0034,synthetic-demo,3cb84bfd0591fc28b5c977929bb3c5e21dd01a5dbbb9fd259a200cb07fb2e1b9,enriched_dense_synthetic_generation_2026_07,none,ORG-ba623a5cf3
skyharbor-air,Director Contact Center & CX Technology,VP Commercial & Distribution Systems,Director Contact Center & CX Technology,Director,Genesys platform configuration and vendor operations authority,Customer Experience & Contact Center,,cx_technology,"Tempe, AZ (CX Center)",/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,2026-07-31,medium,Synthetic planning-grade content generated for the skyharbor-air demo enrichment; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,/Users/anand/Projects/nexus/datasets/tenant-inputs/active/skyharbor-air/current/02_org_ownership.csv,universal-standard-v3,36,ORG-0035,synthetic-demo,14ae6476bc1ba053b006a87247a781cef8f8f3734129716c293b570a359d128e,enriched_dense_synthetic_generation_2026_07,none,ORG-bd7ea9391e
