vendor_id,vendor_name,category,annual_spend_usd,contract_end_date,renewal_risk,business_owner,technology_owner,evidence_id
APEXRETAIL-VND-0044,IBM / expansion 4,data_ai,3720000,2026-10-15,medium,Chief Supply Chain Officer,Supply Chain Platforms,APX-EVID-004
APEXRETAIL-VND-0045,Toshiba / expansion 5,security,4560000,2026-11-15,low,Chief Marketing Officer,Customer Data and Loyalty Platforms,APX-EVID-005
APEXRETAIL-VND-0046,Adobe / expansion 6,services,5400000,2026-12-15,high,CFO,ERP and Corporate Systems,APX-EVID-006
APEXRETAIL-VND-0047,Blue Yonder / expansion 7,commerce,6240000,2026-07-15,medium,Chief Risk Officer,"Data, Analytics and AI",APX-EVID-007
APEXRETAIL-VND-0048,SAP / expansion 8,erp,7080000,2026-08-15,low,CIO,Cloud Platform and SRE,APX-EVID-008
APEXRETAIL-VND-0049,Databricks / expansion 9,supply_chain,7920000,2026-09-15,low,CHRO,Cybersecurity,APX-EVID-009
APEXRETAIL-VND-0050,Snowflake / expansion 10,data_ai,8760000,2026-10-15,medium,Chief Procurement Officer,Service Management and End User Tech,APX-EVID-010
APEXRETAIL-VND-0051,ServiceNow / expansion 11,security,9600000,2026-11-15,high,Chief Real Estate Officer,Store Systems and POS,APX-EVID-011
APEXRETAIL-VND-0052,Microsoft / expansion 12,services,10440000,2026-12-15,low,SVP Private Brands,Digital Commerce Engineering,APX-EVID-012
APEXRETAIL-VND-0053,AWS / expansion 13,commerce,11280000,2026-07-15,medium,COO,Merchandising and Planning Systems,APX-EVID-013
APEXRETAIL-VND-0054,Google / expansion 14,erp,12120000,2026-08-15,low,Chief Digital Officer,Supply Chain Platforms,APX-EVID-014
APEXRETAIL-VND-0055,NVIDIA / expansion 15,supply_chain,12960000,2026-09-15,low,Chief Merchandising Officer,Customer Data and Loyalty Platforms,APX-EVID-001
APEXRETAIL-VND-0056,UKG / expansion 16,data_ai,13800000,2026-10-15,high,Chief Supply Chain Officer,ERP and Corporate Systems,APX-EVID-002
APEXRETAIL-VND-0057,Workday / expansion 17,security,14640000,2026-11-15,low,Chief Marketing Officer,"Data, Analytics and AI",APX-EVID-003
APEXRETAIL-VND-0058,CrowdStrike / expansion 18,services,15480000,2026-12-15,low,CFO,Cloud Platform and SRE,APX-EVID-004
APEXRETAIL-VND-0059,Datadog / expansion 19,commerce,16320000,2026-07-15,medium,Chief Risk Officer,Cybersecurity,APX-EVID-005
APEXRETAIL-VND-0060,MuleSoft / expansion 20,erp,17160000,2026-08-15,low,CIO,Service Management and End User Tech,APX-EVID-006
APEXRETAIL-VND-0061,Klaviyo / expansion 21,supply_chain,18000000,2026-09-15,high,CHRO,Store Systems and POS,APX-EVID-007
APEXRETAIL-VND-0062,Braze / expansion 22,data_ai,18840000,2026-10-15,medium,Chief Procurement Officer,Digital Commerce Engineering,APX-EVID-008
APEXRETAIL-VND-0063,NCR / expansion 23,security,19680000,2026-11-15,low,Chief Real Estate Officer,Merchandising and Planning Systems,APX-EVID-009
APEXRETAIL-VND-0064,Zebra / expansion 24,services,20520000,2026-12-15,low,SVP Private Brands,Supply Chain Platforms,APX-EVID-010
APEXRETAIL-VND-0065,Okta / expansion 25,commerce,21360000,2026-07-15,medium,COO,Customer Data and Loyalty Platforms,APX-EVID-011
APEXRETAIL-VND-0066,Fortinet / expansion 26,erp,22200000,2026-08-15,high,Chief Digital Officer,ERP and Corporate Systems,APX-EVID-012
APEXRETAIL-VND-0067,Accenture / expansion 27,supply_chain,23040000,2026-09-15,low,Chief Merchandising Officer,"Data, Analytics and AI",APX-EVID-013
APEXRETAIL-VND-0068,Deloitte / expansion 28,data_ai,23880000,2026-10-15,medium,Chief Supply Chain Officer,Cloud Platform and SRE,APX-EVID-014
APEXRETAIL-VND-0069,Infosys / expansion 29,security,24720000,2026-11-15,low,Chief Marketing Officer,Cybersecurity,APX-EVID-001
APEXRETAIL-VND-0070,TCS / expansion 30,services,25560000,2026-12-15,low,CFO,Service Management and End User Tech,APX-EVID-002
APEXRETAIL-VND-0071,EPAM / expansion 31,commerce,26400000,2026-07-15,high,Chief Risk Officer,Store Systems and POS,APX-EVID-003
APEXRETAIL-VND-0072,Capgemini / expansion 32,erp,27240000,2026-08-15,low,CIO,Digital Commerce Engineering,APX-EVID-004
APEXRETAIL-VND-0073,SAS / expansion 33,supply_chain,28080000,2026-09-15,low,CHRO,Merchandising and Planning Systems,APX-EVID-005
APEXRETAIL-VND-0074,Tableau / expansion 34,data_ai,28920000,2026-10-15,medium,Chief Procurement Officer,Supply Chain Platforms,APX-EVID-006
APEXRETAIL-VND-0075,Power BI / expansion 35,security,29760000,2026-11-15,low,Chief Real Estate Officer,Customer Data and Loyalty Platforms,APX-EVID-007
APEXRETAIL-VND-0076,Narvar / expansion 36,services,30600000,2026-12-15,high,SVP Private Brands,ERP and Corporate Systems,APX-EVID-008
APEXRETAIL-VND-0077,Riskified / expansion 37,commerce,31440000,2026-07-15,medium,COO,"Data, Analytics and AI",APX-EVID-009
APEXRETAIL-VND-0078,Forter / expansion 38,erp,32280000,2026-08-15,low,Chief Digital Officer,Cloud Platform and SRE,APX-EVID-010
APEXRETAIL-VND-0079,Stripe / expansion 39,supply_chain,33120000,2026-09-15,low,Chief Merchandising Officer,Cybersecurity,APX-EVID-011
APEXRETAIL-VND-0080,Adyen / expansion 40,data_ai,33960000,2026-10-15,medium,Chief Supply Chain Officer,Service Management and End User Tech,APX-EVID-012
APEXRETAIL-VND-0081,Salesforce / expansion 41,commerce,1200000,2026-07-15,high,COO,Store Systems and POS,APX-EVID-001
APEXRETAIL-VND-0082,Oracle / expansion 42,erp,2040000,2026-08-15,low,Chief Digital Officer,Digital Commerce Engineering,APX-EVID-002
APEXRETAIL-VND-0083,Manhattan / expansion 43,supply_chain,2880000,2026-09-15,low,Chief Merchandising Officer,Merchandising and Planning Systems,APX-EVID-003
APEXRETAIL-VND-0084,IBM / expansion 44,data_ai,3720000,2026-10-15,medium,Chief Supply Chain Officer,Supply Chain Platforms,APX-EVID-004
APEXRETAIL-VND-0085,Toshiba / expansion 45,security,4560000,2026-11-15,low,Chief Marketing Officer,Customer Data and Loyalty Platforms,APX-EVID-005
APEXRETAIL-VND-0086,Adobe / expansion 46,services,5400000,2026-12-15,high,CFO,ERP and Corporate Systems,APX-EVID-006
APEXRETAIL-VND-0087,Blue Yonder / expansion 47,commerce,6240000,2026-07-15,medium,Chief Risk Officer,"Data, Analytics and AI",APX-EVID-007
APEXRETAIL-VND-0088,SAP / expansion 48,erp,7080000,2026-08-15,low,CIO,Cloud Platform and SRE,APX-EVID-008
APEXRETAIL-VND-0089,Databricks / expansion 49,supply_chain,7920000,2026-09-15,low,CHRO,Cybersecurity,APX-EVID-009
APEXRETAIL-VND-0090,Snowflake / expansion 50,data_ai,8760000,2026-10-15,medium,Chief Procurement Officer,Service Management and End User Tech,APX-EVID-010
APEXRETAIL-VND-0091,ServiceNow / expansion 51,security,9600000,2026-11-15,high,Chief Real Estate Officer,Store Systems and POS,APX-EVID-011
APEXRETAIL-VND-0092,Microsoft / expansion 52,services,10440000,2026-12-15,low,SVP Private Brands,Digital Commerce Engineering,APX-EVID-012
APEXRETAIL-VND-0093,AWS / expansion 53,commerce,11280000,2026-07-15,medium,COO,Merchandising and Planning Systems,APX-EVID-013
APEXRETAIL-VND-0094,Google / expansion 54,erp,12120000,2026-08-15,low,Chief Digital Officer,Supply Chain Platforms,APX-EVID-014
APEXRETAIL-VND-0095,NVIDIA / expansion 55,supply_chain,12960000,2026-09-15,low,Chief Merchandising Officer,Customer Data and Loyalty Platforms,APX-EVID-001
APEXRETAIL-VND-0096,UKG / expansion 56,data_ai,13800000,2026-10-15,high,Chief Supply Chain Officer,ERP and Corporate Systems,APX-EVID-002
APEXRETAIL-VND-0097,Workday / expansion 57,security,14640000,2026-11-15,low,Chief Marketing Officer,"Data, Analytics and AI",APX-EVID-003
APEXRETAIL-VND-0098,CrowdStrike / expansion 58,services,15480000,2026-12-15,low,CFO,Cloud Platform and SRE,APX-EVID-004
APEXRETAIL-VND-0099,Datadog / expansion 59,commerce,16320000,2026-07-15,medium,Chief Risk Officer,Cybersecurity,APX-EVID-005
APEXRETAIL-VND-0100,MuleSoft / expansion 60,erp,17160000,2026-08-15,low,CIO,Service Management and End User Tech,APX-EVID-006
