rate_band_code,role_code,level_code,currency,rate_basis,rate_unit,loaded_rate,scarcity_adj_rate,indicative_bill_rate,valid_from,source,confidence,approval_status,status,version
ROL-005-LVL-05,ROL-005,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0011 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-005-LVL-06,ROL-005,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0012 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-006-LVL-06,ROL-006,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0013 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-006-LVL-07,ROL-006,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0014 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-006-LVL-08,ROL-006,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0015 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-006-LVL-09,ROL-006,LVL-09,USD,onshore_si_t1_benchmark,hour,107.97,118.77,192.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0016 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-007-LVL-02,ROL-007,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0017 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-007-LVL-03,ROL-007,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0018 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-008-LVL-05,ROL-008,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0019 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-008-LVL-06,ROL-008,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0020 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-008-LVL-07,ROL-008,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0021 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-008-LVL-08,ROL-008,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0022 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-009-LVL-02,ROL-009,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0023 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-009-LVL-03,ROL-009,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0024 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-010-LVL-05,ROL-010,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0025 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-010-LVL-06,ROL-010,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0026 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-010-LVL-07,ROL-010,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0027 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-010-LVL-08,ROL-010,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0028 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-011-LVL-02,ROL-011,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0029 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-011-LVL-03,ROL-011,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0030 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-012-LVL-05,ROL-012,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0031 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-012-LVL-06,ROL-012,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0032 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-012-LVL-07,ROL-012,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0033 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-012-LVL-08,ROL-012,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0034 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-013-LVL-02,ROL-013,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0035 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-013-LVL-03,ROL-013,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0036 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-014-LVL-05,ROL-014,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0037 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-014-LVL-06,ROL-014,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0038 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-014-LVL-07,ROL-014,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0039 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-014-LVL-08,ROL-014,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0040 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-015-LVL-02,ROL-015,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0041 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-015-LVL-03,ROL-015,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0042 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-016-LVL-05,ROL-016,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0043 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-016-LVL-06,ROL-016,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0044 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-016-LVL-07,ROL-016,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0045 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-016-LVL-08,ROL-016,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0046 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-017-LVL-04,ROL-017,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,296.92,495.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0047 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-017-LVL-05,ROL-017,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0048 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-017-LVL-06,ROL-017,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0049 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-018-LVL-06,ROL-018,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0050 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-018-LVL-07,ROL-018,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0051 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-018-LVL-08,ROL-018,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0052 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-019-LVL-04,ROL-019,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0053 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-019-LVL-05,ROL-019,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0054 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-019-LVL-06,ROL-019,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0055 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-019-LVL-07,ROL-019,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,204.70,349.38,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0056 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-020-LVL-08,ROL-020,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0057 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-020-LVL-09,ROL-020,LVL-09,USD,onshore_si_t1_benchmark,hour,107.97,118.77,192.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0058 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-021-LVL-01,ROL-021,LVL-01,USD,onshore_si_t1_benchmark,hour,467.88,608.24,1015.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0059 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-021-LVL-02,ROL-021,LVL-02,USD,onshore_si_t1_benchmark,hour,386.90,502.97,853.13,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0060 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-022-LVL-03,ROL-022,LVL-03,USD,onshore_si_t1_benchmark,hour,323.91,421.09,698.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0061 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-022-LVL-04,ROL-022,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0062 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-023-LVL-04,ROL-023,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0063 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-023-LVL-05,ROL-023,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0064 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-023-LVL-06,ROL-023,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0065 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-023-LVL-07,ROL-023,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,204.70,349.38,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0066 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-024-LVL-04,ROL-024,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0067 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-024-LVL-05,ROL-024,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0068 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-024-LVL-06,ROL-024,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0069 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-025-LVL-05,ROL-025,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0070 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-025-LVL-06,ROL-025,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0071 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-025-LVL-07,ROL-025,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0072 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-025-LVL-08,ROL-025,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0073 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-026-LVL-04,ROL-026,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0074 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-026-LVL-05,ROL-026,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0075 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-026-LVL-06,ROL-026,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0076 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-027-LVL-08,ROL-027,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,148.46,247.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0077 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-027-LVL-09,ROL-027,LVL-09,USD,onshore_si_t1_benchmark,hour,107.97,118.77,192.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0078 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-028-LVL-05,ROL-028,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0079 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-028-LVL-06,ROL-028,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0080 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-028-LVL-07,ROL-028,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0081 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-029-LVL-04,ROL-029,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0082 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-029-LVL-05,ROL-029,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0083 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-029-LVL-06,ROL-029,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0084 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-029-LVL-07,ROL-029,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,204.70,349.38,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0085 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-030-LVL-05,ROL-030,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,242.49,412.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0086 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-030-LVL-06,ROL-030,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,197.95,343.75,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0087 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-030-LVL-07,ROL-030,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,173.20,295.63,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0088 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-031-LVL-04,ROL-031,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0089 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-031-LVL-05,ROL-031,LVL-05,USD,onshore_si_t1_benchmark,hour,220.44,286.57,487.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0090 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-031-LVL-06,ROL-031,LVL-06,USD,onshore_si_t1_benchmark,hour,179.95,233.94,406.25,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0091 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-031-LVL-07,ROL-031,LVL-07,USD,onshore_si_t1_benchmark,hour,157.46,204.70,349.38,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0092 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-032-LVL-08,ROL-032,LVL-08,USD,onshore_si_t1_benchmark,hour,134.96,175.45,292.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0093 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-032-LVL-09,ROL-032,LVL-09,USD,onshore_si_t1_benchmark,hour,107.97,140.36,227.50,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0094 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
ROL-033-LVL-04,ROL-033,LVL-04,USD,onshore_si_t1_benchmark,hour,269.93,350.91,585.00,2026-07-23,"Workforce_Taxonomy_Master.xlsx:Role Rate Card row RC-0095 (Internal Cost Model + Assumptions formula engine, recomputed — see script header)",medium,global_starter_unapproved,active,1
