activity_pack_code,role_code,allocation_pct,level_hint,source_artifact,status
AP-TECH-APP-01,ROL-077,30,,hand-authored-pr4,active
AP-TECH-APP-01,ROL-078,30,,hand-authored-pr4,active
AP-TECH-APP-02,ROL-080,45,,hand-authored-pr4,active
AP-TECH-APP-02,ROL-083,30,,hand-authored-pr4,active
AP-TECH-APP-02,ROL-219,25,,hand-authored-pr4,active
AP-TECH-APP-03,ROL-081,60,,hand-authored-pr4,active
AP-TECH-APP-03,ROL-223,40,,hand-authored-pr4,active
AP-TECH-APP-04,ROL-082,40,,hand-authored-pr4,active
AP-TECH-APP-04,ROL-224,30,,hand-authored-pr4,active
AP-TECH-APP-04,ROL-225,30,,hand-authored-pr4,active
AP-TECH-APP-05,ROL-118,25,,hand-authored-pr4,active
AP-TECH-APP-05,ROL-292,45,,hand-authored-pr4,active
AP-TECH-APP-05,ROL-120,30,,hand-authored-pr4,active
AP-TECH-CLOUD-01,ROL-099,40,,hand-authored-pr4,active
AP-TECH-CLOUD-01,ROL-272,35,,hand-authored-pr4,active
AP-TECH-CLOUD-01,ROL-100,25,,hand-authored-pr4,active
AP-TECH-CLOUD-02,ROL-104,40,,hand-authored-pr4,active
AP-TECH-CLOUD-02,ROL-106,35,,hand-authored-pr4,active
AP-TECH-CLOUD-02,ROL-271,25,,hand-authored-pr4,active
AP-TECH-CLOUD-03,ROL-107,45,,hand-authored-pr4,active
AP-TECH-CLOUD-03,ROL-125,55,,hand-authored-pr4,active
AP-TECH-INTEG-01,ROL-085,55,,hand-authored-pr4,active
AP-TECH-INTEG-01,ROL-242,45,,hand-authored-pr4,active
AP-TECH-INTEG-02,ROL-086,40,,hand-authored-pr4,active
AP-TECH-INTEG-02,ROL-087,35,,hand-authored-pr4,active
AP-TECH-INTEG-02,ROL-240,25,,hand-authored-pr4,active
AP-TECH-PROC-01,ROL-003,45,,hand-authored-pr4,active
AP-TECH-PROC-01,ROL-001,20,,hand-authored-pr4,active
AP-TECH-PROC-01,ROL-002,35,,hand-authored-pr4,active
AP-TECH-PROC-02,ROL-017,40,,hand-authored-pr4,active
AP-TECH-PROC-02,ROL-172,30,,hand-authored-pr4,active
AP-TECH-PROC-02,ROL-175,30,,hand-authored-pr4,active
AP-TECH-PROC-03,ROL-018,100,,hand-authored-pr4,active
AP-TECH-PROC-04,ROL-019,30,,hand-authored-pr4,active
AP-TECH-PROC-04,ROL-020,40,,hand-authored-pr4,active
AP-TECH-PROC-04,ROL-174,30,,hand-authored-pr4,active
AP-TECH-AMS-01,ROL-303,40,,hand-authored-pr4,active
AP-TECH-AMS-01,ROL-304,35,,hand-authored-pr4,active
AP-TECH-AMS-01,ROL-302,25,,hand-authored-pr4,active
AP-TECH-AMS-02,ROL-305,55,,hand-authored-pr4,active
AP-TECH-AMS-02,ROL-127,45,,hand-authored-pr4,active
AP-TECH-AMS-03,ROL-126,20,,hand-authored-pr4,active
AP-TECH-AMS-03,ROL-127,25,,hand-authored-pr4,active
AP-TECH-AMS-03,ROL-128,30,,hand-authored-pr4,active
AP-TECH-AMS-03,ROL-129,25,,hand-authored-pr4,active
AP-TECH-AMS-04,ROL-124,60,,hand-authored-pr4,active
AP-TECH-AMS-04,ROL-123,40,,hand-authored-pr4,active
AP-TECH-ERP-01,ROL-089,55,,hand-authored-pr4,active
AP-TECH-ERP-01,ROL-252,45,,hand-authored-pr4,active
AP-TECH-ERP-02,ROL-090,25,,hand-authored-pr4,active
AP-TECH-ERP-02,ROL-243,30,,hand-authored-pr4,active
AP-TECH-ERP-02,ROL-091,20,,hand-authored-pr4,active
AP-TECH-ERP-02,ROL-244,25,,hand-authored-pr4,active
AP-TECH-ERP-03,ROL-248,40,,hand-authored-pr4,active
AP-TECH-ERP-03,ROL-249,30,,hand-authored-pr4,active
AP-TECH-ERP-03,ROL-251,30,,hand-authored-pr4,active
AP-TECH-ERP-04,ROL-093,35,,hand-authored-pr4,active
AP-TECH-ERP-04,ROL-037,65,,hand-authored-pr4,active
AP-TECH-ERP-05,ROL-092,100,,hand-authored-pr4,active
AP-TECH-LEGACY-01,ROL-130,55,,hand-authored-pr4,active
AP-TECH-LEGACY-01,ROL-307,45,,hand-authored-pr4,active
AP-TECH-LEGACY-02,ROL-131,25,,hand-authored-pr4,active
AP-TECH-LEGACY-02,ROL-132,50,,hand-authored-pr4,active
AP-TECH-LEGACY-02,ROL-308,25,,hand-authored-pr4,active
AP-TECH-LEGACY-03,ROL-133,55,,hand-authored-pr4,active
AP-TECH-LEGACY-03,ROL-306,45,,hand-authored-pr4,active
AP-TECH-LEGACY-04,ROL-084,25,,hand-authored-pr4,active
AP-TECH-LEGACY-04,ROL-080,75,,hand-authored-pr4,active
AP-SHARED-01,ROL-134,55,,hand-authored-pr4,active
AP-SHARED-01,ROL-309,45,,hand-authored-pr4,active
AP-SHARED-02,ROL-136,100,,hand-authored-pr4,active
AP-SHARED-03,ROL-003,60,,hand-authored-pr4,active
AP-SHARED-03,ROL-317,40,,hand-authored-pr4,active
AP-SHARED-04,ROL-135,40,,hand-authored-pr4,active
AP-SHARED-04,ROL-310,60,,hand-authored-pr4,active
AP-SHARED-05,ROL-137,60,,hand-authored-pr4,active
AP-SHARED-05,ROL-311,40,,hand-authored-pr4,active
AP-SHARED-06,ROL-140,30,,hand-authored-pr4,active
AP-SHARED-06,ROL-128,40,,hand-authored-pr4,active
AP-SHARED-06,ROL-127,30,,hand-authored-pr4,active
AP-SHARED-07,ROL-139,25,,hand-authored-pr4,active
AP-SHARED-07,ROL-140,35,,hand-authored-pr4,active
AP-SHARED-07,ROL-142,20,,hand-authored-pr4,active
AP-SHARED-07,ROL-141,20,,hand-authored-pr4,active
AP-SHARED-08,ROL-144,45,,hand-authored-pr4,active
AP-SHARED-08,ROL-145,55,,hand-authored-pr4,active
AP-SHARED-09,ROL-115,40,,hand-authored-pr4,active
AP-SHARED-09,ROL-116,35,,hand-authored-pr4,active
AP-SHARED-09,ROL-060,25,,hand-authored-pr4,active
AP-SHARED-10,ROL-322,35,,hand-authored-pr4,active
AP-SHARED-10,ROL-323,35,,hand-authored-pr4,active
AP-SHARED-10,ROL-324,30,,hand-authored-pr4,active
AP-SHARED-11,ROL-147,45,,hand-authored-pr4,active
AP-SHARED-11,ROL-148,55,,hand-authored-pr4,active
AP-SHARED-12,ROL-305,50,,hand-authored-pr4,active
AP-SHARED-12,ROL-303,50,,hand-authored-pr4,active
