role_code,canonical_name,tower_code,capability_code,role_family_code,role_type,allowed_level_min,allowed_level_max,default_rate_band_code,internal_external_default,billable_default,source_artifact,source_row,source_label,status,version
ROL-027,Data Steward,TWR-04,CAP-014,RF-0025,delivery,Intermediate,Senior,ROL-027-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,32,Data Steward,active,1
ROL-028,Metadata Lead,TWR-04,CAP-016,RF-0027,delivery,Lead,Senior Manager,ROL-028-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,33,Metadata Lead,active,1
ROL-029,MDM Architect,TWR-04,CAP-017,RF-0028,architecture,Lead,Director,ROL-029-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,34,MDM Architect,active,1
ROL-030,Data Quality Lead,TWR-04,CAP-015,RF-0026,delivery,Lead,Senior Manager,ROL-030-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,35,Data Quality Lead,active,1
ROL-031,Snowflake Architect,TWR-04,CAP-023,RF-0034,architecture,Lead,Director,ROL-031-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,36,Snowflake Architect,active,1
ROL-032,Snowflake Engineer,TWR-04,CAP-023,RF-0034,delivery,Intermediate,Senior,ROL-032-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,37,Snowflake Engineer,active,1
ROL-033,Databricks Architect,TWR-04,CAP-024,RF-0035,architecture,Lead,Director,ROL-033-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,38,Databricks Architect,active,1
ROL-034,Databricks Engineer,TWR-04,CAP-024,RF-0035,delivery,Intermediate,Senior,ROL-034-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,39,Databricks Engineer,active,1
ROL-037,Data Engineer,TWR-04,CAP-019,RF-0030,delivery,Intermediate,Senior Manager,ROL-037-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,42,Data Engineer,active,1
ROL-038,Informatica Developer,TWR-04,CAP-025,RF-0036,delivery,Intermediate,Senior,ROL-038-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,43,Informatica Developer,active,1
ROL-039,Collibra Consultant,TWR-04,CAP-026,RF-0037,delivery,Senior,Manager,ROL-039-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,44,Collibra Consultant,active,1
ROL-040,BI Architect,TWR-04,CAP-020,RF-0031,architecture,Lead,Director,ROL-040-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,45,BI Architect,active,1
ROL-041,BI Developer,TWR-04,CAP-020,RF-0031,delivery,Intermediate,Senior,ROL-041-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,46,BI Developer,active,1
ROL-042,Analytics Lead,TWR-04,CAP-022,RF-0033,delivery,Lead,Senior Manager,ROL-042-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,47,Analytics Lead,active,1
ROL-043,Analytics Consultant,TWR-04,CAP-022,RF-0033,delivery,Intermediate,Senior,ROL-043-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,48,Analytics Consultant,active,1
ROL-044,Reporting Analyst,TWR-04,CAP-021,RF-0032,delivery,Junior,Intermediate,ROL-044-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,49,Reporting Analyst,active,1
ROL-045,Chief AI Officer (Advisory),TWR-05,CAP-034,RF-0045,delivery,Managing Director,Partner,ROL-045-LVL-02,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,50,Chief AI Officer (Advisory),active,1
ROL-046,Chief AI Architect,TWR-05,CAP-027,RF-0038,architecture,Director,Principal,ROL-046-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,51,Chief AI Architect,active,1
ROL-047,AI Strategist,TWR-05,CAP-028,RF-0039,delivery,Manager,Director,ROL-047-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,52,AI Strategist,active,1
ROL-048,AI Product Manager,TWR-05,CAP-028,RF-0039,delivery,Manager,Director,ROL-048-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,53,AI Product Manager,active,1
ROL-049,Agent Architect,TWR-05,CAP-027,RF-0038,architecture,Lead,Director,ROL-049-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,54,Agent Architect,active,1
ROL-050,Forward Deployed Engineer,TWR-05,CAP-027,RF-0038,delivery,Senior,Senior Manager,ROL-050-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,55,Forward Deployed Engineer,active,1
ROL-051,Principal AI Engineer,TWR-05,CAP-030,RF-0041,delivery,Principal,Principal,ROL-051-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,56,Principal AI Engineer,active,1
ROL-052,Lead AI Engineer,TWR-05,CAP-030,RF-0041,delivery,Lead,Senior Manager,ROL-052-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,57,Lead AI Engineer,active,1
ROL-053,AI Engineer,TWR-05,CAP-028,RF-0039,delivery,Intermediate,Senior,ROL-053-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,58,AI Engineer,active,1
ROL-054,ML Engineer,TWR-05,CAP-030,RF-0041,delivery,Intermediate,Senior,ROL-054-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,59,ML Engineer,active,1
ROL-055,MLOps Engineer,TWR-05,CAP-031,RF-0042,delivery,Senior,Lead,ROL-055-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,60,MLOps Engineer,active,1
ROL-056,LLMOps Engineer,TWR-05,CAP-032,RF-0043,delivery,Senior,Lead,ROL-056-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,61,LLMOps Engineer,active,1
ROL-057,Prompt Engineer,TWR-05,CAP-029,RF-0040,delivery,Intermediate,Senior,ROL-057-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,62,Prompt Engineer,active,1
ROL-058,Responsible AI Lead,TWR-05,CAP-033,RF-0044,delivery,Manager,Director,ROL-058-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,63,Responsible AI Lead,active,1
ROL-059,AI Governance Lead,TWR-05,CAP-034,RF-0045,governance,Manager,Director,ROL-059-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,64,AI Governance Lead,active,1
ROL-060,Model Validation Lead,TWR-05,CAP-035,RF-0046,delivery,Lead,Senior Manager,ROL-060-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,65,Model Validation Lead,active,1
ROL-061,Experience Director,TWR-06,CAP-036,RF-0047,delivery,Director,Principal,ROL-061-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,66,Experience Director,active,1
ROL-062,UX Lead,TWR-06,CAP-036,RF-0047,delivery,Lead,Senior Manager,ROL-062-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,67,UX Lead,active,1
ROL-063,UX Designer,TWR-06,CAP-036,RF-0047,delivery,Intermediate,Senior,ROL-063-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,68,UX Designer,active,1
ROL-064,UI Designer,TWR-06,CAP-037,RF-0048,delivery,Intermediate,Senior,ROL-064-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,69,UI Designer,active,1
ROL-065,Journey Architect,TWR-06,CAP-038,RF-0049,architecture,Lead,Director,ROL-065-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,70,Journey Architect,active,1
ROL-066,Commerce Architect,TWR-06,CAP-039,RF-0050,architecture,Lead,Director,ROL-066-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,71,Commerce Architect,active,1
ROL-067,Adobe Architect,TWR-07,CAP-041,RF-0052,architecture,Lead,Director,ROL-067-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,72,Adobe Architect,active,1
ROL-068,AEM Architect,TWR-07,CAP-041,RF-0052,architecture,Lead,Director,ROL-068-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,73,AEM Architect,active,1
ROL-069,Adobe Developer,TWR-07,CAP-041,RF-0052,delivery,Intermediate,Senior,ROL-069-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,74,Adobe Developer,active,1
ROL-070,Adobe Analytics Consultant,TWR-07,CAP-042,RF-0053,delivery,Senior,Manager,ROL-070-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,75,Adobe Analytics Consultant,active,1
ROL-071,CDP Architect,TWR-07,CAP-044,RF-0055,architecture,Lead,Director,ROL-071-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,76,CDP Architect,active,1
ROL-072,MarTech Strategist,TWR-07,CAP-043,RF-0054,delivery,Manager,Director,ROL-072-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,77,MarTech Strategist,active,1
ROL-073,Head of Product (Advisory),TWR-08,CAP-046,RF-0057,delivery,Director,Managing Director,ROL-073-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,78,Head of Product (Advisory),active,1
ROL-074,Principal Product Manager,TWR-08,CAP-046,RF-0057,delivery,Principal,Principal,ROL-074-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,79,Principal Product Manager,active,1
ROL-075,Senior Product Manager,TWR-08,CAP-047,RF-0058,delivery,Senior Manager,Senior Manager,ROL-075-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,80,Senior Product Manager,active,1
ROL-076,Product Owner,TWR-08,CAP-047,RF-0058,delivery,Senior,Manager,ROL-076-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,81,Product Owner,active,1
ROL-077,Principal Engineer,TWR-09,CAP-052,RF-0063,delivery,Principal,Principal,ROL-077-LVL-03,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,82,Principal Engineer,active,1
ROL-078,Engineering Lead,TWR-09,CAP-049,RF-0060,delivery,Lead,Senior Manager,ROL-078-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,83,Engineering Lead,active,1
ROL-080,Software Engineer,TWR-09,CAP-052,RF-0063,delivery,Intermediate,Senior,ROL-080-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,85,Software Engineer,active,1
ROL-081,Frontend Engineer,TWR-09,CAP-051,RF-0062,delivery,Intermediate,Senior,ROL-081-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,86,Frontend Engineer,active,1
ROL-082,Mobile Engineer,TWR-09,CAP-053,RF-0064,delivery,Intermediate,Senior,ROL-082-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,87,Mobile Engineer,active,1
ROL-083,API Engineer,TWR-09,CAP-050,RF-0061,delivery,Intermediate,Senior,ROL-083-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,88,API Engineer,active,1
ROL-084,Modernization Architect,TWR-09,CAP-054,RF-0065,architecture,Lead,Director,ROL-084-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,89,Modernization Architect,active,1
ROL-085,Integration Architect,TWR-10,CAP-057,RF-0076,architecture,Lead,Director,ROL-085-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,90,Integration Architect,active,1
ROL-086,iPaaS Developer,TWR-10,CAP-055,RF-0074,delivery,Intermediate,Senior,ROL-086-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,91,iPaaS Developer,active,1
ROL-087,Event Streaming Engineer,TWR-10,CAP-056,RF-0075,delivery,Senior,Lead,ROL-087-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,92,Event Streaming Engineer,active,1
ROL-088,Middleware Engineer,TWR-10,CAP-058,RF-0077,delivery,Intermediate,Senior,ROL-088-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,93,Middleware Engineer,active,1
ROL-089,SAP Enterprise Architect,TWR-11,CAP-059,RF-0079,architecture,Director,Principal,ROL-089-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,94,SAP Enterprise Architect,active,1
ROL-090,SAP Finance Architect,TWR-11,CAP-059,RF-0079,architecture,Lead,Director,ROL-090-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,95,SAP Finance Architect,active,1
ROL-091,SAP Supply Chain Architect,TWR-11,CAP-060,RF-0080,architecture,Lead,Director,ROL-091-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,96,SAP Supply Chain Architect,active,1
ROL-092,SAP Security Architect,TWR-11,CAP-061,RF-0081,architecture,Lead,Senior Manager,ROL-092-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,97,SAP Security Architect,active,1
ROL-093,SAP Basis Consultant,TWR-11,CAP-061,RF-0081,delivery,Senior,Manager,ROL-093-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,98,SAP Basis Consultant,active,1
ROL-094,Oracle Finance Architect,TWR-11,CAP-062,RF-0082,architecture,Lead,Director,ROL-094-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,99,Oracle Finance Architect,active,1
ROL-095,Oracle SCM Consultant,TWR-11,CAP-063,RF-0083,delivery,Senior,Manager,ROL-095-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,100,Oracle SCM Consultant,active,1
ROL-096,Workday Architect,TWR-11,CAP-064,RF-0084,architecture,Lead,Director,ROL-096-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,101,Workday Architect,active,1
ROL-097,Workday Functional Lead,TWR-11,CAP-064,RF-0084,delivery,Lead,Senior Manager,ROL-097-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,102,Workday Functional Lead,active,1
ROL-098,Workday Technical Lead,TWR-11,CAP-065,RF-0085,delivery,Lead,Senior Manager,ROL-098-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,103,Workday Technical Lead,active,1
ROL-099,Cloud Architect,TWR-12,CAP-066,RF-0095,architecture,Lead,Director,ROL-099-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,104,Cloud Architect,active,1
ROL-100,Azure Architect,TWR-12,CAP-066,RF-0095,architecture,Lead,Director,ROL-100-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,105,Azure Architect,active,1
ROL-101,AWS Architect,TWR-12,CAP-067,RF-0096,architecture,Lead,Director,ROL-101-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,106,AWS Architect,active,1
ROL-102,GCP Architect,TWR-12,CAP-068,RF-0097,architecture,Lead,Director,ROL-102-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,107,GCP Architect,active,1
ROL-103,Platform Architect,TWR-12,CAP-069,RF-0098,architecture,Lead,Director,ROL-103-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,108,Platform Architect,active,1
ROL-104,Platform Engineer,TWR-12,CAP-069,RF-0098,delivery,Intermediate,Senior,ROL-104-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,109,Platform Engineer,active,1
ROL-105,DevOps Architect,TWR-12,CAP-070,RF-0099,architecture,Lead,Senior Manager,ROL-105-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,110,DevOps Architect,active,1
ROL-106,DevOps Engineer,TWR-12,CAP-070,RF-0099,delivery,Intermediate,Senior,ROL-106-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,111,DevOps Engineer,active,1
ROL-107,SRE Architect,TWR-12,CAP-071,RF-0100,architecture,Lead,Senior Manager,ROL-107-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,112,SRE Architect,active,1
ROL-108,Infrastructure Architect,TWR-13,CAP-074,RF-0106,architecture,Lead,Director,ROL-108-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,113,Infrastructure Architect,active,1
ROL-109,Network Architect,TWR-13,CAP-072,RF-0104,architecture,Lead,Senior Manager,ROL-109-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,114,Network Architect,active,1
ROL-110,Storage Engineer,TWR-13,CAP-073,RF-0105,delivery,Intermediate,Senior,ROL-110-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,115,Storage Engineer,active,1
ROL-111,Identity Architect,TWR-13,CAP-075,RF-0107,architecture,Lead,Senior Manager,ROL-111-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,116,Identity Architect,active,1
ROL-112,IAM Architect,TWR-14,CAP-077,RF-0111,architecture,Lead,Director,ROL-112-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,117,IAM Architect,active,1
ROL-113,SOC Lead,TWR-14,CAP-078,RF-0112,delivery,Lead,Senior Manager,ROL-113-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,118,SOC Lead,active,1
ROL-114,SOC Analyst,TWR-14,CAP-078,RF-0112,delivery,Junior,Senior,ROL-114-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,119,SOC Analyst,active,1
ROL-115,GRC Lead,TWR-14,CAP-079,RF-0113,delivery,Manager,Director,ROL-115-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,120,GRC Lead,active,1
ROL-116,Application Security Engineer,TWR-14,CAP-080,RF-0114,delivery,Senior,Lead,ROL-116-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,121,Application Security Engineer,active,1
ROL-117,Threat & Vuln Analyst,TWR-14,CAP-081,RF-0115,delivery,Intermediate,Senior,ROL-117-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,122,Threat & Vuln Analyst,active,1
ROL-118,QA Architect,TWR-15,CAP-082,RF-0117,architecture,Lead,Director,ROL-118-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,123,QA Architect,active,1
ROL-119,Automation Architect,TWR-15,CAP-083,RF-0118,architecture,Lead,Senior Manager,ROL-119-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,124,Automation Architect,active,1
ROL-120,Automation Engineer,TWR-15,CAP-083,RF-0118,delivery,Intermediate,Senior,ROL-120-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,125,Automation Engineer,active,1
ROL-121,Performance Architect,TWR-15,CAP-084,RF-0119,architecture,Lead,Senior Manager,ROL-121-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,126,Performance Architect,active,1
ROL-122,Security Testing Architect,TWR-15,CAP-085,RF-0120,architecture,Lead,Senior Manager,ROL-122-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,127,Security Testing Architect,active,1
ROL-123,Service Operations Lead,TWR-16,CAP-086,RF-0121,operations,Lead,Senior Manager,ROL-123-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,128,Service Operations Lead,active,1
ROL-124,Observability Engineer,TWR-16,CAP-087,RF-0122,operations,Senior,Lead,ROL-124-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,129,Observability Engineer,active,1
ROL-125,Site Reliability Engineer,TWR-16,CAP-088,RF-0123,operations,Senior,Lead,ROL-125-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,130,Site Reliability Engineer,active,1
ROL-126,AMS Delivery Manager,TWR-17,CAP-091,RF-0129,operations,Manager,Director,ROL-126-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,131,AMS Delivery Manager,active,1
ROL-127,L3 Support Engineer,TWR-17,CAP-091,RF-0129,operations,Senior,Lead,ROL-127-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,132,L3 Support Engineer,active,1
ROL-128,L2 Support Engineer,TWR-17,CAP-090,RF-0128,operations,Intermediate,Senior,ROL-128-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,133,L2 Support Engineer,active,1
ROL-129,L1 Support Analyst,TWR-17,CAP-089,RF-0127,operations,Junior,Intermediate,ROL-129-LVL-10,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,134,L1 Support Analyst,active,1
ROL-130,Mainframe Architect,TWR-18,CAP-092,RF-0130,architecture,Lead,Director,ROL-130-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,135,Mainframe Architect,active,1
ROL-131,COBOL Architect,TWR-18,CAP-093,RF-0131,architecture,Lead,Senior Manager,ROL-131-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,136,COBOL Architect,active,1
ROL-132,COBOL Engineer,TWR-18,CAP-093,RF-0131,delivery,Intermediate,Senior,ROL-132-LVL-09,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,137,COBOL Engineer,active,1
ROL-133,z/OS Engineer,TWR-18,CAP-095,RF-0133,delivery,Senior,Lead,ROL-133-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,138,z/OS Engineer,active,1
ROL-134,OCM Lead,TWR-19,CAP-096,RF-0134,governance,Manager,Director,ROL-134-LVL-06,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,139,OCM Lead,active,1
ROL-135,Training Lead,TWR-19,CAP-097,RF-0135,governance,Lead,Senior Manager,ROL-135-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,140,Training Lead,active,1
ROL-136,Communications Lead,TWR-19,CAP-098,RF-0136,governance,Lead,Senior Manager,ROL-136-LVL-07,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,141,Communications Lead,active,1
ROL-137,Adoption Consultant,TWR-19,CAP-099,RF-0137,governance,Senior,Manager,ROL-137-LVL-08,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,142,Adoption Consultant,active,1
ROL-138,Program Director,TWR-20,CAP-101,RF-0139,governance,Director,Principal,ROL-138-LVL-04,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,143,Program Director,active,1
ROL-139,Program Manager,TWR-20,CAP-101,RF-0139,governance,Senior Manager,Director,ROL-139-LVL-05,internal,true,Workforce_Taxonomy_Master.xlsx:Roles,144,Program Manager,active,1
