eligibility_code,provider_class_code,provider_class_name,location_code,location_name,shore_category,role_delivery_group,eligibility,requires_manual_review,source_artifact,status,version,notes
ELIG-AI-B-LOC-CHICAGO-REGULATED-DOMAIN,AI-B,AI-B,LOC-CHICAGO,Chicago,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-DALLAS-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-DALLAS,Dallas,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-DALLAS-COMMODITY-DELIVERY,AI-B,AI-B,LOC-DALLAS,Dallas,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-DALLAS-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-DALLAS,Dallas,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-DALLAS-PLATFORM-DELIVERY,AI-B,AI-B,LOC-DALLAS,Dallas,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-DALLAS-REGULATED-DOMAIN,AI-B,AI-B,LOC-DALLAS,Dallas,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-EASTERN-EUROPE-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-EASTERN-EUROPE,Eastern Europe,nearshore,architecture_security,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-EASTERN-EUROPE-COMMODITY-DELIVERY,AI-B,AI-B,LOC-EASTERN-EUROPE,Eastern Europe,nearshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-EASTERN-EUROPE-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-EASTERN-EUROPE,Eastern Europe,nearshore,executive_advisory,not_eligible,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-EASTERN-EUROPE-PLATFORM-DELIVERY,AI-B,AI-B,LOC-EASTERN-EUROPE,Eastern Europe,nearshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-EASTERN-EUROPE-REGULATED-DOMAIN,AI-B,AI-B,LOC-EASTERN-EUROPE,Eastern Europe,nearshore,regulated_domain,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-HOUSTON-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-HOUSTON,Houston,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-HOUSTON-COMMODITY-DELIVERY,AI-B,AI-B,LOC-HOUSTON,Houston,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-HOUSTON-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-HOUSTON,Houston,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-HOUSTON-PLATFORM-DELIVERY,AI-B,AI-B,LOC-HOUSTON,Houston,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-HOUSTON-REGULATED-DOMAIN,AI-B,AI-B,LOC-HOUSTON,Houston,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-1-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-INDIA-TIER-1,India Tier 1,offshore,architecture_security,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-1-COMMODITY-DELIVERY,AI-B,AI-B,LOC-INDIA-TIER-1,India Tier 1,offshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-1-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-INDIA-TIER-1,India Tier 1,offshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-1-PLATFORM-DELIVERY,AI-B,AI-B,LOC-INDIA-TIER-1,India Tier 1,offshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-1-REGULATED-DOMAIN,AI-B,AI-B,LOC-INDIA-TIER-1,India Tier 1,offshore,regulated_domain,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-2-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-INDIA-TIER-2,India Tier 2,offshore,architecture_security,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-2-COMMODITY-DELIVERY,AI-B,AI-B,LOC-INDIA-TIER-2,India Tier 2,offshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-2-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-INDIA-TIER-2,India Tier 2,offshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-2-PLATFORM-DELIVERY,AI-B,AI-B,LOC-INDIA-TIER-2,India Tier 2,offshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-INDIA-TIER-2-REGULATED-DOMAIN,AI-B,AI-B,LOC-INDIA-TIER-2,India Tier 2,offshore,regulated_domain,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-LATAM-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-LATAM,LATAM,nearshore,architecture_security,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-LATAM-COMMODITY-DELIVERY,AI-B,AI-B,LOC-LATAM,LATAM,nearshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-LATAM-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-LATAM,LATAM,nearshore,executive_advisory,not_eligible,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-LATAM-PLATFORM-DELIVERY,AI-B,AI-B,LOC-LATAM,LATAM,nearshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-LATAM-REGULATED-DOMAIN,AI-B,AI-B,LOC-LATAM,LATAM,nearshore,regulated_domain,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-MIDDLE-EAST-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-MIDDLE-EAST,Middle East,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-MIDDLE-EAST-COMMODITY-DELIVERY,AI-B,AI-B,LOC-MIDDLE-EAST,Middle East,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-MIDDLE-EAST-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-MIDDLE-EAST,Middle East,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-MIDDLE-EAST-PLATFORM-DELIVERY,AI-B,AI-B,LOC-MIDDLE-EAST,Middle East,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-MIDDLE-EAST-REGULATED-DOMAIN,AI-B,AI-B,LOC-MIDDLE-EAST,Middle East,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-NYC-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-NYC,NYC,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-NYC-COMMODITY-DELIVERY,AI-B,AI-B,LOC-NYC,NYC,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-NYC-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-NYC,NYC,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-NYC-PLATFORM-DELIVERY,AI-B,AI-B,LOC-NYC,NYC,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-NYC-REGULATED-DOMAIN,AI-B,AI-B,LOC-NYC,NYC,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-PHILIPPINES-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-PHILIPPINES,Philippines,offshore,architecture_security,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-PHILIPPINES-COMMODITY-DELIVERY,AI-B,AI-B,LOC-PHILIPPINES,Philippines,offshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-PHILIPPINES-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-PHILIPPINES,Philippines,offshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-PHILIPPINES-PLATFORM-DELIVERY,AI-B,AI-B,LOC-PHILIPPINES,Philippines,offshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-PHILIPPINES-REGULATED-DOMAIN,AI-B,AI-B,LOC-PHILIPPINES,Philippines,offshore,regulated_domain,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SEATTLE-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-SEATTLE,Seattle,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SEATTLE-COMMODITY-DELIVERY,AI-B,AI-B,LOC-SEATTLE,Seattle,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SEATTLE-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-SEATTLE,Seattle,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SEATTLE-PLATFORM-DELIVERY,AI-B,AI-B,LOC-SEATTLE,Seattle,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SEATTLE-REGULATED-DOMAIN,AI-B,AI-B,LOC-SEATTLE,Seattle,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SF-BAY-AREA-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-SF-BAY-AREA,SF / Bay Area,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SF-BAY-AREA-COMMODITY-DELIVERY,AI-B,AI-B,LOC-SF-BAY-AREA,SF / Bay Area,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SF-BAY-AREA-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-SF-BAY-AREA,SF / Bay Area,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SF-BAY-AREA-PLATFORM-DELIVERY,AI-B,AI-B,LOC-SF-BAY-AREA,SF / Bay Area,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-SF-BAY-AREA-REGULATED-DOMAIN,AI-B,AI-B,LOC-SF-BAY-AREA,SF / Bay Area,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-UK-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-UK,UK,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-UK-COMMODITY-DELIVERY,AI-B,AI-B,LOC-UK,UK,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-UK-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-UK,UK,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-UK-PLATFORM-DELIVERY,AI-B,AI-B,LOC-UK,UK,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-UK-REGULATED-DOMAIN,AI-B,AI-B,LOC-UK,UK,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-WESTERN-EUROPE-ARCHITECTURE-SECURITY,AI-B,AI-B,LOC-WESTERN-EUROPE,Western Europe,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-WESTERN-EUROPE-COMMODITY-DELIVERY,AI-B,AI-B,LOC-WESTERN-EUROPE,Western Europe,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-WESTERN-EUROPE-EXECUTIVE-ADVISORY,AI-B,AI-B,LOC-WESTERN-EUROPE,Western Europe,onshore,executive_advisory,not_eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-WESTERN-EUROPE-PLATFORM-DELIVERY,AI-B,AI-B,LOC-WESTERN-EUROPE,Western Europe,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-AI-B-LOC-WESTERN-EUROPE-REGULATED-DOMAIN,AI-B,AI-B,LOC-WESTERN-EUROPE,Western Europe,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-ATLANTA-ARCHITECTURE-SECURITY,CONS-T1,CONS-T1,LOC-ATLANTA,Atlanta,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-ATLANTA-COMMODITY-DELIVERY,CONS-T1,CONS-T1,LOC-ATLANTA,Atlanta,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-ATLANTA-EXECUTIVE-ADVISORY,CONS-T1,CONS-T1,LOC-ATLANTA,Atlanta,onshore,executive_advisory,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-ATLANTA-PLATFORM-DELIVERY,CONS-T1,CONS-T1,LOC-ATLANTA,Atlanta,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-ATLANTA-REGULATED-DOMAIN,CONS-T1,CONS-T1,LOC-ATLANTA,Atlanta,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-AUSTRALIA-ARCHITECTURE-SECURITY,CONS-T1,CONS-T1,LOC-AUSTRALIA,Australia,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-AUSTRALIA-COMMODITY-DELIVERY,CONS-T1,CONS-T1,LOC-AUSTRALIA,Australia,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-AUSTRALIA-EXECUTIVE-ADVISORY,CONS-T1,CONS-T1,LOC-AUSTRALIA,Australia,onshore,executive_advisory,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-AUSTRALIA-PLATFORM-DELIVERY,CONS-T1,CONS-T1,LOC-AUSTRALIA,Australia,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-AUSTRALIA-REGULATED-DOMAIN,CONS-T1,CONS-T1,LOC-AUSTRALIA,Australia,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CANADA-ARCHITECTURE-SECURITY,CONS-T1,CONS-T1,LOC-CANADA,Canada,nearshore,architecture_security,not_eligible,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CANADA-COMMODITY-DELIVERY,CONS-T1,CONS-T1,LOC-CANADA,Canada,nearshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CANADA-EXECUTIVE-ADVISORY,CONS-T1,CONS-T1,LOC-CANADA,Canada,nearshore,executive_advisory,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CANADA-PLATFORM-DELIVERY,CONS-T1,CONS-T1,LOC-CANADA,Canada,nearshore,platform_delivery,conditional_review,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CANADA-REGULATED-DOMAIN,CONS-T1,CONS-T1,LOC-CANADA,Canada,nearshore,regulated_domain,not_eligible,true,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CHICAGO-ARCHITECTURE-SECURITY,CONS-T1,CONS-T1,LOC-CHICAGO,Chicago,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CHICAGO-COMMODITY-DELIVERY,CONS-T1,CONS-T1,LOC-CHICAGO,Chicago,onshore,commodity_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CHICAGO-EXECUTIVE-ADVISORY,CONS-T1,CONS-T1,LOC-CHICAGO,Chicago,onshore,executive_advisory,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CHICAGO-PLATFORM-DELIVERY,CONS-T1,CONS-T1,LOC-CHICAGO,Chicago,onshore,platform_delivery,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-CHICAGO-REGULATED-DOMAIN,CONS-T1,CONS-T1,LOC-CHICAGO,Chicago,onshore,regulated_domain,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
ELIG-CONS-T1-LOC-DALLAS-ARCHITECTURE-SECURITY,CONS-T1,CONS-T1,LOC-DALLAS,Dallas,onshore,architecture_security,eligible,false,hand-authored-global-pricing-extension,active,1.0.0,Explicit provider/location/role eligibility contract used before materializing rates.
