role_family_code,tower_code,capability_code,family_name,source_artifact,status,version
RF-0063,TWR-09,CAP-052,Backend Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0064,TWR-09,CAP-053,Mobile Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0065,TWR-09,CAP-054,App Modernization,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0066,TWR-09,CAP-115,ServiceNow ITSM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0067,TWR-09,CAP-116,ServiceNow HRSD,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0068,TWR-09,CAP-118,ServiceNow ITOM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0069,TWR-09,CAP-119,ServiceNow SecOps,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0070,TWR-09,CAP-120,Salesforce Sales Cloud,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0071,TWR-09,CAP-121,Salesforce Service Cloud,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0072,TWR-09,CAP-122,Salesforce Marketing Cloud,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0073,TWR-09,CAP-123,Salesforce Platform,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0074,TWR-10,CAP-055,iPaaS,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0075,TWR-10,CAP-056,Event Streaming,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0076,TWR-10,CAP-057,API Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0077,TWR-10,CAP-058,ESB / Middleware,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0078,TWR-10,CAP-124,MuleSoft,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0079,TWR-11,CAP-059,SAP Finance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0080,TWR-11,CAP-060,SAP Supply Chain,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0081,TWR-11,CAP-061,SAP Basis,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0082,TWR-11,CAP-062,Oracle Finance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0083,TWR-11,CAP-063,Oracle SCM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0084,TWR-11,CAP-064,Workday HCM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0085,TWR-11,CAP-065,Workday Finance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0086,TWR-11,CAP-106,SAP S/4HANA,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0087,TWR-11,CAP-107,SAP ABAP & Fiori,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0088,TWR-11,CAP-108,SAP BTP & Integration,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0089,TWR-11,CAP-109,SAP SuccessFactors,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0090,TWR-11,CAP-110,SAP Ariba,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0091,TWR-11,CAP-111,SAP Analytics Cloud,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0092,TWR-11,CAP-112,Oracle Fusion,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0093,TWR-11,CAP-113,Oracle Cloud Infrastructure,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0094,TWR-11,CAP-114,Workday Integration,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0095,TWR-12,CAP-066,Azure,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0096,TWR-12,CAP-067,AWS,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0097,TWR-12,CAP-068,GCP,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0098,TWR-12,CAP-069,Platform Engineering,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0099,TWR-12,CAP-070,DevOps,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0100,TWR-12,CAP-071,SRE,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0101,TWR-12,CAP-125,Kubernetes,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0102,TWR-12,CAP-126,FinOps,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0103,TWR-12,CAP-127,Infrastructure as Code,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0104,TWR-13,CAP-072,Network,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0105,TWR-13,CAP-073,Storage,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0106,TWR-13,CAP-074,Compute,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0107,TWR-13,CAP-075,Identity,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0108,TWR-13,CAP-076,End-User Compute,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0109,TWR-13,CAP-146,Workplace & Collaboration,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0110,TWR-13,CAP-147,Field Support & Deskside,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0111,TWR-14,CAP-077,IAM,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0112,TWR-14,CAP-078,SOC,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0113,TWR-14,CAP-079,GRC,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0114,TWR-14,CAP-080,Application Security,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0115,TWR-14,CAP-081,Threat & Vuln Mgmt,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0116,TWR-14,CAP-128,Zero Trust,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0117,TWR-15,CAP-082,Test Strategy,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0118,TWR-15,CAP-083,Test Automation,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0119,TWR-15,CAP-084,Performance Testing,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0120,TWR-15,CAP-085,Security Testing,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0121,TWR-16,CAP-086,Service Operations,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0122,TWR-16,CAP-087,Monitoring & Observability,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0123,TWR-16,CAP-088,Site Reliability,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0124,TWR-16,CAP-143,ITSM & Service Delivery,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0125,TWR-16,CAP-144,Incident & Problem Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0126,TWR-16,CAP-145,Capacity & Availability Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0127,TWR-17,CAP-089,AMS L1,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0128,TWR-17,CAP-090,AMS L2,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0129,TWR-17,CAP-091,AMS L3,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0130,TWR-18,CAP-092,Mainframe,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0131,TWR-18,CAP-093,COBOL,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0132,TWR-18,CAP-094,DB2,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0133,TWR-18,CAP-095,z/OS,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0134,TWR-19,CAP-096,Organizational Change,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0135,TWR-19,CAP-097,Training,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0136,TWR-19,CAP-098,Communications,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0137,TWR-19,CAP-099,Adoption,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0138,TWR-20,CAP-100,PMO,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0139,TWR-20,CAP-101,Program Delivery,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0140,TWR-20,CAP-102,Agile Delivery,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0141,TWR-20,CAP-140,Technology Business Management (TBM) & FinOps Governance,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0142,TWR-20,CAP-141,Value Management,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0143,TWR-20,CAP-142,Benefits Realization,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0144,TWR-21,CAP-103,Enterprise Architecture,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0145,TWR-21,CAP-104,Solution Architecture,"derived: grouping key = {tower_code, capability_code}",active,1
RF-0146,TWR-21,CAP-105,Technical Architecture,"derived: grouping key = {tower_code, capability_code}",active,1
