activity_pack_code,rule_code,operation,driver_code,parameters,classification,sequence,source_artifact,status
AP-SHARED-04,AP-SHARED-04-R3,hours_per_training_session,training_session_count,"{""hoursPerSession"":6}",initiative_specific,3,hand-authored-pr4,active
AP-SHARED-05,AP-SHARED-05-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-05,AP-SHARED-05-R2,per_unit_hours,impacted_user_count,"{""unitHours"":0.08}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-06,AP-SHARED-06-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-06,AP-SHARED-06-R2,hours_per_week,hypercare_week_count,"{""hoursPerWeek"":60}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-07,AP-SHARED-07-R1,fixed_hours,,"{""hours"":80}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-07,AP-SHARED-07-R2,percentage_of_selected_labor,,"{""percentage"":0.12,""selectionScope"":""technical_packs_in_archetype""}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-08,AP-SHARED-08-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-08,AP-SHARED-08-R2,percentage_of_selected_labor,,"{""percentage"":0.08,""selectionScope"":""technical_packs_in_archetype""}",shared_program,2,hand-authored-pr4,active
AP-SHARED-09,AP-SHARED-09-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-09,AP-SHARED-09-R2,percentage_of_selected_labor,,"{""percentage"":0.06,""selectionScope"":""technical_packs_in_archetype""}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-10,AP-SHARED-10-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-10,AP-SHARED-10-R2,percentage_of_selected_labor,,"{""percentage"":0.05,""selectionScope"":""technical_packs_in_archetype""}",shared_program,2,hand-authored-pr4,active
AP-SHARED-11,AP-SHARED-11-R1,fixed_hours,,"{""hours"":40}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-11,AP-SHARED-11-R2,hours_per_supplier_month,supplier_month_count,"{""hoursPerSupplierMonth"":6}",initiative_specific,2,hand-authored-pr4,active
AP-SHARED-12,AP-SHARED-12-R1,fixed_hours,,"{""hours"":60}",initiative_specific,1,hand-authored-pr4,active
AP-SHARED-12,AP-SHARED-12-R2,per_unit_hours,application_count,"{""unitHours"":10}",initiative_specific,2,hand-authored-pr4,active
