archetype_code,activity_pack_code,applicability,notes,source_artifact,status
ARCH-03,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-03,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-04,AP-TECH-CLOUD-01,required,,hand-authored-pr4,active
ARCH-04,AP-TECH-CLOUD-02,required,,hand-authored-pr4,active
ARCH-04,AP-TECH-CLOUD-03,required,,hand-authored-pr4,active
ARCH-04,AP-TECH-INTEG-01,required,,hand-authored-pr4,active
ARCH-04,AP-TECH-INTEG-02,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-04,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-04,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-05,AP-TECH-PROC-01,required,,hand-authored-pr4,active
ARCH-05,AP-TECH-PROC-02,required,,hand-authored-pr4,active
ARCH-05,AP-TECH-PROC-03,required,,hand-authored-pr4,active
ARCH-05,AP-TECH-PROC-04,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-06,excluded,A pure organizational/process-design transformation with no technical cutover event has no hypercare window; include explicitly if a technical go-live is later added to scope.,hand-authored-pr4,active
ARCH-05,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-05,AP-SHARED-11,excluded,A pure internal operating-model/process transformation is assumed to carry no third-party sourcing relationship in scope; include explicitly if the real Move engages an outside vendor.,hand-authored-pr4,active
ARCH-05,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-06,AP-TECH-AMS-01,required,,hand-authored-pr4,active
ARCH-06,AP-TECH-AMS-02,required,,hand-authored-pr4,active
ARCH-06,AP-TECH-AMS-03,required,,hand-authored-pr4,active
ARCH-06,AP-TECH-AMS-04,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-06,AP-SHARED-11,required,Sourcing/vendor governance is the core subject of a managed-services transition.,hand-authored-pr4,active
ARCH-06,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-07,AP-TECH-ERP-01,required,,hand-authored-pr4,active
ARCH-07,AP-TECH-ERP-02,required,,hand-authored-pr4,active
ARCH-07,AP-TECH-ERP-03,required,,hand-authored-pr4,active
ARCH-07,AP-TECH-ERP-04,required,,hand-authored-pr4,active
ARCH-07,AP-TECH-ERP-05,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-07,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-07,AP-SHARED-12,required,,hand-authored-pr4,active
ARCH-08,AP-TECH-LEGACY-01,required,,hand-authored-pr4,active
ARCH-08,AP-TECH-LEGACY-02,required,,hand-authored-pr4,active
ARCH-08,AP-TECH-LEGACY-03,required,,hand-authored-pr4,active
ARCH-08,AP-TECH-LEGACY-04,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-01,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-02,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-03,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-04,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-05,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-06,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-07,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-08,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-09,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-10,required,,hand-authored-pr4,active
ARCH-08,AP-SHARED-11,conditional,Applies only when a third-party vendor/SI is engaged for delivery; excluded for a fully internally-delivered initiative.,hand-authored-pr4,active
ARCH-08,AP-SHARED-12,required,,hand-authored-pr4,active
