activity_pack_code,activity_pack_name,category,tower_code,capability_code,description,source_artifact,status
AP-SHARED-01,Change & Stakeholder Engagement,shared_nontechnical,TWR-19,CAP-096,Organizational change management and stakeholder engagement planning/execution.,hand-authored-pr4,active
AP-SHARED-02,Communications,shared_nontechnical,TWR-19,CAP-098,Communications planning and execution across the stakeholder groups in scope.,hand-authored-pr4,active
AP-SHARED-03,Org & Operating-Model Design,shared_nontechnical,TWR-01,CAP-002,Organization design and role/RACI definition arising from the initiative.,hand-authored-pr4,active
AP-SHARED-04,"Training Design, Content, Delivery & Localization",shared_nontechnical,TWR-19,CAP-097,"End-to-end training: curriculum design, content build, delivery, and localization.",hand-authored-pr4,active
AP-SHARED-05,Adoption Support & Measurement,shared_nontechnical,TWR-19,CAP-099,Post-launch adoption support and measurement of usage/behavior-change outcomes.,hand-authored-pr4,active
AP-SHARED-06,Hypercare,shared_nontechnical,TWR-16,CAP-086,Intensive post-go-live stabilization support for a defined hypercare window.,hand-authored-pr4,active
AP-SHARED-07,Program / Project Management,shared_nontechnical,TWR-20,CAP-101,"Program/project management, PMO, and delivery governance for the initiative.",hand-authored-pr4,active
AP-SHARED-08,Architecture / Design Authority,shared_nontechnical,TWR-21,CAP-104,Enterprise/solution architecture review and design-authority governance.,hand-authored-pr4,active
AP-SHARED-09,"Risk, Security, Compliance & Model Validation Governance",shared_nontechnical,TWR-14,CAP-079,"Risk, security, and compliance governance, including model-validation oversight where AI is in scope.",hand-authored-pr4,active
AP-SHARED-10,Financial / Benefits / Value Governance,shared_nontechnical,TWR-20,CAP-141,"TBM/FinOps, value management, and benefits-realization governance for the initiative.",hand-authored-pr4,active
AP-SHARED-11,Vendor / Commercial / Supplier Governance,shared_nontechnical,TWR-01,CAP-004,Sourcing strategy and vendor/commercial governance where third-party suppliers are engaged.,hand-authored-pr4,active
AP-SHARED-12,Transition & Knowledge Transfer,shared_nontechnical,TWR-17,CAP-091,Knowledge transfer and transition-to-run activities at the close of the initiative.,hand-authored-pr4,active
