tenant_key,source_id,source_version_id,source_name,source_kind,source_ref,source_version,source_date,as_of_date,ingested_at,source_owner,confidentiality,domains_covered,row_count_or_pages,content_fingerprint,approved_for_loading,quality_notes,known_gaps,supersedes_source_version_id
meridian-health,SRC-MERIDIANHEALTH-684FCBDEE3AE,SRCV-MERIDIANHEALTH-E8BA13FD5644,meridian-health-v6-v7-current-state-v1,csv,V7_05_applications_systems.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,ea49cad7185a1bfec1b71c2e8a1e2c83f926325569e5a9014df6a8348920e12d,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-F56B98A3E048,SRCV-MERIDIANHEALTH-1C3C67DB49C5,meridian-health-v6-v7-current-state-v1,csv,V7_06_data_assets_integrations.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,49d2f4db09f3cf714c74f7c3dd463c4717e850ca6273e9942977801a29db3ecc,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-11087F1D6BCB,SRCV-MERIDIANHEALTH-01CA2B5BE24F,meridian-health-v6-v7-current-state-v1,csv,V7_07_vendors_contracts.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,4da9d31943fa902bed5a140a1c0d7bd69784486362374bd7a9c42deea4eafd1a,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-DF7DB9757DC6,SRCV-MERIDIANHEALTH-DA8396E45F84,meridian-health-v6-v7-current-state-v1,csv,V7_08_spend_value.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,34d1b9722d88191f5f0c000ffc61f6083952f5207c89760a8ffbd1b8e4c88e1f,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-1B7037A97FB3,SRCV-MERIDIANHEALTH-36A23E9144D6,meridian-health-v6-v7-current-state-v1,csv,V7_09_programs_initiatives_business_priorities.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,79fa1e7addfdff430c254bae5f587c38c635f67664f88df4a9ff7690e1fa20a1,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-8F919A5107B0,SRCV-MERIDIANHEALTH-F022DE7F6F01,meridian-health-v6-v7-current-state-v1,csv,V7_10_ai_initiatives.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,1c7c48dbce8a7e307b3ac7975d485e4099ab2fb3ef01a19fe41c43573f788e8c,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-4CDD559B10C0,SRCV-MERIDIANHEALTH-6FE66FD19CBE,meridian-health-v6-v7-current-state-v1,csv,V7_11_operations_risk_controls.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,28168f32cff6f9a92da49695c027eabbfe73b80f7495366dc7fff3df6887f709,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-33B692662C44,SRCV-MERIDIANHEALTH-5C65B6F289FC,meridian-health-v6-v7-current-state-v1,csv,V7_12_relationships_graph_edges.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,4cb2d7d9e535d1cb8ebbc0cc44ef315c34ea4e80de8a7f5332e7ec7215e6217b,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-A86601C2626B,SRCV-MERIDIANHEALTH-CDAF0A83B3C8,meridian-health-v6-v7-current-state-v1,csv,V7_13_source_evidence_registry.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,9af5d3f69f48232d5c7dd3a13e188ccfb7d57707f4c4ce9bed5717896a186c25,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-D8B9167E6A2B,SRCV-MERIDIANHEALTH-EEE64F9A3392,meridian-health-v6-v7-current-state-v1,csv,V7_14_metric_definitions.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,ce767b8c9d388469a6db77bbabfcde67c967ffbf9df87c7a6c60cb076d77b7ba,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-587BD424D6C9,SRCV-MERIDIANHEALTH-F125B25F27BC,meridian-health-v6-v7-current-state-v1,csv,V7_15_industry_market_knowledge_patterns.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,727b919fa138227518e6dbcbeda4e8fda69c72922a56fb79566f71ad4467ccf9,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-B83C9CCE5984,SRCV-MERIDIANHEALTH-F09E9654D678,meridian-health-v6-v7-current-state-v1,csv,V7_16_expert_lenses.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,bc99fa9202ff1764ce70b6a415d7f21c19b501f3c2a44ebdb6616de99f0a2b6f,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-F54C0446514C,SRCV-MERIDIANHEALTH-72A02A2AC163,meridian-health-v6-v7-current-state-v1,csv,V7_17_client_rate_card_cost_basis.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,0f934cea8d526ccf3f7b5e53197afbd8b27bcd331df6467fa9c4083ff7b3cbf1,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-BEEEE8ADC5EF,SRCV-MERIDIANHEALTH-53BE46437114,meridian-health-v6-v7-current-state-v1,csv,V7_18_function_system_data_vendor_bridge.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,918b68d6ca703666079e057078fd72b1a46182767f0432d89cdcaa1c78d4d820,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-215AC973C081,SRCV-MERIDIANHEALTH-406012F9F829,meridian-health-v6-v7-current-state-v1,csv,V7_19_service_tower_managed_services_scope.csv,2026-07-09,2026-07-09,2026-07-09,,AbarVa synthetic data steward,synthetic_demo_phi_free_planning_grade,,,fbeeac65f1a7a242bc926b2c1b6556355cf2efeca244e222251b9c5b49f548e9,,,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims.",
meridian-health,SRC-MERIDIANHEALTH-64A5918135EB,SRCV-MERIDIANHEALTH-4E48F7A07F3C,ai-control-tower/T10_evidence-items.csv,external_reference,ai-control-tower/T10_evidence-items.csv,2026-06-18,,2026-06-18,,Healthcare Evidence Steward,confidential,,,db9bca5e3ae3a3d846552edc28c0d5bef5ed1f97060a276fcef347592701cb51,,,none,
meridian-health,SRC-MERIDIANHEALTH-3C0BC7EDD8C9,SRCV-MERIDIANHEALTH-5595E5FBF827,Unified clinical + claims lakehouse synthetic evidence bundle,external_reference,datasets/tenant-inputs/meridian-health/standard-2026-07-v3,unknown-version,,,,AbarVa synthetic data steward,,,,0a1199915150ae05ea17bac700ba4610628f80316f4385a407f4c6c912b1517e,,,,
meridian-health,SRC-MERIDIANHEALTH-A350102A2AA0,SRCV-MERIDIANHEALTH-6D766C96F3A6,Boundary: Synthetic PHI-free planning-grade substrate; not real Meridian production data.,external_reference,tenant_generation_manifest,unknown-version,,,,AbarVa governance,,,,a350102a2aa01e62f721f128d79092e4d4da336a2f8311917b2af010ce6a7906,,,,
meridian-health,SRC-MERIDIANHEALTH-D230C86255C1,SRCV-MERIDIANHEALTH-88C5F3389D7A,CEO / Enterprise Strategy interview evidence,external_reference,datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv,unknown-version,,,,CEO,,,,26c95dd80456f5b5e7b6dfcae4ede4248bbada7b86ee909fc051485b99e3c213,,,,
meridian-health,SRC-MERIDIANHEALTH-8305E4BCAAC9,SRCV-MERIDIANHEALTH-BC61BA8518F4,Profile sizing and operating-model planning assumption boundary,external_reference,datasets/tenant-inputs/meridian-health/standard-2026-07-v3/00_enterprise_profile.csv#MER-V3-0002,unknown-version,,,,AbarVa synthetic data steward,,,,fe84a835e835f201f569cecd26388e3cb4f155bd34ce98b126f7ae12d537ba5f,,,,
meridian-health,SRC-MERIDIANHEALTH-50A343AB96CB,SRCV-MERIDIANHEALTH-D8681B0F6116,Microsoft 365 Copilot Productivity Enablement,external_reference,Microsoft 365 Admin Center / Copilot usage export,unknown-version,,,,VP Workplace Technology,,,,7b70b2d04b17c161a075cfac4f57b43cb90df65b59d717e8954566af2256b753,,,,
meridian-health,SRC-MERIDIANHEALTH-A619359A5CED,SRCV-MERIDIANHEALTH-AE3A0B1B7EFA,ServiceNow AI / ITSM Automation Pilot,external_reference,ServiceNow Virtual Agent and ITSM analytics,unknown-version,,,,VP Service Management,,,,c1b78caf86bba812a6688e8453b8a18783ce99748cf25e25f506932076be105d,,,,
meridian-health,SRC-MERIDIANHEALTH-97BBEF476972,SRCV-MERIDIANHEALTH-F24185A2A6D7,Developer Productivity AI / SDLC Automation,external_reference,GitHub Copilot metrics and DORA dashboard,unknown-version,,,,VP Engineering,,,,b76b85eb4531ad062bc9141663f6f97fcf6fc2e2ca27638e1deaabd00a7afe45,,,,
meridian-health,SRC-MERIDIANHEALTH-51F631D8F3C6,SRCV-MERIDIANHEALTH-FEE2F166F99C,Workday HR/Finance AI Workflow Pilot,external_reference,Workday analytics export,unknown-version,,,,CHRO and CFO,,,,cddd90d4c03fbc1381ce7b5e858eeaa7aa6ada39d360725bf336e7fc8ff79f2e,,,,
meridian-health,SRC-MERIDIANHEALTH-679C3E09CEBA,SRCV-MERIDIANHEALTH-C807418DD4F8,Contact Center Platform / Knowledge Modernization,external_reference,AI platform usage and KPI export,unknown-version,,,,Chief Experience Officer,,,,05ed5df15c5ba54f1b90fe8a1edfd70a47959e82a5f142b62ed9725edda7e9d7,,,,
meridian-health,SRC-MERIDIANHEALTH-D230C86255C1,SRCV-MERIDIANHEALTH-1C6871339BBB,meridian-health executive interviews,transcript,datasets/tenant-inputs/meridian-health/interviews/executive_interviews.csv,2026-07-16,2026-07-16,2026-07-16,,,confidential,,,26c95dd80456f5b5e7b6dfcae4ede4248bbada7b86ee909fc051485b99e3c213,,,,
