workbook,role,workstreams,canonical_targets,had_start_here_before,start_here_named_workstream_before,had_review_queue_before,had_sme_review_fields_before,sheets_before,sheets_after,recommended_action,applied,sha256_before,sha256_after
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/10_ai_automation_use_cases.xlsx,canonical-dimension template,"WS04 Data, Integration, and Analytics | WS07 Programs, Portfolio, and Change",10_ai_automation_use_cases.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,6ebfdfeac02176c39db8b3f00d9f066d6658f595b2c29af2c4949a7aebc212a2,fecf04c6ffc0cc986b05bb0b31dd2e82bf28a0be3d2cf120e121849b81cd0048
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/11_risks_controls.xlsx,canonical-dimension template,"WS05 Vendors, Contracts, and Procurement | WS07 Programs, Portfolio, and Change | WS08 Risk, Security, Controls, and Compliance",11_risks_controls.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,49a6f5e5b368060a974f72065a39247d35e65cf2e98e172055e2d483dec82fe0,3ca2dc22169f4e8c1e403544a26accc75519adbd2a5cf282496f570ee46a1e0b
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/12_relationships.xlsx,canonical-dimension template,"WS02 Organization, Workforce, and Decision Rights | WS03 Applications, Infrastructure, and Architecture | WS04 Data, Integration, and Analytics | WS05 Vendors, Contracts, and Procurement | WS07 Programs, Portfolio, and Change | WS09 Operations, KPIs, and Process Evidence | WS10 Interviews, Questionnaires, and Executive Signals",12_relationships.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Allowed Relationships,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations | Allowed Relationships,Refresh the governed Start Here sheet in place.,applied,da9a38d9249843bbd3e9178ce024df91d953666ae7be7687d4f59c980babe4e6,1f17fbc98fe4429b8ead6f3b73deef2e7b015abbcfeeba8382e337fec0aa3266
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/13_evidence_sources.xlsx,canonical-dimension template,"WS03 Applications, Infrastructure, and Architecture | WS04 Data, Integration, and Analytics | WS05 Vendors, Contracts, and Procurement | WS06 Finance, Spend, and Value | WS08 Risk, Security, Controls, and Compliance | WS10 Interviews, Questionnaires, and Executive Signals",13_evidence_sources.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,fea116708584a7a3575ba7547c0703e7c4a44c01896c342dc9dfd56def4a97a8,21b1fae1e798723b863b12e648558ceb5ddf2d5b2b2a616e9f7f8dda89695bab
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/14_metrics_outcomes.xlsx,canonical-dimension template,"WS06 Finance, Spend, and Value | WS07 Programs, Portfolio, and Change | WS08 Risk, Security, Controls, and Compliance | WS09 Operations, KPIs, and Process Evidence",14_metrics_outcomes.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,91b30b34f495f34907472f30183e8499723b1304d1df2811840022baee87a2b5,02043681543ae7ba35f499b67bb9809244ea380b452cf0c02bd8346db94002aa
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/15_industry_context_patterns.xlsx,canonical-dimension template,WS01 Enterprise Strategy and Operating Model,15_industry_context_patterns.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,2fa47dfa14fed773acd482942d9c8a711f6dc2992edf9df6a5fe4e0fe17f6273,f3df165f28a329ef9825e8bd1b911e972d5fe7bc31a101963a9dfe710aa31408
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/16_expert_lenses.xlsx,canonical-dimension template,"WS10 Interviews, Questionnaires, and Executive Signals",16_expert_lenses.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,b11b22e0606c3d2ee413cb56da63ce9b1cc91e951d98ab15656956f80b4400ba,f02e1f19f9ca5938031c7e0d6d34e6ce5d65134266809f66f709adeee42c91a3
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/17_managed_services_scope.xlsx,canonical-dimension template,"WS05 Vendors, Contracts, and Procurement | WS09 Operations, KPIs, and Process Evidence",17_service_scope_managed_services.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,c34be15af14771f7702cdc6c359e6d583c280b512a63160b8eacf1d23b1c9235,3ea6ef93f6c00aed4c32f0f1bcc68a47851bdfcf1af392fd649b040de6fd9acd
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/18_operational_process_evidence.xlsx,canonical-dimension template,"WS08 Risk, Security, Controls, and Compliance | WS09 Operations, KPIs, and Process Evidence",18_operational_process_evidence.csv,yes,yes,no,no,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Start Here | Sheet Guide | Client Intake | Questionnaire | Examples | Reference Values | Relationship Expectations,Refresh the governed Start Here sheet in place.,applied,0c275ad5075ee4253ab98519f084287d025e6e81e5b87332f0883b23188e49af,cac95cad5dc891af3fb2007cd6027da9186ef5d318bc0d61b9b432a7b8c68e25
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/AbarVa_Template_Pack_Index_v3.xlsx,index,not mapped,,yes,yes,yes,yes,Start Here | Intake Workstreams | Review Queue | Source Extract Map | Canonical Mapping | SME Review Matrix | Evidence and Gates,Start Here | Intake Workstreams | Review Queue | Source Extract Map | Canonical Mapping | SME Review Matrix | Evidence and Gates,"Rebuild as the client front door: Start Here, Intake Workstreams, Review Queue, Source Extract Map, Canonical Mapping, SME Review Matrix, Evidence and Gates. The existing sheets are an internal generation contract and name a stale index workbook, so they are replaced rather than extended.",applied,e949cb04774e5c4ee16311900ce8c3c32dd80599fe7e4e10d6401353b8fea30a,eadce8f23a56a0777693172c3437a071fbb0f68e44abed919b75bdaf2cb8769f
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA01_ServiceNow_CMDB_Extract_Template.xlsx,source-extract template,"WS03 Applications, Infrastructure, and Architecture",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples | Field Mapping Detail,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples | Field Mapping Detail,Refresh the governed Start Here sheet in place.,applied,572ce3c298ce8bb4cc04b699027b383be2ec32e0d9d31855d3ef57f399098a85,ec9f903d69d203e51f1e8fe130b3a684c68b51d99723600eb55c30db96a6d0b4
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA02_IT_Finance_Budget_Spend_Extract_Template.xlsx,source-extract template,"WS06 Finance, Spend, and Value",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples | Field Mapping Detail,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples | Field Mapping Detail,Refresh the governed Start Here sheet in place.,applied,6f2a5a2c7a8193a5761e32fe0dae708f9fe17f2b841163fc9c9a176f561cf4ae,c28f0268928e987c9f9bf3eb19184ea1ceb0c5517cb89018f1dc742b95b31c78
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA03_Vendor_Contracts_Extract_Template.xlsx,source-extract template,"WS05 Vendors, Contracts, and Procurement",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Refresh the governed Start Here sheet in place.,applied,2e2c812763e78075433eb70df2aa5b6439ea3536dcbfc9dcb04850d5e73a1ce7,f989df068c1564a6e030a4b0149b23632448669bfef7aa8450d389f2dc9f6de4
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA04_Program_Portfolio_Extract_Template.xlsx,source-extract template,"WS07 Programs, Portfolio, and Change",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Refresh the governed Start Here sheet in place.,applied,e99a0bf915cfcdb146ba335ee7f2d97ce2b04e085a8c372b8014c3c74fddc9d9,d6e77e37dc465ddd57702633e73461a07d7675e6371207fc880bb39a95b5d05a
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA05_Cloud_Inventory_Extract_Template.xlsx,source-extract template,"WS03 Applications, Infrastructure, and Architecture",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Refresh the governed Start Here sheet in place.,applied,6688dba3ed85b71c293d3a1d68a5b2e07f96d94142589124fc893dc23a58515c,2c3ce044b7d057d0f40ca690e1cb19563ea25742eec809f1141303b28b47ec09
datasets/tenant-inputs/templates/universal/standard-2026-07-v3/SA06_Incident_Problem_Change_Extract_Template.xlsx,source-extract template,"WS08 Risk, Security, Controls, and Compliance",,yes,yes,no,no,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Start Here | Sheet Guide | Source Extract Intake | Target Dimensions | Validation Questions | Synthetic Examples,Refresh the governed Start Here sheet in place.,applied,778d8a2a528d5a059f1d008c031970dd71c2a5b808a0d0bd08d68d61d46d17d0,7923babce73ac4bef7911de3e1a914d68b1e63021f83053d45a99930a1d3a2c2
