capability_id,capability_name,owning_function_id,value_stream,ai_maturity,business_criticality,description
SHA-CAP-018,Enterprise integration and eventing,SHA-BF-018,Grow revenue,3,high,Enterprise integration and eventing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-019,EDW and certified BI,SHA-BF-019,Run enterprise,4,high,EDW and certified BI capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-020,Data lake ingestion and lineage,SHA-BF-020,Protect and govern,5,high,Data lake ingestion and lineage capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-021,Customer identity and consent,SHA-BF-001,Operate airline,1,high,Customer identity and consent capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-022,Cybersecurity and zero trust,SHA-BF-002,Serve customer,2,high,Cybersecurity and zero trust capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-023,ServiceNow workflow automation,SHA-BF-003,Grow revenue,3,high,ServiceNow workflow automation capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-024,Engineering productivity,SHA-BF-004,Run enterprise,4,high,Engineering productivity capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-025,AI governance and model risk,SHA-BF-005,Protect and govern,5,high,AI governance and model risk capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-026,Vendor and contract governance,SHA-BF-006,Operate airline,1,medium,Vendor and contract governance capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-027,Safety management system,SHA-BF-007,Serve customer,2,medium,Safety management system capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-028,DOT consumer obligations,SHA-BF-008,Grow revenue,3,medium,DOT consumer obligations capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-029,Airport biometrics and identity,SHA-BF-009,Run enterprise,4,medium,Airport biometrics and identity capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-030,Premium lounge experience,SHA-BF-010,Protect and govern,5,medium,Premium lounge experience capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-031,Onboard retail and connectivity,SHA-BF-011,Operate airline,1,medium,Onboard retail and connectivity capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-032,Catering provisioning,SHA-BF-012,Serve customer,2,medium,Catering provisioning capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-033,Training and simulation,SHA-BF-013,Grow revenue,3,medium,Training and simulation capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-034,Treasury fuel hedging,SHA-BF-014,Run enterprise,4,medium,Treasury fuel hedging capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
SHA-CAP-035,Executive portfolio value management,SHA-BF-015,Protect and govern,5,medium,Executive portfolio value management capability for a Delta-scale global airline with legacy-modern hybrid dependencies.
