tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,account_subscription_id,month,total_spend_usd,owner_tagged_spend_usd,application_tagged_spend_usd,untagged_spend_usd,owner_tag_coverage_pct,application_tag_coverage_pct,data_quality_state,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-06,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-06,1988000,1789200,1709680,198800,0.9,0.86,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-06,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-06,1357000,1150736,1096456,206264,0.848,0.8079999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-07,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-07,2026000,1803140,1722100,222860,0.89,0.85,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-07,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-07,1379000,1152844,1097684,226156,0.836,0.7959999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-08,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-08,2074000,1825120,1742160,248880,0.88,0.84,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-08,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-08,1418000,1168432,1111712,249568,0.824,0.7839999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-09,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-09,2105000,1915550,1831350,189450,0.91,0.87,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-09,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-09,1436000,1234960,1177520,201040,0.86,0.82,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-10,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-10,2052000,1846800,1764720,205200,0.9,0.86,strong,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-10,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-10,1398000,1185504,1129584,212496,0.848,0.8079999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-11,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-11,2069000,1841410,1758650,227590,0.89,0.85,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-11,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-11,1419000,1186284,1129524,232716,0.836,0.7959999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AWS-001:2026-12,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-PAYER-001,2026-12,2075000,1826000,1743000,249000,0.88,0.84,usable_with_gaps,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,tag_quality:MER-CLOUD-AZURE-001:2026-12,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-MGMT-ROOT,2026-12,1422000,1171728,1114848,250272,0.824,0.7839999999999999,usable_with_gaps,DOC-MER-CLOUD-AZURE-001-COST-MGMT
