tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,cloud_account_id,business_unit,application_ref,service_name,usage_type,region,month,usage_quantity,usage_unit,on_demand_spend_usd,covered_spend_usd,total_spend_usd,owner_tag,environment_tag,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:SYNAPSE-ANALYTICS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Synapse Analytics,DWU Hours,eastus,2026-01,986667,service-unit,182336,24864,207200,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:STORAGE-ACCOUNTS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Storage Accounts,Capacity GB-Month,eastus,2026-01,8880000,GB-month,136752,18648,155400,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:NETWORK-EGRESS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Network Egress,Bandwidth,eastus,2026-01,555000,service-unit,102564,13986,116550,Enterprise Integration,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:MICROSOFT-DEFENDER-FOR-CLOUD,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Security,APP-CLOUD-SECURITY-LAKE,Microsoft Defender for Cloud,Protected Resource,global,2026-01,555000,service-unit,102564,13986,116550,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:ENTERPRISE-SUPPORT,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Security,APP-CLOUD-SECURITY-LAKE,Enterprise Support,Support,global,2026-01,370000,service-unit,0,77700,77700,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-01:OTHER-SERVICES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-01,246667,service-unit,45584,6216,51800,,,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:EC2-COMPUTE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,EC2 Compute,BoxUsage,us-east-1,2026-02,3706000,service-unit,360223.2,306856.8,667080,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:RDS-DATABASE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,RDS Database,DatabaseUsage,us-east-1,2026-02,1744000,service-unit,169516.8,144403.2,313920,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:EKS-CONTAINERS,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,EKS Containers,ContainerHours,us-east-1,2026-02,1308000,service-unit,207187.2,28252.8,235440,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:S3-STORAGE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,S3 Storage,TimedStorage-ByteHrs,us-east-1,2026-02,13080000,GB-month,172656,23544,196200,Enterprise Analytics,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:DATA-TRANSFER,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,Data Transfer,DataTransfer-Out-Bytes,us-east-1,2026-02,981000,GB-month,155390.4,21189.6,176580,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:CLOUDWATCH-AND-SECURITY,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Security,APP-CLOUD-SECURITY-LAKE,CloudWatch and Security,MonitoringEvents,us-east-1,2026-02,763000,service-unit,120859.2,16480.8,137340,Security,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:ENTERPRISE-SUPPORT,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,Enterprise Support,Support-Business,global,2026-02,872000,service-unit,0,156960,156960,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-02:OTHER-SERVICES,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-DIGITAL-PROD,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-02,436000,service-unit,69062.4,9417.6,78480,Enterprise Integration,,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:VIRTUAL-MACHINES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Virtual Machines,Dsv5 Hours,eastus,2026-02,1576190,service-unit,178740,152260,331000,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:AZURE-SQL,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Azure SQL,vCore Hours,eastus,2026-02,1197905,service-unit,135842.4,115717.6,251560,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:SYNAPSE-ANALYTICS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Synapse Analytics,DWU Hours,eastus,2026-02,1008762,service-unit,186419.2,25420.8,211840,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:STORAGE-ACCOUNTS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Storage Accounts,Capacity GB-Month,eastus,2026-02,9078857,GB-month,139814.4,19065.6,158880,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:NETWORK-EGRESS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Network Egress,Bandwidth,eastus,2026-02,567429,service-unit,104860.8,14299.2,119160,Enterprise Integration,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:MICROSOFT-DEFENDER-FOR-CLOUD,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Security,APP-CLOUD-SECURITY-LAKE,Microsoft Defender for Cloud,Protected Resource,global,2026-02,567429,service-unit,104860.8,14299.2,119160,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:ENTERPRISE-SUPPORT,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Security,APP-CLOUD-SECURITY-LAKE,Enterprise Support,Support,global,2026-02,378286,service-unit,0,79440,79440,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-02:OTHER-SERVICES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-CRM-INTEGRATION,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-02,252190,service-unit,46604.8,6355.2,52960,Enterprise Integration,,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:EC2-COMPUTE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Clinical Operations,APP-CLOUD-EHR-INT,EC2 Compute,BoxUsage,us-east-1,2026-03,3736222,service-unit,336260,336260,672520,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:RDS-DATABASE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Clinical Operations,APP-CLOUD-EHR-INT,RDS Database,DatabaseUsage,us-east-1,2026-03,1758222,service-unit,158240,158240,316480,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:EKS-CONTAINERS,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,EKS Containers,ContainerHours,us-east-1,2026-03,1318667,service-unit,208876.8,28483.2,237360,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:S3-STORAGE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,S3 Storage,TimedStorage-ByteHrs,us-east-1,2026-03,13186667,GB-month,174064,23736,197800,Enterprise Analytics,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:DATA-TRANSFER,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,Data Transfer,DataTransfer-Out-Bytes,us-east-1,2026-03,989000,GB-month,156657.6,21362.4,178020,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:CLOUDWATCH-AND-SECURITY,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Security,APP-CLOUD-SECURITY-LAKE,CloudWatch and Security,MonitoringEvents,us-east-1,2026-03,769222,service-unit,121844.8,16615.2,138460,Security,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:ENTERPRISE-SUPPORT,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Clinical Operations,APP-CLOUD-EHR-INT,Enterprise Support,Support-Business,global,2026-03,879111,service-unit,0,158240,158240,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-03:OTHER-SERVICES,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-ANALYTICS-PROD,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-03,439556,service-unit,69625.6,9494.4,79120,Enterprise Integration,,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:VIRTUAL-MACHINES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Virtual Machines,Dsv5 Hours,eastus,2026-03,1597619,service-unit,167750,167750,335500,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:AZURE-SQL,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Azure SQL,vCore Hours,eastus,2026-03,1214190,service-unit,127490,127490,254980,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:SYNAPSE-ANALYTICS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Synapse Analytics,DWU Hours,eastus,2026-03,1022476,service-unit,188953.6,25766.4,214720,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:STORAGE-ACCOUNTS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Storage Accounts,Capacity GB-Month,eastus,2026-03,9202286,GB-month,141715.2,19324.8,161040,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:NETWORK-EGRESS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Network Egress,Bandwidth,eastus,2026-03,575143,service-unit,106286.4,14493.6,120780,Enterprise Integration,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:MICROSOFT-DEFENDER-FOR-CLOUD,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Security,APP-CLOUD-SECURITY-LAKE,Microsoft Defender for Cloud,Protected Resource,global,2026-03,575143,service-unit,106286.4,14493.6,120780,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:ENTERPRISE-SUPPORT,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Security,APP-CLOUD-SECURITY-LAKE,Enterprise Support,Support,global,2026-03,383429,service-unit,0,80520,80520,Security,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-03:OTHER-SERVICES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-SECURITY-OPS,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-03,255619,service-unit,47238.4,6441.6,53680,Enterprise Integration,,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:EC2-COMPUTE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,EC2 Compute,BoxUsage,us-east-1,2026-04,3804222,service-unit,397160.8,287599.2,684760,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:RDS-DATABASE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,RDS Database,DatabaseUsage,us-east-1,2026-04,1790222,service-unit,186899.2,135340.8,322240,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:EKS-CONTAINERS,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,EKS Containers,ContainerHours,us-east-1,2026-04,1342667,service-unit,212678.4,29001.6,241680,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:S3-STORAGE,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,S3 Storage,TimedStorage-ByteHrs,us-east-1,2026-04,13426667,GB-month,177232,24168,201400,Enterprise Analytics,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:DATA-TRANSFER,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Patient Access,APP-CLOUD-PATIENT-DIGITAL,Data Transfer,DataTransfer-Out-Bytes,us-east-1,2026-04,1007000,GB-month,159508.8,21751.2,181260,Patient Access,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:CLOUDWATCH-AND-SECURITY,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Security,APP-CLOUD-SECURITY-LAKE,CloudWatch and Security,MonitoringEvents,us-east-1,2026-04,783222,service-unit,124062.4,16917.6,140980,Security,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:ENTERPRISE-SUPPORT,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Clinical Operations,APP-CLOUD-EHR-INT,Enterprise Support,Support-Business,global,2026-04,895111,service-unit,0,161120,161120,Clinical Operations,prod,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AWS-001:2026-04:OTHER-SERVICES,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,AWS-CLINICAL-PROD,Enterprise Integration,APP-CLOUD-INTEGRATION-HUB,Other services,Multiple,mixed,2026-04,447556,service-unit,70892.8,9667.2,80560,Enterprise Integration,,DOC-MER-CLOUD-AWS-001-CUR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-04:VIRTUAL-MACHINES,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-DATA-PLATFORM,Virtual Machines,Dsv5 Hours,eastus,2026-04,1636905,service-unit,199375,144375,343750,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-04:AZURE-SQL,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Azure SQL,vCore Hours,eastus,2026-04,1244048,service-unit,151525,109725,261250,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
meridian-health,meridian-cloud-consumption-depth-v1-20260907,cloud_usage:MER-CLOUD-AZURE-001:2026-04:SYNAPSE-ANALYTICS,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,AZ-DATA-PROD-001,Enterprise Analytics,APP-CLOUD-CLAIMS-ANALYTICS,Synapse Analytics,DWU Hours,eastus,2026-04,1047619,service-unit,193600,26400,220000,Enterprise Analytics,prod,DOC-MER-CLOUD-AZURE-001-COST-MGMT
