tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,cloud_provider,month,eligible_stable_workload_spend_usd,commitment_covered_spend_usd,on_demand_eligible_spend_usd,commitment_coverage_pct,commitment_utilization_pct,recommended_step_up_usd,expected_discount_pct,candidate_monthly_savings_usd,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-06,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-06,1073520,574333.2,499186.8,0.535,0.91,59000,0.28,16520,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-06,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-06,692070,332193.6,359876.4,0.48000000000000004,0.8799999999999999,45000,0.24,10800,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-07,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-07,1094040,601722,492318,0.55,0.86,66000,0.28,18480,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-07,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-07,703290,351645,351645,0.5,0.82,51000,0.24,12240,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-08,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-08,1119960,632777.4,487182.6,0.5650000000000001,0.885,73000,0.28,20440,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-08,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-08,723180,376053.6,347126.4,0.52,0.85,57000,0.24,13680,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-09,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-09,1136700,591084,545616,0.52,0.91,52000,0.28,14560,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-09,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-09,732360,336885.6,395474.4,0.46,0.8799999999999999,39000,0.24,9360,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-10,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-10,1108080,592822.8,515257.2,0.535,0.86,59000,0.28,16520,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-10,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-10,712980,342230.4,370749.6,0.48000000000000004,0.82,45000,0.24,10800,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-11,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-11,1117260,614493,502767,0.55,0.885,66000,0.28,18480,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-11,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-11,723690,361845,361845,0.5,0.85,51000,0.24,12240,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AWS-001:2026-12,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,2026-12,1120500,633082.5,487417.5,0.5650000000000001,0.91,73000,0.28,20440,DOC-MER-CLOUD-AWS-001-SAVINGS-PLAN
meridian-health,meridian-cloud-consumption-depth-v1-20260907,coverage:MER-CLOUD-AZURE-001:2026-12,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,2026-12,725220,377114.4,348105.6,0.52,0.8799999999999999,57000,0.24,13680,DOC-MER-CLOUD-AZURE-001-RESERVATIONS
