tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,cloud_billing_export_amount_usd,ap_invoice_amount_usd,paid_amount_usd,variance_usd,reconciliation_state,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-06,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-06,1988000,1988000,1988000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-06,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-06,1357000,1357000,1357000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-07,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-07,2026000,2026000,2026000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-07,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-07,1379000,1379000,1379000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-08,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-08,2074000,2074000,2074000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-08,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-08,1418000,1418000,1418000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-09,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-09,2105000,2105000,2105000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-09,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-09,1436000,1436000,1436000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-10,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-10,2052000,2052000,2052000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-10,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-10,1398000,1398000,1398000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-11,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-11,2069000,2069000,2069000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-11,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-11,1419000,1419000,1419000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AWS-001:2026-12,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",2026-12,2075000,2075000,2075000,0,matched,DOC-MER-CLOUD-AWS-001-AP-INVOICES
meridian-health,meridian-cloud-consumption-depth-v1-20260907,ap_recon:MER-CLOUD-AZURE-001:2026-12,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,2026-12,1422000,1422000,1422000,0,matched,DOC-MER-CLOUD-AZURE-001-AP-INVOICES
