tenant_key,dataset_version,source_row_id,resource_id,contract_id,vendor_ref,vendor_name,cloud_provider,service_name,sku,region,application_ref,business_unit,owner_tag,environment_tag,avg_cpu_utilization_pct,avg_memory_utilization_pct,monthly_spend_usd,rightsize_signal,source_file_id
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:011,AZURE-RES-0011,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.34,0.22,11450,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:012,AZURE-RES-0012,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,,prod,0.41,0.27,12175,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:013,AWS-RES-0013,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.48,0.32,12900,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:014,AWS-RES-0014,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,,0.55,0.37,13625,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:015,AWS-RES-0015,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.62,0.42,14350,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:016,AZURE-RES-0016,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.69,0.47,15075,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:017,AZURE-RES-0017,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.22,0.52,15800,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:018,AZURE-RES-0018,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.29,0.57,4200,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:019,AWS-RES-0019,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.36,0.62,4925,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:020,AWS-RES-0020,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.43,0.67,5650,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:021,AWS-RES-0021,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.5,0.22,6375,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:022,AZURE-RES-0022,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.57,0.27,7100,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:023,AZURE-RES-0023,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,,prod,0.64,0.32,7825,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:024,AZURE-RES-0024,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.71,0.37,8550,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:025,AWS-RES-0025,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.24,0.42,9275,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:026,AWS-RES-0026,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.31,0.47,10000,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:027,AWS-RES-0027,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,,0.38,0.52,10725,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:028,AZURE-RES-0028,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.45,0.57,11450,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:029,AZURE-RES-0029,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.52,0.62,12175,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:030,AZURE-RES-0030,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.59,0.67,12900,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:031,AWS-RES-0031,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.66,0.22,13625,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:032,AWS-RES-0032,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.19,0.27,14350,downsize_candidate,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:033,AWS-RES-0033,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.26,0.32,15075,downsize_candidate,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:034,AZURE-RES-0034,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,,prod,0.33,0.37,15800,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:035,AZURE-RES-0035,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.4,0.42,4200,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:036,AZURE-RES-0036,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.47,0.47,4925,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:037,AWS-RES-0037,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.54,0.52,5650,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:038,AWS-RES-0038,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.61,0.57,6375,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:039,AWS-RES-0039,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.68,0.62,7100,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:040,AZURE-RES-0040,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,,0.21,0.67,7825,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:041,AZURE-RES-0041,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.28,0.22,8550,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:042,AZURE-RES-0042,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.35,0.27,9275,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:043,AWS-RES-0043,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.42,0.32,10000,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:044,AWS-RES-0044,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.49,0.37,10725,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:045,AWS-RES-0045,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,,prod,0.56,0.42,11450,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:046,AZURE-RES-0046,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.63,0.47,12175,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:047,AZURE-RES-0047,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.7,0.52,12900,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:048,AZURE-RES-0048,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.23,0.57,13625,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:049,AWS-RES-0049,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.3,0.62,14350,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:050,AWS-RES-0050,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.37,0.67,15075,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:051,AWS-RES-0051,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.44,0.22,15800,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:052,AZURE-RES-0052,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.51,0.27,4200,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:053,AZURE-RES-0053,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,,0.58,0.32,4925,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:054,AZURE-RES-0054,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.65,0.37,5650,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:055,AWS-RES-0055,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.18,0.42,6375,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:056,AWS-RES-0056,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,,prod,0.25,0.47,7100,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:057,AWS-RES-0057,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.32,0.52,7825,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:058,AZURE-RES-0058,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.39,0.57,8550,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:059,AZURE-RES-0059,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.46,0.62,9275,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:060,AZURE-RES-0060,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.53,0.67,10000,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:061,AWS-RES-0061,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.6,0.22,10725,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:062,AWS-RES-0062,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.67,0.27,11450,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:063,AWS-RES-0063,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EKS,c6i.2xlarge,us-east-1,APP-CLOUD-PATIENT-DIGITAL,Patient Access,Patient Access,prod,0.2,0.32,12175,downsize_candidate,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:064,AZURE-RES-0064,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Virtual Machines,D8s_v5,eastus,APP-CLOUD-DATA-PLATFORM,Enterprise Analytics,Enterprise Analytics,prod,0.27,0.37,12900,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:065,AZURE-RES-0065,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Azure SQL,GP_Gen5_8,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,prod,0.34,0.42,13625,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AZURE-001:066,AZURE-RES-0066,MER-CLOUD-AZURE-001,VEN-MICROSOFT,Microsoft Corporation,azure,Synapse,DW300c,eastus,APP-CLOUD-CLAIMS-ANALYTICS,Enterprise Analytics,Enterprise Analytics,,0.41,0.47,14350,keep,DOC-MER-CLOUD-AZURE-001-ADVISOR
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:067,AWS-RES-0067,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,EC2,m6i.4xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,,prod,0.48,0.52,15075,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
meridian-health,meridian-cloud-consumption-depth-v1-20260907,resource:MER-CLOUD-AWS-001:068,AWS-RES-0068,MER-CLOUD-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",aws,RDS,db.r6i.2xlarge,us-east-1,APP-CLOUD-EHR-INT,Clinical Operations,Clinical Operations,prod,0.55,0.57,15800,keep,DOC-MER-CLOUD-AWS-001-CLOUDWATCH
