ci_id,ci_name,ci_type,business_service,application_owner,technical_owner,support_group,criticality,hosting_model,environment,vendor_id,contract_id,data_classification,service_tier,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CI-DATA-006,Claims Gateway 1,Data Platform,Claims Gateway,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Confidential,Gold,ServiceNow,CI-DATA-006,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-APP-007,Member Portal 1,Application,Member Portal,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 2,Hosted,Production,VEN-AWS,CON-AWS-2026,Internal,Silver,ServiceNow,CI-APP-007,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-SVC-008,Provider Directory 1,Business Service,Provider Directory,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 3,Public Cloud,Production,VEN-AZURE,CON-AZURE-2026,Internal,Bronze,ServiceNow,CI-SVC-008,CMDB Stewardship,2026-05-01,0.8600000000000001,false,
CI-DATA-009,Utilization Management 1,Data Platform,Utilization Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 3,On Premise,Production,VEN-PALANTIR,CON-PALANTIR-2026,Restricted,Bronze,ServiceNow,CI-DATA-009,CMDB Stewardship,2026-05-01,0.87,true,
CI-APP-010,Clinical Trial Matching 1,Application,Clinical Trial Matching,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 2,Hybrid,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Silver,ServiceNow,CI-APP-010,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-011,Bioinformatics Pipeline 1,Business Service,Bioinformatics Pipeline,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Internal,Gold,ServiceNow,CI-SVC-011,CMDB Stewardship,2026-05-01,0.79,true,
CI-DATA-012,Data De-identification Service 1,Data Platform,Data De-identification Service,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 3,Hosted,Production,VEN-CERNER,CON-CERNER-2026,Internal,Bronze,ServiceNow,CI-DATA-012,CMDB Stewardship,2026-05-01,0.8,true,
CI-APP-013,Secure Research Workspace 1,Application,Secure Research Workspace,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 2,Public Cloud,Production,VEN-ENSEMBLE,CON-ENSEMBLE-2026,Restricted,Silver,ServiceNow,CI-APP-013,CMDB Stewardship,2026-05-01,0.81,true,
CI-SVC-014,Nurse Triage Platform 1,Business Service,Nurse Triage Platform,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 3,On Premise,Production,VEN-3M,CON-3M-2026,Confidential,Bronze,ServiceNow,CI-SVC-014,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-DATA-015,Telehealth Platform 1,Data Platform,Telehealth Platform,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 3,Hybrid,Production,VEN-NUANCE,CON-NUANCE-2026,Internal,Bronze,ServiceNow,CI-DATA-015,CMDB Stewardship,2026-05-01,0.8300000000000001,false,
CI-APP-016,Patient Messaging 1,Application,Patient Messaging,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-IMPRIVATA,CON-IMPRIVATA-2026,Internal,Gold,ServiceNow,CI-APP-016,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-SVC-017,Enterprise API Gateway 1,Business Service,Enterprise API Gateway,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 3,Hosted,Production,VEN-OKTA,CON-OKTA-2026,Restricted,Bronze,ServiceNow,CI-SVC-017,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-DATA-018,Master Data Management 1,Data Platform,Master Data Management,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 3,Public Cloud,Production,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2026,Confidential,Bronze,ServiceNow,CI-DATA-018,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-APP-019,Document Management 1,Application,Document Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 2,On Premise,Production,VEN-PALOALTO,CON-PALOALTO-2026,Internal,Silver,ServiceNow,CI-APP-019,CMDB Stewardship,2026-05-01,0.87,true,
CI-SVC-020,Contract Lifecycle Management 1,Business Service,Contract Lifecycle Management,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 3,Hybrid,Production,VEN-ZSCALER,CON-ZSCALER-2026,Internal,Bronze,ServiceNow,CI-SVC-020,CMDB Stewardship,2026-05-01,0.88,true,
CI-DATA-021,PACS Imaging 2,Data Platform,PACS Imaging,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-BROADCOM,CON-BROADCOM-2026,Restricted,Gold,ServiceNow,CI-DATA-021,CMDB Stewardship,2026-05-01,0.79,true,
CI-APP-022,Laboratory Information System 2,Application,Laboratory Information System,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 2,Hosted,Production,VEN-CISCO,CON-CISCO-2026,Confidential,Silver,ServiceNow,CI-APP-022,CMDB Stewardship,2026-05-01,0.8,false,
CI-SVC-023,Pharmacy Dispensing 2,Business Service,Pharmacy Dispensing,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 3,Public Cloud,Production,VEN-VEEAM,CON-VEEAM-2026,Internal,Bronze,ServiceNow,CI-SVC-023,CMDB Stewardship,2026-05-01,0.81,true,
CI-DATA-024,Provider Scheduling 2,Data Platform,Provider Scheduling,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 3,On Premise,Production,VEN-HASHICORP,CON-HASHICORP-2026,Internal,Bronze,ServiceNow,CI-DATA-024,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-APP-025,Referral Management 2,Application,Referral Management,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 2,Hybrid,Production,VEN-REDOX,CON-REDOX-2026,Restricted,Silver,ServiceNow,CI-APP-025,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-SVC-026,Claims Gateway 2,Business Service,Claims Gateway,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-QLIK,CON-QLIK-2026,Confidential,Gold,ServiceNow,CI-SVC-026,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-DATA-027,Member Portal 2,Data Platform,Member Portal,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 3,Hosted,Production,VEN-QUALTRICS,CON-QUALTRICS-2026,Internal,Bronze,ServiceNow,CI-DATA-027,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-APP-028,Provider Directory 2,Application,Provider Directory,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 2,Public Cloud,Production,VEN-WORKDAY,CON-WORKDAY-2026,Internal,Silver,ServiceNow,CI-APP-028,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-SVC-029,Utilization Management 2,Business Service,Utilization Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 3,On Premise,Production,VEN-EPIC,CON-EPIC-2026,Restricted,Bronze,ServiceNow,CI-SVC-029,CMDB Stewardship,2026-05-01,0.87,false,
CI-DATA-030,Clinical Trial Matching 2,Data Platform,Clinical Trial Matching,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 3,Hybrid,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Bronze,ServiceNow,CI-DATA-030,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-031,Bioinformatics Pipeline 2,Application,Bioinformatics Pipeline,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-ORACLE,CON-ORACLE-2026,Internal,Gold,ServiceNow,CI-APP-031,CMDB Stewardship,2026-05-01,0.79,true,
CI-SVC-032,Data De-identification Service 2,Business Service,Data De-identification Service,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 3,Hosted,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Internal,Bronze,ServiceNow,CI-SVC-032,CMDB Stewardship,2026-05-01,0.8,true,
CI-DATA-033,Secure Research Workspace 2,Data Platform,Secure Research Workspace,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 3,Public Cloud,Production,VEN-GENESYS,CON-GENESYS-2026,Restricted,Bronze,ServiceNow,CI-DATA-033,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-034,Nurse Triage Platform 2,Application,Nurse Triage Platform,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 2,On Premise,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Confidential,Silver,ServiceNow,CI-APP-034,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-SVC-035,Telehealth Platform 2,Business Service,Telehealth Platform,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 3,Hybrid,Production,VEN-AWS,CON-AWS-2026,Internal,Bronze,ServiceNow,CI-SVC-035,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-DATA-036,Patient Messaging 2,Data Platform,Patient Messaging,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-AZURE,CON-AZURE-2026,Internal,Gold,ServiceNow,CI-DATA-036,CMDB Stewardship,2026-05-01,0.8400000000000001,false,
CI-APP-037,Enterprise API Gateway 2,Application,Enterprise API Gateway,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 2,Hosted,Production,VEN-PALANTIR,CON-PALANTIR-2026,Restricted,Silver,ServiceNow,CI-APP-037,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-SVC-038,Master Data Management 2,Business Service,Master Data Management,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 3,Public Cloud,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Bronze,ServiceNow,CI-SVC-038,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-DATA-039,Document Management 2,Data Platform,Document Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 3,On Premise,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Internal,Bronze,ServiceNow,CI-DATA-039,CMDB Stewardship,2026-05-01,0.87,true,
CI-APP-040,Contract Lifecycle Management 2,Application,Contract Lifecycle Management,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 2,Hybrid,Production,VEN-CERNER,CON-CERNER-2026,Internal,Silver,ServiceNow,CI-APP-040,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-041,PACS Imaging 3,Business Service,PACS Imaging,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-ENSEMBLE,CON-ENSEMBLE-2026,Restricted,Gold,ServiceNow,CI-SVC-041,CMDB Stewardship,2026-05-01,0.79,true,
CI-DATA-042,Laboratory Information System 3,Data Platform,Laboratory Information System,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 3,Hosted,Production,VEN-3M,CON-3M-2026,Confidential,Bronze,ServiceNow,CI-DATA-042,CMDB Stewardship,2026-05-01,0.8,true,
CI-APP-043,Pharmacy Dispensing 3,Application,Pharmacy Dispensing,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 2,Public Cloud,Production,VEN-NUANCE,CON-NUANCE-2026,Internal,Silver,ServiceNow,CI-APP-043,CMDB Stewardship,2026-05-01,0.81,false,
CI-SVC-044,Provider Scheduling 3,Business Service,Provider Scheduling,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 3,On Premise,Production,VEN-IMPRIVATA,CON-IMPRIVATA-2026,Internal,Bronze,ServiceNow,CI-SVC-044,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-DATA-045,Referral Management 3,Data Platform,Referral Management,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 3,Hybrid,Production,VEN-OKTA,CON-OKTA-2026,Restricted,Bronze,ServiceNow,CI-DATA-045,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-APP-046,Claims Gateway 3,Application,Claims Gateway,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2026,Confidential,Gold,ServiceNow,CI-APP-046,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-SVC-047,Member Portal 3,Business Service,Member Portal,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 3,Hosted,Production,VEN-PALOALTO,CON-PALOALTO-2026,Internal,Bronze,ServiceNow,CI-SVC-047,CMDB Stewardship,2026-05-01,0.8500000000000001,true,
CI-DATA-048,Provider Directory 3,Data Platform,Provider Directory,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 3,Public Cloud,Production,VEN-ZSCALER,CON-ZSCALER-2026,Internal,Bronze,ServiceNow,CI-DATA-048,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-APP-049,Utilization Management 3,Application,Utilization Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 2,On Premise,Production,VEN-BROADCOM,CON-BROADCOM-2026,Restricted,Silver,ServiceNow,CI-APP-049,CMDB Stewardship,2026-05-01,0.87,true,
CI-SVC-050,Clinical Trial Matching 3,Business Service,Clinical Trial Matching,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 3,Hybrid,Production,VEN-CISCO,CON-CISCO-2026,Confidential,Bronze,ServiceNow,CI-SVC-050,CMDB Stewardship,2026-05-01,0.88,false,
CI-DATA-051,Bioinformatics Pipeline 3,Data Platform,Bioinformatics Pipeline,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-VEEAM,CON-VEEAM-2026,Internal,Gold,ServiceNow,CI-DATA-051,CMDB Stewardship,2026-05-01,0.79,true,
CI-APP-052,Data De-identification Service 3,Application,Data De-identification Service,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 2,Hosted,Production,VEN-HASHICORP,CON-HASHICORP-2026,Internal,Silver,ServiceNow,CI-APP-052,CMDB Stewardship,2026-05-01,0.8,true,
CI-SVC-053,Secure Research Workspace 3,Business Service,Secure Research Workspace,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 3,Public Cloud,Production,VEN-REDOX,CON-REDOX-2026,Restricted,Bronze,ServiceNow,CI-SVC-053,CMDB Stewardship,2026-05-01,0.81,true,
CI-DATA-054,Nurse Triage Platform 3,Data Platform,Nurse Triage Platform,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 3,On Premise,Production,VEN-QLIK,CON-QLIK-2026,Confidential,Bronze,ServiceNow,CI-DATA-054,CMDB Stewardship,2026-05-01,0.8200000000000001,true,
CI-APP-055,Telehealth Platform 3,Application,Telehealth Platform,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 2,Hybrid,Production,VEN-QUALTRICS,CON-QUALTRICS-2026,Internal,Silver,ServiceNow,CI-APP-055,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-SVC-056,Patient Messaging 3,Business Service,Patient Messaging,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-WORKDAY,CON-WORKDAY-2026,Internal,Gold,ServiceNow,CI-SVC-056,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
CI-DATA-057,Enterprise API Gateway 3,Data Platform,Enterprise API Gateway,Research Technology Office,IT Sourcing,EHR Platform Engineering,Tier 3,Hosted,Production,VEN-EPIC,CON-EPIC-2026,Restricted,Bronze,ServiceNow,CI-DATA-057,CMDB Stewardship,2026-05-01,0.8500000000000001,false,
CI-APP-058,Master Data Management 3,Application,Master Data Management,Payer Platform Operations,EHR Platform Engineering,Clinical Informatics,Tier 2,Public Cloud,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Silver,ServiceNow,CI-APP-058,CMDB Stewardship,2026-05-01,0.8600000000000001,true,
CI-SVC-059,Document Management 3,Business Service,Document Management,Cybersecurity Governance,Clinical Informatics,Integration Operations,Tier 3,On Premise,Production,VEN-ORACLE,CON-ORACLE-2026,Internal,Bronze,ServiceNow,CI-SVC-059,CMDB Stewardship,2026-05-01,0.87,true,
CI-DATA-060,Contract Lifecycle Management 3,Data Platform,Contract Lifecycle Management,IT Sourcing,Integration Operations,Revenue Cycle Technology,Tier 3,Hybrid,Production,VEN-SALESFORCE,CON-SALESFORCE-2026,Internal,Bronze,ServiceNow,CI-DATA-060,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-061,PACS Imaging 4,Application,PACS Imaging,EHR Platform Engineering,Revenue Cycle Technology,Contact Center Technology,Tier 1,SaaS,Production,VEN-GENESYS,CON-GENESYS-2026,Restricted,Gold,ServiceNow,CI-APP-061,CMDB Stewardship,2026-05-01,0.79,true,
CI-SVC-062,Laboratory Information System 4,Business Service,Laboratory Information System,Clinical Informatics,Contact Center Technology,Cloud Platform Services,Tier 3,Hosted,Production,VEN-MICROSOFT,CON-MICROSOFT-2026,Confidential,Bronze,ServiceNow,CI-SVC-062,CMDB Stewardship,2026-05-01,0.8,true,
CI-DATA-063,Pharmacy Dispensing 4,Data Platform,Pharmacy Dispensing,Integration Operations,Cloud Platform Services,Research Technology Office,Tier 3,Public Cloud,Production,VEN-AWS,CON-AWS-2026,Internal,Bronze,ServiceNow,CI-DATA-063,CMDB Stewardship,2026-05-01,0.81,true,
CI-APP-064,Provider Scheduling 4,Application,Provider Scheduling,Revenue Cycle Technology,Research Technology Office,Payer Platform Operations,Tier 2,On Premise,Production,VEN-AZURE,CON-AZURE-2026,Internal,Silver,ServiceNow,CI-APP-064,CMDB Stewardship,2026-05-01,0.8200000000000001,false,
CI-SVC-065,Referral Management 4,Business Service,Referral Management,Contact Center Technology,Payer Platform Operations,Cybersecurity Governance,Tier 3,Hybrid,Production,VEN-PALANTIR,CON-PALANTIR-2026,Restricted,Bronze,ServiceNow,CI-SVC-065,CMDB Stewardship,2026-05-01,0.8300000000000001,true,
CI-DATA-066,Claims Gateway 4,Data Platform,Claims Gateway,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,SaaS,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Gold,ServiceNow,CI-DATA-066,CMDB Stewardship,2026-05-01,0.8400000000000001,true,
