data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-011,Contact Center Domain 2,VP Customer Operations,EHR Platform Engineering,Snowflake Enterprise Warehouse|Ensemble Revenue Cycle Platform,Service ID|Owner|Status|Timestamp,Internal,0.82,Enterprise retention schedule,Allowed,2026-04-11,Data catalog,DATA-11,Data Governance,2026-05-01,0.82,true,
DATA-012,Research Operations Domain 2,Research Technology Office,Clinical Informatics,Okta Identity Service|PACS Imaging 1,Service ID|Owner|Status|Timestamp,Internal,0.83,Enterprise retention schedule,Allowed,2026-04-12,Data catalog,DATA-12,Data Governance,2026-05-01,0.82,true,
DATA-013,Payer Operations Domain 2,Chief Medical Information Officer,Integration Operations,Imprivata Clinical SSO|Laboratory Information System 1,Service ID|Owner|Status|Timestamp,Restricted,0.84,Enterprise retention schedule,Prohibited,2026-04-13,Data catalog,DATA-13,Data Governance,2026-05-01,0.82,true,
DATA-014,Provider Directory Domain 2,VP Revenue Cycle,Revenue Cycle Technology,AWS Production Landing Zone|Pharmacy Dispensing 1,Service ID|Owner|Status|Timestamp,Internal,0.85,Enterprise retention schedule,Allowed,2026-04-14,Data catalog,DATA-14,Data Governance,2026-05-01,0.82,true,
DATA-015,Workforce Domain 2,VP Customer Operations,Contact Center Technology,Azure Production Landing Zone|Provider Scheduling 1,Service ID|Owner|Status|Timestamp,Internal,0.86,Enterprise retention schedule,Allowed,2026-04-15,Data catalog,DATA-15,Data Governance,2026-05-01,0.82,true,
DATA-016,Financial Planning Domain 2,Research Technology Office,Cloud Platform Services,Ensemble Revenue Cycle Platform|Referral Management 1,Service ID|Owner|Status|Timestamp,Confidential,0.87,Enterprise retention schedule,Conditional,2026-04-16,Data catalog,DATA-16,Data Governance,2026-05-01,0.82,true,
DATA-017,Clinical Encounter Domain 3,Chief Medical Information Officer,Research Technology Office,PACS Imaging 1|Claims Gateway 1,Service ID|Owner|Status|Timestamp,Restricted,0.88,Enterprise retention schedule,Allowed,2026-04-17,Data catalog,DATA-17,Data Governance,2026-05-01,0.82,true,
DATA-018,Revenue Cycle Domain 3,VP Revenue Cycle,Payer Platform Operations,Laboratory Information System 1|Member Portal 1,Service ID|Owner|Status|Timestamp,Internal,0.89,Enterprise retention schedule,Allowed,2026-04-18,Data catalog,DATA-18,Data Governance,2026-05-01,0.82,true,
DATA-019,Contact Center Domain 3,VP Customer Operations,Cybersecurity Governance,Pharmacy Dispensing 1|Provider Directory 1,Service ID|Owner|Status|Timestamp,Confidential,0.9,Enterprise retention schedule,Prohibited,2026-04-19,Data catalog,DATA-19,Data Governance,2026-05-01,0.82,true,
DATA-020,Research Operations Domain 3,Research Technology Office,IT Sourcing,Provider Scheduling 1|Utilization Management 1,Service ID|Owner|Status|Timestamp,Internal,0.91,Enterprise retention schedule,Allowed,2026-04-20,Data catalog,DATA-20,Data Governance,2026-05-01,0.82,true,
DATA-021,Payer Operations Domain 3,Chief Medical Information Officer,EHR Platform Engineering,Referral Management 1|Clinical Trial Matching 1,Service ID|Owner|Status|Timestamp,Restricted,0.72,Enterprise retention schedule,Allowed,2026-04-01,Data catalog,DATA-21,Data Governance,2026-05-01,0.82,true,
DATA-022,Provider Directory Domain 3,VP Revenue Cycle,Clinical Informatics,Claims Gateway 1|Bioinformatics Pipeline 1,Service ID|Owner|Status|Timestamp,Confidential,0.73,Enterprise retention schedule,Conditional,2026-04-02,Data catalog,DATA-22,Data Governance,2026-05-01,0.82,true,
DATA-023,Workforce Domain 3,VP Customer Operations,Integration Operations,Member Portal 1|Data De-identification Service 1,Service ID|Owner|Status|Timestamp,Internal,0.74,Enterprise retention schedule,Allowed,2026-04-03,Data catalog,DATA-23,Data Governance,2026-05-01,0.82,true,
DATA-024,Financial Planning Domain 3,Research Technology Office,Revenue Cycle Technology,Provider Directory 1|Secure Research Workspace 1,Service ID|Owner|Status|Timestamp,Internal,0.75,Enterprise retention schedule,Allowed,2026-04-04,Data catalog,DATA-24,Data Governance,2026-05-01,0.82,true,
DATA-025,Clinical Encounter Domain 4,Chief Medical Information Officer,Contact Center Technology,Utilization Management 1|Nurse Triage Platform 1,Service ID|Owner|Status|Timestamp,Restricted,0.76,Enterprise retention schedule,Prohibited,2026-04-05,Data catalog,DATA-25,Data Governance,2026-05-01,0.82,true,
DATA-026,Revenue Cycle Domain 4,VP Revenue Cycle,Cloud Platform Services,Clinical Trial Matching 1|Telehealth Platform 1,Service ID|Owner|Status|Timestamp,Internal,0.77,Enterprise retention schedule,Allowed,2026-04-06,Data catalog,DATA-26,Data Governance,2026-05-01,0.82,true,
DATA-027,Contact Center Domain 4,VP Customer Operations,Research Technology Office,Bioinformatics Pipeline 1|Patient Messaging 1,Service ID|Owner|Status|Timestamp,Internal,0.78,Enterprise retention schedule,Allowed,2026-04-07,Data catalog,DATA-27,Data Governance,2026-05-01,0.82,true,
DATA-028,Research Operations Domain 4,Research Technology Office,Payer Platform Operations,Data De-identification Service 1|Enterprise API Gateway 1,Service ID|Owner|Status|Timestamp,Confidential,0.79,Enterprise retention schedule,Conditional,2026-04-08,Data catalog,DATA-28,Data Governance,2026-05-01,0.82,true,
DATA-029,Payer Operations Domain 4,Chief Medical Information Officer,Cybersecurity Governance,Secure Research Workspace 1|Master Data Management 1,Service ID|Owner|Status|Timestamp,Restricted,0.8,Enterprise retention schedule,Allowed,2026-04-09,Data catalog,DATA-29,Data Governance,2026-05-01,0.82,true,
DATA-030,Provider Directory Domain 4,VP Revenue Cycle,IT Sourcing,Nurse Triage Platform 1|Document Management 1,Service ID|Owner|Status|Timestamp,Internal,0.81,Enterprise retention schedule,Allowed,2026-04-10,Data catalog,DATA-30,Data Governance,2026-05-01,0.82,true,
DATA-031,Workforce Domain 4,VP Customer Operations,EHR Platform Engineering,Telehealth Platform 1|Contract Lifecycle Management 1,Service ID|Owner|Status|Timestamp,Confidential,0.82,Enterprise retention schedule,Prohibited,2026-04-11,Data catalog,DATA-31,Data Governance,2026-05-01,0.82,true,
DATA-032,Financial Planning Domain 4,Research Technology Office,Clinical Informatics,Patient Messaging 1|PACS Imaging 2,Service ID|Owner|Status|Timestamp,Internal,0.83,Enterprise retention schedule,Allowed,2026-04-12,Data catalog,DATA-32,Data Governance,2026-05-01,0.82,true,
