application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id
APX-APP-035,Snowflake Marketing Data Cloud regional/service component 3,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,15150000,314600,18,internal,contain,APX-EVID-007
APX-APP-036,Kronos Workforce Central regional/service component 3,workforce,SVP Private Brands,APX-IT-006,custom,saas,production,critical,16175000,323800,19,internal,replace_candidate,APX-EVID-008
APX-APP-037,Oracle Retail Merchandising regional/service component 4,merchandising,COO,APX-IT-003,package,saas,production,critical,22700000,333000,20,pci_pii,invest,APX-EVID-009
APX-APP-038,Manhattan Active WMS regional/service component 4,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,21025000,342200,21,internal,optimize,APX-EVID-010
APX-APP-039,IBM Sterling OMS regional/service component 4,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,26550000,351400,22,internal,contain,APX-EVID-011
APX-APP-040,Toshiba POS regional/service component 4,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,27475000,360600,23,confidential,replace_candidate,APX-EVID-012
APX-APP-041,Salesforce Commerce Cloud regional/service component 4,ecommerce,Chief Marketing Officer,APX-IT-002,custom,saas,production,critical,29100000,369800,24,pci_pii,invest,APX-EVID-013
APX-APP-042,Adobe Experience Cloud regional/service component 4,personalization,CFO,APX-IT-005,package,saas,production,high,17925000,379000,25,internal,optimize,APX-EVID-014
APX-APP-043,Blue Yonder Demand Planning regional/service component 4,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,19450000,388200,26,confidential,contain,APX-EVID-001
APX-APP-044,SAP S/4 Finance regional/service component 4,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,22975000,397400,27,internal,replace_candidate,APX-EVID-002
APX-APP-045,ServiceNow ITSM regional/service component 4,itsm,CHRO,APX-IT-010,package,saas,production,high,13800000,406600,28,pci_pii,invest,APX-EVID-003
APX-APP-046,Databricks Retail Lakehouse regional/service component 4,data_platform,Chief Procurement Officer,APX-IT-007,custom,aws,production,critical,20825000,415800,29,confidential,optimize,APX-EVID-004
APX-APP-047,Snowflake Marketing Data Cloud regional/service component 4,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,16650000,425000,30,internal,contain,APX-EVID-005
APX-APP-048,Kronos Workforce Central regional/service component 4,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,17675000,434200,31,internal,replace_candidate,APX-EVID-006
APX-APP-049,Oracle Retail Merchandising regional/service component 5,merchandising,COO,APX-IT-003,package,saas,production,critical,24200000,443400,8,pci_pii,invest,APX-EVID-007
APX-APP-050,Manhattan Active WMS regional/service component 5,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,22525000,452600,9,internal,optimize,APX-EVID-008
APX-APP-051,IBM Sterling OMS regional/service component 5,order_management,Chief Merchandising Officer,APX-IT-002,custom,hybrid,production,critical,28050000,461800,10,internal,contain,APX-EVID-009
APX-APP-052,Toshiba POS regional/service component 5,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,28975000,471000,11,confidential,replace_candidate,APX-EVID-010
APX-APP-053,Salesforce Commerce Cloud regional/service component 5,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,30600000,480200,12,pci_pii,invest,APX-EVID-011
APX-APP-054,Adobe Experience Cloud regional/service component 5,personalization,CFO,APX-IT-005,package,saas,production,high,19425000,489400,13,internal,optimize,APX-EVID-012
APX-APP-055,Blue Yonder Demand Planning regional/service component 5,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,20950000,498600,14,confidential,contain,APX-EVID-013
APX-APP-056,SAP S/4 Finance regional/service component 5,erp_finance,CIO,APX-IT-006,custom,private_cloud,production,critical,24475000,507800,15,internal,replace_candidate,APX-EVID-014
APX-APP-057,ServiceNow ITSM regional/service component 5,itsm,CHRO,APX-IT-010,package,saas,production,high,15300000,517000,16,pci_pii,invest,APX-EVID-001
APX-APP-058,Databricks Retail Lakehouse regional/service component 5,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,22325000,526200,17,confidential,optimize,APX-EVID-002
APX-APP-059,Snowflake Marketing Data Cloud regional/service component 5,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,18150000,535400,18,internal,contain,APX-EVID-003
APX-APP-060,Kronos Workforce Central regional/service component 5,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,19175000,544600,19,internal,replace_candidate,APX-EVID-004
APX-APP-061,Oracle Retail Merchandising regional/service component 6,merchandising,COO,APX-IT-003,custom,saas,production,critical,25700000,553800,20,pci_pii,invest,APX-EVID-005
APX-APP-062,Manhattan Active WMS regional/service component 6,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,24025000,563000,21,internal,optimize,APX-EVID-006
APX-APP-063,IBM Sterling OMS regional/service component 6,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,29550000,572200,22,internal,contain,APX-EVID-007
APX-APP-064,Toshiba POS regional/service component 6,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,30475000,581400,23,confidential,replace_candidate,APX-EVID-008
APX-APP-065,Salesforce Commerce Cloud regional/service component 6,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,32100000,590600,24,pci_pii,invest,APX-EVID-009
APX-APP-066,Adobe Experience Cloud regional/service component 6,personalization,CFO,APX-IT-005,custom,saas,production,high,20925000,599800,25,internal,optimize,APX-EVID-010
APX-APP-067,Blue Yonder Demand Planning regional/service component 6,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,22450000,609000,26,confidential,contain,APX-EVID-011
APX-APP-068,SAP S/4 Finance regional/service component 6,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,25975000,618200,27,internal,replace_candidate,APX-EVID-012
APX-APP-069,ServiceNow ITSM regional/service component 6,itsm,CHRO,APX-IT-010,package,saas,production,high,16800000,627400,28,pci_pii,invest,APX-EVID-013
APX-APP-070,Databricks Retail Lakehouse regional/service component 6,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,23825000,636600,29,confidential,optimize,APX-EVID-014
APX-APP-071,Snowflake Marketing Data Cloud regional/service component 6,analytics,Chief Real Estate Officer,APX-IT-007,custom,cloud,production,high,19650000,645800,30,internal,contain,APX-EVID-001
APX-APP-072,Kronos Workforce Central regional/service component 6,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,20675000,655000,31,internal,replace_candidate,APX-EVID-002
APX-APP-073,Oracle Retail Merchandising regional/service component 7,merchandising,COO,APX-IT-003,package,saas,production,critical,27200000,664200,8,pci_pii,invest,APX-EVID-003
APX-APP-074,Manhattan Active WMS regional/service component 7,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,25525000,673400,9,internal,optimize,APX-EVID-004
APX-APP-075,IBM Sterling OMS regional/service component 7,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,31050000,682600,10,internal,contain,APX-EVID-005
APX-APP-076,Toshiba POS regional/service component 7,pos,Chief Supply Chain Officer,APX-IT-001,custom,store_edge,production,critical,31975000,691800,11,confidential,replace_candidate,APX-EVID-006
APX-APP-077,Salesforce Commerce Cloud regional/service component 7,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,33600000,701000,12,pci_pii,invest,APX-EVID-007
APX-APP-078,Adobe Experience Cloud regional/service component 7,personalization,CFO,APX-IT-005,package,saas,production,high,22425000,710200,13,internal,optimize,APX-EVID-008
APX-APP-079,Blue Yonder Demand Planning regional/service component 7,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,23950000,719400,14,confidential,contain,APX-EVID-009
APX-APP-080,SAP S/4 Finance regional/service component 7,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,27475000,728600,15,internal,replace_candidate,APX-EVID-010
APX-APP-081,ServiceNow ITSM regional/service component 7,itsm,CHRO,APX-IT-010,custom,saas,production,high,18300000,737800,16,pci_pii,invest,APX-EVID-011
APX-APP-082,Databricks Retail Lakehouse regional/service component 7,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,25325000,747000,17,confidential,optimize,APX-EVID-012
APX-APP-083,Snowflake Marketing Data Cloud regional/service component 7,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,21150000,756200,18,internal,contain,APX-EVID-013
APX-APP-084,Kronos Workforce Central regional/service component 7,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,22175000,765400,19,internal,replace_candidate,APX-EVID-014
APX-APP-085,Oracle Retail Merchandising regional/service component 8,merchandising,COO,APX-IT-003,package,saas,production,critical,28700000,774600,20,pci_pii,invest,APX-EVID-001
APX-APP-086,Manhattan Active WMS regional/service component 8,warehouse,Chief Digital Officer,APX-IT-004,custom,saas,production,critical,27025000,783800,21,internal,optimize,APX-EVID-002
APX-APP-087,IBM Sterling OMS regional/service component 8,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,32550000,793000,22,internal,contain,APX-EVID-003
APX-APP-088,Toshiba POS regional/service component 8,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,33475000,802200,23,confidential,replace_candidate,APX-EVID-004
APX-APP-089,Salesforce Commerce Cloud regional/service component 8,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,35100000,811400,24,pci_pii,invest,APX-EVID-005
APX-APP-090,Adobe Experience Cloud regional/service component 8,personalization,CFO,APX-IT-005,package,saas,production,high,23925000,820600,25,internal,optimize,APX-EVID-006
APX-APP-091,Blue Yonder Demand Planning regional/service component 8,forecasting,Chief Risk Officer,APX-IT-003,custom,saas,production,critical,25450000,829800,26,confidential,contain,APX-EVID-007
APX-APP-092,SAP S/4 Finance regional/service component 8,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,28975000,839000,27,internal,replace_candidate,APX-EVID-008
APX-APP-093,ServiceNow ITSM regional/service component 8,itsm,CHRO,APX-IT-010,package,saas,production,high,19800000,848200,28,pci_pii,invest,APX-EVID-009
APX-APP-094,Databricks Retail Lakehouse regional/service component 8,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,26825000,857400,29,confidential,optimize,APX-EVID-010
APX-APP-095,Snowflake Marketing Data Cloud regional/service component 8,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,22650000,866600,30,internal,contain,APX-EVID-011
APX-APP-096,Kronos Workforce Central regional/service component 8,workforce,SVP Private Brands,APX-IT-006,custom,saas,production,critical,23675000,875800,31,internal,replace_candidate,APX-EVID-012
APX-APP-097,Oracle Retail Merchandising regional/service component 9,merchandising,COO,APX-IT-003,package,saas,production,critical,30200000,885000,8,pci_pii,invest,APX-EVID-013
APX-APP-098,Manhattan Active WMS regional/service component 9,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,28525000,894200,9,internal,optimize,APX-EVID-014
APX-APP-099,IBM Sterling OMS regional/service component 9,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,34050000,903400,10,internal,contain,APX-EVID-001
APX-APP-100,Toshiba POS regional/service component 9,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,34975000,912600,11,confidential,replace_candidate,APX-EVID-002
APX-APP-101,Salesforce Commerce Cloud regional/service component 9,ecommerce,Chief Marketing Officer,APX-IT-002,custom,saas,production,critical,36600000,921800,12,pci_pii,invest,APX-EVID-003
APX-APP-102,Adobe Experience Cloud regional/service component 9,personalization,CFO,APX-IT-005,package,saas,production,high,25425000,931000,13,internal,optimize,APX-EVID-004
APX-APP-103,Blue Yonder Demand Planning regional/service component 9,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,26950000,940200,14,confidential,contain,APX-EVID-005
APX-APP-104,SAP S/4 Finance regional/service component 9,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,30475000,949400,15,internal,replace_candidate,APX-EVID-006
APX-APP-105,ServiceNow ITSM regional/service component 9,itsm,CHRO,APX-IT-010,package,saas,production,high,21300000,958600,16,pci_pii,invest,APX-EVID-007
APX-APP-106,Databricks Retail Lakehouse regional/service component 9,data_platform,Chief Procurement Officer,APX-IT-007,custom,aws,production,critical,28325000,967800,17,confidential,optimize,APX-EVID-008
APX-APP-107,Snowflake Marketing Data Cloud regional/service component 9,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,24150000,977000,18,internal,contain,APX-EVID-009
APX-APP-108,Kronos Workforce Central regional/service component 9,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,25175000,986200,19,internal,replace_candidate,APX-EVID-010
APX-APP-109,Oracle Retail Merchandising regional/service component 10,merchandising,COO,APX-IT-003,package,saas,production,critical,31700000,995400,20,pci_pii,invest,APX-EVID-011
APX-APP-110,Manhattan Active WMS regional/service component 10,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,30025000,1004600,21,internal,optimize,APX-EVID-012
APEXRETAIL-APP-0111,Oracle Retail Merchandising,merchandising,COO,APX-IT-003,custom,saas,production,critical,18200000,1800,8,pci_pii,invest,APX-EVID-001
APEXRETAIL-APP-0112,Manhattan Active WMS,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,16525000,11000,9,internal,optimize,APX-EVID-002
APEXRETAIL-APP-0113,IBM Sterling OMS,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,22050000,20200,10,internal,contain,APX-EVID-003
APEXRETAIL-APP-0114,Toshiba POS,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,22975000,29400,11,confidential,replace_candidate,APX-EVID-004
APEXRETAIL-APP-0115,Salesforce Commerce Cloud,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,24600000,38600,12,pci_pii,invest,APX-EVID-005
APEXRETAIL-APP-0116,Adobe Experience Cloud,personalization,CFO,APX-IT-005,custom,saas,production,high,13425000,47800,13,internal,optimize,APX-EVID-006
APEXRETAIL-APP-0117,Blue Yonder Demand Planning,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,14950000,57000,14,confidential,contain,APX-EVID-007
APEXRETAIL-APP-0118,SAP S/4 Finance,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,18475000,66200,15,internal,replace_candidate,APX-EVID-008
APEXRETAIL-APP-0119,ServiceNow ITSM,itsm,CHRO,APX-IT-010,package,saas,production,high,9300000,75400,16,pci_pii,invest,APX-EVID-009
APEXRETAIL-APP-0120,Databricks Retail Lakehouse,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,16325000,84600,17,confidential,optimize,APX-EVID-010
APEXRETAIL-APP-0121,Snowflake Marketing Data Cloud,analytics,Chief Real Estate Officer,APX-IT-007,custom,cloud,production,high,12150000,93800,18,internal,contain,APX-EVID-011
APEXRETAIL-APP-0122,Kronos Workforce Central,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,13175000,103000,19,internal,replace_candidate,APX-EVID-012
APEXRETAIL-APP-0123,Oracle Retail Merchandising regional/service component 2,merchandising,COO,APX-IT-003,package,saas,production,critical,19700000,112200,20,pci_pii,invest,APX-EVID-013
APEXRETAIL-APP-0124,Manhattan Active WMS regional/service component 2,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,18025000,121400,21,internal,optimize,APX-EVID-014
APEXRETAIL-APP-0125,IBM Sterling OMS regional/service component 2,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,23550000,130600,22,internal,contain,APX-EVID-001
APEXRETAIL-APP-0126,Toshiba POS regional/service component 2,pos,Chief Supply Chain Officer,APX-IT-001,custom,store_edge,production,critical,24475000,139800,23,confidential,replace_candidate,APX-EVID-002
APEXRETAIL-APP-0127,Salesforce Commerce Cloud regional/service component 2,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,26100000,149000,24,pci_pii,invest,APX-EVID-003
APEXRETAIL-APP-0128,Adobe Experience Cloud regional/service component 2,personalization,CFO,APX-IT-005,package,saas,production,high,14925000,158200,25,internal,optimize,APX-EVID-004
APEXRETAIL-APP-0129,Blue Yonder Demand Planning regional/service component 2,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,16450000,167400,26,confidential,contain,APX-EVID-005
APEXRETAIL-APP-0130,SAP S/4 Finance regional/service component 2,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,19975000,176600,27,internal,replace_candidate,APX-EVID-006
APEXRETAIL-APP-0131,ServiceNow ITSM regional/service component 2,itsm,CHRO,APX-IT-010,custom,saas,production,high,10800000,185800,28,pci_pii,invest,APX-EVID-007
APEXRETAIL-APP-0132,Databricks Retail Lakehouse regional/service component 2,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,17825000,195000,29,confidential,optimize,APX-EVID-008
APEXRETAIL-APP-0133,Snowflake Marketing Data Cloud regional/service component 2,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,13650000,204200,30,internal,contain,APX-EVID-009
APEXRETAIL-APP-0134,Kronos Workforce Central regional/service component 2,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,14675000,213400,31,internal,replace_candidate,APX-EVID-010
APEXRETAIL-APP-0135,Oracle Retail Merchandising regional/service component 3,merchandising,COO,APX-IT-003,package,saas,production,critical,21200000,222600,8,pci_pii,invest,APX-EVID-011
APEXRETAIL-APP-0136,Manhattan Active WMS regional/service component 3,warehouse,Chief Digital Officer,APX-IT-004,custom,saas,production,critical,19525000,231800,9,internal,optimize,APX-EVID-012
APEXRETAIL-APP-0137,IBM Sterling OMS regional/service component 3,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,25050000,241000,10,internal,contain,APX-EVID-013
APEXRETAIL-APP-0138,Toshiba POS regional/service component 3,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,25975000,250200,11,confidential,replace_candidate,APX-EVID-014
APEXRETAIL-APP-0139,Salesforce Commerce Cloud regional/service component 3,ecommerce,Chief Marketing Officer,APX-IT-002,package,saas,production,critical,27600000,259400,12,pci_pii,invest,APX-EVID-001
APEXRETAIL-APP-0140,Adobe Experience Cloud regional/service component 3,personalization,CFO,APX-IT-005,package,saas,production,high,16425000,268600,13,internal,optimize,APX-EVID-002
APEXRETAIL-APP-0141,Blue Yonder Demand Planning regional/service component 3,forecasting,Chief Risk Officer,APX-IT-003,custom,saas,production,critical,17950000,277800,14,confidential,contain,APX-EVID-003
APEXRETAIL-APP-0142,SAP S/4 Finance regional/service component 3,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,21475000,287000,15,internal,replace_candidate,APX-EVID-004
APEXRETAIL-APP-0143,ServiceNow ITSM regional/service component 3,itsm,CHRO,APX-IT-010,package,saas,production,high,12300000,296200,16,pci_pii,invest,APX-EVID-005
APEXRETAIL-APP-0144,Databricks Retail Lakehouse regional/service component 3,data_platform,Chief Procurement Officer,APX-IT-007,package,aws,production,critical,19325000,305400,17,confidential,optimize,APX-EVID-006
APEXRETAIL-APP-0145,Snowflake Marketing Data Cloud regional/service component 3,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,15150000,314600,18,internal,contain,APX-EVID-007
APEXRETAIL-APP-0146,Kronos Workforce Central regional/service component 3,workforce,SVP Private Brands,APX-IT-006,custom,saas,production,critical,16175000,323800,19,internal,replace_candidate,APX-EVID-008
APEXRETAIL-APP-0147,Oracle Retail Merchandising regional/service component 4,merchandising,COO,APX-IT-003,package,saas,production,critical,22700000,333000,20,pci_pii,invest,APX-EVID-009
APEXRETAIL-APP-0148,Manhattan Active WMS regional/service component 4,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,21025000,342200,21,internal,optimize,APX-EVID-010
APEXRETAIL-APP-0149,IBM Sterling OMS regional/service component 4,order_management,Chief Merchandising Officer,APX-IT-002,package,hybrid,production,critical,26550000,351400,22,internal,contain,APX-EVID-011
APEXRETAIL-APP-0150,Toshiba POS regional/service component 4,pos,Chief Supply Chain Officer,APX-IT-001,package,store_edge,production,critical,27475000,360600,23,confidential,replace_candidate,APX-EVID-012
APEXRETAIL-APP-0151,Salesforce Commerce Cloud regional/service component 4,ecommerce,Chief Marketing Officer,APX-IT-002,custom,saas,production,critical,29100000,369800,24,pci_pii,invest,APX-EVID-013
APEXRETAIL-APP-0152,Adobe Experience Cloud regional/service component 4,personalization,CFO,APX-IT-005,package,saas,production,high,17925000,379000,25,internal,optimize,APX-EVID-014
APEXRETAIL-APP-0153,Blue Yonder Demand Planning regional/service component 4,forecasting,Chief Risk Officer,APX-IT-003,package,saas,production,critical,19450000,388200,26,confidential,contain,APX-EVID-001
APEXRETAIL-APP-0154,SAP S/4 Finance regional/service component 4,erp_finance,CIO,APX-IT-006,package,private_cloud,production,critical,22975000,397400,27,internal,replace_candidate,APX-EVID-002
APEXRETAIL-APP-0155,ServiceNow ITSM regional/service component 4,itsm,CHRO,APX-IT-010,package,saas,production,high,13800000,406600,28,pci_pii,invest,APX-EVID-003
APEXRETAIL-APP-0156,Databricks Retail Lakehouse regional/service component 4,data_platform,Chief Procurement Officer,APX-IT-007,custom,aws,production,critical,20825000,415800,29,confidential,optimize,APX-EVID-004
APEXRETAIL-APP-0157,Snowflake Marketing Data Cloud regional/service component 4,analytics,Chief Real Estate Officer,APX-IT-007,package,cloud,production,high,16650000,425000,30,internal,contain,APX-EVID-005
APEXRETAIL-APP-0158,Kronos Workforce Central regional/service component 4,workforce,SVP Private Brands,APX-IT-006,package,saas,production,critical,17675000,434200,31,internal,replace_candidate,APX-EVID-006
APEXRETAIL-APP-0159,Oracle Retail Merchandising regional/service component 5,merchandising,COO,APX-IT-003,package,saas,production,critical,24200000,443400,8,pci_pii,invest,APX-EVID-007
APEXRETAIL-APP-0160,Manhattan Active WMS regional/service component 5,warehouse,Chief Digital Officer,APX-IT-004,package,saas,production,critical,22525000,452600,9,internal,optimize,APX-EVID-008
